open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,21.15,21.45,21.12,21.3,331264
2016-01-05 09:30:00,21.4,21.52,21.3,21.31,405438
2016-01-06 09:30:00,20.63,20.79,20.12,20.27,583581
2016-01-07 09:30:00,19.28,19.41,19.12,19.31,257081
2016-01-08 09:30:00,18.91,19.02,18.76,18.77,281534
2016-01-11 09:30:00,18.41,18.48,18.24,18.26,229259
2016-01-12 09:30:00,18.52,18.6,18.44,18.46,370154
2016-01-13 09:30:00,18.42,18.78,18.42,18.48,301037
2016-01-14 09:30:00,18.22,18.24,17.83,17.84,248081
2016-01-15 09:30:00,17.87,17.97,17.78,17.84,268250
2016-01-19 09:30:00,17.99,18.0,17.63,17.83,233721
2016-01-20 09:30:00,17.23,17.24,16.95,16.98,234716
2016-01-21 09:30:00,17.21,17.33,17.04,17.23,283350
2016-01-22 09:30:00,17.47,17.64,17.46,17.64,116375
2016-01-25 09:30:00,17.59,17.64,17.4,17.53,213848
2016-01-26 09:30:00,17.66,17.79,17.55,17.59,195013
2016-01-27 09:30:00,17.91,18.05,17.79,17.87,320290
2016-01-28 09:30:00,17.64,17.68,17.47,17.58,108224
2016-01-29 09:30:00,17.62,17.92,17.62,17.91,222903
2016-02-01 09:30:00,18.19,18.25,18.0,18.11,150315
2016-02-02 09:30:00,18.09,18.17,17.94,18.05,204289
2016-02-03 09:30:00,17.92,18.1,17.84,17.84,98349
2016-02-04 09:30:00,18.01,18.41,17.93,18.35,100710
2016-02-05 09:30:00,18.38,18.52,18.09,18.48,124675
2016-02-08 09:30:00,18.09,18.25,18.07,18.2,181944
2016-02-09 09:30:00,17.64,18.17,17.63,18.01,199400
2016-02-10 09:30:00,17.94,18.36,17.9,18.34,93515
2016-02-11 09:30:00,17.73,17.79,17.43,17.67,235681
2016-02-12 09:30:00,17.5,17.92,17.4,17.5,98783
2016-02-16 09:30:00,17.89,17.97,17.76,17.94,95038
2016-02-17 09:30:00,18.87,18.98,18.66,18.72,251813
2016-02-18 09:30:00,18.81,19.01,18.69,19.01,142363
2016-02-19 09:30:00,18.99,19.19,18.99,19.1,200206
2016-02-22 09:30:00,19.4,19.59,19.38,19.49,120259
2016-02-23 09:30:00,19.43,19.5,19.26,19.47,88161
2016-02-24 09:30:00,19.0,19.02,18.82,18.92,52123
2016-02-25 09:30:00,19.44,19.59,19.31,19.37,80614
2016-02-26 09:30:00,19.56,19.56,19.28,19.32,168304
2016-02-29 09:30:00,19.31,19.52,19.31,19.42,84306
2016-03-01 09:30:00,19.53,19.6,19.46,19.46,99408
2016-03-02 09:30:00,19.79,20.02,19.74,19.87,263574
2016-03-03 09:30:00,19.9,20.21,19.83,20.14,149144
2016-03-04 09:30:00,20.21,20.31,19.6,19.72,460145
2016-03-07 09:30:00,20.05,20.26,20.03,20.23,107697
2016-03-08 09:30:00,20.22,20.32,19.88,19.9,191659
2016-03-09 09:30:00,19.59,19.82,19.56,19.77,143695
2016-03-10 09:30:00,19.81,19.85,19.68,19.83,264165
2016-03-11 09:30:00,19.9,19.96,19.82,19.92,448436
2016-03-14 09:30:00,20.19,20.24,19.97,19.97,147681
2016-03-15 09:30:00,20.09,20.22,19.9,19.95,307061
2016-03-16 09:30:00,19.83,20.06,19.79,20.02,186754
2016-03-17 09:30:00,19.09,19.16,17.79,17.92,3124177
2016-03-18 09:30:00,17.78,17.96,17.62,17.75,1442555
2016-03-21 09:30:00,18.1,18.4,18.1,18.27,247371
2016-03-22 09:30:00,18.1,18.25,17.98,18.23,188735
2016-03-23 09:30:00,18.14,18.22,17.95,17.98,172694
2016-03-24 09:30:00,17.64,17.67,17.49,17.51,185353
2016-03-28 09:30:00,17.6,17.63,17.5,17.56,270176
2016-03-29 09:30:00,17.54,17.67,17.48,17.63,108996
2016-03-30 09:30:00,18.28,18.34,17.98,17.98,344743
2016-03-31 09:30:00,17.92,18.0,17.89,17.97,127162
2016-04-01 09:30:00,17.64,17.69,17.46,17.47,182343
2016-04-04 09:30:00,17.8,17.83,17.62,17.74,193753
2016-04-05 09:30:00,17.49,17.54,17.43,17.46,94377
2016-04-06 09:30:00,17.23,17.29,17.09,17.11,183166
2016-04-07 09:30:00,17.03,17.11,16.96,16.99,157240
2016-04-08 09:30:00,17.06,17.1,16.94,17.02,181811
2016-04-11 09:30:00,16.84,16.87,16.75,16.81,228219
2016-04-12 09:30:00,16.9,16.93,16.63,16.63,107681
2016-04-13 09:30:00,16.81,16.88,16.7,16.87,128352
2016-04-14 09:30:00,17.14,17.14,16.51,16.53,458737
2016-04-15 09:30:00,16.64,16.76,16.55,16.57,99306
2016-04-18 09:30:00,16.58,16.82,16.56,16.82,165075
2016-04-19 09:30:00,16.97,17.07,16.93,17.07,106442
2016-04-20 09:30:00,16.81,16.83,16.65,16.71,369514
2016-04-21 09:30:00,16.87,16.97,16.61,16.62,241970
2016-04-22 09:30:00,16.53,16.74,16.53,16.73,182820
2016-04-25 09:30:00,16.59,16.68,16.56,16.59,62317
2016-04-26 09:30:00,16.66,16.77,16.62,16.74,124098
2016-04-27 09:30:00,16.6,16.61,16.32,16.48,399913
2016-04-28 09:30:00,16.62,16.65,16.39,16.43,162570
2016-04-29 09:30:00,16.3,16.32,15.94,15.95,173094
2016-05-02 09:30:00,16.14,16.14,15.74,15.86,232219
2016-05-03 09:30:00,15.93,15.95,15.81,15.95,397417
2016-05-04 09:30:00,16.01,16.14,16.01,16.11,106654
2016-05-05 09:30:00,16.02,16.09,15.85,16.03,74377
2016-05-06 09:30:00,15.83,15.88,15.61,15.66,162029
2016-05-09 09:30:00,15.86,16.13,15.8,15.98,113420
2016-05-10 09:30:00,15.93,16.01,15.82,15.93,123504
2016-05-11 09:30:00,16.0,16.11,15.94,15.97,69740
2016-05-12 09:30:00,16.04,16.19,16.03,16.08,162365
2016-05-13 09:30:00,15.84,16.05,15.81,15.92,107856
2016-05-16 09:30:00,15.76,15.97,15.76,15.8,92843
2016-05-17 09:30:00,16.0,16.3,15.88,16.29,179701
2016-05-18 09:30:00,16.07,16.26,16.04,16.19,126788
2016-05-19 09:30:00,15.95,16.16,15.86,15.92,144605
2016-05-20 09:30:00,16.17,16.36,16.07,16.31,127734
2016-05-23 09:30:00,16.46,16.64,16.35,16.5,122986
2016-05-24 09:30:00,16.8,16.93,16.78,16.87,170851
2016-05-25 09:30:00,17.1,17.42,17.07,17.25,181733
2016-05-26 09:30:00,17.21,17.27,16.83,17.06,1484689
2016-05-27 09:30:00,17.48,17.74,17.45,17.69,252231
2016-05-31 09:30:00,17.78,17.9,17.73,17.82,146518
2016-06-01 09:30:00,17.73,17.83,17.66,17.76,106174
