open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,68.38,68.39,68.01,68.18,50981
2016-01-05 09:30:00,68.16,69.0,68.05,69.0,18111
2016-01-06 09:30:00,68.47,69.4,68.38,68.9,72417
2016-01-07 09:30:00,68.17,68.62,67.65,68.52,31089
2016-01-08 09:30:00,68.6,68.75,68.49,68.7,25562
2016-01-11 09:30:00,68.49,68.49,68.11,68.2,51095
2016-01-12 09:30:00,68.65,68.83,68.48,68.51,65925
2016-01-13 09:30:00,69.47,69.47,68.82,68.92,29499
2016-01-14 09:30:00,67.6,67.78,67.27,67.59,57770
2016-01-15 09:30:00,67.33,69.32,67.03,67.28,64993
2016-01-19 09:30:00,67.09,67.67,66.37,67.24,58790
2016-01-20 09:30:00,66.47,67.22,66.23,66.23,46430
2016-01-21 09:30:00,67.01,68.54,66.69,66.79,64398
2016-01-22 09:30:00,68.99,70.09,68.53,69.33,51557
2016-01-25 09:30:00,69.32,69.39,69.01,69.21,17520
2016-01-26 09:30:00,68.99,69.16,67.68,68.98,22181
2016-01-27 09:30:00,69.31,69.54,66.76,69.03,25208
2016-01-28 09:30:00,70.15,70.28,69.56,69.85,26898
2016-01-29 09:30:00,69.94,70.55,69.78,70.48,26523
2016-02-01 09:30:00,72.3,72.54,71.97,72.38,70781
2016-02-02 09:30:00,71.99,72.14,71.68,72.12,28882
2016-02-03 09:30:00,71.91,73.78,71.91,72.33,95179
2016-02-04 09:30:00,70.71,70.76,67.71,70.52,49510
2016-02-05 09:30:00,70.99,71.11,70.35,70.35,27908
2016-02-08 09:30:00,69.41,69.59,68.18,68.75,76937
2016-02-09 09:30:00,67.3,68.64,66.76,68.29,39760
2016-02-10 09:30:00,68.58,69.28,68.27,69.07,27881
2016-02-11 09:30:00,67.7,68.32,67.65,68.14,51557
2016-02-12 09:30:00,68.98,69.6,68.58,69.47,34931
2016-02-16 09:30:00,71.69,72.08,71.69,71.75,85275
2016-02-17 09:30:00,72.3,72.72,71.94,71.96,31819
2016-02-18 09:30:00,71.61,72.01,71.25,72.01,64111
2016-02-19 09:30:00,73.0,73.32,72.8,73.25,48138
2016-02-22 09:30:00,74.49,75.13,74.43,75.01,49217
2016-02-23 09:30:00,74.89,75.36,74.49,74.62,72492
2016-02-24 09:30:00,74.04,74.33,73.42,73.44,54254
2016-02-25 09:30:00,74.76,74.88,74.49,74.63,17909
2016-02-26 09:30:00,75.44,75.69,75.2,75.26,20280
2016-02-29 09:30:00,74.28,74.8,74.06,74.09,32226
2016-03-01 09:30:00,73.8,73.92,73.61,73.71,31445
2016-03-02 09:30:00,73.97,73.98,73.14,73.52,34932
2016-03-03 09:30:00,73.17,73.51,72.93,73.07,22474
2016-03-04 09:30:00,73.31,73.57,72.35,72.67,35944
2016-03-07 09:30:00,73.05,73.39,72.69,72.97,19168
2016-03-08 09:30:00,72.73,73.02,72.3,72.87,44667
2016-03-09 09:30:00,72.62,72.63,72.3,72.41,71226
2016-03-10 09:30:00,72.52,73.36,72.52,73.24,31394
2016-03-11 09:30:00,72.47,73.33,72.29,73.33,28312
2016-03-14 09:30:00,72.3,72.71,72.04,72.31,52592
2016-03-15 09:30:00,72.23,72.9,72.23,72.9,15407
2016-03-16 09:30:00,72.31,72.64,72.21,72.51,28900
2016-03-17 09:30:00,73.1,73.39,73.1,73.27,14352
2016-03-18 09:30:00,73.67,73.95,73.08,73.4,240010
2016-03-21 09:30:00,73.85,74.21,73.51,74.14,36999
2016-03-22 09:30:00,73.73,73.8,73.51,73.7,15537
2016-03-23 09:30:00,74.08,74.26,73.74,73.94,11693
2016-03-24 09:30:00,73.76,74.23,73.61,74.1,15716
2016-03-28 09:30:00,74.04,74.37,74.04,74.31,49529
2016-03-29 09:30:00,73.83,74.71,73.76,74.34,20646
2016-03-30 09:30:00,75.58,76.13,75.58,75.98,52576
2016-03-31 09:30:00,76.55,76.94,75.92,76.44,308879
2016-04-01 09:30:00,75.22,75.78,75.14,75.69,45419
2016-04-04 09:30:00,75.99,76.1,75.49,75.61,22520
2016-04-05 09:30:00,74.58,74.98,74.58,74.94,14190
2016-04-06 09:30:00,74.43,74.79,74.41,74.71,24697
2016-04-07 09:30:00,74.92,74.99,74.57,74.83,10254
2016-04-08 09:30:00,75.15,75.47,74.84,74.86,24723
2016-04-11 09:30:00,75.11,75.57,74.54,74.58,26567
2016-04-12 09:30:00,74.06,74.06,73.04,73.16,38916
2016-04-13 09:30:00,73.86,74.1,73.49,73.51,19799
2016-04-14 09:30:00,73.6,73.94,73.08,73.15,12534
2016-04-15 09:30:00,73.55,73.57,73.3,73.34,31256
2016-04-18 09:30:00,73.16,73.45,73.16,73.32,30066
2016-04-19 09:30:00,74.27,74.33,73.51,74.12,30501
2016-04-20 09:30:00,74.25,74.76,74.07,74.35,19697
2016-04-21 09:30:00,74.27,74.27,73.85,73.91,30139
2016-04-22 09:30:00,73.28,73.67,73.2,73.29,24379
2016-04-25 09:30:00,73.04,73.13,72.33,73.1,12225
2016-04-26 09:30:00,73.15,73.78,72.64,73.73,34585
2016-04-27 09:30:00,73.32,73.97,72.61,73.67,30756
2016-04-28 09:30:00,73.26,73.67,72.98,73.41,15279
2016-04-29 09:30:00,73.1,73.11,72.33,72.72,17513
2016-05-02 09:30:00,72.39,73.03,72.39,72.72,24717
2016-05-03 09:30:00,72.85,73.6,72.06,73.59,28624
