open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,51.63,51.69,51.41,51.45,164523
2016-01-05 09:30:00,51.98,52.42,51.76,51.84,242999
2016-01-06 09:30:00,51.4,51.64,51.36,51.49,150473
2016-01-07 09:30:00,51.22,51.31,51.0,51.2,190994
2016-01-08 09:30:00,51.45,51.83,50.76,51.75,283712
2016-01-11 09:30:00,51.55,51.87,51.55,51.72,60302
2016-01-12 09:30:00,51.75,52.03,51.74,51.86,96774
2016-01-13 09:30:00,51.57,51.68,51.39,51.62,91210
2016-01-14 09:30:00,51.2,51.62,51.17,51.26,134140
2016-01-15 09:30:00,50.71,51.25,50.71,50.85,339068
2016-01-19 09:30:00,51.22,51.57,51.2,51.29,148032
2016-01-20 09:30:00,51.04,51.2,50.74,50.81,135542
2016-01-21 09:30:00,50.57,50.87,50.26,50.26,85231
2016-01-22 09:30:00,50.96,51.09,50.69,50.92,138659
2016-01-25 09:30:00,51.35,51.67,51.32,51.49,77677
2016-01-26 09:30:00,50.73,51.17,50.56,51.04,222160
2016-01-27 09:30:00,51.51,51.88,51.31,51.75,147140
2016-01-28 09:30:00,52.06,52.22,51.75,52.19,91925
2016-01-29 09:30:00,52.72,52.75,52.47,52.5,179088
2016-02-01 09:30:00,52.88,52.89,52.68,52.75,177629
2016-02-02 09:30:00,52.68,52.83,52.51,52.69,71875
2016-02-03 09:30:00,52.26,52.68,52.26,52.5,85866
2016-02-04 09:30:00,51.94,52.05,51.54,51.82,113777
2016-02-05 09:30:00,52.04,52.08,51.72,51.95,119170
2016-02-08 09:30:00,51.41,51.89,51.11,51.46,179900
2016-02-09 09:30:00,50.94,51.21,50.74,50.8,193315
2016-02-10 09:30:00,51.77,52.29,51.59,52.13,173365
2016-02-11 09:30:00,52.29,53.37,52.09,52.7,1026862
2016-02-12 09:30:00,53.38,54.08,53.15,54.0,230174
2016-02-16 09:30:00,53.61,54.02,53.45,53.62,705288
2016-02-17 09:30:00,54.15,54.74,54.1,54.56,314945
2016-02-18 09:30:00,54.69,54.71,54.36,54.38,222170
2016-02-19 09:30:00,54.48,54.64,54.08,54.63,283896
2016-02-22 09:30:00,54.22,54.4,53.79,53.86,710020
2016-02-23 09:30:00,53.04,53.53,53.03,53.46,269217
2016-02-24 09:30:00,53.09,53.55,53.09,53.4,216034
2016-02-25 09:30:00,53.47,53.87,53.4,53.78,190004
2016-02-26 09:30:00,54.15,54.39,53.96,54.17,258599
2016-02-29 09:30:00,53.18,53.48,53.05,53.43,104611
2016-03-01 09:30:00,54.14,54.22,53.85,54.0,158925
2016-03-02 09:30:00,53.59,53.73,53.15,53.21,177146
