open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,46.58,47.52,46.56,47.35,548522
2016-01-05 09:30:00,47.46,47.86,47.22,47.64,222245
2016-01-06 09:30:00,47.11,47.41,47.0,47.27,441654
2016-01-07 09:30:00,46.99,47.63,46.88,47.18,349405
2016-01-08 09:30:00,47.1,47.29,46.58,47.03,496068
2016-01-11 09:30:00,46.56,46.75,46.46,46.55,185395
2016-01-12 09:30:00,47.49,47.86,47.07,47.51,347470
2016-01-13 09:30:00,47.76,47.92,47.55,47.62,291933
2016-01-14 09:30:00,46.41,46.45,46.01,46.07,380613
2016-01-15 09:30:00,44.96,45.62,44.87,45.54,1410517
2016-01-19 09:30:00,45.68,45.81,45.54,45.65,344163
2016-01-20 09:30:00,45.24,45.81,45.2,45.65,307213
2016-01-21 09:30:00,46.98,47.23,46.54,46.99,787991
2016-01-22 09:30:00,48.02,48.14,47.31,48.02,320579
2016-01-25 09:30:00,48.09,48.24,47.85,48.23,334582
2016-01-26 09:30:00,48.0,48.93,47.87,48.89,489914
2016-01-27 09:30:00,49.51,49.66,49.26,49.61,356733
2016-01-28 09:30:00,49.77,50.24,49.71,50.14,321645
2016-01-29 09:30:00,50.18,50.19,49.85,50.1,356698
2016-02-01 09:30:00,50.48,50.5,49.52,49.62,543450
2016-02-02 09:30:00,49.57,50.11,49.45,49.62,622295
2016-02-03 09:30:00,49.83,49.83,49.19,49.37,507428
2016-02-04 09:30:00,48.96,49.07,47.89,47.9,543724
2016-02-05 09:30:00,48.47,48.65,48.12,48.2,913384
2016-02-08 09:30:00,47.11,47.11,46.28,46.42,651314
2016-02-09 09:30:00,46.07,46.5,45.92,46.07,399615
2016-02-10 09:30:00,47.03,47.27,46.79,47.26,278550
2016-02-11 09:30:00,46.28,46.56,46.1,46.21,243039
2016-02-12 09:30:00,47.11,47.27,46.34,47.06,336027
2016-02-16 09:30:00,47.57,47.67,47.29,47.56,268702
2016-02-17 09:30:00,47.63,47.79,47.31,47.57,295853
2016-02-18 09:30:00,48.34,48.47,47.99,48.03,260974
2016-02-19 09:30:00,47.57,48.0,47.52,47.92,667317
2016-02-22 09:30:00,48.49,48.54,47.97,48.08,259426
2016-02-23 09:30:00,47.7,47.95,47.49,47.7,270489
2016-02-24 09:30:00,47.2,47.58,46.88,47.06,396464
2016-02-25 09:30:00,47.9,48.57,47.85,48.29,337826
2016-02-26 09:30:00,51.42,51.48,50.07,50.1,2576946
2016-02-29 09:30:00,50.43,50.75,50.41,50.57,579651
2016-03-01 09:30:00,50.67,50.76,50.49,50.72,465968
2016-03-02 09:30:00,50.64,50.76,50.15,50.18,289570
2016-03-03 09:30:00,50.44,50.6,50.05,50.1,262632
2016-03-04 09:30:00,50.84,50.84,49.76,50.09,373945
2016-03-07 09:30:00,50.25,50.5,49.82,50.02,245370
2016-03-08 09:30:00,49.6,49.91,49.6,49.74,250756
2016-03-09 09:30:00,50.03,50.24,49.86,50.17,184114
2016-03-10 09:30:00,50.23,50.34,50.01,50.15,275840
2016-03-11 09:30:00,50.36,50.43,49.92,50.13,309784
2016-03-14 09:30:00,50.16,50.29,49.74,49.78,181601
2016-03-15 09:30:00,50.54,50.63,50.13,50.26,285479
2016-03-16 09:30:00,51.26,51.27,50.58,50.87,672606
2016-03-17 09:30:00,50.99,51.27,50.61,50.85,246203
2016-03-18 09:30:00,51.52,51.53,50.53,50.63,3424974
2016-03-21 09:30:00,50.59,50.94,50.07,50.19,275093
2016-03-22 09:30:00,50.6,50.63,50.11,50.19,364949
2016-03-23 09:30:00,50.33,50.35,50.09,50.31,202009
2016-03-24 09:30:00,50.46,50.79,50.38,50.44,358320
2016-03-28 09:30:00,50.36,50.57,49.99,50.42,345642
2016-03-29 09:30:00,50.99,51.12,50.63,50.95,298663
2016-03-30 09:30:00,51.87,51.89,51.45,51.77,263798
2016-03-31 09:30:00,51.89,51.89,51.69,51.79,298216
2016-04-01 09:30:00,51.59,51.76,51.35,51.57,352522
2016-04-04 09:30:00,51.91,51.99,51.6,51.76,515635
2016-04-05 09:30:00,51.58,51.83,51.4,51.4,265722
2016-04-06 09:30:00,51.55,51.55,50.94,51.11,203674
2016-04-07 09:30:00,51.28,51.46,50.63,50.94,653528
2016-04-08 09:30:00,51.25,51.49,50.97,51.47,217052
2016-04-11 09:30:00,51.75,51.93,51.58,51.69,463867
2016-04-12 09:30:00,51.27,51.38,51.09,51.26,292751
2016-04-13 09:30:00,51.72,51.75,51.27,51.34,185856
2016-04-14 09:30:00,50.88,51.11,50.79,51.05,209744
2016-04-15 09:30:00,50.98,51.03,50.7,50.92,786512
2016-04-18 09:30:00,51.22,51.3,50.79,50.95,202574
2016-04-19 09:30:00,51.49,51.84,51.44,51.78,361672
2016-04-20 09:30:00,51.45,51.72,51.17,51.22,186764
2016-04-21 09:30:00,51.13,51.22,50.38,50.38,314686
2016-04-22 09:30:00,50.42,51.21,50.42,51.15,333830
