open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,16.27,16.28,16.16,16.19,238564
2016-01-05 09:30:00,16.08,16.2,16.02,16.14,244026
2016-01-06 09:30:00,16.37,16.54,16.34,16.51,162094
2016-01-07 09:30:00,16.07,16.22,16.01,16.21,320586
2016-01-08 09:30:00,16.04,16.1,16.0,16.06,462274
2016-01-11 09:30:00,15.95,15.95,15.71,15.76,209440
2016-01-12 09:30:00,16.1,16.17,15.9,15.92,403989
2016-01-13 09:30:00,15.89,15.93,15.82,15.92,168576
2016-01-14 09:30:00,15.78,15.82,15.65,15.7,401899
2016-01-15 09:30:00,15.39,15.65,15.39,15.49,396598
2016-01-19 09:30:00,16.0,16.08,15.91,16.03,222680
2016-01-20 09:30:00,15.74,15.84,15.63,15.64,343997
2016-01-21 09:30:00,15.9,16.01,15.76,15.82,425818
2016-01-22 09:30:00,16.4,16.68,16.33,16.57,673254
2016-01-25 09:30:00,16.52,16.7,16.34,16.7,209631
2016-01-26 09:30:00,16.3,16.51,16.3,16.39,198973
2016-01-27 09:30:00,16.43,16.57,16.42,16.49,251858
2016-01-28 09:30:00,16.59,16.63,16.46,16.61,147330
2016-01-29 09:30:00,16.59,16.65,16.47,16.57,213174
2016-02-01 09:30:00,16.78,16.99,16.63,16.98,244190
2016-02-02 09:30:00,16.88,17.0,16.84,16.87,432529
2016-02-03 09:30:00,17.39,17.46,17.05,17.13,588862
2016-02-04 09:30:00,17.18,17.28,17.12,17.26,218235
2016-02-05 09:30:00,17.29,17.29,17.13,17.16,177843
2016-02-08 09:30:00,17.14,17.21,16.75,16.75,419891
2016-02-09 09:30:00,16.58,16.72,16.52,16.64,229284
2016-02-10 09:30:00,16.88,17.0,16.8,16.96,179475
2016-02-11 09:30:00,16.39,16.44,16.2,16.31,332582
2016-02-12 09:30:00,16.52,16.58,16.41,16.43,317902
2016-02-16 09:30:00,16.66,16.66,16.32,16.33,335487
2016-02-17 09:30:00,16.68,16.7,16.54,16.66,248430
2016-02-18 09:30:00,16.62,16.65,16.49,16.53,121325
2016-02-19 09:30:00,16.65,16.65,16.5,16.63,351874
2016-02-22 09:30:00,16.88,16.97,16.84,16.86,189838
2016-02-23 09:30:00,16.76,16.9,16.76,16.84,298048
2016-02-24 09:30:00,16.65,16.7,16.54,16.54,159983
2016-02-25 09:30:00,16.65,16.79,16.65,16.78,277575
2016-02-26 09:30:00,16.88,16.88,16.74,16.74,355058
2016-02-29 09:30:00,16.59,16.62,16.55,16.57,180238
2016-03-01 09:30:00,16.8,16.87,16.72,16.82,171432
2016-03-02 09:30:00,16.95,17.03,16.93,16.94,263333
2016-03-03 09:30:00,17.05,17.12,17.0,17.01,134828
2016-03-04 09:30:00,17.16,17.18,17.02,17.03,202778
2016-03-07 09:30:00,17.0,17.06,16.85,17.01,198642
2016-03-08 09:30:00,16.9,17.06,16.9,17.02,247839
2016-03-09 09:30:00,17.02,17.06,16.94,17.06,236664
2016-03-10 09:30:00,17.04,17.13,16.98,17.12,607388
2016-03-11 09:30:00,17.16,17.23,17.03,17.13,378819
2016-03-14 09:30:00,17.21,17.29,17.2,17.21,134253
2016-03-15 09:30:00,17.2,17.28,17.19,17.24,86160
2016-03-16 09:30:00,17.36,17.41,17.29,17.36,156180
2016-03-17 09:30:00,17.67,17.67,17.54,17.65,212034
2016-03-18 09:30:00,18.02,18.02,17.8,17.82,1221099
2016-03-21 09:30:00,17.61,17.7,17.59,17.69,139325
2016-03-22 09:30:00,17.34,17.38,17.29,17.36,252133
2016-03-23 09:30:00,17.4,17.43,17.35,17.38,309161
2016-03-24 09:30:00,17.2,17.22,17.11,17.11,118621
2016-03-28 09:30:00,17.3,17.36,17.28,17.29,218078
2016-03-29 09:30:00,17.37,17.57,17.37,17.56,191174
2016-03-30 09:30:00,17.94,17.97,17.84,17.9,114342
2016-03-31 09:30:00,17.87,17.87,17.72,17.77,160691
2016-04-01 09:30:00,17.87,18.07,17.78,17.88,221908
2016-04-04 09:30:00,17.97,17.99,17.86,17.89,93349
2016-04-05 09:30:00,17.73,17.79,17.66,17.72,199959
2016-04-06 09:30:00,17.65,17.65,17.6,17.62,88746
2016-04-07 09:30:00,17.76,17.76,17.64,17.76,68270
2016-04-08 09:30:00,17.71,17.76,17.69,17.73,159689
2016-04-11 09:30:00,17.69,17.78,17.63,17.78,110196
2016-04-12 09:30:00,17.87,17.87,17.78,17.81,74159
2016-04-13 09:30:00,18.02,18.02,17.88,17.88,67603
2016-04-14 09:30:00,17.94,18.04,17.85,17.86,113467
2016-04-15 09:30:00,17.92,17.97,17.88,17.91,298127
2016-04-18 09:30:00,17.96,18.0,17.92,17.95,109039
2016-04-19 09:30:00,18.01,18.01,17.94,18.01,114411
2016-04-20 09:30:00,18.0,18.0,17.86,17.93,146723
2016-04-21 09:30:00,17.69,17.78,17.62,17.7,117089
2016-04-22 09:30:00,17.52,17.63,17.43,17.61,172388
2016-04-25 09:30:00,17.62,17.71,17.56,17.7,172746
2016-04-26 09:30:00,17.88,18.02,17.74,18.02,144822
2016-04-27 09:30:00,17.88,17.95,17.86,17.87,187673
2016-04-28 09:30:00,17.58,17.94,17.48,17.62,590974
2016-04-29 09:30:00,17.72,17.78,17.54,17.58,190401
2016-05-02 09:30:00,17.65,17.85,17.65,17.78,133168
2016-05-03 09:30:00,17.83,17.88,17.78,17.84,117414
2016-05-04 09:30:00,17.74,17.89,17.72,17.89,122910
2016-05-05 09:30:00,18.15,18.22,18.02,18.16,213009
2016-05-06 09:30:00,18.31,18.38,18.21,18.35,219466
2016-05-09 09:30:00,18.63,18.75,18.62,18.63,313319
2016-05-10 09:30:00,18.74,18.8,18.64,18.69,248007
2016-05-11 09:30:00,18.61,18.61,18.44,18.45,189289
2016-05-12 09:30:00,18.38,18.43,18.18,18.35,250040
2016-05-13 09:30:00,18.18,18.18,18.05,18.09,130123
2016-05-16 09:30:00,18.03,18.18,17.99,18.15,328336
2016-05-17 09:30:00,18.23,18.23,17.94,17.98,211097
2016-05-18 09:30:00,17.43,17.49,17.25,17.34,264319
2016-05-19 09:30:00,16.97,17.01,16.8,16.88,310569
2016-05-20 09:30:00,17.16,17.22,17.06,17.12,451246
2016-05-23 09:30:00,17.17,17.24,17.01,17.12,200168
2016-05-24 09:30:00,17.22,17.46,17.06,17.46,262322
2016-05-25 09:30:00,17.42,17.46,17.19,17.27,243334
2016-05-26 09:30:00,17.38,17.47,17.35,17.44,128191
2016-05-27 09:30:00,17.57,17.65,17.47,17.61,143873
2016-05-31 09:30:00,17.64,17.64,17.49,17.51,125902
2016-06-01 09:30:00,17.59,17.74,17.57,17.73,231946
2016-06-02 09:30:00,17.8,17.89,17.76,17.78,163225
2016-06-03 09:30:00,18.14,18.38,18.11,18.14,240128
2016-06-06 09:30:00,18.06,18.18,18.06,18.14,179456
2016-06-07 09:30:00,18.0,18.09,17.98,18.02,122116
2016-06-08 09:30:00,18.07,18.14,18.03,18.12,95518
2016-06-09 09:30:00,18.33,18.35,18.24,18.34,159458
2016-06-10 09:30:00,18.27,18.38,18.25,18.33,136010
2016-06-13 09:30:00,18.23,18.59,18.23,18.5,321691
2016-06-14 09:30:00,18.32,18.36,18.26,18.28,187231
2016-06-15 09:30:00,18.32,18.47,18.25,18.43,200833
2016-06-16 09:30:00,18.36,18.41,18.25,18.28,137981
2016-06-17 09:30:00,18.42,18.43,18.3,18.34,780279
2016-06-20 09:30:00,18.55,18.63,18.5,18.53,205175
2016-06-21 09:30:00,18.47,18.56,18.42,18.55,154074
2016-06-22 09:30:00,18.6,18.63,18.51,18.56,121832
2016-06-23 09:30:00,18.69,18.79,18.68,18.68,226446
2016-06-24 09:30:00,18.15,18.48,18.13,18.44,319806
2016-06-27 09:30:00,18.5,18.6,18.46,18.58,362195
2016-06-28 09:30:00,18.95,19.04,18.79,19.04,410530
2016-06-29 09:30:00,19.27,19.41,19.27,19.39,236320
2016-06-30 09:30:00,19.39,19.39,19.26,19.31,218106
2016-07-01 09:30:00,19.67,19.83,19.67,19.8,377255
2016-07-05 09:30:00,19.76,19.93,19.76,19.86,186351
2016-07-06 09:30:00,19.99,20.11,19.91,19.92,290787
2016-07-07 09:30:00,19.85,19.87,19.63,19.63,239553
2016-07-08 09:30:00,19.84,19.89,19.73,19.77,218586
2016-07-11 09:30:00,19.99,19.99,19.78,19.9,504564
2016-07-12 09:30:00,20.08,20.1,19.73,19.75,316612
2016-07-13 09:30:00,19.95,19.98,19.87,19.87,172300
