open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,12.69,12.75,12.62,12.72,302070
2016-01-05 09:30:00,13.11,13.25,12.98,13.02,359216
2016-01-06 09:30:00,12.52,12.58,12.48,12.53,354934
2016-01-07 09:30:00,12.26,12.5,12.17,12.49,496821
2016-01-08 09:30:00,12.17,12.21,12.12,12.18,118178
2016-01-11 09:30:00,11.78,11.89,11.57,11.58,481292
2016-01-12 09:30:00,11.45,11.6,11.39,11.44,219034
2016-01-13 09:30:00,11.31,11.53,11.26,11.48,332579
2016-01-14 09:30:00,11.1,11.15,10.56,10.58,840683
2016-01-15 09:30:00,10.99,11.3,10.99,11.07,824035
2016-01-19 09:30:00,11.2,11.34,11.17,11.3,351202
2016-01-20 09:30:00,10.7,10.73,10.53,10.57,924015
2016-01-21 09:30:00,11.3,11.69,11.27,11.58,280871
2016-01-22 09:30:00,12.27,12.35,12.04,12.28,462221
2016-01-25 09:30:00,11.92,11.97,11.7,11.77,86764
2016-01-26 09:30:00,11.16,11.29,11.07,11.14,165423
2016-01-27 09:30:00,11.31,11.37,11.21,11.23,144317
2016-01-28 09:30:00,11.21,11.31,11.12,11.2,160235
2016-01-29 09:30:00,11.26,11.49,11.22,11.49,191040
2016-02-01 09:30:00,11.19,11.24,11.11,11.23,462034
2016-02-02 09:30:00,11.36,11.36,11.21,11.3,165598
2016-02-03 09:30:00,11.2,11.21,10.99,10.99,313480
2016-02-04 09:30:00,10.95,11.33,10.92,11.32,343829
2016-02-05 09:30:00,11.35,11.66,11.34,11.52,528288
2016-02-08 09:30:00,11.29,11.31,10.92,10.96,347662
2016-02-09 09:30:00,10.45,10.64,10.36,10.58,385482
2016-02-10 09:30:00,10.6,10.62,10.21,10.22,692649
2016-02-11 09:30:00,9.373,9.705,9.248,9.456,1105195
2016-02-12 09:30:00,9.315,9.456,9.263,9.273,538008
2016-02-16 09:30:00,10.05,10.28,9.97,10.01,506590
2016-02-17 09:30:00,10.08,10.39,10.08,10.38,594646
2016-02-18 09:30:00,10.62,10.62,10.37,10.52,350163
2016-02-19 09:30:00,10.67,10.74,10.6,10.61,249147
2016-02-22 09:30:00,10.9,11.09,10.84,11.01,215387
2016-02-23 09:30:00,10.94,11.08,10.93,11.04,173502
2016-02-24 09:30:00,10.67,10.72,10.5,10.51,317347
2016-02-25 09:30:00,10.58,10.67,10.43,10.51,170501
2016-02-26 09:30:00,10.41,10.43,10.25,10.25,554191
2016-02-29 09:30:00,10.41,10.55,10.41,10.5,273687
2016-03-01 09:30:00,10.88,10.9,10.77,10.77,245549
2016-03-02 09:30:00,10.88,11.0,10.83,10.9,198027
2016-03-03 09:30:00,10.67,10.82,10.67,10.75,315603
2016-03-04 09:30:00,10.89,11.04,10.89,11.01,323132
2016-03-07 09:30:00,11.22,11.45,11.21,11.38,253419
2016-03-08 09:30:00,11.67,11.67,11.37,11.38,264860
2016-03-09 09:30:00,11.37,11.5,11.29,11.37,232592
2016-03-10 09:30:00,11.39,11.46,11.31,11.42,254295
2016-03-11 09:30:00,11.66,11.86,11.65,11.82,365418
2016-03-14 09:30:00,11.87,11.99,11.79,11.81,774793
2016-03-15 09:30:00,11.8,11.81,11.68,11.74,293589
2016-03-16 09:30:00,11.65,11.95,11.65,11.95,156372
2016-03-17 09:30:00,12.06,12.3,11.97,12.29,186331
2016-03-18 09:30:00,12.65,12.7,12.55,12.55,398660
2016-03-21 09:30:00,12.4,12.58,12.4,12.51,129945
2016-03-22 09:30:00,12.49,12.5,12.26,12.49,151140
2016-03-23 09:30:00,12.45,12.53,12.41,12.42,167809
2016-03-24 09:30:00,11.8,11.8,11.42,11.49,273478
2016-03-28 09:30:00,11.67,11.69,11.55,11.61,120352
2016-03-29 09:30:00,11.83,11.84,11.55,11.56,150556
2016-03-30 09:30:00,12.19,12.38,12.12,12.26,168822
2016-03-31 09:30:00,12.11,12.27,12.09,12.24,121350
2016-04-01 09:30:00,12.18,12.24,12.02,12.05,177264
2016-04-04 09:30:00,11.96,12.01,11.82,11.93,170173
2016-04-05 09:30:00,11.64,11.67,11.35,11.47,533694
2016-04-06 09:30:00,11.25,11.32,11.09,11.11,252064
2016-04-07 09:30:00,11.16,11.27,11.04,11.27,176145
2016-04-08 09:30:00,11.32,11.47,11.21,11.23,194079
2016-04-11 09:30:00,10.98,11.16,10.96,11.1,251180
2016-04-12 09:30:00,11.1,11.16,11.06,11.07,173161
2016-04-13 09:30:00,11.22,11.34,11.15,11.25,468208
2016-04-14 09:30:00,11.52,11.56,11.3,11.31,450462
2016-04-15 09:30:00,11.47,11.67,11.47,11.64,298352
2016-04-18 09:30:00,11.46,11.74,11.42,11.71,288261
2016-04-19 09:30:00,11.76,12.11,11.71,11.97,377446
2016-04-20 09:30:00,12.09,12.37,12.07,12.33,282412
2016-04-21 09:30:00,12.44,12.5,12.3,12.46,306820
2016-04-22 09:30:00,12.5,12.67,12.44,12.67,101903
2016-04-25 09:30:00,12.03,12.45,11.93,12.3,785033
2016-04-26 09:30:00,12.19,12.56,12.18,12.45,294993
