open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,90.68,90.74,89.71,90.16,193118
2016-01-05 09:30:00,91.46,93.17,91.21,92.64,503615
2016-01-06 09:30:00,92.07,92.54,91.96,92.34,257312
2016-01-07 09:30:00,91.41,92.03,91.21,92.03,203720
2016-01-08 09:30:00,91.61,91.82,91.17,91.43,122470
2016-01-11 09:30:00,90.41,91.06,90.4,90.51,126499
2016-01-12 09:30:00,91.59,91.59,90.76,90.86,120188
2016-01-13 09:30:00,91.37,91.37,90.81,91.21,185219
2016-01-14 09:30:00,90.69,91.2,90.42,90.76,120282
2016-01-15 09:30:00,90.18,90.95,90.18,90.23,330432
2016-01-19 09:30:00,90.85,91.73,90.82,91.4,232764
2016-01-20 09:30:00,89.38,89.94,89.31,89.51,173359
2016-01-21 09:30:00,89.3,89.53,88.59,88.63,173174
2016-01-22 09:30:00,90.28,91.15,89.73,91.12,180445
2016-01-25 09:30:00,88.46,89.9,87.97,88.35,986908
2016-01-26 09:30:00,88.42,90.2,88.27,89.89,238454
2016-01-27 09:30:00,89.9,90.21,89.31,90.15,95912
2016-01-28 09:30:00,89.68,90.07,89.09,89.91,109022
2016-01-29 09:30:00,91.44,91.78,90.64,91.54,222235
2016-02-01 09:30:00,91.74,92.98,91.74,92.62,315550
2016-02-02 09:30:00,92.51,93.08,92.14,92.2,196453
2016-02-03 09:30:00,93.03,93.34,92.06,93.09,215527
2016-02-04 09:30:00,93.32,93.8,93.04,93.51,144849
2016-02-05 09:30:00,92.72,93.13,92.34,92.8,113333
2016-02-08 09:30:00,92.08,92.86,91.76,91.76,244837
2016-02-09 09:30:00,92.42,93.21,91.93,92.23,234898
2016-02-10 09:30:00,94.42,95.38,93.94,94.61,202149
2016-02-11 09:30:00,92.15,92.39,90.75,91.39,449019
2016-02-12 09:30:00,91.57,92.65,90.98,92.36,143121
2016-02-16 09:30:00,93.57,93.58,92.32,92.32,189888
2016-02-17 09:30:00,92.79,93.23,92.73,93.07,112122
2016-02-18 09:30:00,93.88,94.34,93.35,93.38,102364
2016-02-19 09:30:00,93.4,93.55,92.59,93.51,193820
2016-02-22 09:30:00,94.92,95.19,94.27,95.12,154997
2016-02-23 09:30:00,94.55,94.89,94.28,94.5,109765
2016-02-24 09:30:00,94.01,94.47,93.53,93.54,138071
2016-02-25 09:30:00,95.43,96.1,94.98,95.7,159772
2016-02-26 09:30:00,96.01,96.31,95.73,95.81,127977
2016-02-29 09:30:00,94.49,94.75,94.11,94.63,108462
2016-03-01 09:30:00,94.34,94.78,93.88,94.68,165776
2016-03-02 09:30:00,94.79,94.79,93.39,93.68,179916
2016-03-03 09:30:00,95.08,95.27,94.64,94.75,79791
2016-03-04 09:30:00,95.46,95.59,94.92,95.43,67908
2016-03-07 09:30:00,95.48,96.14,95.34,95.45,98330
2016-03-08 09:30:00,95.1,95.95,94.87,95.88,172560
2016-03-09 09:30:00,96.09,96.82,95.97,96.55,142787
2016-03-10 09:30:00,96.23,96.51,95.67,96.42,103741
2016-03-11 09:30:00,95.91,96.14,95.65,95.89,132120
2016-03-14 09:30:00,96.61,97.03,96.34,96.85,119529
2016-03-15 09:30:00,97.35,97.39,96.83,97.31,191525
2016-03-16 09:30:00,97.39,97.64,96.74,97.04,128141
