open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,9.089,9.376,9.059,9.331,4532071
2016-01-05 09:30:00,9.376,9.465,9.236,9.309,3812992
2016-01-06 09:30:00,9.26,9.334,9.138,9.327,3127662
2016-01-07 09:30:00,8.833,9.065,8.827,8.894,3173551
2016-01-08 09:30:00,8.863,8.937,8.741,8.787,3240075
2016-01-11 09:30:00,9.077,9.114,8.845,8.921,2783770
2016-01-12 09:30:00,8.741,8.924,8.594,8.601,3326314
2016-01-13 09:30:00,8.436,8.607,8.234,8.338,4045092
2016-01-14 09:30:00,7.978,8.185,7.91,7.91,4185159
2016-01-15 09:30:00,7.978,8.277,7.953,8.087,5054768
2016-01-19 09:30:00,8.057,8.112,7.8,7.926,3692061
2016-01-20 09:30:00,7.361,7.379,7.158,7.179,6440291
2016-01-21 09:30:00,7.849,7.984,7.617,7.828,8086857
2016-01-22 09:30:00,9.114,9.456,8.949,9.426,11083677
2016-01-25 09:30:00,9.26,9.456,9.053,9.321,4437488
2016-01-26 09:30:00,8.796,8.943,8.613,8.619,3385845
2016-01-27 09:30:00,8.973,9.077,8.802,9.016,6551274
2016-01-28 09:30:00,9.342,9.669,9.293,9.644,8681827
2016-01-29 09:30:00,9.589,9.835,9.533,9.807,4596820
2016-02-01 09:30:00,9.835,9.884,9.311,9.425,5589900
2016-02-02 09:30:00,9.108,9.157,8.93,8.946,4048167
2016-02-03 09:30:00,9.151,9.268,9.09,9.194,2788347
2016-02-04 09:30:00,9.669,9.823,9.55,9.642,3483575
2016-02-05 09:30:00,9.508,9.57,9.262,9.496,2234469
2016-02-08 09:30:00,9.201,9.311,8.726,8.779,7654114
2016-02-09 09:30:00,8.991,9.281,8.979,9.168,2515578
2016-02-10 09:30:00,8.96,9.071,8.64,9.022,3328827
2016-02-11 09:30:00,8.659,8.893,8.597,8.862,2893173
2016-02-12 09:30:00,8.769,8.997,8.763,8.853,2776160
2016-02-16 09:30:00,9.533,9.656,9.459,9.564,5102346
2016-02-17 09:30:00,10.76,10.85,10.33,10.48,14958030
2016-02-18 09:30:00,10.95,10.99,10.53,10.67,6868307
2016-02-19 09:30:00,10.84,10.84,10.51,10.57,6809839
2016-02-22 09:30:00,11.04,11.17,10.92,11.07,4382326
2016-02-23 09:30:00,10.96,11.02,10.78,10.88,3014147
2016-02-24 09:30:00,10.44,10.53,10.3,10.39,4203674
2016-02-25 09:30:00,10.75,11.03,10.71,10.79,2697867
2016-02-26 09:30:00,11.16,11.21,11.04,11.11,3512305
2016-02-29 09:30:00,11.07,11.11,10.97,11.07,2575125
2016-03-01 09:30:00,11.26,11.27,10.97,11.14,2390228
2016-03-02 09:30:00,11.12,11.19,10.99,11.13,2103672
2016-03-03 09:30:00,11.44,11.45,11.3,11.4,3192112
2016-03-04 09:30:00,11.75,11.81,11.58,11.66,2416713
2016-03-07 09:30:00,11.44,11.57,11.41,11.43,3593211
2016-03-08 09:30:00,11.47,11.51,11.23,11.23,3033310
2016-03-09 09:30:00,11.13,11.24,11.01,11.16,2405739
2016-03-10 09:30:00,11.15,11.15,10.88,10.95,3434533
2016-03-11 09:30:00,11.12,11.41,11.12,11.3,3281576
2016-03-14 09:30:00,11.32,11.41,11.26,11.3,2193147
2016-03-15 09:30:00,11.41,11.43,11.13,11.17,1585732
2016-03-16 09:30:00,11.22,11.47,11.21,11.45,2366744
2016-03-17 09:30:00,11.72,11.77,11.59,11.64,2176170
2016-03-18 09:30:00,11.84,11.84,11.67,11.73,5852655
2016-03-21 09:30:00,11.52,11.56,11.4,11.5,1756768
2016-03-22 09:30:00,11.21,11.37,11.21,11.37,2043323
2016-03-23 09:30:00,11.37,11.47,11.22,11.22,3516774
2016-03-24 09:30:00,10.69,10.74,10.47,10.73,2714244
2016-03-28 09:30:00,11.15,11.17,10.93,10.99,1439540
2016-03-29 09:30:00,10.8,10.84,10.64,10.7,2450720
2016-03-30 09:30:00,11.05,11.2,11.01,11.13,2593427
2016-03-31 09:30:00,10.93,11.07,10.9,11.04,2036197
2016-04-01 09:30:00,10.72,10.72,10.5,10.58,2864286
2016-04-04 09:30:00,10.67,10.81,10.56,10.78,2151796
2016-04-05 09:30:00,10.56,10.65,10.37,10.42,3002801
2016-04-06 09:30:00,10.59,10.63,10.54,10.59,1457188
2016-04-07 09:30:00,10.77,10.96,10.76,10.83,1774410
2016-04-08 09:30:00,11.04,11.09,10.94,11.07,2123342
2016-04-11 09:30:00,11.1,11.17,11.07,11.07,1794075
2016-04-12 09:30:00,11.02,11.2,10.95,11.17,2117245
2016-04-13 09:30:00,11.62,11.62,11.35,11.39,2349489
2016-04-14 09:30:00,11.55,11.55,11.37,11.39,1926641
2016-04-15 09:30:00,11.26,11.39,11.14,11.15,3763072
2016-04-18 09:30:00,10.85,11.15,10.78,11.14,2735566
2016-04-19 09:30:00,11.49,11.67,11.43,11.66,1522881
2016-04-20 09:30:00,11.71,11.9,11.68,11.84,2734047
2016-04-21 09:30:00,11.67,11.73,11.37,11.37,6063475
2016-04-22 09:30:00,11.25,11.34,11.17,11.26,2134660
2016-04-25 09:30:00,11.15,11.15,10.97,11.0,2490576
2016-04-26 09:30:00,10.92,10.98,10.82,10.86,1923978
2016-04-27 09:30:00,11.12,11.5,11.07,11.49,3429723
2016-04-28 09:30:00,11.23,11.24,10.9,11.04,3204145
2016-04-29 09:30:00,10.98,11.18,10.98,11.01,1573732
2016-05-02 09:30:00,11.0,11.01,10.81,10.85,1573963
2016-05-03 09:30:00,10.72,10.74,10.56,10.57,2470014
2016-05-04 09:30:00,10.7,10.83,10.66,10.77,1554530
2016-05-05 09:30:00,10.79,10.93,10.75,10.89,2441363
2016-05-06 09:30:00,10.54,10.75,10.52,10.68,1781589
2016-05-09 09:30:00,10.45,10.57,10.31,10.35,2434042
2016-05-10 09:30:00,10.6,10.79,10.59,10.67,1865723
2016-05-11 09:30:00,10.62,10.66,10.46,10.48,1224124
2016-05-12 09:30:00,10.7,10.75,10.55,10.57,2591743
2016-05-13 09:30:00,10.51,10.72,10.5,10.66,1669650
2016-05-16 09:30:00,10.75,10.84,10.67,10.69,2647609
2016-05-17 09:30:00,10.71,10.84,10.62,10.83,1712876
2016-05-18 09:30:00,10.95,10.99,10.86,10.88,1704865
2016-05-19 09:30:00,10.5,10.55,10.43,10.5,2194382
2016-05-20 09:30:00,10.8,10.95,10.74,10.77,2811301
2016-05-23 09:30:00,10.87,10.98,10.83,10.96,1738355
2016-05-24 09:30:00,10.87,10.89,10.62,10.66,2159542
2016-05-25 09:30:00,10.85,11.06,10.83,11.05,2028379
2016-05-26 09:30:00,11.18,11.21,11.01,11.03,1829814
2016-05-27 09:30:00,11.03,11.08,10.83,10.95,1918129
2016-05-31 09:30:00,11.07,11.24,11.07,11.19,1559475
2016-06-01 09:30:00,11.07,11.14,11.01,11.1,2144970
2016-06-02 09:30:00,11.05,11.12,11.0,11.03,1126808
2016-06-03 09:30:00,11.14,11.25,11.13,11.16,1164405
2016-06-06 09:30:00,11.25,11.41,11.25,11.4,1869395
2016-06-07 09:30:00,11.6,11.62,11.47,11.54,1716422
2016-06-08 09:30:00,11.54,11.54,11.42,11.45,1740310
2016-06-09 09:30:00,11.13,11.14,11.03,11.07,1912283
2016-06-10 09:30:00,11.07,11.11,10.92,11.05,1997906
2016-06-13 09:30:00,10.66,10.89,10.66,10.85,2075722
2016-06-14 09:30:00,10.71,10.9,10.67,10.83,1632672
2016-06-15 09:30:00,10.82,10.88,10.75,10.77,1282401
2016-06-16 09:30:00,10.8,10.84,10.69,10.7,1130875
