open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,31.13,31.25,31.04,31.13,1874508
2016-01-05 09:30:00,31.11,31.34,31.08,31.17,1556228
2016-01-06 09:30:00,31.03,31.19,30.91,31.14,1969364
2016-01-07 09:30:00,30.63,30.93,30.63,30.84,2138796
2016-01-08 09:30:00,30.63,30.87,30.45,30.87,1652062
2016-01-11 09:30:00,30.59,30.78,30.56,30.72,1243010
2016-01-12 09:30:00,31.12,31.22,30.94,30.97,2680911
2016-01-13 09:30:00,31.0,31.12,30.89,31.11,1808282
2016-01-14 09:30:00,30.88,30.98,30.72,30.84,1878074
2016-01-15 09:30:00,30.11,30.44,30.09,30.34,4318223
2016-01-19 09:30:00,30.72,30.97,30.66,30.69,2463468
2016-01-20 09:30:00,30.48,30.57,30.35,30.41,2162972
2016-01-21 09:30:00,30.48,30.51,30.24,30.3,1716679
2016-01-22 09:30:00,30.63,30.79,30.48,30.78,3208876
2016-01-25 09:30:00,31.06,31.06,30.83,30.91,1390024
2016-01-26 09:30:00,30.98,31.17,30.93,31.12,1846177
2016-01-27 09:30:00,31.02,31.05,30.84,30.96,1696539
2016-01-28 09:30:00,31.02,31.22,30.93,31.21,1891299
2016-01-29 09:30:00,31.52,31.61,31.39,31.48,1417513
2016-02-01 09:30:00,31.33,31.57,31.3,31.54,2477052
2016-02-02 09:30:00,31.4,31.47,31.3,31.32,1317665
2016-02-03 09:30:00,31.47,31.57,31.4,31.49,1958373
2016-02-04 09:30:00,31.27,31.46,31.22,31.37,1244328
2016-02-05 09:30:00,31.57,31.61,31.19,31.21,2324397
2016-02-08 09:30:00,31.01,31.22,31.0,31.05,1767204
2016-02-09 09:30:00,31.08,31.64,31.08,31.44,3288446
2016-02-10 09:30:00,31.86,31.91,31.48,31.52,2815989
2016-02-11 09:30:00,30.91,31.29,30.87,31.14,2195151
2016-02-12 09:30:00,31.41,31.69,31.3,31.67,2015546
2016-02-16 09:30:00,31.86,31.96,31.81,31.91,1924599
2016-02-17 09:30:00,31.93,31.98,31.83,31.97,1613385
2016-02-18 09:30:00,32.08,32.08,31.84,31.95,1527237
2016-02-19 09:30:00,32.05,32.13,31.83,31.99,3546561
2016-02-22 09:30:00,32.19,32.27,32.08,32.25,3429217
2016-02-23 09:30:00,32.16,32.31,32.14,32.31,1678338
2016-02-24 09:30:00,32.03,32.17,31.99,32.0,1512670
2016-02-25 09:30:00,32.33,32.38,32.28,32.34,1754818
2016-02-26 09:30:00,32.38,32.4,32.19,32.3,1826804
2016-02-29 09:30:00,31.74,31.78,31.56,31.76,1281493
2016-03-01 09:30:00,31.9,31.93,31.74,31.9,1235623
2016-03-02 09:30:00,31.97,32.07,31.93,32.06,1878389
2016-03-03 09:30:00,32.07,32.13,32.02,32.09,1624143
2016-03-04 09:30:00,32.2,32.29,32.12,32.14,1807886
2016-03-07 09:30:00,32.29,32.39,32.28,32.34,1641362
2016-03-08 09:30:00,32.3,32.33,32.22,32.31,1079189
2016-03-09 09:30:00,32.64,32.85,32.57,32.83,2602548
2016-03-10 09:30:00,32.96,33.18,32.96,33.17,4786382
2016-03-11 09:30:00,33.35,33.49,33.34,33.37,2810907
2016-03-14 09:30:00,33.38,33.64,33.38,33.63,2330247
2016-03-15 09:30:00,33.41,33.56,33.4,33.51,1494814
2016-03-16 09:30:00,33.38,33.47,33.18,33.19,1779861
2016-03-17 09:30:00,33.38,33.44,33.32,33.42,1550006
2016-03-18 09:30:00,33.97,33.99,33.72,33.78,11864596
2016-03-21 09:30:00,33.66,33.75,33.61,33.75,1404813
2016-03-22 09:30:00,33.75,33.89,33.69,33.81,1524122
2016-03-23 09:30:00,33.64,33.79,33.61,33.78,1006768
2016-03-24 09:30:00,33.69,33.74,33.61,33.65,1020386
2016-03-28 09:30:00,33.76,33.98,33.72,33.83,1389930
2016-03-29 09:30:00,34.0,34.05,33.95,34.02,2014148
2016-03-30 09:30:00,34.55,34.58,34.35,34.43,2244473
2016-03-31 09:30:00,34.5,34.74,34.5,34.67,2463486
2016-04-01 09:30:00,34.19,34.44,34.17,34.31,2459014
2016-04-04 09:30:00,34.71,34.78,34.62,34.64,1710387
2016-04-05 09:30:00,34.55,34.67,34.48,34.57,1699483
2016-04-06 09:30:00,34.51,34.58,34.43,34.45,919504
2016-04-07 09:30:00,34.52,34.52,34.3,34.31,1260515
2016-04-08 09:30:00,34.41,34.6,34.41,34.6,1558159
2016-04-11 09:30:00,34.75,34.93,34.69,34.82,2413833
2016-04-12 09:30:00,34.39,34.54,34.35,34.49,1285696
2016-04-13 09:30:00,34.66,34.67,34.4,34.4,1411370
2016-04-14 09:30:00,34.11,34.2,34.04,34.15,1508201
2016-04-15 09:30:00,33.96,34.08,33.85,34.04,3940362
2016-04-18 09:30:00,34.18,34.25,33.95,34.0,1558388
2016-04-19 09:30:00,34.32,34.41,34.2,34.3,1551839
2016-04-20 09:30:00,33.6,33.63,32.65,32.68,8009340
2016-04-21 09:30:00,32.8,32.81,31.83,31.85,9142331
2016-04-22 09:30:00,32.48,32.68,32.45,32.64,2546442
2016-04-25 09:30:00,32.98,33.01,32.89,32.98,1320455
2016-04-26 09:30:00,33.29,33.32,33.16,33.24,1395824
2016-04-27 09:30:00,33.08,33.24,33.01,33.05,963572
