open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.06,36.13,35.77,35.93,73446
2016-01-05 09:30:00,36.07,36.31,36.01,36.14,84099
2016-01-06 09:30:00,35.61,35.73,35.4,35.6,89429
2016-01-07 09:30:00,34.69,35.17,34.67,35.06,52386
2016-01-08 09:30:00,34.73,34.89,34.52,34.69,86922
2016-01-11 09:30:00,34.46,34.57,34.25,34.31,72044
2016-01-12 09:30:00,34.44,34.64,34.39,34.57,147804
2016-01-13 09:30:00,34.37,34.56,33.94,34.49,99700
2016-01-14 09:30:00,33.73,33.86,33.59,33.64,96084
2016-01-15 09:30:00,33.36,33.65,33.36,33.52,298830
2016-01-19 09:30:00,34.31,34.31,33.83,34.01,93510
2016-01-20 09:30:00,32.86,33.05,32.74,33.01,148338
2016-01-21 09:30:00,32.69,32.91,32.67,32.75,204560
2016-01-22 09:30:00,33.42,33.58,33.29,33.35,73029
2016-01-25 09:30:00,33.35,33.38,33.14,33.2,62185
2016-01-26 09:30:00,32.81,33.06,32.73,32.96,103782
2016-01-27 09:30:00,33.26,33.75,33.19,33.7,245204
2016-01-28 09:30:00,34.29,34.53,34.28,34.3,48178
2016-01-29 09:30:00,34.59,34.8,34.52,34.76,54231
2016-02-01 09:30:00,35.15,35.31,34.91,35.01,55741
2016-02-02 09:30:00,34.94,35.02,34.76,34.94,89819
2016-02-03 09:30:00,34.87,34.93,34.4,34.46,53024
2016-02-04 09:30:00,34.67,34.83,34.53,34.67,103723
2016-02-05 09:30:00,34.87,35.09,34.69,34.98,98082
2016-02-08 09:30:00,32.35,34.11,32.32,34.1,320774
2016-02-09 09:30:00,34.29,34.79,34.11,34.65,147188
2016-02-10 09:30:00,35.0,35.15,34.88,35.12,78851
2016-02-11 09:30:00,33.8,34.06,33.8,33.93,91602
2016-02-12 09:30:00,34.03,34.33,33.82,33.95,173119
2016-02-16 09:30:00,34.81,35.02,34.46,34.55,119256
2016-02-17 09:30:00,35.21,35.52,35.21,35.49,179055
2016-02-18 09:30:00,35.73,35.73,35.56,35.69,48692
2016-02-19 09:30:00,35.47,35.48,35.29,35.39,146266
2016-02-22 09:30:00,35.66,35.83,35.65,35.7,239312
2016-02-23 09:30:00,35.81,35.81,35.29,35.32,59106
2016-02-24 09:30:00,34.39,34.49,34.28,34.38,70050
2016-02-25 09:30:00,34.57,34.78,34.48,34.5,63166
2016-02-26 09:30:00,35.02,35.58,34.75,34.88,95532
2016-02-29 09:30:00,34.96,35.1,34.78,34.91,94977
2016-03-01 09:30:00,35.14,35.45,35.02,35.04,62955
2016-03-02 09:30:00,35.71,35.92,35.58,35.64,119305
2016-03-03 09:30:00,35.78,35.92,35.7,35.79,55962
2016-03-04 09:30:00,36.08,36.16,35.91,35.96,74182
2016-03-07 09:30:00,35.99,36.04,35.78,35.78,88842
2016-03-08 09:30:00,35.48,35.56,35.1,35.27,73597
2016-03-09 09:30:00,35.36,35.36,35.09,35.18,95106
2016-03-10 09:30:00,34.94,35.08,34.78,35.06,75932
2016-03-11 09:30:00,35.26,35.52,35.24,35.5,97825
2016-03-14 09:30:00,35.94,36.05,35.05,35.8,64810
2016-03-15 09:30:00,35.52,35.72,35.52,35.68,105619
2016-03-16 09:30:00,35.95,36.19,35.82,36.05,54918
2016-03-17 09:30:00,36.12,36.23,36.02,36.23,58884
2016-03-18 09:30:00,37.23,37.6,37.11,37.58,558360
2016-03-21 09:30:00,37.5,37.7,37.49,37.53,55169
2016-03-22 09:30:00,37.62,37.62,37.38,37.6,61191
2016-03-23 09:30:00,37.53,37.62,37.3,37.32,34137
2016-03-24 09:30:00,36.7,36.73,36.56,36.69,37972
2016-03-28 09:30:00,36.65,36.82,36.65,36.7,61828
2016-03-29 09:30:00,36.63,36.72,36.45,36.62,53617
2016-03-30 09:30:00,36.9,36.95,36.78,36.82,40069
2016-03-31 09:30:00,36.83,36.93,36.74,36.8,31350
2016-04-01 09:30:00,36.43,36.51,36.27,36.31,42205
2016-04-04 09:30:00,36.93,36.96,36.72,36.82,44380
2016-04-05 09:30:00,35.98,36.21,35.98,36.17,45261
2016-04-06 09:30:00,36.07,36.25,35.9,35.95,23190
2016-04-07 09:30:00,35.8,35.9,35.72,35.86,42677
2016-04-08 09:30:00,36.18,36.4,36.18,36.35,90648
2016-04-11 09:30:00,36.43,36.77,36.4,36.7,94622
2016-04-12 09:30:00,36.66,36.89,36.66,36.8,48535
2016-04-13 09:30:00,37.14,37.42,37.14,37.15,85686
2016-04-14 09:30:00,37.75,37.8,37.6,37.61,60928
