open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.64,34.73,33.99,34.16,60118
2016-01-05 09:30:00,33.99,34.63,33.94,34.5,39263
2016-01-06 09:30:00,34.02,34.39,33.99,34.27,35983
2016-01-07 09:30:00,33.44,33.69,33.3,33.45,34468
2016-01-08 09:30:00,33.51,33.6,33.33,33.49,28650
2016-01-11 09:30:00,33.1,33.27,32.99,33.15,39791
2016-01-12 09:30:00,33.53,33.69,33.43,33.58,28681
2016-01-13 09:30:00,34.87,35.02,34.45,34.8,22743
2016-01-14 09:30:00,33.84,34.01,33.71,33.79,14977
2016-01-15 09:30:00,34.14,34.6,34.09,34.51,43000
2016-01-19 09:30:00,34.76,34.84,34.15,34.17,47481
2016-01-20 09:30:00,34.7,34.76,33.89,33.89,72741
2016-01-21 09:30:00,34.48,34.58,34.09,34.2,33859
2016-01-22 09:30:00,34.12,34.39,33.92,34.36,38801
2016-01-25 09:30:00,34.25,34.44,34.0,34.19,18577
2016-01-26 09:30:00,32.18,32.41,30.91,30.98,407650
2016-01-27 09:30:00,30.61,31.0,30.26,30.78,117913
2016-01-28 09:30:00,29.15,29.15,28.26,28.36,137759
2016-01-29 09:30:00,28.63,29.14,28.24,29.14,44841
2016-02-01 09:30:00,28.78,29.21,28.72,29.15,49499
2016-02-02 09:30:00,28.27,28.49,28.13,28.17,73492
2016-02-03 09:30:00,28.28,28.43,27.76,27.84,31373
2016-02-04 09:30:00,27.57,27.82,27.41,27.78,35633
2016-02-05 09:30:00,27.69,27.98,27.62,27.69,36544
2016-02-08 09:30:00,26.23,26.38,25.49,26.2,48560
2016-02-09 09:30:00,25.79,26.41,25.79,26.24,31715
2016-02-10 09:30:00,26.33,26.53,26.13,26.51,35351
2016-02-11 09:30:00,25.62,25.86,25.42,25.86,99351
2016-02-12 09:30:00,26.04,26.05,25.76,25.78,27844
2016-02-16 09:30:00,26.6,26.61,26.34,26.48,40363
2016-02-17 09:30:00,27.27,27.33,26.92,27.25,43138
2016-02-18 09:30:00,27.61,28.56,26.91,27.38,71624
2016-02-19 09:30:00,26.38,26.41,25.66,25.81,79939
2016-02-22 09:30:00,26.79,27.05,26.54,26.89,46998
2016-02-23 09:30:00,26.88,27.02,26.68,26.68,104417
2016-02-24 09:30:00,26.43,26.43,26.05,26.19,33727
2016-02-25 09:30:00,26.81,26.94,26.46,26.85,23250
2016-02-26 09:30:00,27.27,27.55,27.07,27.5,112935
2016-02-29 09:30:00,26.85,27.37,26.78,27.28,33524
2016-03-01 09:30:00,27.37,27.45,27.13,27.13,25964
2016-03-02 09:30:00,27.69,28.15,27.69,28.01,63102
2016-03-03 09:30:00,28.54,28.71,28.38,28.6,63913
2016-03-04 09:30:00,28.74,29.07,28.71,28.86,43207
2016-03-07 09:30:00,29.32,29.74,28.98,29.3,61979
2016-03-08 09:30:00,29.29,29.35,28.89,28.89,17992
2016-03-09 09:30:00,28.91,28.91,28.59,28.7,30398
2016-03-10 09:30:00,28.91,29.35,28.88,29.18,41906
2016-03-11 09:30:00,29.36,29.52,29.2,29.46,41019
2016-03-14 09:30:00,29.88,30.01,29.55,29.57,40605
2016-03-15 09:30:00,29.51,29.62,29.21,29.55,47343
2016-03-16 09:30:00,29.68,30.08,29.28,29.86,64891
2016-03-17 09:30:00,30.07,30.54,29.96,30.27,71382
2016-03-18 09:30:00,30.47,30.91,30.36,30.61,147118
2016-03-21 09:30:00,30.81,30.99,30.67,30.86,48009
