open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,43.7,43.9,43.38,43.46,247121
2016-01-05 09:30:00,42.76,42.87,42.46,42.49,334388
2016-01-06 09:30:00,41.93,42.46,41.8,42.37,365734
2016-01-07 09:30:00,40.4,40.47,39.93,40.36,552861
2016-01-08 09:30:00,39.91,39.94,39.17,39.63,573790
2016-01-11 09:30:00,38.67,38.9,38.28,38.37,338279
2016-01-12 09:30:00,38.91,39.42,38.77,39.05,236486
2016-01-13 09:30:00,39.47,39.86,39.28,39.37,299165
2016-01-14 09:30:00,37.77,37.92,37.05,37.14,332507
2016-01-15 09:30:00,36.36,36.51,35.93,36.21,935893
2016-01-19 09:30:00,37.93,38.07,37.27,37.4,340040
2016-01-20 09:30:00,36.83,36.83,35.66,35.93,554225
2016-01-21 09:30:00,37.14,37.78,37.02,37.38,604513
2016-01-22 09:30:00,38.1,39.09,38.07,38.99,343952
2016-01-25 09:30:00,38.24,38.24,37.35,37.54,261875
2016-01-26 09:30:00,37.43,37.71,36.76,36.77,323535
2016-01-27 09:30:00,38.51,38.69,38.14,38.29,143488
2016-01-28 09:30:00,38.44,38.83,38.27,38.78,209496
2016-01-29 09:30:00,37.8,37.97,37.56,37.82,114162
2016-02-01 09:30:00,38.07,38.28,37.74,38.19,164938
2016-02-02 09:30:00,37.34,37.62,36.99,37.06,203639
2016-02-03 09:30:00,37.01,37.21,36.11,36.12,313453
2016-02-04 09:30:00,36.63,37.25,36.63,37.23,168854
2016-02-05 09:30:00,36.66,36.98,36.54,36.88,130172
2016-02-08 09:30:00,35.44,35.56,35.02,35.16,337397
2016-02-09 09:30:00,34.39,35.31,34.36,35.19,266131
2016-02-10 09:30:00,35.39,35.6,34.93,35.27,133998
2016-02-11 09:30:00,34.84,35.11,34.62,34.96,286423
2016-02-12 09:30:00,34.99,35.46,34.91,35.15,287384
2016-02-16 09:30:00,36.6,36.91,36.11,36.11,301792
2016-02-17 09:30:00,37.05,37.19,36.75,36.94,207075
2016-02-18 09:30:00,36.91,37.06,36.54,36.67,94808
2016-02-19 09:30:00,36.3,36.89,36.1,36.52,366128
2016-02-22 09:30:00,36.74,37.03,36.6,36.68,272087
2016-02-23 09:30:00,37.02,37.25,36.85,36.9,138783
2016-02-24 09:30:00,37.02,37.04,36.51,36.85,325680
2016-02-25 09:30:00,37.41,37.94,37.4,37.79,265331
2016-02-26 09:30:00,38.58,38.92,38.41,38.48,234446
2016-02-29 09:30:00,38.4,38.62,38.3,38.62,142762
2016-03-01 09:30:00,38.56,38.81,38.56,38.69,208813
2016-03-02 09:30:00,39.53,40.27,39.53,40.06,282759
2016-03-03 09:30:00,40.74,41.13,40.7,41.1,150540
2016-03-04 09:30:00,41.5,41.68,41.08,41.12,229275
2016-03-07 09:30:00,41.0,41.5,40.95,41.23,151445
2016-03-08 09:30:00,41.5,41.61,41.06,41.2,262946
2016-03-09 09:30:00,40.74,40.76,40.25,40.43,171701
2016-03-10 09:30:00,41.19,41.61,41.18,41.46,148011
2016-03-11 09:30:00,41.19,41.31,40.92,41.28,184108
2016-03-14 09:30:00,41.67,41.98,41.35,41.38,252945
2016-03-15 09:30:00,41.27,41.52,41.2,41.44,228893
2016-03-16 09:30:00,41.15,41.51,41.04,41.32,89395
2016-03-17 09:30:00,42.28,42.6,42.07,42.26,310044
2016-03-18 09:30:00,43.16,43.73,43.01,43.63,598245
2016-03-21 09:30:00,43.4,43.83,43.01,43.1,266663
2016-03-22 09:30:00,42.8,43.05,42.66,42.94,86340
2016-03-23 09:30:00,42.73,42.83,42.44,42.82,153120
2016-03-24 09:30:00,42.35,42.37,41.81,42.05,382945
2016-03-28 09:30:00,42.33,42.33,41.77,41.93,125415
2016-03-29 09:30:00,43.68,44.22,43.37,43.88,1220030
2016-03-30 09:30:00,44.25,44.33,43.51,43.57,280508
2016-03-31 09:30:00,43.39,43.64,43.38,43.52,113944
2016-04-01 09:30:00,43.57,43.68,43.27,43.37,187607
2016-04-04 09:30:00,43.18,43.22,42.77,42.9,239516
2016-04-05 09:30:00,42.4,42.54,41.9,42.54,215809
2016-04-06 09:30:00,42.7,43.17,42.55,43.12,161062
2016-04-07 09:30:00,43.31,43.76,43.1,43.72,181121
2016-04-08 09:30:00,43.83,43.83,43.5,43.74,69546
2016-04-11 09:30:00,43.73,43.88,43.54,43.75,235181
2016-04-12 09:30:00,43.14,43.24,42.96,43.08,102417
2016-04-13 09:30:00,43.57,43.84,43.45,43.83,104289
