open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,116.69,118.13,116.69,117.63,81682
2016-01-05 09:30:00,117.93,118.73,117.52,118.52,97947
2016-01-06 09:30:00,115.62,117.12,115.57,116.25,95090
2016-01-07 09:30:00,113.99,115.21,113.99,115.15,58574
2016-01-08 09:30:00,114.0,115.54,114.0,114.74,64433
2016-01-11 09:30:00,112.02,112.74,110.93,111.2,43353
2016-01-12 09:30:00,111.39,112.96,111.39,112.07,65141
2016-01-13 09:30:00,110.12,110.98,109.46,110.21,85606
2016-01-14 09:30:00,107.32,107.72,106.0,106.0,29043
2016-01-15 09:30:00,104.82,105.62,104.0,104.33,297856
2016-01-19 09:30:00,107.62,107.62,105.93,106.56,61998
2016-01-20 09:30:00,102.99,104.83,102.89,103.25,68533
2016-01-21 09:30:00,105.31,105.69,103.97,104.39,44060
2016-01-22 09:30:00,105.27,106.61,105.27,106.55,64330
2016-01-25 09:30:00,108.58,108.58,107.35,107.5,32005
2016-01-26 09:30:00,106.45,106.97,105.87,106.33,26549
2016-01-27 09:30:00,108.0,108.23,107.09,107.09,65665
2016-01-28 09:30:00,108.34,108.9,107.32,107.45,39193
2016-01-29 09:30:00,105.54,105.84,104.8,105.18,128650
2016-02-01 09:30:00,106.37,108.76,106.34,107.76,97146
2016-02-02 09:30:00,106.39,106.48,105.46,106.4,21493
2016-02-03 09:30:00,105.23,105.44,103.9,104.22,25516
2016-02-04 09:30:00,103.56,104.08,103.15,103.83,58333
2016-02-05 09:30:00,103.36,103.56,102.59,102.59,35348
2016-02-08 09:30:00,100.61,100.63,99.55,100.08,41018
2016-02-09 09:30:00,95.81,98.56,95.4,97.51,110421
2016-02-10 09:30:00,98.37,100.4,98.11,100.05,49625
2016-02-11 09:30:00,99.87,100.25,98.91,99.48,96543
2016-02-12 09:30:00,97.44,99.33,97.23,98.56,97859
2016-02-16 09:30:00,99.18,99.61,98.07,99.23,127958
2016-02-17 09:30:00,100.16,101.14,99.12,100.75,52583
2016-02-18 09:30:00,101.42,105.45,100.44,105.37,265767
2016-02-19 09:30:00,103.96,104.7,101.51,103.15,184265
2016-02-22 09:30:00,104.67,107.18,104.53,106.45,177936
2016-02-23 09:30:00,105.38,106.29,105.24,105.54,58021
2016-02-24 09:30:00,103.7,104.25,103.07,103.54,43019
2016-02-25 09:30:00,105.79,107.57,105.68,106.31,47535
2016-02-26 09:30:00,106.14,106.64,105.88,106.18,32480
2016-02-29 09:30:00,106.09,106.38,105.49,105.64,18219
2016-03-01 09:30:00,106.22,106.28,104.32,105.27,74856
2016-03-02 09:30:00,106.05,106.44,105.6,105.83,32948
2016-03-03 09:30:00,105.08,105.87,105.01,105.86,127959
2016-03-04 09:30:00,107.54,107.54,105.59,105.73,108776
2016-03-07 09:30:00,107.07,107.92,107.02,107.65,64898
2016-03-08 09:30:00,106.26,106.55,105.77,106.0,192637
2016-03-09 09:30:00,106.07,106.44,105.33,105.92,46950
2016-03-10 09:30:00,106.77,107.28,106.62,107.01,75052
2016-03-11 09:30:00,107.4,109.2,107.02,109.06,137655
2016-03-14 09:30:00,110.43,111.19,109.78,110.63,74822
2016-03-15 09:30:00,109.45,109.65,108.9,108.97,33878
2016-03-16 09:30:00,107.79,109.45,107.53,109.34,61690
2016-03-17 09:30:00,109.28,109.66,108.12,108.12,35359
2016-03-18 09:30:00,108.05,109.09,107.77,109.09,137549
2016-03-21 09:30:00,109.69,109.73,109.2,109.38,53745
2016-03-22 09:30:00,109.02,109.16,108.28,108.88,54164
2016-03-23 09:30:00,109.32,109.69,108.73,109.37,84376
2016-03-24 09:30:00,108.32,108.94,107.4,108.48,36755
2016-03-28 09:30:00,109.54,109.81,108.43,108.58,71954
2016-03-29 09:30:00,109.46,110.12,108.75,108.81,63747
2016-03-30 09:30:00,111.04,112.01,110.84,111.53,64864
2016-03-31 09:30:00,111.89,112.45,110.73,112.21,128470
2016-04-01 09:30:00,111.76,111.91,111.06,111.58,51207
2016-04-04 09:30:00,113.6,114.33,113.03,113.38,22594
2016-04-05 09:30:00,112.21,113.27,112.16,112.86,85904
2016-04-06 09:30:00,112.19,113.18,112.04,112.99,99819
