open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,71.51,71.88,71.15,71.63,124161
2016-01-05 09:30:00,72.74,73.72,72.71,73.46,152588
2016-01-06 09:30:00,72.21,73.32,72.07,73.05,122667
2016-01-07 09:30:00,71.03,72.52,70.78,72.16,249606
2016-01-08 09:30:00,71.6,72.25,71.59,72.18,101519
2016-01-11 09:30:00,71.68,72.15,71.22,72.09,127995
2016-01-12 09:30:00,72.42,73.32,72.27,72.88,124274
2016-01-13 09:30:00,73.56,73.95,72.87,72.87,65894
2016-01-14 09:30:00,70.77,70.8,70.13,70.38,110138
2016-01-15 09:30:00,68.47,69.12,68.08,68.64,181111
2016-01-19 09:30:00,70.34,70.73,68.86,70.02,128221
2016-01-20 09:30:00,68.92,69.33,68.41,68.41,83200
2016-01-21 09:30:00,69.27,69.99,69.12,69.25,112991
2016-01-22 09:30:00,69.52,69.62,69.19,69.42,197290
2016-01-25 09:30:00,69.44,69.76,69.35,69.76,101393
2016-01-26 09:30:00,69.76,70.24,69.67,70.08,73971
2016-01-27 09:30:00,70.54,70.92,70.42,70.74,59404
2016-01-28 09:30:00,70.39,70.76,69.62,70.27,57825
2016-01-29 09:30:00,70.58,71.09,70.32,71.09,51661
2016-02-01 09:30:00,71.25,71.69,71.09,71.26,69686
2016-02-02 09:30:00,69.52,69.6,66.32,67.42,858158
2016-02-03 09:30:00,64.17,65.17,64.14,65.12,265821
2016-02-04 09:30:00,64.33,65.45,64.21,65.36,101533
2016-02-05 09:30:00,65.25,65.25,64.07,64.23,150929
2016-02-08 09:30:00,61.89,62.08,61.26,61.44,373785
2016-02-09 09:30:00,59.76,60.69,59.66,60.58,90949
2016-02-10 09:30:00,60.64,60.88,60.35,60.81,103132
2016-02-11 09:30:00,59.36,59.7,59.05,59.5,58058
2016-02-12 09:30:00,60.02,60.02,59.14,59.14,62881
2016-02-16 09:30:00,60.45,60.88,60.14,60.14,74491
2016-02-17 09:30:00,61.08,61.57,60.97,61.5,48482
2016-02-18 09:30:00,61.75,62.99,61.54,62.86,91584
2016-02-19 09:30:00,61.67,61.72,61.03,61.26,103260
2016-02-22 09:30:00,62.75,63.22,62.75,62.99,55201
2016-02-23 09:30:00,62.9,63.2,62.64,62.69,84358
2016-02-24 09:30:00,62.03,62.32,61.66,61.81,52634
2016-02-25 09:30:00,62.85,63.2,62.56,62.57,58200
2016-02-26 09:30:00,63.34,63.71,63.15,63.53,57558
2016-02-29 09:30:00,64.11,66.0,64.09,65.14,250499
2016-03-01 09:30:00,65.2,65.39,64.34,64.47,179801
2016-03-02 09:30:00,65.8,66.67,65.39,66.64,108091
2016-03-03 09:30:00,66.14,66.54,65.86,66.38,76252
2016-03-04 09:30:00,66.68,67.36,66.66,67.12,68449
2016-03-07 09:30:00,66.67,66.75,66.4,66.41,52497
2016-03-08 09:30:00,65.54,66.16,65.2,65.45,189594
2016-03-09 09:30:00,65.61,66.51,65.23,66.28,115989
2016-03-10 09:30:00,66.55,67.58,66.45,67.46,67308
2016-03-11 09:30:00,66.75,67.16,66.2,66.26,68928
2016-03-14 09:30:00,66.64,67.09,66.25,66.56,55895
2016-03-15 09:30:00,65.5,66.25,64.36,64.46,175793
2016-03-16 09:30:00,64.64,64.82,64.45,64.56,74769
2016-03-17 09:30:00,65.22,65.56,64.91,65.37,90627
2016-03-18 09:30:00,65.71,65.9,65.45,65.66,305386
2016-03-21 09:30:00,65.41,65.55,64.99,65.12,90915
2016-03-22 09:30:00,65.17,66.2,65.12,66.2,76799
2016-03-23 09:30:00,66.2,66.22,65.6,65.84,84888
2016-03-24 09:30:00,65.47,66.1,65.39,65.64,56060
2016-03-28 09:30:00,65.31,65.41,65.02,65.35,22901
2016-03-29 09:30:00,64.85,64.98,64.23,64.57,28384
2016-03-30 09:30:00,65.67,65.89,65.4,65.4,78657
2016-03-31 09:30:00,65.49,65.89,65.25,65.46,187418
2016-04-01 09:30:00,64.46,64.88,64.2,64.88,79255
2016-04-04 09:30:00,64.82,64.91,64.43,64.66,73721
2016-04-05 09:30:00,63.59,63.63,63.09,63.26,77481
2016-04-06 09:30:00,62.6,62.76,62.18,62.39,60042
2016-04-07 09:30:00,63.48,63.76,63.07,63.76,52391
2016-04-08 09:30:00,63.9,64.41,63.82,64.39,62274
2016-04-11 09:30:00,64.17,64.54,64.17,64.26,42124
2016-04-12 09:30:00,63.66,63.93,63.14,63.81,53229
