open_date,open,high,low,close,volume_base
2018-10-31 09:30:00,144.63,147.99,144.46,146.2,534498
2018-11-01 09:30:00,147.46,148.19,147.21,147.26,624516
2018-11-02 09:30:00,143.88,144.91,143.83,144.66,367897
2018-11-05 09:30:00,141.18,141.92,141.0,141.56,343523
2018-11-06 09:30:00,144.94,145.66,144.78,145.48,217559
2018-11-07 09:30:00,147.35,148.19,147.25,147.6,266729
2018-11-08 09:30:00,147.31,147.37,146.64,146.65,253106
2018-11-09 09:30:00,145.96,146.81,145.96,146.45,218424
2018-11-12 09:30:00,143.34,144.45,143.34,144.27,181958
2018-11-13 09:30:00,143.48,143.58,141.71,141.73,119577
2018-11-14 09:30:00,141.66,141.71,140.21,140.21,110446
2018-11-15 09:30:00,139.78,139.97,137.7,138.15,297608
2018-11-16 09:30:00,137.68,138.32,137.37,138.14,342481
2018-11-19 09:30:00,142.04,142.77,141.89,142.77,131772
2018-11-20 09:30:00,140.98,141.79,140.81,141.41,322624
2018-11-21 09:30:00,142.6,142.81,142.08,142.71,152434
2018-11-23 09:30:00,140.47,140.65,140.2,140.63,97469
2018-11-26 09:30:00,140.59,140.97,140.49,140.8,106157
2018-11-27 09:30:00,139.4,140.28,137.86,137.86,169469
2018-11-28 09:30:00,137.64,137.76,136.86,136.94,137409
2018-11-29 09:30:00,139.26,139.56,139.12,139.53,232651
2018-11-30 09:30:00,140.62,142.52,140.54,142.49,209761
2018-12-03 09:30:00,145.34,145.68,144.78,145.17,247825
2018-12-04 09:30:00,146.82,146.97,146.51,146.8,215373
2018-12-06 09:30:00,141.97,142.41,140.99,141.01,257611
2018-12-07 09:30:00,139.9,141.96,139.76,141.73,274964
2018-12-10 09:30:00,139.73,140.08,139.15,139.45,282520
2018-12-11 09:30:00,144.33,145.08,143.92,143.92,382684
2018-12-12 09:30:00,144.76,145.2,142.93,143.44,304715
2018-12-13 09:30:00,143.64,144.45,142.44,142.44,181640
2018-12-14 09:30:00,140.94,141.91,140.69,141.58,258089
2018-12-17 09:30:00,141.54,141.86,140.07,141.57,200681
2018-12-18 09:30:00,142.6,142.86,141.99,142.48,160153
2018-12-19 09:30:00,141.7,142.46,141.02,142.04,186898
2018-12-20 09:30:00,138.99,140.47,138.9,140.33,229120
2018-12-21 09:30:00,140.44,141.36,139.17,139.63,1351108
2018-12-24 09:30:00,137.46,138.1,135.87,136.27,215239
