open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,70.36,70.36,69.63,70.22,558538
2016-01-05 09:30:00,69.93,72.04,69.91,71.69,1497820
2016-01-06 09:30:00,69.76,70.17,69.59,69.77,509779
2016-01-07 09:30:00,68.86,69.41,68.59,69.39,599287
2016-01-08 09:30:00,68.9,69.58,68.73,69.48,420744
2016-01-11 09:30:00,68.58,69.11,67.76,67.82,293290
2016-01-12 09:30:00,68.0,68.33,67.52,67.99,593851
2016-01-13 09:30:00,68.11,68.18,67.73,67.95,420918
2016-01-14 09:30:00,66.88,66.95,66.32,66.69,927501
2016-01-15 09:30:00,68.07,68.61,67.58,68.03,1435768
2016-01-19 09:30:00,69.17,70.02,69.14,69.85,539527
2016-01-20 09:30:00,69.05,69.91,68.95,69.49,711480
2016-01-21 09:30:00,69.7,69.7,67.99,68.31,384743
2016-01-22 09:30:00,69.51,70.01,69.1,69.84,404983
2016-01-25 09:30:00,69.6,70.19,69.36,69.64,226588
2016-01-26 09:30:00,69.01,69.32,68.26,68.27,368946
2016-01-27 09:30:00,68.85,69.45,68.6,68.83,385713
2016-01-28 09:30:00,69.43,69.59,67.52,67.52,490546
2016-01-29 09:30:00,65.22,66.53,65.15,66.33,1097444
2016-02-01 09:30:00,65.98,66.78,65.73,65.78,713063
2016-02-02 09:30:00,65.51,66.05,65.35,65.46,520157
2016-02-03 09:30:00,64.5,65.42,64.12,64.28,586869
2016-02-04 09:30:00,64.07,64.56,63.42,63.94,504304
2016-02-05 09:30:00,62.56,63.19,62.05,63.08,772567
2016-02-08 09:30:00,62.05,62.43,61.81,62.1,336887
2016-02-09 09:30:00,61.95,62.86,61.81,62.51,483270
2016-02-10 09:30:00,62.63,63.46,62.44,63.45,537044
2016-02-11 09:30:00,61.33,61.7,60.96,61.28,446960
2016-02-12 09:30:00,60.8,60.83,59.85,59.91,609758
2016-02-16 09:30:00,61.15,62.13,61.08,61.83,564797
2016-02-17 09:30:00,62.81,63.23,62.09,62.41,366017
2016-02-18 09:30:00,62.37,63.3,62.26,63.18,829226
2016-02-19 09:30:00,61.75,62.07,61.33,61.66,947349
2016-02-22 09:30:00,61.94,62.56,61.94,62.27,439344
2016-02-23 09:30:00,62.21,63.01,62.06,62.9,456307
2016-02-24 09:30:00,62.29,62.5,62.1,62.3,406552
2016-02-25 09:30:00,62.98,63.47,62.72,62.85,319467
2016-02-26 09:30:00,64.07,64.38,63.74,63.75,345505
2016-02-29 09:30:00,62.33,62.33,61.83,61.89,454901
