open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,62.44,63.17,62.3,63.03,726904
2016-01-05 09:30:00,63.06,63.92,63.0,63.16,596633
2016-01-06 09:30:00,62.27,62.48,62.17,62.2,429604
2016-01-07 09:30:00,60.89,61.51,60.75,61.31,738549
2016-01-08 09:30:00,60.74,60.85,60.09,60.28,487746
2016-01-11 09:30:00,59.72,61.1,59.59,60.34,745885
2016-01-12 09:30:00,61.25,62.09,61.05,61.4,514740
2016-01-13 09:30:00,61.56,61.63,60.7,60.99,532841
2016-01-14 09:30:00,58.39,58.77,56.82,56.97,755053
2016-01-15 09:30:00,56.86,58.42,56.85,57.94,1353173
2016-01-19 09:30:00,58.89,59.62,58.2,58.3,1067343
2016-01-20 09:30:00,57.8,58.35,57.49,57.52,1038461
2016-01-21 09:30:00,57.55,58.39,57.28,57.84,1316659
2016-01-22 09:30:00,59.05,59.51,58.92,59.33,990818
2016-01-25 09:30:00,59.3,59.59,59.14,59.35,688448
2016-01-26 09:30:00,59.31,59.33,58.55,58.62,575256
2016-01-27 09:30:00,58.85,59.23,58.75,58.88,630107
2016-01-28 09:30:00,58.66,58.75,58.01,58.74,499855
2016-01-29 09:30:00,58.75,59.03,58.37,58.93,419627
2016-02-01 09:30:00,59.2,59.99,59.2,59.97,617424
2016-02-02 09:30:00,60.68,60.96,60.08,60.13,340276
2016-02-03 09:30:00,59.91,59.91,57.53,57.67,2560521
2016-02-04 09:30:00,56.95,57.04,55.64,56.46,1650697
2016-02-05 09:30:00,57.14,57.41,56.8,57.13,571712
2016-02-08 09:30:00,54.87,54.88,54.05,54.22,1052910
2016-02-09 09:30:00,52.93,54.44,52.79,54.05,812563
2016-02-10 09:30:00,54.09,54.54,53.98,54.39,308118
2016-02-11 09:30:00,52.94,53.62,52.82,53.4,643058
2016-02-12 09:30:00,53.73,54.02,53.22,53.38,426356
2016-02-16 09:30:00,56.22,56.57,55.02,55.17,1613235
2016-02-17 09:30:00,57.07,57.31,56.82,56.89,759894
2016-02-18 09:30:00,57.31,57.35,56.18,56.58,865639
2016-02-19 09:30:00,56.89,56.97,56.1,56.49,885206
2016-02-22 09:30:00,57.95,58.64,57.76,58.59,736548
2016-02-23 09:30:00,60.19,60.19,58.1,58.46,1660492
2016-02-24 09:30:00,55.38,56.0,54.43,55.54,2449735
2016-02-25 09:30:00,57.59,58.44,57.53,57.69,855714
2016-02-26 09:30:00,58.2,58.46,57.83,57.89,536610
2016-02-29 09:30:00,57.74,58.54,57.67,58.05,464236
2016-03-01 09:30:00,57.22,57.29,56.17,56.58,599973
2016-03-02 09:30:00,57.79,58.1,57.58,57.86,399305
2016-03-03 09:30:00,57.57,58.35,57.49,58.3,581769
2016-03-04 09:30:00,58.49,59.04,58.31,58.79,424814
2016-03-07 09:30:00,58.62,59.46,58.61,59.09,426996
2016-03-08 09:30:00,59.02,60.01,58.88,59.92,765069
2016-03-09 09:30:00,59.67,60.14,59.62,59.99,295406
2016-03-10 09:30:00,59.8,60.07,59.6,60.02,363092
2016-03-11 09:30:00,59.89,60.2,59.77,60.13,401142
2016-03-14 09:30:00,60.43,60.81,60.4,60.76,382439
2016-03-15 09:30:00,60.68,62.38,60.61,61.63,1138126
2016-03-16 09:30:00,61.0,61.7,61.0,61.22,378675
2016-03-17 09:30:00,61.7,62.09,61.61,61.89,305089
2016-03-18 09:30:00,62.17,62.71,62.08,62.64,2228060
2016-03-21 09:30:00,62.65,63.14,62.65,62.82,397468
2016-03-22 09:30:00,62.72,63.19,62.72,63.16,581791
2016-03-23 09:30:00,63.16,63.32,63.03,63.17,322690
2016-03-24 09:30:00,62.4,62.85,62.12,62.26,381318
2016-03-28 09:30:00,62.84,63.03,62.69,62.82,444873
2016-03-29 09:30:00,62.98,63.35,62.81,63.25,298126
