open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.23,37.48,36.83,37.07,1265157
2016-01-05 09:30:00,37.86,38.03,37.4,37.41,1045071
2016-01-06 09:30:00,37.42,38.29,37.32,38.01,764140
2016-01-07 09:30:00,38.34,38.53,37.82,37.92,945968
2016-01-08 09:30:00,37.86,38.39,37.71,38.01,841158
2016-01-11 09:30:00,37.77,38.28,37.72,37.79,532257
2016-01-12 09:30:00,37.98,37.98,36.9,37.1,790384
2016-01-13 09:30:00,38.27,38.37,37.81,37.81,343666
2016-01-14 09:30:00,35.99,36.16,35.31,35.43,981547
2016-01-15 09:30:00,35.08,35.45,34.68,35.3,1387935
2016-01-19 09:30:00,36.31,36.37,35.55,35.7,882849
2016-01-20 09:30:00,34.94,35.21,33.52,33.53,1296905
2016-01-21 09:30:00,35.7,37.05,34.93,35.41,2080428
2016-01-22 09:30:00,35.71,35.8,35.06,35.21,837364
2016-01-25 09:30:00,35.16,35.16,34.28,34.4,1039026
2016-01-26 09:30:00,34.14,34.26,33.72,34.09,659025
2016-01-27 09:30:00,34.59,34.82,34.34,34.48,700029
2016-01-28 09:30:00,33.45,33.87,32.32,32.52,1004095
2016-01-29 09:30:00,32.3,32.83,31.7,32.76,909753
2016-02-01 09:30:00,33.59,33.86,33.38,33.75,538637
2016-02-02 09:30:00,33.95,34.03,33.2,33.21,675594
2016-02-03 09:30:00,32.9,33.02,32.28,32.45,536632
2016-02-04 09:30:00,32.53,33.46,32.53,33.42,797413
2016-02-05 09:30:00,33.28,33.57,33.02,33.19,663497
2016-02-08 09:30:00,31.36,31.36,30.45,30.86,1255279
2016-02-09 09:30:00,30.7,31.85,30.62,31.79,833563
2016-02-10 09:30:00,31.85,32.15,31.46,31.7,723622
2016-02-11 09:30:00,31.2,31.82,31.05,31.76,519944
2016-02-12 09:30:00,31.96,32.04,31.36,31.43,909533
2016-02-16 09:30:00,32.65,32.9,32.45,32.58,748496
2016-02-17 09:30:00,33.45,34.2,33.45,34.2,1207259
2016-02-18 09:30:00,34.51,34.64,34.28,34.53,513626
2016-02-19 09:30:00,34.74,35.18,34.44,34.85,736421
2016-02-22 09:30:00,35.33,36.61,35.31,36.26,2431191
2016-02-23 09:30:00,36.34,36.49,36.07,36.17,703302
2016-02-24 09:30:00,36.21,36.49,35.92,36.0,625030
2016-02-25 09:30:00,37.12,37.69,37.03,37.39,773336
2016-02-26 09:30:00,38.17,38.27,37.52,37.83,1013603
2016-02-29 09:30:00,37.44,37.7,37.15,37.34,709677
2016-03-01 09:30:00,37.76,38.0,37.63,37.69,455120
2016-03-02 09:30:00,37.88,38.0,37.35,37.56,806900
2016-03-03 09:30:00,37.56,37.56,37.16,37.31,597009
2016-03-04 09:30:00,37.71,37.78,37.25,37.26,503533
2016-03-07 09:30:00,36.79,36.88,36.41,36.84,843098
2016-03-08 09:30:00,36.35,36.52,35.77,36.28,1648244
2016-03-09 09:30:00,37.31,37.41,36.95,37.14,551504
2016-03-10 09:30:00,37.92,38.07,37.82,38.02,560289
2016-03-11 09:30:00,38.04,38.28,37.92,38.26,599404
2016-03-14 09:30:00,38.67,39.13,38.55,38.94,752099
2016-03-15 09:30:00,38.91,39.17,38.81,38.93,591340
2016-03-16 09:30:00,38.91,39.23,38.74,39.09,330200
2016-03-17 09:30:00,39.43,39.53,39.0,39.09,506190
2016-03-18 09:30:00,39.0,39.33,38.84,39.27,1790198
2016-03-21 09:30:00,39.81,40.13,39.79,40.08,517160
2016-03-22 09:30:00,39.8,40.29,39.67,39.81,637659
2016-03-23 09:30:00,40.0,40.08,39.52,39.62,273410
2016-03-24 09:30:00,39.67,39.67,38.84,38.95,786340
2016-03-28 09:30:00,39.43,39.73,39.28,39.35,298140
2016-03-29 09:30:00,39.35,39.64,39.3,39.54,527202
2016-03-30 09:30:00,40.18,40.48,40.04,40.18,591119
2016-03-31 09:30:00,40.23,40.52,40.07,40.27,298991
2016-04-01 09:30:00,39.71,39.81,39.0,39.29,1232269
2016-04-04 09:30:00,40.03,40.08,39.53,39.97,595014
2016-04-05 09:30:00,39.18,39.38,38.93,39.35,483229
2016-04-06 09:30:00,39.04,39.11,38.56,38.58,384356
2016-04-07 09:30:00,39.15,39.41,38.83,39.35,409175
2016-04-08 09:30:00,39.26,39.73,39.05,39.63,477118
2016-04-11 09:30:00,40.02,40.79,40.02,40.7,797502
2016-04-12 09:30:00,39.69,40.1,39.68,39.78,395312
2016-04-13 09:30:00,40.31,40.39,40.03,40.27,1293951
2016-04-14 09:30:00,41.36,41.86,41.31,41.36,1006790
2016-04-15 09:30:00,42.17,42.18,41.54,41.7,1191597
2016-04-18 09:30:00,42.44,42.44,41.95,41.97,562104
2016-04-19 09:30:00,42.14,42.48,42.14,42.45,474853
2016-04-20 09:30:00,42.32,42.47,42.3,42.43,521274
2016-04-21 09:30:00,42.93,42.93,41.75,42.18,1565627
2016-04-22 09:30:00,41.39,42.26,41.29,42.13,1511360
2016-04-25 09:30:00,42.3,42.62,42.14,42.22,457222
2016-04-26 09:30:00,42.12,42.44,42.01,42.34,345805
2016-04-27 09:30:00,41.3,41.92,41.2,41.78,583700
2016-04-28 09:30:00,40.68,40.91,40.0,40.22,814437
2016-04-29 09:30:00,39.44,39.62,38.93,39.05,773928
2016-05-02 09:30:00,39.91,40.25,39.62,39.7,468728
2016-05-03 09:30:00,39.56,39.6,38.55,38.84,828049
2016-05-04 09:30:00,38.28,38.29,37.58,37.85,769387
2016-05-05 09:30:00,37.35,37.69,37.02,37.53,676202
2016-05-06 09:30:00,37.09,37.48,36.87,37.06,745342
2016-05-09 09:30:00,37.38,38.07,37.34,37.84,638009
2016-05-10 09:30:00,37.82,38.08,37.65,37.91,550259
2016-05-11 09:30:00,38.17,38.84,38.15,38.81,737452
2016-05-12 09:30:00,37.79,37.9,37.46,37.46,393768
2016-05-13 09:30:00,37.13,37.78,37.05,37.67,551399
2016-05-16 09:30:00,37.22,37.87,37.0,37.07,952899
2016-05-17 09:30:00,37.61,38.26,37.56,38.24,621188
2016-05-18 09:30:00,37.58,37.98,37.49,37.98,387042
2016-05-19 09:30:00,38.24,38.42,37.88,37.9,433874
2016-05-20 09:30:00,37.87,38.38,37.82,38.36,840077
2016-05-23 09:30:00,37.73,38.0,37.67,37.81,580033
2016-05-24 09:30:00,37.83,38.37,37.73,38.36,381101
2016-05-25 09:30:00,38.3,38.72,38.28,38.38,770033
2016-05-26 09:30:00,38.14,38.18,37.58,37.65,520658
2016-05-27 09:30:00,37.4,37.91,37.4,37.68,367941
2016-05-31 09:30:00,37.87,37.9,37.6,37.69,345608
2016-06-01 09:30:00,38.01,38.01,37.65,37.83,456153
2016-06-02 09:30:00,37.85,37.98,37.59,37.95,508452
2016-06-03 09:30:00,37.5,37.54,36.8,36.91,797192
2016-06-06 09:30:00,37.15,37.3,36.95,37.17,507575
2016-06-07 09:30:00,37.39,38.53,37.27,38.41,1106831
2016-06-08 09:30:00,38.85,39.24,38.6,39.11,855568
2016-06-09 09:30:00,38.96,39.53,38.86,39.5,1192770
2016-06-10 09:30:00,39.36,39.47,38.76,39.12,658560
2016-06-13 09:30:00,38.75,38.99,37.82,38.09,926511
2016-06-14 09:30:00,37.61,37.85,37.58,37.66,712664
2016-06-15 09:30:00,36.09,36.46,35.93,36.31,1042240
2016-06-16 09:30:00,35.38,35.69,35.13,35.68,953306
2016-06-17 09:30:00,35.51,36.02,35.48,35.65,1231090
2016-06-20 09:30:00,35.91,36.29,35.83,36.1,903858
2016-06-21 09:30:00,36.29,36.31,35.84,35.87,528465
2016-06-22 09:30:00,36.33,36.51,36.23,36.23,447975
2016-06-23 09:30:00,36.51,36.53,36.16,36.27,493641
2016-06-24 09:30:00,33.96,34.92,33.94,34.75,1782043
2016-06-27 09:30:00,34.05,34.08,33.13,33.19,1468382
2016-06-28 09:30:00,33.82,33.92,33.26,33.52,1407311
2016-06-29 09:30:00,34.02,34.55,33.85,34.48,1058094
2016-06-30 09:30:00,34.93,34.99,34.56,34.74,660168
2016-07-01 09:30:00,35.2,35.66,35.2,35.42,629761
2016-07-05 09:30:00,35.63,35.64,34.79,34.8,808274
2016-07-06 09:30:00,34.68,34.7,34.21,34.45,890442
2016-07-07 09:30:00,34.96,35.67,34.96,35.61,490171
2016-07-08 09:30:00,35.92,36.57,35.91,36.53,539999
2016-07-11 09:30:00,36.7,37.06,36.59,36.89,552541
2016-07-12 09:30:00,37.33,38.14,37.32,37.98,1179589
2016-07-13 09:30:00,38.77,38.82,38.15,38.33,737658
2016-07-14 09:30:00,38.43,38.69,38.04,38.24,749024
2016-07-15 09:30:00,38.66,38.76,38.28,38.69,1200573
2016-07-18 09:30:00,38.81,39.05,38.67,38.88,735361
2016-07-19 09:30:00,38.61,38.7,38.17,38.49,812707
2016-07-20 09:30:00,38.57,38.57,37.94,38.26,672291
2016-07-21 09:30:00,35.04,35.21,33.41,34.09,8023728
2016-07-22 09:30:00,33.99,34.0,33.18,33.59,3923568
2016-07-25 09:30:00,33.96,34.07,33.26,33.48,1714437
2016-07-26 09:30:00,33.9,34.13,33.72,33.93,1725737
2016-07-27 09:30:00,33.7,33.88,33.35,33.81,2282862
2016-07-28 09:30:00,33.59,33.75,33.49,33.67,795272
2016-07-29 09:30:00,33.61,33.96,33.59,33.74,782464
2016-08-01 09:30:00,33.33,33.5,33.1,33.25,946261
2016-08-02 09:30:00,33.04,33.12,32.6,32.65,1112659
2016-08-03 09:30:00,31.86,32.21,31.82,32.03,773576
2016-08-04 09:30:00,32.46,32.74,32.36,32.47,765654
2016-08-05 09:30:00,33.0,33.56,32.97,33.53,1151041
2016-08-08 09:30:00,33.86,34.04,33.62,33.79,673048
2016-08-09 09:30:00,33.84,34.02,33.56,33.64,487304
2016-08-10 09:30:00,33.28,33.49,33.0,33.02,1232867
2016-08-11 09:30:00,33.14,33.53,33.14,33.28,779373
2016-08-12 09:30:00,33.23,33.36,32.86,33.01,958166
2016-08-15 09:30:00,32.71,32.85,32.57,32.82,640676
2016-08-16 09:30:00,32.99,33.06,32.73,32.89,488434
2016-08-17 09:30:00,32.89,33.01,32.8,32.86,421917
2016-08-18 09:30:00,33.1,33.17,32.84,33.02,457943
2016-08-19 09:30:00,33.0,33.08,32.78,32.8,630677
2016-08-22 09:30:00,32.67,32.72,32.48,32.61,389928
2016-08-23 09:30:00,32.77,33.05,32.77,33.02,591702
2016-08-24 09:30:00,32.87,33.02,32.74,32.9,518525
2016-08-25 09:30:00,32.86,33.06,32.75,33.03,458623
2016-08-26 09:30:00,33.04,33.05,32.78,32.8,473000
2016-08-29 09:30:00,32.73,32.82,32.65,32.71,430743
2016-08-30 09:30:00,32.9,33.02,32.7,32.9,650492
2016-08-31 09:30:00,33.44,33.82,33.33,33.54,954217
2016-09-01 09:30:00,33.15,33.49,33.15,33.28,390170
2016-09-02 09:30:00,32.88,33.13,32.83,33.12,683592
2016-09-06 09:30:00,33.16,33.33,33.01,33.29,543633
2016-09-07 09:30:00,33.55,34.67,33.51,34.63,2661557
2016-09-08 09:30:00,34.65,35.11,34.55,35.0,1134314
2016-09-09 09:30:00,34.75,34.78,34.19,34.23,1099904
2016-09-12 09:30:00,33.2,33.51,32.94,33.47,1008738
2016-09-13 09:30:00,33.92,34.24,33.81,34.13,1230209
2016-09-14 09:30:00,33.39,33.63,33.19,33.35,501907
2016-09-15 09:30:00,33.09,33.18,32.77,33.06,599725
2016-09-16 09:30:00,33.17,33.17,32.89,33.04,1290433
2016-09-19 09:30:00,33.0,33.38,32.99,33.35,468134
2016-09-20 09:30:00,33.07,33.44,33.02,33.31,452521
2016-09-21 09:30:00,33.08,33.27,33.03,33.06,340674
2016-09-22 09:30:00,33.34,33.65,33.24,33.5,679382
2016-09-23 09:30:00,33.49,33.53,33.05,33.12,603694
2016-09-26 09:30:00,33.24,33.41,33.06,33.23,417140
2016-09-27 09:30:00,33.22,34.53,33.06,34.39,2099184
2016-09-28 09:30:00,34.64,35.02,34.63,34.93,937117
2016-09-29 09:30:00,34.16,34.5,34.12,34.5,300122
2016-09-30 09:30:00,34.38,34.65,34.21,34.23,862467
2016-10-03 09:30:00,34.93,35.66,34.93,35.49,969372
2016-10-04 09:30:00,36.25,36.4,35.57,35.83,1926854
2016-10-05 09:30:00,35.08,35.43,34.91,35.29,587064
2016-10-06 09:30:00,35.18,35.25,34.78,34.94,761315
2016-10-07 09:30:00,35.19,35.24,34.42,34.45,1451817
2016-10-10 09:30:00,34.61,35.11,34.58,35.06,816091
2016-10-11 09:30:00,36.0,36.26,35.74,35.95,1334843
2016-10-12 09:30:00,35.94,36.09,35.72,35.91,725606
2016-10-13 09:30:00,35.67,35.73,35.24,35.29,753428
2016-10-14 09:30:00,37.4,38.13,37.31,37.84,1533221
2016-10-17 09:30:00,37.22,37.94,37.18,37.36,889957
2016-10-18 09:30:00,37.34,37.72,37.33,37.48,788722
2016-10-19 09:30:00,37.52,37.73,37.37,37.68,670562
2016-10-20 09:30:00,37.89,38.18,37.54,37.72,1202578
2016-10-21 09:30:00,37.68,38.06,37.53,37.96,1009814
2016-10-24 09:30:00,38.23,38.59,38.18,38.23,748716
2016-10-25 09:30:00,37.82,38.07,37.5,38.0,891785
2016-10-26 09:30:00,33.84,34.04,33.26,33.47,8194892
2016-10-27 09:30:00,34.61,35.36,34.32,34.35,1450863
2016-10-28 09:30:00,35.32,35.54,35.02,35.53,1275366
2016-10-31 09:30:00,35.5,35.6,35.28,35.39,847370
2016-11-01 09:30:00,35.94,36.34,35.8,35.88,964794
2016-11-02 09:30:00,35.45,36.04,35.45,35.9,732837
2016-11-03 09:30:00,35.8,36.11,35.52,36.0,715666
2016-11-04 09:30:00,35.56,35.99,35.56,35.86,458401
2016-11-07 09:30:00,36.85,37.01,36.59,36.89,721637
2016-11-08 09:30:00,37.37,37.69,37.08,37.14,442294
2016-11-09 09:30:00,36.68,38.11,36.63,37.89,1211221
2016-11-10 09:30:00,38.33,39.11,38.28,38.85,1111647
2016-11-11 09:30:00,39.1,39.42,38.95,39.13,1756260
2016-11-14 09:30:00,39.47,40.1,39.45,40.06,1239422
2016-11-15 09:30:00,41.85,42.52,41.07,41.31,3167330
2016-11-16 09:30:00,41.39,41.66,41.14,41.35,1300553
2016-11-17 09:30:00,41.08,41.46,40.77,41.37,939988
2016-11-18 09:30:00,42.17,42.48,41.97,42.21,999868
2016-11-21 09:30:00,42.32,42.68,42.23,42.66,775522
2016-11-22 09:30:00,42.87,43.14,42.86,42.98,867230
2016-11-23 09:30:00,42.24,42.27,41.47,41.63,1029887
2016-11-25 09:30:00,42.53,43.07,42.46,42.9,709758
2016-11-28 09:30:00,42.62,42.94,42.54,42.75,596602
2016-11-29 09:30:00,42.77,42.86,42.45,42.59,460421
2016-11-30 09:30:00,41.42,42.37,40.18,42.29,1128660
2016-12-01 09:30:00,41.69,42.23,41.52,42.18,530865
2016-12-02 09:30:00,42.59,43.27,42.52,43.05,696239
