open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,33.06,33.24,32.25,32.44,1298690
2016-01-05 09:30:00,33.71,34.02,33.51,33.65,685008
2016-01-06 09:30:00,33.28,33.44,32.91,33.19,467558
2016-01-07 09:30:00,31.88,31.94,30.69,30.96,2099318
2016-01-08 09:30:00,30.35,31.36,30.32,31.24,1116982
2016-01-11 09:30:00,30.59,31.18,30.4,30.92,735894
2016-01-12 09:30:00,30.39,30.9,30.18,30.77,1249108
2016-01-13 09:30:00,30.26,30.43,29.89,30.06,520529
2016-01-14 09:30:00,28.81,28.83,27.82,27.96,706261
2016-01-15 09:30:00,28.95,29.72,28.69,29.15,1357647
2016-01-19 09:30:00,30.59,30.59,29.1,29.74,1137408
2016-01-20 09:30:00,29.03,29.03,27.47,27.68,957261
2016-01-21 09:30:00,28.74,28.74,28.04,28.12,592605
2016-01-22 09:30:00,30.32,30.65,30.05,30.54,950343
2016-01-25 09:30:00,30.15,30.74,30.06,30.71,863027
2016-01-26 09:30:00,30.38,30.55,29.6,29.64,656254
2016-01-27 09:30:00,31.68,32.73,31.38,32.1,1172733
2016-01-28 09:30:00,32.8,33.88,32.67,33.2,1731208
2016-01-29 09:30:00,33.17,33.9,33.17,33.84,968211
2016-02-01 09:30:00,34.6,34.65,33.64,33.92,817691
2016-02-02 09:30:00,33.99,33.99,32.44,32.56,1149605
2016-02-03 09:30:00,32.85,32.94,32.39,32.6,757315
2016-02-04 09:30:00,32.7,33.17,32.3,33.17,543390
2016-02-05 09:30:00,32.81,32.82,32.3,32.47,449596
2016-02-08 09:30:00,31.92,31.92,31.21,31.23,340181
2016-02-09 09:30:00,30.75,31.17,30.18,30.92,710405
2016-02-10 09:30:00,30.86,31.13,30.49,30.97,492169
2016-02-11 09:30:00,30.27,31.68,30.25,31.52,1080998
2016-02-12 09:30:00,31.88,33.14,31.86,32.93,1572139
2016-02-16 09:30:00,34.61,34.81,33.94,34.07,931829
2016-02-17 09:30:00,35.55,35.91,35.08,35.08,677068
2016-02-18 09:30:00,35.87,35.87,34.95,35.56,638832
2016-02-19 09:30:00,35.06,35.53,34.95,35.09,433235
2016-02-22 09:30:00,36.28,37.18,36.28,37.07,1031679
2016-02-23 09:30:00,36.36,36.78,35.86,36.53,651761
2016-02-24 09:30:00,35.83,35.88,35.04,35.41,611826
2016-02-25 09:30:00,36.21,36.64,35.96,36.15,327758
2016-02-26 09:30:00,37.0,37.38,36.95,37.17,480063
2016-02-29 09:30:00,37.01,37.19,36.77,37.02,374055
2016-03-01 09:30:00,37.86,38.7,37.71,38.63,1704975
2016-03-02 09:30:00,39.16,39.19,38.75,39.05,695312
2016-03-03 09:30:00,39.38,39.87,39.25,39.82,889251
2016-03-04 09:30:00,40.57,40.62,39.48,39.65,1133726
2016-03-07 09:30:00,39.14,39.95,39.08,39.37,802880
2016-03-08 09:30:00,38.81,38.93,38.16,38.35,628256
2016-03-09 09:30:00,38.16,38.69,38.02,38.68,355185
2016-03-10 09:30:00,39.56,39.64,38.7,39.01,642001
2016-03-11 09:30:00,39.58,39.86,39.31,39.34,629572
2016-03-14 09:30:00,39.86,40.32,39.78,40.14,509144
2016-03-15 09:30:00,40.74,40.9,40.32,40.38,753211
2016-03-16 09:30:00,40.03,40.54,39.87,40.46,289083
2016-03-17 09:30:00,41.28,42.05,41.13,41.77,830479
2016-03-18 09:30:00,42.81,42.9,42.14,42.27,1912067
2016-03-21 09:30:00,41.64,41.87,41.3,41.48,798660
2016-03-22 09:30:00,41.53,42.32,41.31,41.81,600119
2016-03-23 09:30:00,41.49,41.54,41.02,41.27,355710
2016-03-24 09:30:00,40.51,40.55,39.89,40.3,686873
2016-03-28 09:30:00,41.07,41.18,40.11,40.41,521075
2016-03-29 09:30:00,41.09,41.09,40.61,40.92,532919
2016-03-30 09:30:00,41.56,42.03,40.96,40.97,468440
2016-03-31 09:30:00,40.81,40.9,40.33,40.47,399681
2016-04-01 09:30:00,39.82,39.91,38.82,39.62,1020020
