open_date,open,high,low,close,volume_base
2016-11-10 09:30:00,28.11,28.38,26.98,27.64,463571
2016-11-11 09:30:00,26.14,26.28,25.31,25.83,907348
2016-11-14 09:30:00,25.74,26.41,25.22,26.0,481938
2016-11-15 09:30:00,25.99,26.62,25.98,26.6,291900
2016-11-16 09:30:00,27.15,27.48,26.85,27.34,137948
2016-11-17 09:30:00,27.62,27.81,26.87,27.29,617837
2016-11-18 09:30:00,28.19,28.34,27.89,28.09,637954
2016-11-21 09:30:00,28.28,28.51,27.52,28.16,1220740
2016-11-22 09:30:00,27.65,27.78,26.69,26.94,960550
2016-11-23 09:30:00,28.69,29.36,28.66,29.17,240115
2016-11-25 09:30:00,28.74,28.74,28.31,28.53,213023
2016-11-28 09:30:00,28.31,28.97,28.22,28.9,163580
2016-11-29 09:30:00,28.99,29.27,28.7,28.91,108728
2016-11-30 09:30:00,29.18,29.38,28.95,29.11,233644
2016-12-01 09:30:00,28.98,29.18,28.41,28.91,291081
2016-12-02 09:30:00,28.21,28.45,28.08,28.34,54609
2016-12-05 09:30:00,28.84,29.13,28.73,29.05,56475
2016-12-06 09:30:00,29.34,29.69,29.13,29.41,167894
2016-12-07 09:30:00,29.89,30.69,29.83,30.5,460308
2016-12-08 09:30:00,30.62,31.05,30.36,31.05,308247
2016-12-09 09:30:00,31.42,32.03,31.23,31.79,207705
2016-12-12 09:30:00,31.91,32.63,31.85,32.63,76854
2016-12-13 09:30:00,32.43,32.54,31.84,32.03,148703
2016-12-14 09:30:00,32.13,32.46,31.88,32.07,142863
2016-12-15 09:30:00,30.76,30.86,30.41,30.42,92208
2016-12-16 09:30:00,30.12,30.7,30.07,30.33,272522
2016-12-19 09:30:00,30.98,31.44,30.79,31.38,46732
2016-12-20 09:30:00,30.02,30.62,30.0,30.52,34519
2016-12-21 09:30:00,30.39,30.84,30.23,30.71,169116
2016-12-22 09:30:00,30.7,30.84,30.53,30.73,68958
2016-12-23 09:30:00,31.94,31.98,31.55,31.8,40521
2016-12-27 09:30:00,32.15,32.7,32.12,32.53,76851
2016-12-28 09:30:00,32.68,32.98,32.68,32.85,57622
2016-12-29 09:30:00,32.78,33.3,32.58,33.22,44850
2016-12-30 09:30:00,33.11,33.71,33.05,33.54,86374
2017-01-03 09:30:00,33.08,33.6,33.08,33.6,140122
2017-01-04 09:30:00,33.05,33.7,32.91,33.57,47520
2017-01-05 09:30:00,32.44,33.08,32.34,32.48,39868
2017-01-06 09:30:00,31.95,32.37,31.91,31.94,26649
2017-01-09 09:30:00,32.29,32.31,31.67,32.25,62866
2017-01-10 09:30:00,34.03,34.18,33.02,33.36,637078
2017-01-11 09:30:00,32.2,32.63,31.6,32.36,296530
2017-01-12 09:30:00,32.19,32.29,31.89,32.12,61590
2017-01-13 09:30:00,32.36,32.61,32.06,32.37,116315
2017-01-17 09:30:00,32.58,32.65,32.41,32.46,29600
2017-01-18 09:30:00,32.24,32.34,32.05,32.11,31503
2017-01-19 09:30:00,32.27,32.35,31.98,31.99,30552
2017-01-20 09:30:00,32.41,32.57,32.26,32.46,34565
2017-01-23 09:30:00,32.44,32.55,32.29,32.54,68288
2017-01-24 09:30:00,32.16,32.46,32.1,32.14,123775
2017-01-25 09:30:00,32.85,33.16,32.75,32.91,19397
2017-01-26 09:30:00,32.09,32.26,32.09,32.25,37480
2017-01-27 09:30:00,32.1,32.1,31.58,31.83,68942
2017-01-30 09:30:00,31.92,32.13,31.92,31.95,18875
2017-01-31 09:30:00,32.34,32.93,32.34,32.86,95991
2017-02-01 09:30:00,33.14,33.48,32.8,32.82,95646
2017-02-02 09:30:00,33.24,33.51,33.16,33.51,100263
2017-02-03 09:30:00,33.94,34.13,33.91,34.08,55180
2017-02-06 09:30:00,34.56,34.7,34.14,34.34,174246
2017-02-07 09:30:00,34.61,35.02,34.55,34.95,67464
2017-02-08 09:30:00,34.64,34.65,34.37,34.62,310793
2017-02-09 09:30:00,34.44,34.85,34.12,34.65,184830
2017-02-10 09:30:00,34.39,34.47,34.04,34.36,53207
2017-02-13 09:30:00,34.6,34.62,34.24,34.62,35773
2017-02-14 09:30:00,34.68,34.83,34.61,34.78,219607
2017-02-15 09:30:00,34.83,35.05,34.8,34.83,23579
2017-02-16 09:30:00,34.89,35.05,34.88,34.98,30351
2017-02-17 09:30:00,35.07,35.23,34.87,34.95,52999
2017-02-21 09:30:00,34.88,35.39,34.88,35.27,96456
2017-02-22 09:30:00,34.75,34.92,34.75,34.85,25676
2017-02-23 09:30:00,35.23,35.23,34.77,34.89,30868
2017-02-24 09:30:00,34.83,34.83,34.69,34.72,10972
2017-02-27 09:30:00,35.01,35.01,34.76,34.81,21088
2017-02-28 09:30:00,34.78,34.95,34.78,34.85,14397
2017-03-01 09:30:00,34.48,34.87,34.45,34.87,25935
2017-03-02 09:30:00,35.01,35.15,34.88,35.06,27871
2017-03-03 09:30:00,35.34,35.49,35.02,35.25,149335
2017-03-06 09:30:00,35.6,35.68,35.32,35.59,197192
2017-03-07 09:30:00,35.31,35.68,35.31,35.68,116607
2017-03-08 09:30:00,35.84,36.14,35.64,36.14,109963
2017-03-09 09:30:00,35.97,36.06,35.75,35.8,53368
2017-03-10 09:30:00,36.17,36.38,36.03,36.36,98265
2017-03-13 09:30:00,36.5,36.59,36.43,36.48,27947
2017-03-14 09:30:00,36.59,36.81,36.44,36.8,41648
2017-03-15 09:30:00,37.4,38.33,37.33,37.92,540508
2017-03-16 09:30:00,37.28,37.48,36.99,36.99,51389
2017-03-17 09:30:00,36.96,37.11,36.88,36.91,219893
2017-03-20 09:30:00,37.31,37.58,37.12,37.52,48603
2017-03-21 09:30:00,37.56,37.78,37.51,37.74,53023
2017-03-22 09:30:00,37.93,38.2,37.77,38.16,138611
2017-03-23 09:30:00,37.39,37.64,37.23,37.36,76627
2017-03-24 09:30:00,37.92,38.12,37.89,37.92,56683
2017-03-27 09:30:00,37.5,37.58,37.23,37.34,61553
2017-03-28 09:30:00,37.87,37.92,37.62,37.74,27299
2017-03-29 09:30:00,37.81,37.87,37.64,37.75,16652
2017-03-30 09:30:00,37.65,37.65,37.36,37.38,42174
2017-03-31 09:30:00,37.1,37.16,37.04,37.04,18377
2017-04-03 09:30:00,37.04,37.26,37.03,37.08,79924
2017-04-04 09:30:00,37.11,37.14,36.67,36.81,67221
2017-04-05 09:30:00,37.15,37.33,37.01,37.12,43193
2017-04-06 09:30:00,38.02,38.02,35.81,36.28,319352
2017-04-07 09:30:00,37.15,37.41,36.81,37.1,385658
2017-04-10 09:30:00,37.86,37.93,37.19,37.31,111502
2017-04-11 09:30:00,37.72,37.81,37.58,37.72,40522
2017-04-12 09:30:00,37.83,37.87,37.54,37.71,20030
2017-04-13 09:30:00,37.19,37.33,37.14,37.16,23591
2017-04-17 09:30:00,36.94,37.04,36.82,36.96,32616
2017-04-18 09:30:00,37.27,37.39,37.1,37.14,64337
2017-04-19 09:30:00,37.29,37.38,37.04,37.18,38762
2017-04-20 09:30:00,37.31,37.36,37.05,37.18,25049
2017-04-21 09:30:00,37.54,37.54,37.1,37.29,13956
2017-04-24 09:30:00,37.5,37.6,37.21,37.31,17612
2017-04-25 09:30:00,37.78,37.85,37.66,37.68,71952
2017-04-26 09:30:00,37.49,37.51,37.32,37.36,23122
2017-04-27 09:30:00,37.32,37.61,37.31,37.46,84183
2017-04-28 09:30:00,37.72,37.77,37.24,37.54,43635
2017-05-01 09:30:00,37.08,37.17,36.83,37.1,28613
2017-05-02 09:30:00,36.92,37.22,36.92,37.14,30831
2017-05-03 09:30:00,36.46,36.68,36.39,36.68,39723
2017-05-04 09:30:00,36.47,36.47,36.19,36.3,47720
2017-05-05 09:30:00,36.47,36.75,36.47,36.66,41384
2017-05-08 09:30:00,36.69,36.74,36.66,36.67,6995
2017-05-09 09:30:00,36.86,37.0,36.59,36.98,64830
2017-05-10 09:30:00,36.92,37.18,36.89,37.15,40160
2017-05-11 09:30:00,37.49,37.64,37.24,37.35,286632
2017-05-12 09:30:00,37.26,37.47,37.26,37.41,8786
2017-05-15 09:30:00,37.32,37.51,37.32,37.5,8593
