open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,50.35,50.77,50.07,50.23,288218
2016-01-05 09:30:00,51.25,51.56,50.82,50.84,217310
2016-01-06 09:30:00,49.67,49.94,48.85,49.04,539586
2016-01-07 09:30:00,48.08,48.08,46.91,47.06,650347
2016-01-08 09:30:00,46.99,47.42,46.84,47.42,376569
2016-01-11 09:30:00,45.87,46.09,44.86,44.91,540980
2016-01-12 09:30:00,45.13,45.68,44.92,45.36,549461
2016-01-13 09:30:00,46.54,46.54,45.61,45.67,455931
2016-01-14 09:30:00,43.72,44.15,43.28,43.33,393524
2016-01-15 09:30:00,43.63,44.26,43.28,43.65,1290129
2016-01-19 09:30:00,43.78,44.34,42.88,43.5,387077
2016-01-20 09:30:00,41.87,42.39,41.28,41.38,501883
2016-01-21 09:30:00,42.27,42.69,41.76,41.95,295689
2016-01-22 09:30:00,45.19,46.69,45.01,46.28,1254548
2016-01-25 09:30:00,45.81,45.86,44.96,45.39,383221
2016-01-26 09:30:00,44.61,45.32,44.09,44.26,359735
2016-01-27 09:30:00,45.08,45.63,44.84,45.41,266189
2016-01-28 09:30:00,45.96,46.8,45.58,45.79,401331
2016-01-29 09:30:00,45.24,45.74,44.85,45.41,348117
2016-02-01 09:30:00,45.28,45.32,44.5,44.86,479466
2016-02-02 09:30:00,43.91,44.52,43.39,44.0,669426
2016-02-03 09:30:00,43.77,44.62,43.15,43.16,486600
2016-02-04 09:30:00,44.29,46.39,44.25,46.18,1178435
2016-02-05 09:30:00,46.01,47.19,45.89,47.0,491329
2016-02-08 09:30:00,45.7,45.72,44.97,45.29,365489
2016-02-09 09:30:00,43.77,44.49,43.29,43.97,288111
2016-02-10 09:30:00,44.12,45.08,43.51,44.23,174898
2016-02-11 09:30:00,42.78,43.27,42.11,43.18,303966
2016-02-12 09:30:00,43.7,44.03,42.86,43.37,535950
2016-02-16 09:30:00,45.29,45.75,44.88,44.95,425670
2016-02-17 09:30:00,46.11,47.27,45.84,46.76,588433
2016-02-18 09:30:00,46.4,46.46,46.1,46.22,332381
2016-02-19 09:30:00,46.49,46.69,45.96,45.96,727564
2016-02-22 09:30:00,46.6,47.38,46.48,46.92,348269
2016-02-23 09:30:00,46.85,46.87,45.96,46.23,234736
2016-02-24 09:30:00,44.35,44.59,43.79,44.16,372519
2016-02-25 09:30:00,45.66,45.83,45.13,45.33,347564
2016-02-26 09:30:00,47.53,47.53,46.84,47.11,512986
2016-02-29 09:30:00,47.46,47.6,47.17,47.27,174078
2016-03-01 09:30:00,47.8,47.85,47.07,47.13,412220
2016-03-02 09:30:00,47.96,48.08,47.44,47.51,343301
2016-03-03 09:30:00,47.26,47.39,46.99,47.13,170298
2016-03-04 09:30:00,47.39,47.72,47.02,47.09,413880
2016-03-07 09:30:00,48.4,49.21,48.29,48.31,446154
2016-03-08 09:30:00,49.04,49.56,48.51,49.04,861274
2016-03-09 09:30:00,48.3,48.58,47.68,48.36,577697
2016-03-10 09:30:00,48.73,49.51,48.55,49.48,330861
2016-03-11 09:30:00,50.98,51.75,50.84,51.52,694398
2016-03-14 09:30:00,51.17,51.55,50.5,50.83,339021
2016-03-15 09:30:00,49.34,49.9,48.66,48.92,338327
2016-03-16 09:30:00,49.1,50.08,49.1,49.86,203514
2016-03-17 09:30:00,51.02,51.99,51.01,51.98,547712
2016-03-18 09:30:00,52.88,53.04,52.12,52.42,1634131
2016-03-21 09:30:00,51.65,51.97,51.43,51.45,252570
2016-03-22 09:30:00,50.57,50.73,50.01,50.18,358580
2016-03-23 09:30:00,50.64,50.64,50.0,50.19,330868
2016-03-24 09:30:00,49.28,49.81,49.09,49.66,282251
2016-03-28 09:30:00,50.41,50.41,50.0,50.19,263202
2016-03-29 09:30:00,49.74,49.85,49.31,49.61,318005
2016-03-30 09:30:00,50.69,51.23,50.48,51.08,239271
2016-03-31 09:30:00,50.73,51.42,50.68,51.13,234493
2016-04-01 09:30:00,49.81,49.94,49.27,49.82,382213
2016-04-04 09:30:00,51.13,51.68,50.87,51.43,254732
2016-04-05 09:30:00,50.03,50.23,49.65,49.93,319736
2016-04-06 09:30:00,50.17,50.26,49.69,49.88,138938
2016-04-07 09:30:00,50.33,50.75,50.15,50.36,151199
2016-04-08 09:30:00,50.56,50.66,50.19,50.39,230676
2016-04-11 09:30:00,49.92,51.08,49.79,50.84,510459
2016-04-12 09:30:00,50.59,51.04,50.37,50.84,147784
2016-04-13 09:30:00,52.28,52.36,51.64,51.84,292732
2016-04-14 09:30:00,52.68,52.68,51.96,52.05,195072
2016-04-15 09:30:00,52.31,52.64,52.03,52.27,616822
2016-04-18 09:30:00,51.13,51.67,50.3,51.37,384668
2016-04-19 09:30:00,52.54,53.05,52.54,53.04,433825
2016-04-20 09:30:00,53.69,53.72,53.31,53.52,242880
2016-04-21 09:30:00,53.57,55.26,53.34,54.41,892011
2016-04-22 09:30:00,54.91,54.91,53.63,54.65,835141
2016-04-25 09:30:00,52.56,53.05,52.24,52.75,323259
2016-04-26 09:30:00,52.37,52.53,52.21,52.37,286328
2016-04-27 09:30:00,52.78,53.21,52.78,53.04,382086
2016-04-28 09:30:00,52.05,52.45,51.87,52.42,273197
2016-04-29 09:30:00,50.49,50.73,49.44,49.57,621490
2016-05-02 09:30:00,48.76,49.15,48.33,48.99,345854
2016-05-03 09:30:00,48.69,48.69,47.83,48.58,472615
2016-05-04 09:30:00,48.39,48.91,48.39,48.85,403360
2016-05-05 09:30:00,48.29,48.88,48.29,48.58,285053
2016-05-06 09:30:00,48.0,48.48,47.87,48.24,172851
2016-05-09 09:30:00,48.06,48.32,47.18,48.32,455641
2016-05-10 09:30:00,47.96,48.2,47.74,48.16,507303
2016-05-11 09:30:00,48.53,48.59,47.9,48.05,213891
2016-05-12 09:30:00,48.89,49.22,48.63,48.74,252515
2016-05-13 09:30:00,47.76,48.54,47.76,48.19,264417
2016-05-16 09:30:00,47.77,48.87,47.63,48.33,283307
2016-05-17 09:30:00,48.96,50.08,48.92,50.08,326808
2016-05-18 09:30:00,49.01,49.27,48.85,48.89,266800
2016-05-19 09:30:00,48.08,48.13,47.29,47.33,331856
2016-05-20 09:30:00,48.1,48.6,47.7,47.73,436822
2016-05-23 09:30:00,47.73,48.09,47.56,47.87,218801
2016-05-24 09:30:00,47.89,47.99,47.65,47.65,248945
2016-05-25 09:30:00,48.37,49.29,48.31,49.2,316151
2016-05-26 09:30:00,49.43,49.86,48.97,48.97,219620
2016-05-27 09:30:00,48.32,48.67,48.07,48.45,173374
2016-05-31 09:30:00,48.77,48.94,48.25,48.82,217390
2016-06-01 09:30:00,48.07,48.34,47.71,47.82,315740
2016-06-02 09:30:00,48.78,48.84,48.14,48.23,275160
2016-06-03 09:30:00,47.84,47.89,47.55,47.62,269956
2016-06-06 09:30:00,47.9,48.31,47.64,48.22,540493
2016-06-07 09:30:00,48.77,49.36,48.35,48.97,1137830
2016-06-08 09:30:00,49.28,49.69,49.25,49.57,377814
2016-06-09 09:30:00,48.61,48.61,48.1,48.1,350969
2016-06-10 09:30:00,47.06,48.15,47.02,48.0,516661
2016-06-13 09:30:00,47.45,47.66,46.97,47.36,590992
2016-06-14 09:30:00,47.06,48.02,47.06,47.25,504312
2016-06-15 09:30:00,47.08,47.45,46.96,47.17,389406
2016-06-16 09:30:00,46.65,46.78,46.29,46.59,397886
2016-06-17 09:30:00,47.17,47.8,47.07,47.7,696896
2016-06-20 09:30:00,48.18,49.2,48.12,48.77,409732
2016-06-21 09:30:00,47.57,47.81,47.38,47.59,361788
2016-06-22 09:30:00,47.4,47.51,47.23,47.29,192365
2016-06-23 09:30:00,47.24,47.24,46.52,47.18,601995
2016-06-24 09:30:00,45.96,46.1,45.31,45.47,561240
2016-06-27 09:30:00,43.85,44.04,42.29,42.57,1288015
2016-06-28 09:30:00,43.36,44.26,43.08,43.08,732811
2016-06-29 09:30:00,43.93,44.12,43.46,43.77,456498
2016-06-30 09:30:00,44.38,44.45,43.63,43.69,355025
2016-07-01 09:30:00,44.33,44.95,44.32,44.87,279832
2016-07-05 09:30:00,44.0,44.07,43.59,43.69,328951
2016-07-06 09:30:00,43.31,43.32,42.58,43.21,469233
2016-07-07 09:30:00,43.87,44.71,43.76,44.62,464685
2016-07-08 09:30:00,44.95,45.55,44.85,45.38,228114
2016-07-11 09:30:00,45.96,46.33,45.67,45.82,287661
2016-07-12 09:30:00,45.56,46.43,45.56,46.12,491984
2016-07-13 09:30:00,46.18,46.37,45.72,46.0,199728
2016-07-14 09:30:00,46.41,46.55,46.03,46.23,370071
2016-07-15 09:30:00,46.44,46.47,46.13,46.41,253884
2016-07-18 09:30:00,46.19,46.44,46.08,46.21,173342
2016-07-19 09:30:00,46.58,46.92,46.37,46.78,173927
2016-07-20 09:30:00,46.79,46.91,46.59,46.75,245661
2016-07-21 09:30:00,47.14,47.62,47.14,47.54,170914
2016-07-22 09:30:00,47.11,47.25,46.91,47.11,200266
2016-07-25 09:30:00,46.46,46.75,46.29,46.49,175042
2016-07-26 09:30:00,47.06,47.12,46.65,46.94,215972
2016-07-27 09:30:00,47.04,47.15,46.71,46.96,209185
2016-07-28 09:30:00,46.53,47.08,46.21,47.08,190507
2016-07-29 09:30:00,45.42,45.42,43.94,44.14,1185347
2016-08-01 09:30:00,44.83,44.93,44.23,44.4,301112
2016-08-02 09:30:00,44.4,44.61,43.86,44.2,489669
2016-08-03 09:30:00,42.92,43.42,42.62,43.34,298687
2016-08-04 09:30:00,43.76,44.29,43.73,44.0,215036
2016-08-05 09:30:00,44.46,44.74,44.28,44.6,321751
2016-08-08 09:30:00,44.54,44.83,44.43,44.76,359279
2016-08-09 09:30:00,45.06,45.12,44.87,44.92,169125
2016-08-10 09:30:00,44.62,44.7,44.34,44.57,229882
2016-08-11 09:30:00,44.51,45.06,44.33,44.91,253719
2016-08-12 09:30:00,45.49,45.89,45.49,45.82,263459
2016-08-15 09:30:00,45.47,46.43,45.47,46.2,266087
2016-08-16 09:30:00,46.82,47.05,46.7,46.97,193290
2016-08-17 09:30:00,46.11,46.23,45.98,46.11,263376
2016-08-18 09:30:00,46.58,46.82,46.45,46.82,143249
2016-08-19 09:30:00,46.85,47.42,46.85,47.19,348327
2016-08-22 09:30:00,47.93,47.93,47.29,47.47,212335
2016-08-23 09:30:00,47.7,48.18,47.36,47.43,290384
2016-08-24 09:30:00,47.29,47.81,47.22,47.67,165865
2016-08-25 09:30:00,47.05,47.47,46.97,47.37,121294
2016-08-26 09:30:00,47.76,48.19,47.59,48.05,212639
2016-08-29 09:30:00,47.64,48.03,47.64,47.69,168396
2016-08-30 09:30:00,47.86,48.37,47.29,48.22,272669
2016-08-31 09:30:00,47.86,48.39,47.71,48.02,243617
2016-09-01 09:30:00,47.51,47.71,47.33,47.55,123183
2016-09-02 09:30:00,47.73,47.97,47.67,47.75,157061
2016-09-06 09:30:00,47.99,48.17,47.64,47.75,247970
2016-09-07 09:30:00,47.72,48.37,47.67,48.32,266569
2016-09-08 09:30:00,47.94,48.05,47.5,47.56,255906
2016-09-09 09:30:00,47.12,47.58,47.0,47.41,252963
2016-09-12 09:30:00,45.62,45.93,45.51,45.78,196903
2016-09-13 09:30:00,45.68,45.96,45.52,45.52,261040
2016-09-14 09:30:00,44.9,45.02,44.63,44.76,369702
2016-09-15 09:30:00,45.46,45.85,45.38,45.69,755476
2016-09-16 09:30:00,45.73,46.29,45.52,46.0,868018
2016-09-19 09:30:00,46.91,47.46,46.84,47.39,371629
2016-09-20 09:30:00,47.41,47.58,46.87,46.91,239823
2016-09-21 09:30:00,47.05,47.47,46.78,46.86,674546
2016-09-22 09:30:00,47.44,47.79,47.38,47.7,263517
2016-09-23 09:30:00,46.89,46.94,46.72,46.88,283951
2016-09-26 09:30:00,46.59,46.59,46.17,46.32,226133
2016-09-27 09:30:00,45.79,46.11,45.64,46.09,548056
2016-09-28 09:30:00,47.13,47.38,46.62,46.75,800475
2016-09-29 09:30:00,48.18,48.88,48.1,48.5,471590
2016-09-30 09:30:00,48.71,49.06,48.5,48.58,184326
2016-10-03 09:30:00,48.7,48.7,48.17,48.32,307125
2016-10-04 09:30:00,48.86,49.37,48.81,48.82,282958
2016-10-05 09:30:00,48.48,48.99,48.42,48.87,260748
2016-10-06 09:30:00,48.99,49.55,48.91,49.54,407875
2016-10-07 09:30:00,50.5,50.56,49.75,49.76,276796
2016-10-10 09:30:00,49.52,50.19,49.52,49.82,369464
2016-10-11 09:30:00,49.09,49.26,48.75,49.09,342551
2016-10-12 09:30:00,48.34,48.47,47.69,48.15,241558
2016-10-13 09:30:00,47.55,47.87,47.29,47.29,888134
2016-10-14 09:30:00,48.72,49.03,48.18,48.34,243890
2016-10-17 09:30:00,47.89,48.26,47.71,47.74,313709
2016-10-18 09:30:00,48.69,49.09,48.49,48.76,555637
2016-10-19 09:30:00,48.44,48.53,48.03,48.08,157278
2016-10-20 09:30:00,48.87,49.53,48.82,49.49,201134
2016-10-21 09:30:00,48.78,48.9,48.65,48.76,336735
2016-10-24 09:30:00,49.37,49.97,49.37,49.96,192326
2016-10-25 09:30:00,49.19,49.27,48.8,48.9,140060
2016-10-26 09:30:00,47.81,48.1,47.69,47.89,311514
2016-10-27 09:30:00,48.88,48.89,48.61,48.75,244077
2016-10-28 09:30:00,48.5,49.01,48.33,48.73,197634
2016-10-31 09:30:00,48.24,48.34,47.97,47.99,240155
2016-11-01 09:30:00,48.22,48.52,48.0,48.18,468136
2016-11-02 09:30:00,46.91,47.07,46.6,46.72,249509
2016-11-03 09:30:00,46.81,47.11,46.73,46.99,150505
2016-11-04 09:30:00,47.28,47.38,46.77,46.87,356390
2016-11-07 09:30:00,48.0,48.27,47.84,47.94,251109
2016-11-08 09:30:00,47.52,47.6,47.05,47.09,141546
2016-11-09 09:30:00,47.16,47.78,46.9,47.68,306182
2016-11-10 09:30:00,49.0,49.9,48.87,49.71,179393
2016-11-11 09:30:00,50.12,50.43,49.85,50.09,366063
2016-11-14 09:30:00,49.14,49.79,48.93,48.93,251967
2016-11-15 09:30:00,49.49,50.03,49.46,49.77,244150
2016-11-16 09:30:00,50.14,50.56,49.8,49.85,500671
2016-11-17 09:30:00,50.46,50.49,49.97,50.23,331631
2016-11-18 09:30:00,49.83,50.2,49.76,50.03,379068
2016-11-21 09:30:00,50.42,50.6,50.32,50.48,149292
2016-11-22 09:30:00,51.58,51.58,51.32,51.47,430388
2016-11-23 09:30:00,51.43,51.72,51.2,51.49,259257
2016-11-25 09:30:00,52.14,52.67,52.14,52.67,234969
2016-11-28 09:30:00,52.75,52.91,52.56,52.62,330632
2016-11-29 09:30:00,51.56,51.78,51.21,51.54,348881
2016-11-30 09:30:00,52.19,53.24,52.19,52.86,974559
2016-12-01 09:30:00,55.34,55.95,55.14,55.85,1054393
2016-12-02 09:30:00,55.22,55.36,54.47,55.08,613198
2016-12-05 09:30:00,54.75,55.1,54.44,54.76,312062
2016-12-06 09:30:00,53.66,53.66,52.95,52.99,412169
2016-12-07 09:30:00,53.52,54.11,53.24,53.49,209318
2016-12-08 09:30:00,54.41,55.0,54.24,54.35,251652
2016-12-09 09:30:00,55.04,55.17,54.29,54.34,350368
2016-12-12 09:30:00,54.19,54.67,54.09,54.43,298425
2016-12-13 09:30:00,54.39,54.69,54.08,54.11,372097
2016-12-14 09:30:00,54.22,54.63,54.03,54.07,145340
2016-12-15 09:30:00,53.23,53.5,52.51,53.49,433666
2016-12-16 09:30:00,54.21,54.21,53.74,53.96,866166
2016-12-19 09:30:00,54.1,54.23,53.62,53.66,159554
2016-12-20 09:30:00,53.8,54.11,53.47,54.11,187822
2016-12-21 09:30:00,53.66,53.66,53.2,53.31,252881
2016-12-22 09:30:00,53.53,53.63,53.0,53.21,240576
2016-12-23 09:30:00,53.2,53.32,52.9,52.92,86592
2016-12-27 09:30:00,53.41,53.68,53.37,53.43,80210
2016-12-28 09:30:00,53.15,53.35,52.86,52.86,135277
2016-12-29 09:30:00,52.58,52.93,52.49,52.57,93530
2016-12-30 09:30:00,52.49,52.49,52.04,52.11,161245
2017-01-03 09:30:00,52.93,53.03,52.58,52.78,213826
2017-01-04 09:30:00,53.07,53.66,53.06,53.66,401536
2017-01-05 09:30:00,53.77,54.5,53.65,54.04,309586
2017-01-06 09:30:00,54.03,54.07,53.65,53.75,197348
2017-01-09 09:30:00,53.42,53.6,53.19,53.46,150673
2017-01-10 09:30:00,52.93,53.25,52.81,52.98,209542
2017-01-11 09:30:00,53.03,53.55,52.65,53.41,464988
2017-01-12 09:30:00,53.8,54.36,53.65,54.26,349695
2017-01-13 09:30:00,54.58,55.17,54.58,55.08,300965
2017-01-17 09:30:00,54.53,54.88,54.4,54.64,226279
2017-01-18 09:30:00,54.74,55.18,54.56,54.74,307405
2017-01-19 09:30:00,54.89,55.03,54.63,54.7,223739
2017-01-20 09:30:00,55.23,55.93,55.23,55.64,792610
2017-01-23 09:30:00,55.11,55.42,54.89,55.0,455662
2017-01-24 09:30:00,55.9,56.85,55.81,56.83,338872
2017-01-25 09:30:00,57.85,58.06,57.3,58.06,339137
2017-01-26 09:30:00,58.29,58.91,58.02,58.9,454051
2017-01-27 09:30:00,57.98,58.01,57.47,57.75,324200
2017-01-30 09:30:00,57.77,57.77,56.99,57.39,361851
2017-01-31 09:30:00,57.04,57.1,56.6,56.74,188335
2017-02-01 09:30:00,57.03,58.02,57.03,57.17,332832
2017-02-02 09:30:00,57.7,57.9,57.14,57.17,360789
2017-02-03 09:30:00,57.02,58.22,56.57,57.85,671863
2017-02-06 09:30:00,57.45,57.82,57.25,57.58,204162
2017-02-07 09:30:00,56.77,57.31,55.6,57.2,768521
2017-02-08 09:30:00,56.21,56.27,55.59,55.59,279738
2017-02-09 09:30:00,55.96,56.46,55.96,56.23,403050
2017-02-10 09:30:00,55.96,56.44,55.96,56.29,612316
2017-02-13 09:30:00,56.37,56.44,55.82,55.96,266488
2017-02-14 09:30:00,56.15,56.39,56.0,56.3,297768
2017-02-15 09:30:00,56.58,56.64,56.18,56.37,128790
2017-02-16 09:30:00,56.57,56.81,56.22,56.77,178162
2017-02-17 09:30:00,56.25,56.38,56.12,56.18,387034
2017-02-21 09:30:00,56.72,57.06,56.49,56.99,234558
2017-02-22 09:30:00,57.19,57.53,57.08,57.45,237618
2017-02-23 09:30:00,57.31,57.58,56.84,56.91,229372
2017-02-24 09:30:00,56.1,56.1,55.67,55.7,458326
2017-02-27 09:30:00,55.55,55.99,55.1,55.96,482951
2017-02-28 09:30:00,55.37,55.51,54.66,55.12,495819
2017-03-01 09:30:00,56.33,57.33,56.3,57.33,418858
2017-03-02 09:30:00,57.06,57.33,56.82,57.09,240394
2017-03-03 09:30:00,56.66,56.89,56.36,56.61,213678
2017-03-06 09:30:00,56.45,56.58,56.22,56.47,124321
2017-03-07 09:30:00,56.02,56.17,55.41,55.81,649228
2017-03-08 09:30:00,55.98,56.17,55.79,55.99,370868
2017-03-09 09:30:00,55.19,55.19,54.67,55.01,287217
2017-03-10 09:30:00,55.29,55.31,54.71,54.94,358657
2017-03-13 09:30:00,55.12,55.45,55.12,55.15,101708
2017-03-14 09:30:00,54.76,54.89,54.21,54.45,230930
2017-03-15 09:30:00,55.05,55.56,54.78,55.34,379436
2017-03-16 09:30:00,55.94,55.98,55.54,55.6,125152
2017-03-17 09:30:00,55.65,55.79,55.45,55.5,739211
2017-03-20 09:30:00,55.33,55.54,54.9,54.99,131945
2017-03-21 09:30:00,55.4,55.79,55.32,55.42,211130
2017-03-22 09:30:00,54.13,54.44,53.96,54.02,133692
2017-03-23 09:30:00,54.05,54.09,53.61,54.03,174866
2017-03-24 09:30:00,54.24,54.52,54.08,54.29,124826
2017-03-27 09:30:00,53.25,53.25,52.58,53.14,295481
2017-03-28 09:30:00,54.42,55.26,54.42,55.26,277702
2017-03-29 09:30:00,55.65,55.88,55.51,55.65,119546
2017-03-30 09:30:00,55.78,56.17,55.63,56.09,128990
2017-03-31 09:30:00,55.85,56.09,55.63,55.94,295923
2017-04-03 09:30:00,56.17,56.33,55.5,55.63,179494
2017-04-04 09:30:00,55.48,55.79,55.28,55.48,98707
2017-04-05 09:30:00,56.1,56.36,55.77,56.33,306996
2017-04-06 09:30:00,54.37,54.47,54.02,54.27,257323
2017-04-07 09:30:00,54.59,54.74,54.12,54.14,110155
2017-04-10 09:30:00,54.97,55.19,54.47,54.91,142182
2017-04-11 09:30:00,54.31,54.45,53.73,54.02,227216
2017-04-12 09:30:00,54.07,54.16,53.34,53.35,212587
2017-04-13 09:30:00,52.95,53.32,52.76,53.32,357105
2017-04-17 09:30:00,52.35,52.5,52.22,52.22,149878
2017-04-18 09:30:00,52.13,52.85,52.02,52.78,384112
2017-04-19 09:30:00,52.98,53.4,52.83,52.99,143497
2017-04-20 09:30:00,52.8,53.12,52.56,52.88,188016
2017-04-21 09:30:00,52.5,52.84,52.39,52.76,467182
2017-04-24 09:30:00,53.17,53.33,52.97,53.13,255993
2017-04-25 09:30:00,53.41,53.78,53.15,53.69,234690
2017-04-26 09:30:00,53.27,53.33,53.06,53.23,82926
2017-04-27 09:30:00,53.4,53.66,53.05,53.37,328874
2017-04-28 09:30:00,53.04,53.04,52.16,52.21,817247
2017-05-01 09:30:00,52.18,52.3,51.89,52.02,144336
2017-05-02 09:30:00,51.1,51.4,50.89,50.97,703195
2017-05-03 09:30:00,50.95,51.35,50.92,50.98,415178
2017-05-04 09:30:00,50.27,50.33,49.44,49.75,478931
2017-05-05 09:30:00,50.14,50.61,50.04,50.59,224010
2017-05-08 09:30:00,50.1,50.72,49.95,50.43,752208
2017-05-09 09:30:00,49.69,50.21,49.63,50.11,418122
2017-05-10 09:30:00,50.45,50.62,50.33,50.44,315637
2017-05-11 09:30:00,50.65,51.02,50.01,50.15,250824
2017-05-12 09:30:00,49.99,50.37,49.93,50.28,181043
2017-05-15 09:30:00,50.22,51.37,50.12,51.17,588998
2017-05-16 09:30:00,50.77,51.02,50.59,50.65,193622
2017-05-17 09:30:00,50.52,50.65,49.72,49.73,475671
2017-05-18 09:30:00,48.84,49.38,48.52,48.87,351303
2017-05-19 09:30:00,49.63,50.2,49.44,50.06,530800
2017-05-22 09:30:00,50.19,50.36,49.28,49.44,289177
2017-05-23 09:30:00,49.51,49.71,49.3,49.31,143994
2017-05-24 09:30:00,50.19,50.34,49.82,50.2,182849
2017-05-25 09:30:00,50.19,50.51,49.93,50.36,157779
2017-05-26 09:30:00,49.49,49.58,49.12,49.48,178972
2017-05-30 09:30:00,49.44,49.56,49.27,49.44,188260
2017-05-31 09:30:00,49.31,49.33,48.79,48.79,420943
2017-06-01 09:30:00,49.5,50.08,49.39,50.0,329366
2017-06-02 09:30:00,49.95,50.26,49.84,50.01,215969
2017-06-05 09:30:00,49.52,49.65,49.24,49.39,176671
2017-06-06 09:30:00,48.69,48.85,48.43,48.82,463022
2017-06-07 09:30:00,48.99,49.88,48.99,49.85,225492
2017-06-08 09:30:00,49.2,49.43,49.08,49.23,176623
2017-06-09 09:30:00,49.46,50.03,49.39,49.92,175271
2017-06-12 09:30:00,50.82,51.5,50.72,50.86,250668
2017-06-13 09:30:00,50.47,50.84,50.34,50.8,264548
2017-06-14 09:30:00,51.63,51.63,51.21,51.44,305582
2017-06-15 09:30:00,49.78,50.13,49.68,49.77,172966
2017-06-16 09:30:00,49.74,50.1,49.71,49.92,492024
2017-06-19 09:30:00,50.57,50.82,50.48,50.71,202085
2017-06-20 09:30:00,49.9,50.06,48.97,49.25,369235
2017-06-21 09:30:00,49.92,49.92,49.51,49.81,239080
2017-06-22 09:30:00,49.64,49.86,49.4,49.83,195837
2017-06-23 09:30:00,49.77,49.87,49.41,49.61,144755
2017-06-26 09:30:00,50.11,50.28,49.85,50.0,291485
2017-06-27 09:30:00,50.6,50.86,50.35,50.78,274173
2017-06-28 09:30:00,51.32,51.59,51.26,51.57,218614
2017-06-29 09:30:00,52.38,52.65,52.07,52.14,494324
2017-06-30 09:30:00,52.44,52.49,52.08,52.48,196241
