open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,89.83,90.04,88.88,89.07,692233
2016-01-05 09:30:00,89.84,90.26,89.53,89.59,470652
2016-01-06 09:30:00,88.24,89.09,88.18,88.8,417170
2016-01-07 09:30:00,86.41,86.53,85.59,86.38,812171
2016-01-08 09:30:00,86.8,87.06,86.45,86.97,653140
2016-01-11 09:30:00,85.18,85.91,85.0,85.13,484783
2016-01-12 09:30:00,86.45,86.71,86.11,86.28,499798
2016-01-13 09:30:00,86.9,86.97,86.21,86.48,429622
2016-01-14 09:30:00,84.38,84.77,84.15,84.4,589216
2016-01-15 09:30:00,83.07,84.15,83.06,83.69,1205866
2016-01-19 09:30:00,84.53,84.7,83.64,83.89,763970
2016-01-20 09:30:00,79.94,80.72,79.39,80.34,1038776
2016-01-21 09:30:00,80.44,80.76,79.81,80.01,525872
2016-01-22 09:30:00,82.51,83.36,82.49,83.34,698365
2016-01-25 09:30:00,82.71,83.23,82.49,82.59,340166
2016-01-26 09:30:00,82.11,82.23,81.55,81.84,551662
2016-01-27 09:30:00,82.01,82.16,81.24,81.46,404503
2016-01-28 09:30:00,80.54,80.84,79.48,79.84,836884
2016-01-29 09:30:00,76.85,79.3,76.45,78.75,3100246
2016-02-01 09:30:00,83.55,83.6,82.46,82.65,683620
2016-02-02 09:30:00,82.75,82.81,82.05,82.22,559430
2016-02-03 09:30:00,81.7,81.88,81.29,81.42,520405
2016-02-04 09:30:00,81.39,81.99,81.18,81.5,455789
2016-02-05 09:30:00,81.21,81.47,80.28,80.43,373740
2016-02-08 09:30:00,76.86,77.09,76.35,76.85,1312929
2016-02-09 09:30:00,74.42,77.5,74.11,77.48,1126138
2016-02-10 09:30:00,78.33,79.89,78.27,79.76,805502
2016-02-11 09:30:00,75.65,77.77,75.49,77.28,1015495
2016-02-12 09:30:00,78.92,79.36,78.67,78.88,646115
2016-02-16 09:30:00,81.28,81.72,80.77,81.04,579614
2016-02-17 09:30:00,82.05,82.58,81.72,82.15,487529
2016-02-18 09:30:00,81.71,82.54,81.71,82.34,384926
2016-02-19 09:30:00,80.84,81.5,80.57,80.74,908588
2016-02-22 09:30:00,83.02,83.27,82.7,83.04,443941
