open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,63.5,63.65,63.08,63.3,23874
2016-01-05 09:30:00,63.45,63.91,63.02,63.86,24767
2016-01-06 09:30:00,63.5,64.17,63.22,63.86,17872
2016-01-07 09:30:00,62.95,63.55,62.61,63.41,56464
2016-01-08 09:30:00,64.0,64.38,63.9,64.23,18304
2016-01-11 09:30:00,63.42,64.04,62.89,63.67,32514
2016-01-12 09:30:00,63.84,63.84,63.09,63.1,31746
2016-01-13 09:30:00,63.69,63.69,62.96,63.51,28552
2016-01-14 09:30:00,63.27,63.93,63.2,63.34,31760
2016-01-15 09:30:00,62.41,62.93,61.8,62.42,67266
2016-01-19 09:30:00,64.35,65.16,63.8,64.76,42567
2016-01-20 09:30:00,64.05,64.34,63.26,63.29,24860
2016-01-21 09:30:00,63.69,64.34,63.14,63.27,70222
2016-01-22 09:30:00,64.02,64.6,63.07,64.43,40334
2016-01-25 09:30:00,64.85,65.82,64.43,65.81,38985
2016-01-26 09:30:00,65.8,66.57,65.58,66.23,38860
2016-01-27 09:30:00,67.1,67.1,65.97,66.08,69599
2016-01-28 09:30:00,65.65,66.23,65.42,65.73,31647
2016-01-29 09:30:00,65.81,66.14,64.85,65.53,53801
2016-02-01 09:30:00,66.06,66.8,65.81,66.7,26705
2016-02-02 09:30:00,66.4,66.83,65.48,65.57,61403
2016-02-03 09:30:00,65.79,66.76,65.51,65.86,67244
2016-02-04 09:30:00,65.2,65.45,61.03,61.42,278780
2016-02-05 09:30:00,61.88,62.95,61.14,61.62,65828
2016-02-08 09:30:00,60.54,60.96,59.19,59.33,46826
2016-02-09 09:30:00,59.39,60.28,59.33,59.98,22992
2016-02-10 09:30:00,60.6,61.26,60.18,60.72,40903
2016-02-11 09:30:00,60.28,60.86,59.48,60.06,34687
2016-02-12 09:30:00,60.69,61.58,60.18,60.52,37724
2016-02-16 09:30:00,61.2,61.87,60.59,61.46,91895
2016-02-17 09:30:00,62.73,63.69,61.96,63.12,44097
2016-02-18 09:30:00,63.27,63.62,62.71,63.62,59721
2016-02-19 09:30:00,64.32,65.05,63.33,64.73,56526
2016-02-22 09:30:00,65.14,65.82,65.14,65.71,19353
2016-02-23 09:30:00,65.51,66.49,65.22,66.28,54263
2016-02-24 09:30:00,64.78,65.75,64.42,64.48,68371
2016-02-25 09:30:00,64.89,65.65,64.89,65.65,41081
2016-02-26 09:30:00,65.41,65.7,65.19,65.4,45105
2016-02-29 09:30:00,65.14,65.46,64.8,64.81,44331
2016-03-01 09:30:00,64.31,65.43,64.31,65.25,69403
2016-03-02 09:30:00,66.29,66.78,66.06,66.68,43143
2016-03-03 09:30:00,67.09,67.09,66.65,66.76,15621
2016-03-04 09:30:00,66.57,66.92,66.29,66.34,31635
2016-03-07 09:30:00,65.81,66.58,65.71,66.36,23396
2016-03-08 09:30:00,66.62,67.15,66.29,66.77,28661
2016-03-09 09:30:00,66.49,67.09,66.47,66.94,18481
2016-03-10 09:30:00,67.02,67.19,66.63,67.03,26612
2016-03-11 09:30:00,66.86,67.3,66.24,66.92,39248
2016-03-14 09:30:00,67.7,68.04,67.43,67.7,19113
2016-03-15 09:30:00,67.87,68.34,67.61,68.02,14568
2016-03-16 09:30:00,68.6,68.95,68.5,68.9,21280
2016-03-17 09:30:00,70.48,70.78,70.17,70.3,24523
2016-03-18 09:30:00,71.55,71.76,71.09,71.71,242502
2016-03-21 09:30:00,71.23,71.49,71.06,71.45,33236
2016-03-22 09:30:00,70.43,70.63,70.09,70.35,42132
2016-03-23 09:30:00,70.56,70.64,70.03,70.2,15713
2016-03-24 09:30:00,69.89,70.23,69.44,69.44,25992
2016-03-28 09:30:00,70.16,70.16,69.82,69.84,18992
2016-03-29 09:30:00,70.7,71.4,70.7,71.02,52668
2016-03-30 09:30:00,71.84,72.2,71.37,71.8,12714
2016-03-31 09:30:00,71.74,72.14,71.33,72.08,26462
2016-04-01 09:30:00,72.1,72.62,71.81,72.62,15851
2016-04-04 09:30:00,72.85,73.03,72.31,72.47,21480
2016-04-05 09:30:00,71.88,72.38,71.66,71.97,23230
2016-04-06 09:30:00,71.93,72.1,71.74,71.9,8546
2016-04-07 09:30:00,72.24,72.4,72.1,72.23,15593
2016-04-08 09:30:00,72.52,72.71,72.25,72.7,14717
2016-04-11 09:30:00,72.71,72.74,72.27,72.34,31709
2016-04-12 09:30:00,71.92,72.05,71.77,71.89,13616
2016-04-13 09:30:00,72.51,72.75,72.07,72.15,94099
2016-04-14 09:30:00,70.71,71.04,70.24,70.24,22856
2016-04-15 09:30:00,68.61,69.03,68.51,69.01,17771
2016-04-18 09:30:00,70.03,70.25,69.68,69.76,30312
2016-04-19 09:30:00,70.54,70.81,70.16,70.32,36758
2016-04-20 09:30:00,70.74,70.74,70.31,70.59,14433
2016-04-21 09:30:00,69.37,69.37,68.93,69.15,10231
2016-04-22 09:30:00,67.58,68.9,67.58,68.79,38888
2016-04-25 09:30:00,68.7,68.92,68.58,68.92,37902
2016-04-26 09:30:00,69.78,70.38,69.33,70.38,23804
2016-04-27 09:30:00,69.58,70.62,69.14,69.22,44986
2016-04-28 09:30:00,68.88,69.53,68.88,69.34,17418
2016-04-29 09:30:00,68.6,68.86,68.26,68.53,12651
2016-05-02 09:30:00,68.44,69.73,68.44,69.38,15607
2016-05-03 09:30:00,69.46,69.63,69.15,69.22,13359
2016-05-04 09:30:00,69.15,69.88,68.5,69.7,19093
2016-05-05 09:30:00,70.63,71.54,70.34,71.04,21446
2016-05-06 09:30:00,71.81,72.14,71.08,71.61,31661
2016-05-09 09:30:00,73.19,73.58,72.92,72.93,25055
2016-05-10 09:30:00,73.67,73.92,73.07,73.88,41814
2016-05-11 09:30:00,73.52,73.52,72.85,73.14,10946
2016-05-12 09:30:00,72.11,72.31,71.37,72.14,54614
2016-05-13 09:30:00,72.9,73.0,72.34,72.89,49191
2016-05-16 09:30:00,73.41,73.68,73.13,73.42,48349
2016-05-17 09:30:00,73.84,73.91,72.89,72.9,14591
2016-05-18 09:30:00,72.03,72.27,71.63,71.82,57923
2016-05-19 09:30:00,70.4,70.8,70.28,70.59,33253
2016-05-20 09:30:00,71.17,71.72,70.78,71.72,17970
2016-05-23 09:30:00,71.79,71.79,71.27,71.41,10606
2016-05-24 09:30:00,71.52,72.41,71.52,72.39,29286
2016-05-25 09:30:00,72.66,72.66,71.59,72.09,27400
2016-05-26 09:30:00,72.18,72.6,71.78,72.14,20012
2016-05-27 09:30:00,72.24,72.57,71.67,72.51,28429
2016-05-31 09:30:00,73.22,73.34,72.49,72.72,14974
2016-06-01 09:30:00,73.14,73.42,72.84,73.21,91637
2016-06-02 09:30:00,73.2,73.46,72.54,72.61,27064
2016-06-03 09:30:00,73.4,73.6,72.21,72.26,146295
2016-06-06 09:30:00,71.42,71.88,70.54,70.54,42569
2016-06-07 09:30:00,70.25,70.72,69.93,70.15,101062
2016-06-08 09:30:00,70.41,70.92,69.7,70.11,50518
2016-06-09 09:30:00,70.18,70.35,69.91,70.26,44253
2016-06-10 09:30:00,69.91,70.41,69.87,69.87,29631
2016-06-13 09:30:00,70.29,71.22,70.21,71.16,27834
2016-06-14 09:30:00,71.79,72.06,71.17,71.59,44707
2016-06-15 09:30:00,71.6,72.09,71.5,72.09,41275
2016-06-16 09:30:00,72.31,72.74,72.31,72.62,18303
2016-06-17 09:30:00,73.07,73.24,72.38,72.54,144558
2016-06-20 09:30:00,73.02,73.73,72.99,73.52,44575
2016-06-21 09:30:00,72.54,73.02,72.54,72.94,32277
2016-06-22 09:30:00,72.92,72.96,72.47,72.68,17663
2016-06-23 09:30:00,73.45,73.63,73.14,73.4,18793
2016-06-24 09:30:00,71.86,72.29,71.52,72.16,53965
2016-06-27 09:30:00,71.91,72.62,71.91,72.41,34057
