open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,24.08,24.12,23.91,23.91,222555
2016-01-05 09:30:00,24.13,24.37,24.06,24.06,358799
2016-01-06 09:30:00,23.64,24.05,23.64,23.88,573238
2016-01-07 09:30:00,23.25,23.49,23.21,23.45,241542
2016-01-08 09:30:00,22.8,22.95,22.61,22.85,575104
2016-01-11 09:30:00,22.2,22.42,21.98,21.99,633205
2016-01-12 09:30:00,22.09,22.29,21.98,22.17,431770
2016-01-13 09:30:00,22.23,22.4,22.13,22.19,550136
2016-01-14 09:30:00,21.34,21.35,20.93,21.11,700968
2016-01-15 09:30:00,21.21,21.38,21.1,21.28,755600
2016-01-19 09:30:00,21.77,21.98,21.72,21.79,677202
2016-01-20 09:30:00,21.05,21.25,20.93,20.97,401397
2016-01-21 09:30:00,21.12,21.28,20.95,21.05,359434
2016-01-22 09:30:00,22.21,22.72,22.18,22.67,856038
2016-01-25 09:30:00,22.31,22.33,22.05,22.16,370907
2016-01-26 09:30:00,22.02,22.1,21.67,21.79,365204
2016-01-27 09:30:00,22.2,22.35,22.17,22.2,202841
2016-01-28 09:30:00,22.51,22.64,22.44,22.58,222960
2016-01-29 09:30:00,22.29,22.59,21.96,22.5,667543
2016-02-01 09:30:00,22.78,22.86,22.66,22.77,162049
2016-02-02 09:30:00,22.52,22.58,22.19,22.29,209680
2016-02-03 09:30:00,22.02,22.15,21.63,21.67,357401
2016-02-04 09:30:00,21.83,22.36,21.83,22.34,280237
2016-02-05 09:30:00,22.0,22.12,21.87,21.97,160970
2016-02-08 09:30:00,20.77,20.83,20.41,20.59,725477
2016-02-09 09:30:00,21.38,22.25,20.49,21.86,1708430
2016-02-10 09:30:00,22.3,22.92,22.23,22.57,666682
2016-02-11 09:30:00,21.76,22.21,21.69,22.12,296948
2016-02-12 09:30:00,21.96,22.18,21.91,21.96,444578
2016-02-16 09:30:00,22.84,22.86,22.33,22.35,324187
2016-02-17 09:30:00,23.11,23.43,23.1,23.2,901909
2016-02-18 09:30:00,23.68,23.71,23.44,23.5,378377
2016-02-19 09:30:00,23.4,23.57,23.3,23.49,327250
2016-02-22 09:30:00,24.13,24.32,24.13,24.32,383488
2016-02-23 09:30:00,24.12,24.43,23.98,24.26,351252
2016-02-24 09:30:00,24.37,24.46,24.27,24.32,263166
2016-02-25 09:30:00,24.92,25.22,24.7,24.7,361466
2016-02-26 09:30:00,25.21,25.29,25.09,25.09,276747
2016-02-29 09:30:00,25.02,25.23,24.95,25.17,157175
2016-03-01 09:30:00,24.69,24.89,24.62,24.83,264432
2016-03-02 09:30:00,25.28,25.41,25.15,25.19,393245
2016-03-03 09:30:00,25.3,25.3,25.0,25.15,244372
2016-03-04 09:30:00,25.16,25.35,25.12,25.31,211918
2016-03-07 09:30:00,25.02,25.1,24.84,24.9,298744
2016-03-08 09:30:00,24.99,25.17,24.83,25.08,371705
2016-03-09 09:30:00,25.37,25.46,25.07,25.18,325919
2016-03-10 09:30:00,25.44,25.68,25.15,25.58,391896
2016-03-11 09:30:00,25.6,25.67,25.28,25.46,478899
2016-03-14 09:30:00,25.46,25.55,25.27,25.31,250926
2016-03-15 09:30:00,25.37,25.64,25.31,25.61,367318
2016-03-16 09:30:00,25.75,26.03,25.75,25.93,332201
2016-03-17 09:30:00,25.97,26.16,25.92,26.15,162504
2016-03-18 09:30:00,26.65,26.77,26.6,26.71,963694
2016-03-21 09:30:00,26.72,26.91,26.71,26.73,371235
2016-03-22 09:30:00,26.57,26.86,26.51,26.85,187866
2016-03-23 09:30:00,26.78,27.16,26.76,27.13,350565
2016-03-24 09:30:00,26.78,26.8,26.63,26.77,169375
2016-03-28 09:30:00,26.87,27.06,26.82,26.97,75584
2016-03-29 09:30:00,27.07,27.21,27.02,27.18,149803
2016-03-30 09:30:00,27.39,27.53,27.21,27.24,139972
2016-03-31 09:30:00,27.21,27.44,27.11,27.16,620275
2016-04-01 09:30:00,27.21,27.53,27.11,27.52,300221
2016-04-04 09:30:00,27.79,27.85,27.62,27.7,318231
2016-04-05 09:30:00,27.22,27.34,27.06,27.34,215334
2016-04-06 09:30:00,27.33,27.49,27.32,27.49,121728
2016-04-07 09:30:00,27.53,27.82,27.45,27.82,194127
2016-04-08 09:30:00,27.6,27.62,27.49,27.53,177628
2016-04-11 09:30:00,27.67,27.88,27.64,27.76,185256
2016-04-12 09:30:00,27.39,27.62,27.39,27.62,138520
2016-04-13 09:30:00,27.87,28.02,27.8,27.9,166532
2016-04-14 09:30:00,28.12,28.19,28.03,28.04,155428
2016-04-15 09:30:00,28.08,28.08,27.92,28.03,173804
2016-04-18 09:30:00,28.07,28.23,27.97,28.17,204483
2016-04-19 09:30:00,28.22,28.47,28.15,28.44,148106
2016-04-20 09:30:00,28.22,28.25,28.07,28.22,105327
2016-04-21 09:30:00,28.55,28.6,28.29,28.33,291032
2016-04-22 09:30:00,28.17,28.36,28.13,28.22,217840
2016-04-25 09:30:00,28.25,28.28,27.98,28.0,189495
2016-04-26 09:30:00,28.22,28.22,26.69,27.06,1294402
2016-04-27 09:30:00,27.69,27.72,27.33,27.39,269170
2016-04-28 09:30:00,27.47,27.62,27.37,27.57,327049
2016-04-29 09:30:00,27.03,27.06,26.61,26.74,165487
2016-05-02 09:30:00,26.81,27.08,26.74,26.93,239248
2016-05-03 09:30:00,27.21,27.23,26.93,26.94,332665
2016-05-04 09:30:00,26.61,26.72,26.48,26.7,135648
2016-05-05 09:30:00,26.81,26.97,26.74,26.9,173768
2016-05-06 09:30:00,27.02,27.33,27.01,27.28,345863
2016-05-09 09:30:00,27.59,27.74,27.48,27.69,356266
2016-05-10 09:30:00,27.79,27.97,27.64,27.96,186474
2016-05-11 09:30:00,28.01,28.12,27.91,27.92,140985
2016-05-12 09:30:00,27.6,27.73,27.47,27.49,311263
2016-05-13 09:30:00,27.25,27.48,27.22,27.35,225018
2016-05-16 09:30:00,27.17,27.36,27.06,27.36,462291
