open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,18.98,18.99,18.81,18.95,390584
2016-01-05 09:30:00,19.11,19.25,19.04,19.08,330824
2016-01-06 09:30:00,18.61,18.85,18.5,18.76,347592
2016-01-07 09:30:00,18.24,18.59,18.19,18.45,843984
2016-01-08 09:30:00,17.88,17.88,17.77,17.78,392344
2016-01-11 09:30:00,17.42,17.52,17.37,17.43,280796
2016-01-12 09:30:00,17.45,17.54,17.33,17.45,263768
2016-01-13 09:30:00,17.51,18.23,17.48,18.17,1116324
2016-01-14 09:30:00,17.24,17.27,17.04,17.04,475172
2016-01-15 09:30:00,17.21,17.21,16.48,16.91,1196878
2016-01-19 09:30:00,17.53,18.34,17.02,17.11,2139388
2016-01-20 09:30:00,17.83,17.97,17.38,17.52,3685600
2016-01-21 09:30:00,18.01,18.2,17.8,17.92,943250
2016-01-22 09:30:00,18.41,18.52,18.09,18.17,847380
2016-01-25 09:30:00,17.88,18.11,17.7,17.88,736526
2016-01-26 09:30:00,17.92,18.11,17.92,18.1,466494
2016-01-27 09:30:00,18.32,18.43,18.08,18.18,586390
2016-01-28 09:30:00,18.16,18.24,18.0,18.07,528376
2016-01-29 09:30:00,18.0,18.27,18.0,18.25,315600
2016-02-01 09:30:00,18.48,18.64,18.26,18.47,261338
2016-02-02 09:30:00,18.15,18.2,17.93,18.01,690688
2016-02-03 09:30:00,17.48,17.97,17.48,17.74,1339538
2016-02-04 09:30:00,17.64,17.92,16.92,17.06,1879272
2016-02-05 09:30:00,17.73,18.17,17.54,17.69,439000
2016-02-08 09:30:00,17.36,17.46,17.17,17.26,653638
2016-02-09 09:30:00,17.02,17.4,16.97,17.31,346510
2016-02-10 09:30:00,17.18,17.34,17.01,17.16,305488
2016-02-11 09:30:00,16.5,16.61,16.42,16.53,357992
2016-02-12 09:30:00,16.63,16.7,16.37,16.4,359234
2016-02-16 09:30:00,17.06,17.38,16.99,17.06,728490
2016-02-17 09:30:00,17.36,17.75,17.36,17.6,368330
2016-02-18 09:30:00,17.8,17.92,17.62,17.76,448098
2016-02-19 09:30:00,17.59,17.71,17.48,17.6,578038
2016-02-22 09:30:00,17.89,18.12,17.85,18.1,325628
2016-02-23 09:30:00,17.94,18.16,17.87,18.14,311240
2016-02-24 09:30:00,17.42,17.57,17.41,17.5,339704
2016-02-25 09:30:00,18.39,18.41,18.13,18.25,417732
2016-02-26 09:30:00,18.46,18.56,18.41,18.49,199082
2016-02-29 09:30:00,18.73,18.93,18.71,18.75,296418
2016-03-01 09:30:00,18.7,18.86,18.48,18.55,932800
2016-03-02 09:30:00,18.82,19.07,18.77,19.03,389932
2016-03-03 09:30:00,19.2,19.27,19.12,19.14,178380
2016-03-04 09:30:00,19.36,19.43,19.24,19.33,235584
2016-03-07 09:30:00,19.65,19.79,19.63,19.66,580100
2016-03-08 09:30:00,19.82,19.99,19.72,19.86,415420
2016-03-09 09:30:00,19.72,19.79,19.6,19.69,244642
2016-03-10 09:30:00,19.92,20.02,19.8,20.0,393886
2016-03-11 09:30:00,19.96,20.12,19.84,20.11,193494
2016-03-14 09:30:00,20.38,20.38,20.12,20.19,340404
2016-03-15 09:30:00,20.01,20.12,19.88,19.93,383916
2016-03-16 09:30:00,20.12,20.2,19.87,20.18,245528
2016-03-17 09:30:00,20.09,20.22,19.94,20.07,619144
2016-03-18 09:30:00,20.32,20.45,20.2,20.41,941946
2016-03-21 09:30:00,20.5,20.54,20.33,20.38,211286
2016-03-22 09:30:00,20.31,20.5,20.18,20.25,469210
2016-03-23 09:30:00,20.28,20.35,20.17,20.18,236534
2016-03-24 09:30:00,19.94,20.02,19.84,19.94,145672
2016-03-28 09:30:00,20.27,20.29,20.1,20.15,136390
2016-03-29 09:30:00,20.04,20.17,19.96,20.16,224098
2016-03-30 09:30:00,20.56,20.62,20.47,20.48,326652
2016-03-31 09:30:00,20.48,20.48,20.31,20.33,174778
2016-04-01 09:30:00,20.09,20.15,19.93,20.07,220412
2016-04-04 09:30:00,20.2,20.27,20.1,20.1,395664
2016-04-05 09:30:00,20.12,20.49,20.08,20.49,1210890
2016-04-06 09:30:00,20.36,20.36,19.98,20.01,491634
2016-04-07 09:30:00,20.33,20.33,20.05,20.09,570768
2016-04-08 09:30:00,20.2,20.42,20.18,20.42,212266
2016-04-11 09:30:00,20.45,20.58,20.41,20.58,229174
2016-04-12 09:30:00,20.37,20.41,20.16,20.22,307424
2016-04-13 09:30:00,20.28,20.45,20.26,20.43,204092
2016-04-14 09:30:00,20.57,20.59,20.4,20.43,339974
2016-04-15 09:30:00,20.62,20.63,20.47,20.51,571344
2016-04-18 09:30:00,20.41,20.46,20.34,20.43,212688
2016-04-19 09:30:00,20.58,20.67,20.51,20.54,322448
2016-04-20 09:30:00,20.32,20.62,20.32,20.61,362176
2016-04-21 09:30:00,20.74,20.82,20.69,20.77,257654
2016-04-22 09:30:00,20.7,21.14,20.7,21.14,377100
2016-04-25 09:30:00,20.83,20.9,20.77,20.89,308968
2016-04-26 09:30:00,20.86,21.23,20.81,21.22,294938
2016-04-27 09:30:00,20.87,21.18,20.82,20.98,309864
2016-04-28 09:30:00,20.96,21.11,20.78,21.06,577648
2016-04-29 09:30:00,20.69,20.69,20.32,20.33,386734
2016-05-02 09:30:00,20.49,20.5,20.28,20.42,225740
2016-05-03 09:30:00,20.57,20.6,20.44,20.49,339092
2016-05-04 09:30:00,20.34,20.46,20.3,20.43,383086
2016-05-05 09:30:00,20.47,20.47,19.79,19.99,840172
2016-05-06 09:30:00,19.88,19.97,19.78,19.89,387932
2016-05-09 09:30:00,20.07,20.2,20.05,20.13,247880
2016-05-10 09:30:00,20.06,20.16,19.94,20.12,147434
2016-05-11 09:30:00,20.15,20.3,20.09,20.29,176030
2016-05-12 09:30:00,20.29,20.4,20.18,20.18,158206
2016-05-13 09:30:00,19.85,20.04,19.8,19.82,395592
2016-05-16 09:30:00,19.77,19.94,19.72,19.92,378530
2016-05-17 09:30:00,20.13,20.19,19.97,20.18,377416
2016-05-18 09:30:00,19.94,20.22,19.94,20.22,254528
2016-05-19 09:30:00,20.07,20.29,20.07,20.08,202036
2016-05-20 09:30:00,20.24,20.57,20.24,20.51,506960
2016-05-23 09:30:00,20.58,20.88,20.56,20.74,453370
2016-05-24 09:30:00,20.72,20.89,20.71,20.83,549932
2016-05-25 09:30:00,21.18,21.33,21.15,21.26,305388
2016-05-26 09:30:00,21.13,21.35,21.13,21.24,239702
2016-05-27 09:30:00,21.41,21.53,21.34,21.41,270044
2016-05-31 09:30:00,21.6,21.69,21.26,21.59,376082
2016-06-01 09:30:00,21.7,21.73,21.61,21.64,310134
2016-06-02 09:30:00,21.77,21.87,21.75,21.81,229488
2016-06-03 09:30:00,21.84,21.92,21.76,21.8,236460
2016-06-06 09:30:00,21.88,22.05,21.86,22.02,250114
2016-06-07 09:30:00,21.93,22.11,21.92,22.06,242018
2016-06-08 09:30:00,22.35,22.46,22.27,22.3,530384
2016-06-09 09:30:00,22.3,22.3,21.92,22.12,688964
2016-06-10 09:30:00,22.11,22.25,21.98,22.07,267706
2016-06-13 09:30:00,21.97,22.15,21.95,22.1,426384
2016-06-14 09:30:00,21.82,21.98,21.74,21.97,281666
2016-06-15 09:30:00,22.11,22.16,21.94,21.95,169548
2016-06-16 09:30:00,21.9,21.95,21.82,21.82,158368
2016-06-17 09:30:00,21.95,21.95,21.61,21.66,714866
2016-06-20 09:30:00,21.9,21.95,21.78,21.85,345158
2016-06-21 09:30:00,21.98,22.04,21.9,21.94,202564
2016-06-22 09:30:00,21.91,22.07,21.9,21.93,298200
2016-06-23 09:30:00,21.92,22.07,21.86,22.04,226798
2016-06-24 09:30:00,21.4,21.83,21.39,21.71,536980
2016-06-27 09:30:00,21.07,21.12,20.66,20.66,736880
2016-06-28 09:30:00,20.61,20.9,20.53,20.9,486076
2016-06-29 09:30:00,20.98,21.12,20.91,21.07,266706
2016-06-30 09:30:00,21.03,21.1,20.91,21.02,373010
2016-07-01 09:30:00,21.37,21.4,21.14,21.35,359184
2016-07-05 09:30:00,21.19,21.19,20.86,20.96,381010
2016-07-06 09:30:00,20.95,20.96,20.69,20.82,345546
2016-07-07 09:30:00,20.98,21.29,20.98,21.29,258748
2016-07-08 09:30:00,21.49,21.71,21.45,21.65,232650
2016-07-11 09:30:00,22.22,22.22,22.02,22.02,790580
2016-07-12 09:30:00,22.25,22.46,22.25,22.42,269690
2016-07-13 09:30:00,22.53,22.61,22.46,22.53,310590
2016-07-14 09:30:00,22.75,22.83,22.55,22.65,237026
2016-07-15 09:30:00,22.69,22.69,22.55,22.66,555778
