open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,178.67,181.14,178.67,180.56,145394
2016-01-05 09:30:00,180.68,182.18,180.68,181.67,72325
2016-01-06 09:30:00,178.46,179.28,177.13,177.59,135279
2016-01-07 09:30:00,175.66,176.0,174.87,175.24,139957
2016-01-08 09:30:00,174.48,175.33,174.44,174.78,90385
2016-01-11 09:30:00,156.49,158.1,152.75,152.81,1146106
2016-01-12 09:30:00,152.55,153.67,152.1,153.14,560944
2016-01-13 09:30:00,151.71,152.74,149.7,152.05,350555
2016-01-14 09:30:00,145.94,147.28,145.85,147.01,146885
2016-01-15 09:30:00,149.53,150.66,147.01,149.24,419452
2016-01-19 09:30:00,154.13,154.72,152.78,154.0,156497
2016-01-20 09:30:00,154.85,154.86,153.55,153.85,203568
2016-01-21 09:30:00,157.38,157.94,156.08,157.45,256636
2016-01-22 09:30:00,159.51,160.75,158.8,160.46,119332
2016-01-25 09:30:00,158.07,158.66,157.19,157.32,169299
2016-01-26 09:30:00,157.38,158.97,154.64,157.86,207134
2016-01-27 09:30:00,157.34,157.72,154.12,156.95,90151
2016-01-28 09:30:00,143.3,158.17,140.92,150.96,519406
2016-01-29 09:30:00,148.58,150.96,148.39,149.46,135002
2016-02-01 09:30:00,147.94,148.5,147.22,147.58,195795
2016-02-02 09:30:00,146.4,147.65,146.4,146.53,193067
2016-02-03 09:30:00,144.87,145.33,142.98,143.46,246171
2016-02-04 09:30:00,140.48,141.05,138.45,140.82,347021
2016-02-05 09:30:00,139.88,143.47,139.63,142.72,351610
2016-02-08 09:30:00,141.85,142.25,140.61,140.98,161698
2016-02-09 09:30:00,138.81,141.81,137.28,140.48,281697
2016-02-10 09:30:00,139.73,141.94,139.35,140.89,188589
2016-02-11 09:30:00,139.79,140.49,138.24,140.36,233071
2016-02-12 09:30:00,140.27,140.88,138.01,138.3,131018
2016-02-16 09:30:00,140.72,141.07,139.47,140.34,130424
2016-02-17 09:30:00,142.6,144.19,142.57,143.9,183633
2016-02-18 09:30:00,143.63,144.91,143.63,144.34,93380
2016-02-19 09:30:00,144.16,144.16,142.95,143.24,122071
2016-02-22 09:30:00,144.0,145.09,143.23,145.09,78930
2016-02-23 09:30:00,144.42,144.55,143.7,144.06,144448
2016-02-24 09:30:00,141.91,142.41,141.42,141.97,149488
2016-02-25 09:30:00,144.36,145.19,142.85,144.28,168517
2016-02-26 09:30:00,144.68,145.74,143.34,144.91,72470
2016-02-29 09:30:00,145.2,145.59,144.1,144.27,79794
2016-03-01 09:30:00,143.61,144.4,143.21,144.2,120617
2016-03-02 09:30:00,144.98,149.9,144.58,149.24,221102
2016-03-03 09:30:00,146.68,148.03,146.22,147.88,122486
2016-03-04 09:30:00,150.79,151.89,150.63,151.74,87635
2016-03-07 09:30:00,150.24,152.06,149.93,150.44,75071
2016-03-08 09:30:00,150.32,150.83,147.61,147.66,160495
2016-03-09 09:30:00,148.39,149.57,147.77,149.56,135027
2016-03-10 09:30:00,150.24,151.78,150.19,151.31,69987
2016-03-11 09:30:00,150.36,151.9,150.08,151.75,74625
2016-03-14 09:30:00,154.3,155.0,152.63,152.8,63906
2016-03-15 09:30:00,150.99,151.44,147.85,148.16,140981
2016-03-16 09:30:00,145.22,146.69,144.42,144.63,143262
2016-03-17 09:30:00,143.75,144.4,141.4,141.49,214921
2016-03-18 09:30:00,140.97,142.53,140.55,142.53,409823
2016-03-21 09:30:00,146.5,147.17,145.81,146.44,66966
2016-03-22 09:30:00,145.22,145.22,143.88,144.29,61311
2016-03-23 09:30:00,145.6,145.67,144.39,145.19,58774
2016-03-24 09:30:00,142.84,144.25,142.77,143.85,178511
2016-03-28 09:30:00,145.87,145.87,144.04,144.16,97876
2016-03-29 09:30:00,145.19,145.44,144.57,145.11,92413
2016-03-30 09:30:00,147.46,148.38,147.14,148.28,100572
2016-03-31 09:30:00,146.5,147.0,145.71,146.2,104655
2016-04-01 09:30:00,145.37,145.48,144.28,144.37,57471
2016-04-04 09:30:00,145.83,149.46,145.6,149.29,221686
2016-04-05 09:30:00,145.02,146.12,144.13,144.72,131598
2016-04-06 09:30:00,144.01,146.19,143.9,145.88,136838
2016-04-07 09:30:00,150.56,151.22,149.82,150.83,155659
2016-04-08 09:30:00,150.46,150.59,149.75,150.53,67091
2016-04-11 09:30:00,150.46,150.97,149.44,150.01,113745
2016-04-12 09:30:00,151.11,153.22,150.83,151.13,153018
2016-04-13 09:30:00,152.49,153.09,151.49,152.12,146108
2016-04-14 09:30:00,154.83,155.47,153.5,153.84,101184
2016-04-15 09:30:00,156.82,158.11,156.42,157.18,222169
2016-04-18 09:30:00,159.52,159.6,158.44,159.38,138683
2016-04-19 09:30:00,161.78,163.58,161.78,163.18,150164
2016-04-20 09:30:00,163.6,164.55,162.31,164.49,149968
2016-04-21 09:30:00,164.76,165.89,164.66,165.43,59477
2016-04-22 09:30:00,165.68,166.29,165.12,165.51,112965
2016-04-25 09:30:00,165.23,165.54,163.94,164.21,89524
2016-04-26 09:30:00,164.47,165.28,164.39,164.84,45171
2016-04-27 09:30:00,164.33,165.06,164.18,164.39,120703
2016-04-28 09:30:00,163.69,163.79,159.23,161.21,412540
2016-04-29 09:30:00,156.21,156.59,154.98,155.53,183188
2016-05-02 09:30:00,155.64,156.38,154.74,155.13,210483
2016-05-03 09:30:00,154.65,156.04,154.45,155.01,68412
2016-05-04 09:30:00,155.43,155.9,154.09,154.29,94537
2016-05-05 09:30:00,159.33,162.87,157.18,162.87,993236
2016-05-06 09:30:00,159.06,160.56,157.98,158.27,147647
2016-05-09 09:30:00,157.22,159.07,157.1,158.63,132984
2016-05-10 09:30:00,160.88,161.11,159.36,159.53,120795
2016-05-11 09:30:00,157.72,158.26,157.23,158.17,90550
2016-05-12 09:30:00,156.98,157.7,156.2,156.2,58805
2016-05-13 09:30:00,154.8,155.67,154.17,155.42,53084
2016-05-16 09:30:00,156.74,160.9,156.34,158.26,229757
2016-05-17 09:30:00,159.64,160.53,157.88,158.52,140907
2016-05-18 09:30:00,159.75,165.7,159.75,164.98,353267
2016-05-19 09:30:00,166.51,170.58,165.45,169.57,611254
2016-05-20 09:30:00,168.64,168.68,167.06,167.85,265412
2016-05-23 09:30:00,165.87,168.39,165.87,167.73,203532
2016-05-24 09:30:00,166.01,167.82,165.32,167.21,145761
2016-05-25 09:30:00,169.66,170.47,169.22,170.11,127832
2016-05-26 09:30:00,169.19,170.01,168.7,168.93,80774
2016-05-27 09:30:00,166.48,167.74,166.04,167.14,101793
2016-05-31 09:30:00,168.23,168.65,167.41,168.04,88527
2016-06-01 09:30:00,168.53,169.07,167.54,168.33,97033
2016-06-02 09:30:00,171.76,173.35,171.65,172.08,153803
2016-06-03 09:30:00,174.43,174.84,173.5,174.72,226633
2016-06-06 09:30:00,173.35,174.13,172.55,173.24,52800
2016-06-07 09:30:00,173.65,174.23,172.58,173.69,143820
2016-06-08 09:30:00,170.71,173.11,170.62,173.11,76349
2016-06-09 09:30:00,174.07,174.61,172.78,174.43,99174
2016-06-10 09:30:00,171.69,172.37,171.57,171.93,130191
2016-06-13 09:30:00,172.45,173.28,171.64,171.98,127501
2016-06-14 09:30:00,169.97,170.51,169.29,169.55,100515
2016-06-15 09:30:00,169.28,169.89,168.87,169.89,94188
2016-06-16 09:30:00,166.26,166.43,164.35,164.46,163635
2016-06-17 09:30:00,167.11,167.54,166.19,167.13,176176
2016-06-20 09:30:00,167.21,167.62,166.83,166.87,140047
2016-06-21 09:30:00,168.11,168.11,166.47,166.91,45848
2016-06-22 09:30:00,166.32,167.3,166.27,166.9,81343
2016-06-23 09:30:00,170.31,171.65,169.91,170.36,152696
2016-06-24 09:30:00,164.74,166.44,164.58,165.35,166560
2016-06-27 09:30:00,161.19,163.0,161.19,161.78,103262
2016-06-28 09:30:00,161.96,165.2,161.96,164.05,352806
2016-06-29 09:30:00,166.35,168.48,165.65,166.13,200010
2016-06-30 09:30:00,170.43,170.96,169.55,170.2,86138
2016-07-01 09:30:00,173.79,175.1,173.53,175.1,109091
2016-07-05 09:30:00,173.46,173.82,172.8,173.58,70559
2016-07-06 09:30:00,173.59,174.8,172.23,174.36,115190
2016-07-07 09:30:00,178.93,179.82,178.22,179.17,167950
2016-07-08 09:30:00,178.64,179.43,178.21,178.35,132559
2016-07-11 09:30:00,179.0,179.76,178.78,179.18,105140
2016-07-12 09:30:00,181.34,181.34,180.05,180.35,92027
2016-07-13 09:30:00,181.94,183.24,181.75,183.09,142656
2016-07-14 09:30:00,184.72,185.23,183.45,183.99,70405
2016-07-15 09:30:00,184.53,184.88,183.84,183.97,116225
2016-07-18 09:30:00,183.25,183.84,182.39,182.94,110755
2016-07-19 09:30:00,182.59,184.58,182.53,183.83,88526
2016-07-20 09:30:00,183.94,184.71,183.81,184.52,48102
2016-07-21 09:30:00,184.31,184.78,183.25,183.26,40847
2016-07-22 09:30:00,182.77,182.94,182.03,182.19,64069
2016-07-25 09:30:00,181.94,182.15,181.12,181.15,78171
2016-07-26 09:30:00,181.51,182.2,181.11,181.87,44494
2016-07-27 09:30:00,182.28,182.29,181.16,182.27,77767
2016-07-28 09:30:00,177.69,181.28,177.29,180.88,483789
2016-07-29 09:30:00,179.06,179.71,178.64,178.78,162534
2016-08-01 09:30:00,181.3,181.47,180.35,180.74,101233
2016-08-02 09:30:00,178.49,181.12,178.18,180.5,162573
2016-08-03 09:30:00,179.3,180.27,179.2,179.81,204632
2016-08-04 09:30:00,180.78,181.11,179.72,180.66,65228
2016-08-05 09:30:00,181.17,182.31,180.67,182.31,64035
2016-08-08 09:30:00,181.07,181.29,180.57,180.94,50478
2016-08-09 09:30:00,181.5,182.78,181.28,182.46,53187
2016-08-10 09:30:00,182.31,182.5,181.13,181.13,64273
2016-08-11 09:30:00,182.54,182.58,181.52,181.56,70144
2016-08-12 09:30:00,182.31,182.51,181.55,181.89,52301
2016-08-15 09:30:00,181.44,181.79,181.21,181.52,55556
2016-08-16 09:30:00,181.54,182.12,181.37,181.82,35939
2016-08-17 09:30:00,181.19,181.86,180.86,181.1,56071
2016-08-18 09:30:00,181.46,181.91,181.17,181.82,43452
2016-08-19 09:30:00,179.98,180.9,179.81,179.96,101554
2016-08-22 09:30:00,179.96,179.96,179.12,179.68,60550
2016-08-23 09:30:00,180.39,180.65,180.03,180.47,83232
2016-08-24 09:30:00,179.05,179.76,177.62,179.56,225242
2016-08-25 09:30:00,173.64,174.52,171.83,172.55,290167
2016-08-26 09:30:00,170.61,170.86,169.62,169.85,148151
2016-08-29 09:30:00,169.96,171.21,169.63,169.63,111104
2016-08-30 09:30:00,170.69,171.03,170.34,170.82,63837
2016-08-31 09:30:00,170.26,171.09,169.4,170.8,134140
2016-09-01 09:30:00,171.83,171.83,170.36,170.68,72381
2016-09-02 09:30:00,171.2,171.2,170.16,170.73,40355
