open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,35.44,35.73,35.16,35.31,904986
2016-01-05 09:30:00,35.2,35.44,35.16,35.2,797461
2016-01-06 09:30:00,34.83,35.04,34.79,34.98,836626
2016-01-07 09:30:00,34.54,34.59,33.81,34.11,1768060
2016-01-08 09:30:00,33.48,33.81,33.3,33.77,1282655
2016-01-11 09:30:00,33.25,33.45,33.21,33.28,813478
2016-01-12 09:30:00,33.5,33.99,33.5,33.76,812101
2016-01-13 09:30:00,33.85,33.93,33.73,33.81,678369
2016-01-14 09:30:00,33.7,33.7,32.63,32.8,898489
2016-01-15 09:30:00,32.6,32.84,32.2,32.47,2462560
2016-01-19 09:30:00,33.03,33.13,32.67,32.95,1351663
2016-01-20 09:30:00,32.87,33.07,32.63,32.68,1166563
2016-01-21 09:30:00,32.81,32.88,32.22,32.24,925768
2016-01-22 09:30:00,33.01,33.09,32.47,33.09,973746
2016-01-25 09:30:00,33.51,33.59,33.2,33.25,1037892
2016-01-26 09:30:00,32.34,33.08,32.34,33.04,1051583
2016-01-27 09:30:00,33.23,33.23,32.78,33.05,699853
2016-01-28 09:30:00,33.61,33.73,33.3,33.66,731502
2016-01-29 09:30:00,33.82,34.1,33.62,34.06,1011667
2016-02-01 09:30:00,34.13,34.49,33.91,34.01,1095896
2016-02-02 09:30:00,33.85,34.32,33.84,34.15,1184798
2016-02-03 09:30:00,30.9,32.16,30.72,31.97,3931990
2016-02-04 09:30:00,31.35,31.42,30.79,31.1,1868912
2016-02-05 09:30:00,30.53,30.8,30.35,30.76,1439851
2016-02-08 09:30:00,29.96,30.0,29.68,29.83,1387750
2016-02-09 09:30:00,29.1,29.6,29.04,29.35,1198976
2016-02-10 09:30:00,30.3,30.78,29.97,30.73,1878127
2016-02-11 09:30:00,29.86,30.23,29.66,30.2,1202920
2016-02-12 09:30:00,30.62,30.62,30.29,30.49,897925
2016-02-16 09:30:00,30.71,31.21,30.71,31.05,933857
2016-02-17 09:30:00,31.73,31.75,31.47,31.55,886009
2016-02-18 09:30:00,32.12,32.21,31.99,32.21,874435
2016-02-19 09:30:00,31.98,32.51,31.8,32.51,1834165
2016-02-22 09:30:00,32.15,32.24,32.04,32.19,1062912
2016-02-23 09:30:00,31.8,32.09,31.76,32.05,858741
2016-02-24 09:30:00,32.12,32.24,31.85,32.01,1159517
2016-02-25 09:30:00,32.83,33.17,32.73,33.1,918696
2016-02-26 09:30:00,33.59,33.62,33.43,33.61,805627
2016-02-29 09:30:00,32.62,32.96,32.55,32.89,651157
2016-03-01 09:30:00,32.95,32.98,32.68,32.79,690675
2016-03-02 09:30:00,32.92,33.14,32.83,32.84,679303
2016-03-03 09:30:00,33.05,33.12,32.93,32.95,1140360
2016-03-04 09:30:00,33.72,33.77,33.57,33.62,1008531
2016-03-07 09:30:00,33.52,33.68,33.42,33.48,762701
2016-03-08 09:30:00,33.26,33.56,33.03,33.46,673429
2016-03-09 09:30:00,33.4,33.62,33.2,33.56,844525
2016-03-10 09:30:00,33.69,33.8,33.52,33.8,1173536
2016-03-11 09:30:00,33.72,33.83,33.4,33.75,918240
2016-03-14 09:30:00,33.78,33.93,33.59,33.69,500945
2016-03-15 09:30:00,33.7,33.88,33.56,33.6,796721
2016-03-16 09:30:00,33.38,33.46,33.22,33.4,583895
2016-03-17 09:30:00,32.59,32.96,32.57,32.69,4454466
2016-03-18 09:30:00,32.96,33.09,32.8,32.9,7210723
2016-03-21 09:30:00,32.57,32.8,32.57,32.72,1648450
2016-03-22 09:30:00,32.6,32.7,32.55,32.62,872486
2016-03-23 09:30:00,32.12,32.19,31.8,31.86,1516950
2016-03-24 09:30:00,32.12,32.2,31.93,32.01,761239
2016-03-28 09:30:00,31.88,31.91,31.69,31.75,603082
2016-03-29 09:30:00,31.88,31.93,31.69,31.89,922589
2016-03-30 09:30:00,32.71,32.71,32.29,32.46,982809
2016-03-31 09:30:00,32.74,32.75,32.54,32.66,2186923
2016-04-01 09:30:00,32.28,32.52,31.91,32.51,798717
2016-04-04 09:30:00,33.21,33.33,33.03,33.07,755912
2016-04-05 09:30:00,33.07,33.21,32.85,33.05,968351
2016-04-06 09:30:00,32.54,33.21,32.54,33.07,961029
2016-04-07 09:30:00,33.57,33.75,33.44,33.51,1139796
2016-04-08 09:30:00,33.65,33.92,33.63,33.92,708337
2016-04-11 09:30:00,34.6,34.67,34.3,34.35,1033869
2016-04-12 09:30:00,33.96,34.22,33.96,34.13,612122
2016-04-13 09:30:00,34.41,34.48,34.27,34.45,1046681
2016-04-14 09:30:00,34.45,34.59,34.2,34.21,795684
2016-04-15 09:30:00,34.16,34.19,33.83,34.07,1726475
2016-04-18 09:30:00,34.55,34.7,34.43,34.65,394624
2016-04-19 09:30:00,35.1,35.23,34.9,34.97,643277
2016-04-20 09:30:00,34.88,34.93,34.56,34.71,572217
2016-04-21 09:30:00,34.72,34.84,34.3,34.3,762152
2016-04-22 09:30:00,33.82,33.96,33.65,33.92,929569
2016-04-25 09:30:00,33.9,34.04,33.81,34.02,520796
2016-04-26 09:30:00,34.12,34.2,33.92,34.18,869928
2016-04-27 09:30:00,35.76,35.92,35.35,35.45,2062085
2016-04-28 09:30:00,35.26,35.56,35.14,35.19,825905
2016-04-29 09:30:00,34.66,34.89,34.53,34.71,1450281
2016-05-02 09:30:00,34.86,35.21,34.72,35.16,532814
2016-05-03 09:30:00,35.26,35.48,35.25,35.32,656413
2016-05-04 09:30:00,35.1,35.23,34.96,35.1,696809
2016-05-05 09:30:00,35.42,35.7,35.32,35.54,776403
2016-05-06 09:30:00,35.26,35.65,35.15,35.31,596835
2016-05-09 09:30:00,35.47,35.84,35.43,35.84,487555
2016-05-10 09:30:00,35.77,35.99,35.72,35.89,482952
2016-05-11 09:30:00,36.19,36.41,36.14,36.32,291704
2016-05-12 09:30:00,35.93,36.11,35.82,36.04,651385
2016-05-13 09:30:00,36.06,36.26,35.96,36.07,956559
2016-05-16 09:30:00,35.72,35.97,35.71,35.93,482946
2016-05-17 09:30:00,35.97,36.0,35.41,35.43,1111368
2016-05-18 09:30:00,34.65,35.23,34.6,34.85,577995
2016-05-19 09:30:00,35.16,35.16,34.4,34.41,567875
2016-05-20 09:30:00,34.95,35.18,34.9,35.1,1722170
2016-05-23 09:30:00,35.01,35.18,34.88,35.05,401147
2016-05-24 09:30:00,35.1,35.35,34.95,35.26,682874
2016-05-25 09:30:00,35.6,35.67,35.46,35.65,590343
2016-05-26 09:30:00,35.63,35.96,35.55,35.89,421562
2016-05-27 09:30:00,35.8,36.03,35.77,35.99,462361
2016-05-31 09:30:00,36.14,36.28,35.88,36.05,515288
2016-06-01 09:30:00,35.92,35.99,35.78,35.96,627335
2016-06-02 09:30:00,36.02,36.18,35.98,36.04,419732
