open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,60.2,60.43,59.66,60.09,805675
2016-01-05 09:30:00,60.15,60.47,60.07,60.35,412956
2016-01-06 09:30:00,59.38,59.76,59.37,59.75,406295
2016-01-07 09:30:00,59.17,59.56,59.17,59.33,623988
2016-01-08 09:30:00,59.29,59.67,58.84,59.6,463412
2016-01-11 09:30:00,58.76,59.16,58.31,58.39,464957
2016-01-12 09:30:00,58.64,59.77,58.49,59.66,867904
2016-01-13 09:30:00,61.11,61.83,60.97,61.2,1004094
2016-01-14 09:30:00,59.41,59.9,59.05,59.15,556861
2016-01-15 09:30:00,58.0,58.73,57.89,58.25,1597591
2016-01-19 09:30:00,59.07,59.54,58.86,59.1,622887
2016-01-20 09:30:00,58.54,59.07,58.52,58.8,898517
2016-01-21 09:30:00,59.36,59.45,58.43,58.67,597423
2016-01-22 09:30:00,59.84,60.17,59.79,60.1,750263
2016-01-25 09:30:00,60.26,60.76,60.12,60.41,646599
2016-01-26 09:30:00,60.07,60.19,59.64,59.83,578383
2016-01-27 09:30:00,60.01,60.31,59.94,60.21,588132
2016-01-28 09:30:00,60.3,60.47,59.84,59.85,681918
2016-01-29 09:30:00,59.03,59.65,58.99,59.28,666987
2016-02-01 09:30:00,59.15,60.15,58.96,59.91,684929
2016-02-02 09:30:00,60.38,60.77,60.27,60.51,458829
2016-02-03 09:30:00,61.41,61.61,60.89,60.93,689477
2016-02-04 09:30:00,60.42,60.51,59.92,60.04,459065
2016-02-05 09:30:00,60.37,60.45,59.89,59.9,344452
2016-02-08 09:30:00,58.38,58.71,57.9,58.01,591574
2016-02-09 09:30:00,56.58,57.79,56.39,57.34,827549
2016-02-10 09:30:00,58.61,59.13,58.44,59.08,633824
2016-02-11 09:30:00,58.12,58.52,57.82,58.21,730459
2016-02-12 09:30:00,57.94,58.1,57.43,57.59,563967
2016-02-16 09:30:00,58.74,59.07,58.49,58.97,560825
2016-02-17 09:30:00,59.8,59.95,59.12,59.55,378796
2016-02-18 09:30:00,59.96,60.27,59.8,60.11,550566
2016-02-19 09:30:00,59.54,59.7,59.26,59.59,802982
