open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,101.33,101.62,100.04,100.5,7146759
2016-01-05 09:30:00,102.26,102.37,101.17,101.22,4173660
2016-01-06 09:30:00,100.52,101.67,100.29,101.44,3892209
2016-01-07 09:30:00,99.93,100.81,99.04,99.44,7465871
2016-01-08 09:30:00,99.27,99.89,98.8,99.8,6177554
2016-01-11 09:30:00,97.32,98.0,96.08,96.35,3741844
2016-01-12 09:30:00,98.4,99.35,98.31,98.55,5020739
2016-01-13 09:30:00,99.97,99.97,98.21,98.34,4683417
2016-01-14 09:30:00,95.26,95.47,92.14,92.33,9059073
2016-01-15 09:30:00,93.41,95.79,93.03,94.88,9461193
2016-01-19 09:30:00,95.9,96.83,95.47,95.83,5508854
2016-01-20 09:30:00,92.27,92.93,90.5,90.52,7271044
2016-01-21 09:30:00,94.33,94.63,92.06,93.02,5003219
2016-01-22 09:30:00,95.79,96.11,94.91,95.5,5377074
2016-01-25 09:30:00,98.22,98.49,97.34,98.49,5411674
2016-01-26 09:30:00,97.09,97.17,95.08,95.24,4569501
2016-01-27 09:30:00,97.14,97.26,96.14,96.34,3618314
2016-01-28 09:30:00,106.55,107.29,104.97,106.23,25452849
2016-01-29 09:30:00,108.33,110.56,108.18,110.17,10921461
2016-02-01 09:30:00,111.67,114.2,111.33,113.74,9512963
2016-02-02 09:30:00,114.1,114.75,113.22,114.53,7031487
2016-02-03 09:30:00,114.61,114.64,112.04,112.35,6683011
2016-02-04 09:30:00,111.19,111.26,108.59,109.62,7372402
2016-02-05 09:30:00,108.84,108.91,106.25,106.86,9314906
2016-02-08 09:30:00,99.8,101.14,98.4,100.63,13604459
2016-02-09 09:30:00,96.55,101.03,96.23,100.38,13193075
2016-02-10 09:30:00,100.93,101.38,99.63,101.26,7880296
2016-02-11 09:30:00,98.99,100.62,98.65,100.28,5806238
2016-02-12 09:30:00,103.11,103.61,102.23,102.5,7165670
2016-02-16 09:30:00,103.13,103.3,102.38,102.96,6373744
2016-02-17 09:30:00,101.32,101.79,99.79,100.89,5873628
2016-02-18 09:30:00,105.16,105.36,103.78,103.88,5449606
2016-02-19 09:30:00,101.94,102.84,101.44,102.76,7420453
2016-02-22 09:30:00,104.85,105.89,104.7,105.62,5281867
2016-02-23 09:30:00,106.14,106.82,105.95,106.35,3740739
2016-02-24 09:30:00,103.58,104.01,102.81,103.34,4567103
2016-02-25 09:30:00,106.64,106.9,105.22,105.42,4753294
2016-02-26 09:30:00,108.04,108.79,107.74,108.24,4868806
2016-02-29 09:30:00,106.95,108.25,106.9,107.88,3580237
2016-03-01 09:30:00,107.17,107.8,106.95,107.69,3750047
2016-03-02 09:30:00,109.01,109.53,108.65,109.02,4106254
2016-03-03 09:30:00,109.58,109.63,108.69,108.73,2875035
2016-03-04 09:30:00,109.38,109.38,107.89,108.25,3208042
2016-03-07 09:30:00,107.37,107.41,105.9,105.98,4185823
2016-03-08 09:30:00,104.22,106.16,103.77,105.67,5349930
2016-03-09 09:30:00,105.88,106.22,104.85,105.18,3315983
2016-03-10 09:30:00,107.25,108.0,106.7,107.92,3669715
2016-03-11 09:30:00,107.82,108.14,107.4,107.95,3470175
2016-03-14 09:30:00,108.62,109.15,108.11,108.65,2663653
2016-03-15 09:30:00,108.41,108.93,108.27,108.35,2376108
2016-03-16 09:30:00,109.82,110.22,109.43,110.14,2758436
2016-03-17 09:30:00,111.39,112.01,110.69,110.72,3214705
2016-03-18 09:30:00,110.88,111.05,109.6,109.86,9918343
2016-03-21 09:30:00,110.98,111.69,110.88,111.3,3129967
2016-03-22 09:30:00,110.67,111.6,110.49,111.36,3111661
2016-03-23 09:30:00,111.32,112.18,111.32,111.45,3010286
2016-03-24 09:30:00,111.45,111.98,111.2,111.47,3370200
2016-03-28 09:30:00,112.58,112.93,112.26,112.53,2955670
2016-03-29 09:30:00,113.15,113.48,112.95,113.28,3864013
2016-03-30 09:30:00,116.03,116.28,114.78,115.97,7440149
2016-03-31 09:30:00,113.83,114.15,113.21,113.57,4446860
2016-04-01 09:30:00,113.04,114.14,112.66,114.02,4232668
2016-04-04 09:30:00,113.4,113.85,112.27,112.48,11131618
2016-04-05 09:30:00,111.4,112.05,111.22,111.93,4465332
2016-04-06 09:30:00,111.88,112.81,111.74,112.47,4210284
2016-04-07 09:30:00,113.1,113.83,112.81,113.6,3994728
2016-04-08 09:30:00,113.56,113.64,112.21,112.69,5174974
2016-04-11 09:30:00,110.03,110.24,108.11,108.3,8745617
2016-04-12 09:30:00,108.68,109.27,108.33,109.04,4066900
2016-04-13 09:30:00,111.52,111.78,110.88,111.68,5451717
2016-04-14 09:30:00,109.95,110.62,109.78,110.58,5235428
2016-04-15 09:30:00,110.12,110.3,108.68,109.15,5493290
2016-04-18 09:30:00,109.04,109.63,108.54,109.34,3971720
2016-04-19 09:30:00,110.42,110.53,108.66,108.76,4805994
2016-04-20 09:30:00,111.75,112.58,110.88,112.15,5797678
2016-04-21 09:30:00,111.87,112.51,111.63,112.07,3154452
2016-04-22 09:30:00,110.53,111.07,110.11,110.54,5907861
2016-04-25 09:30:00,109.2,110.0,108.53,108.57,4498714
2016-04-26 09:30:00,109.82,109.83,109.04,109.63,3067887
2016-04-27 09:30:00,107.16,107.74,106.08,106.14,5705996
2016-04-28 09:30:00,118.84,120.06,117.9,118.53,24002843
2016-04-29 09:30:00,116.11,117.12,115.56,116.17,7518185
2016-05-02 09:30:00,117.2,117.66,115.86,116.41,6151939
2016-05-03 09:30:00,116.81,117.2,116.31,117.02,5091012
2016-05-04 09:30:00,115.9,117.13,115.86,116.83,4136139
2016-05-05 09:30:00,117.32,118.26,117.21,117.44,4368473
2016-05-06 09:30:00,116.45,117.32,116.4,116.7,3131433
2016-05-09 09:30:00,118.81,119.55,118.39,119.4,4995580
2016-05-10 09:30:00,118.9,119.27,118.28,119.17,4080499
2016-05-11 09:30:00,119.68,120.26,119.28,120.14,4773488
2016-05-12 09:30:00,119.25,119.64,119.05,119.11,2956725
2016-05-13 09:30:00,119.69,119.91,118.95,119.34,3203884
2016-05-16 09:30:00,118.65,118.88,116.98,117.37,7798689
2016-05-17 09:30:00,118.1,118.29,117.42,117.54,3496698
2016-05-18 09:30:00,116.09,117.27,116.07,116.74,3878029
2016-05-19 09:30:00,116.34,116.78,115.79,115.88,3922757
2016-05-20 09:30:00,116.25,116.86,116.25,116.72,4620771
2016-05-23 09:30:00,116.71,116.89,115.86,115.94,3461732
2016-05-24 09:30:00,115.53,116.13,115.41,115.79,4401001
2016-05-25 09:30:00,117.41,117.93,116.67,117.73,4402266
2016-05-26 09:30:00,117.32,117.75,117.2,117.75,2497222
2016-05-27 09:30:00,118.83,119.12,118.46,118.68,2728546
2016-05-31 09:30:00,118.7,119.37,118.46,118.52,3588391
2016-06-01 09:30:00,117.76,117.82,117.1,117.28,2608635
2016-06-02 09:30:00,117.92,118.71,117.88,118.05,2650584
2016-06-03 09:30:00,118.09,118.26,117.61,117.72,2354988
2016-06-06 09:30:00,117.9,118.22,117.64,118.1,1942352
2016-06-07 09:30:00,118.52,118.58,117.71,117.9,2615316
2016-06-08 09:30:00,116.93,117.73,116.79,117.24,2835760
2016-06-09 09:30:00,117.41,117.69,116.99,117.41,2414886
2016-06-10 09:30:00,116.83,117.39,116.8,116.97,2502897
2016-06-13 09:30:00,114.3,114.78,113.46,114.29,6744580
2016-06-14 09:30:00,113.44,114.07,113.32,113.84,2759464
2016-06-15 09:30:00,114.6,114.74,114.12,114.35,2289718
2016-06-16 09:30:00,113.18,113.45,112.69,112.7,2504306
2016-06-17 09:30:00,113.72,113.73,112.44,112.76,6839947
2016-06-20 09:30:00,113.12,113.27,112.07,113.25,4225496
2016-06-21 09:30:00,113.48,114.51,113.31,114.43,4893734
2016-06-22 09:30:00,113.95,113.96,113.32,113.53,2217889
2016-06-23 09:30:00,113.68,113.8,112.85,113.32,3579715
2016-06-24 09:30:00,110.36,112.76,110.33,112.53,8114073
2016-06-27 09:30:00,110.9,110.9,109.39,109.68,5584697
2016-06-28 09:30:00,110.01,111.71,109.88,111.5,7122963
2016-06-29 09:30:00,112.68,113.38,112.35,113.17,4616319
2016-06-30 09:30:00,113.92,114.48,113.52,113.56,4096228
2016-07-01 09:30:00,113.48,114.27,113.41,114.15,2624889
2016-07-05 09:30:00,113.25,113.42,112.78,112.99,2301750
2016-07-06 09:30:00,112.67,112.88,112.28,112.76,2475476
2016-07-07 09:30:00,115.92,116.26,115.27,115.41,3802800
2016-07-08 09:30:00,115.72,115.74,115.15,115.4,2771456
2016-07-11 09:30:00,116.99,117.98,116.79,117.75,4074611
2016-07-12 09:30:00,117.92,118.0,117.33,117.51,2581866
2016-07-13 09:30:00,117.67,117.68,116.69,116.82,2520577
2016-07-14 09:30:00,116.79,116.93,116.33,116.61,2580797
2016-07-15 09:30:00,117.01,117.56,116.78,116.95,5071053
2016-07-18 09:30:00,116.61,116.77,116.18,116.43,2100470
2016-07-19 09:30:00,118.14,118.72,117.94,118.68,3062539
2016-07-20 09:30:00,120.48,120.56,119.83,120.54,3783546
2016-07-21 09:30:00,121.18,121.36,120.57,120.75,3493831
2016-07-22 09:30:00,119.16,119.36,118.59,119.02,3794327
2016-07-25 09:30:00,120.66,120.84,117.06,120.1,3744664
2016-07-26 09:30:00,121.17,121.33,120.52,120.89,2542205
2016-07-27 09:30:00,121.77,121.83,120.78,121.28,5173682
2016-07-28 09:30:00,126.76,127.55,124.81,126.75,20092197
2016-07-29 09:30:00,123.87,124.48,122.96,123.74,6634507
2016-08-01 09:30:00,123.14,123.19,122.25,122.57,5044050
2016-08-02 09:30:00,123.22,124.04,122.85,123.25,3586990
2016-08-03 09:30:00,122.41,123.17,122.25,122.67,3435002
2016-08-04 09:30:00,122.14,122.46,121.88,122.13,2966086
2016-08-05 09:30:00,124.22,124.52,123.86,124.31,3616975
2016-08-08 09:30:00,124.49,124.69,123.79,124.11,3090515
2016-08-09 09:30:00,124.58,124.93,124.07,124.78,2540966
2016-08-10 09:30:00,124.31,124.72,124.12,124.32,2058915
2016-08-11 09:30:00,124.44,124.62,124.19,124.24,1954029
2016-08-12 09:30:00,123.94,124.09,123.65,123.65,2142758
2016-08-15 09:30:00,124.15,124.16,123.37,123.41,3867208
2016-08-16 09:30:00,122.75,123.14,122.03,122.34,3228542
2016-08-17 09:30:00,122.89,123.08,122.33,122.66,1887914
2016-08-18 09:30:00,123.28,123.45,122.89,123.25,2492454
2016-08-19 09:30:00,122.96,123.01,122.53,122.73,2698257
2016-08-22 09:30:00,122.62,123.71,122.36,123.6,3384669
2016-08-23 09:30:00,123.79,124.33,123.75,124.06,2792829
2016-08-24 09:30:00,123.71,123.93,123.4,123.6,1550495
2016-08-25 09:30:00,122.37,122.99,122.35,122.89,1759391
2016-08-26 09:30:00,123.3,124.0,123.2,123.59,2027672
2016-08-29 09:30:00,123.59,125.14,123.59,124.96,2962684
2016-08-30 09:30:00,125.83,125.83,125.27,125.57,3172850
2016-08-31 09:30:00,124.85,124.98,124.34,124.72,2179047
2016-09-01 09:30:00,125.56,125.83,125.3,125.58,2064898
2016-09-02 09:30:00,126.08,126.09,125.58,125.99,1927866
2016-09-06 09:30:00,125.88,126.87,125.7,126.79,3392965
2016-09-07 09:30:00,129.22,130.82,129.16,130.8,7681521
2016-09-08 09:30:00,130.1,130.28,129.23,129.43,3258431
2016-09-09 09:30:00,128.92,129.16,128.02,128.1,4237250
2016-09-12 09:30:00,125.19,126.58,124.99,125.98,4081394
2016-09-13 09:30:00,127.34,127.57,126.45,126.53,3361004
2016-09-14 09:30:00,126.12,127.53,126.12,127.44,2931188
2016-09-15 09:30:00,127.2,127.7,126.89,127.4,2508406
2016-09-16 09:30:00,127.34,128.4,127.34,128.06,8421075
2016-09-19 09:30:00,129.12,129.15,128.44,128.71,2686886
2016-09-20 09:30:00,128.24,128.39,127.75,128.3,1884705
2016-09-21 09:30:00,128.35,128.6,128.01,128.07,1706919
2016-09-22 09:30:00,129.71,129.94,129.15,129.63,3535251
2016-09-23 09:30:00,126.79,127.77,126.68,127.12,7193648
2016-09-26 09:30:00,126.6,126.71,126.03,126.27,3293439
2016-09-27 09:30:00,126.83,127.43,126.66,127.33,2597898
2016-09-28 09:30:00,128.43,128.68,127.68,127.85,2340760
2016-09-29 09:30:00,128.4,128.5,127.87,128.25,1879254
2016-09-30 09:30:00,127.38,127.47,126.68,126.81,3130820
2016-10-03 09:30:00,127.64,128.31,127.29,127.47,2545626
2016-10-04 09:30:00,128.41,128.49,127.88,127.96,2268137
2016-10-05 09:30:00,127.47,127.85,127.26,127.64,1748798
2016-10-06 09:30:00,127.65,128.05,127.3,128.01,2244799
2016-10-07 09:30:00,128.26,128.46,127.8,127.96,2354886
2016-10-10 09:30:00,128.94,129.15,128.42,129.05,2305570
2016-10-11 09:30:00,129.44,129.85,129.06,129.24,3074548
2016-10-12 09:30:00,128.26,128.66,127.92,128.28,2138728
2016-10-13 09:30:00,127.43,127.47,126.15,126.4,4734160
2016-10-14 09:30:00,127.71,128.1,127.67,127.92,2410796
2016-10-17 09:30:00,127.46,127.46,126.55,126.77,1658457
2016-10-18 09:30:00,127.91,127.95,127.23,127.86,2417685
2016-10-19 09:30:00,127.96,129.15,127.82,129.13,2948552
2016-10-20 09:30:00,129.28,129.5,128.71,129.05,2379994
2016-10-21 09:30:00,128.98,129.75,128.91,129.67,3462602
2016-10-24 09:30:00,132.01,132.19,131.35,132.11,4074675
2016-10-25 09:30:00,132.69,132.69,131.87,131.9,2624717
2016-10-26 09:30:00,130.84,131.23,130.65,130.71,2153541
2016-10-27 09:30:00,130.94,131.0,130.16,130.42,2484966
2016-10-28 09:30:00,129.7,130.24,129.14,130.04,2716985
2016-10-31 09:30:00,131.25,131.32,130.11,130.62,3172184
2016-11-01 09:30:00,130.61,131.14,130.21,130.38,2431882
2016-11-02 09:30:00,129.21,129.44,128.26,128.28,3123340
2016-11-03 09:30:00,121.25,122.53,119.39,119.56,17005236
2016-11-04 09:30:00,118.7,120.05,118.53,119.52,5807353
2016-11-07 09:30:00,122.4,122.46,120.92,120.97,5311680
2016-11-08 09:30:00,121.27,121.49,120.86,121.17,2341240
2016-11-09 09:30:00,120.76,122.76,119.78,122.75,9591826
2016-11-10 09:30:00,123.36,123.43,119.85,119.85,6693673
2016-11-11 09:30:00,119.02,119.97,117.93,118.01,5937773
2016-11-14 09:30:00,118.28,118.4,115.3,115.37,7271315
2016-11-15 09:30:00,115.42,117.68,115.13,117.05,8432680
2016-11-16 09:30:00,114.12,115.41,113.52,114.71,7914763
2016-11-17 09:30:00,116.17,116.78,115.65,115.94,2881036
2016-11-18 09:30:00,117.67,118.41,117.36,117.54,5421853
2016-11-21 09:30:00,117.57,119.3,117.08,119.23,7450958
2016-11-22 09:30:00,121.56,122.23,121.06,121.09,6705161
2016-11-23 09:30:00,120.49,120.57,119.37,119.62,3230692
2016-11-25 09:30:00,120.27,120.39,119.52,120.37,2345749
2016-11-28 09:30:00,119.39,120.41,119.09,120.39,3431332
2016-11-29 09:30:00,119.96,120.39,119.67,120.31,2608060
2016-11-30 09:30:00,119.61,120.58,119.27,119.67,4470537
2016-12-01 09:30:00,117.65,117.73,114.61,114.95,8640300
2016-12-02 09:30:00,114.4,115.69,113.92,114.39,5589516
2016-12-05 09:30:00,115.23,115.64,114.37,115.57,4347272
2016-12-06 09:30:00,116.97,116.98,115.64,116.79,3550312
2016-12-07 09:30:00,116.36,117.14,116.12,116.36,2876809
2016-12-08 09:30:00,117.23,118.48,116.93,118.2,4077286
2016-12-09 09:30:00,118.49,119.21,118.23,119.17,3365865
2016-12-12 09:30:00,118.47,118.52,117.49,118.03,3609364
2016-12-13 09:30:00,117.14,118.71,116.9,118.57,5014275
2016-12-14 09:30:00,119.27,120.22,119.02,119.99,3682870
2016-12-15 09:30:00,119.2,120.7,118.91,120.04,3998377
2016-12-16 09:30:00,120.21,120.76,119.83,120.04,8889020
2016-12-19 09:30:00,119.12,119.14,117.79,118.67,3580298
2016-12-20 09:30:00,118.77,118.92,118.21,118.28,2688671
2016-12-21 09:30:00,118.2,118.28,117.76,118.0,1780849
2016-12-22 09:30:00,118.18,118.27,117.3,117.4,2839192
2016-12-23 09:30:00,116.32,116.85,116.25,116.61,1766810
2016-12-27 09:30:00,116.25,117.88,116.15,117.52,2973081
2016-12-28 09:30:00,117.47,117.53,116.25,116.26,2447056
2016-12-29 09:30:00,116.33,116.82,116.05,116.16,1934248
2016-12-30 09:30:00,116.01,116.12,114.8,114.87,2601132
2017-01-03 09:30:00,115.33,116.19,114.81,116.13,4109233
2017-01-04 09:30:00,116.83,117.23,116.58,116.75,2760896
2017-01-05 09:30:00,118.09,118.76,117.6,118.5,2399128
2017-01-06 09:30:00,120.16,121.15,119.3,121.09,4367485
2017-01-09 09:30:00,122.8,123.79,122.29,123.52,4005290
2017-01-10 09:30:00,124.05,124.74,123.52,124.01,3650773
2017-01-11 09:30:00,123.6,124.24,123.31,123.56,2711420
