open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,20.81,21.03,20.58,20.68,683995
2016-01-05 09:30:00,21.13,21.23,20.96,21.09,727892
2016-01-06 09:30:00,20.97,21.21,20.83,21.1,596188
2016-01-07 09:30:00,20.47,20.57,20.29,20.3,651870
2016-01-08 09:30:00,19.65,20.01,19.63,19.98,785383
2016-01-11 09:30:00,19.61,19.9,19.58,19.59,1066383
2016-01-12 09:30:00,19.9,20.48,19.83,20.31,1108913
2016-01-13 09:30:00,20.14,20.29,20.04,20.12,543571
2016-01-14 09:30:00,18.91,18.96,18.46,18.5,783966
2016-01-15 09:30:00,18.95,19.3,18.75,19.16,1167146
2016-01-19 09:30:00,19.15,19.15,18.48,18.76,777809
2016-01-20 09:30:00,18.06,18.06,17.33,17.38,867101
2016-01-21 09:30:00,18.08,18.09,17.61,17.69,805506
2016-01-22 09:30:00,18.4,18.65,18.26,18.45,1040509
2016-01-25 09:30:00,18.62,18.63,18.17,18.22,484723
2016-01-26 09:30:00,17.89,17.96,17.52,17.56,606792
2016-01-27 09:30:00,18.13,18.58,18.05,18.32,988567
2016-01-28 09:30:00,18.8,19.19,18.6,18.73,1751542
2016-01-29 09:30:00,18.37,18.85,18.34,18.85,892008
2016-02-01 09:30:00,18.9,18.92,18.4,18.61,581372
2016-02-02 09:30:00,18.69,18.75,18.16,18.26,1051727
2016-02-03 09:30:00,18.23,18.27,17.63,17.63,298738
2016-02-04 09:30:00,17.58,17.76,17.43,17.73,642020
2016-02-05 09:30:00,17.7,17.7,17.29,17.29,641049
2016-02-08 09:30:00,16.7,16.77,16.06,16.12,837479
2016-02-09 09:30:00,15.57,16.08,15.45,16.0,973150
2016-02-10 09:30:00,15.8,16.23,15.8,16.15,784711
2016-02-11 09:30:00,15.8,16.17,15.71,16.12,752212
2016-02-12 09:30:00,16.36,16.89,16.35,16.76,2268456
2016-02-16 09:30:00,17.65,17.96,17.46,17.67,2399190
2016-02-17 09:30:00,18.23,18.56,18.18,18.36,1168404
2016-02-18 09:30:00,18.29,18.32,17.16,17.51,5277491
2016-02-19 09:30:00,17.2,17.2,16.44,16.57,3343458
2016-02-22 09:30:00,17.82,18.0,17.56,17.83,1703311
2016-02-23 09:30:00,17.59,17.75,17.4,17.53,1017968
2016-02-24 09:30:00,16.96,16.96,16.73,16.79,817254
2016-02-25 09:30:00,17.27,17.42,16.83,16.98,1197263
2016-02-26 09:30:00,17.63,17.8,17.49,17.65,807195
2016-02-29 09:30:00,17.8,17.96,17.68,17.82,469458
2016-03-01 09:30:00,18.26,18.45,18.01,18.39,1235982
2016-03-02 09:30:00,18.96,19.3,18.83,18.87,1514686
2016-03-03 09:30:00,18.97,18.97,18.56,18.7,1280841
2016-03-04 09:30:00,19.23,19.24,18.71,18.77,1230296
2016-03-07 09:30:00,18.41,18.88,18.39,18.73,617190
2016-03-08 09:30:00,18.42,18.7,18.24,18.69,1336134
2016-03-09 09:30:00,18.56,18.84,18.45,18.62,1013768
2016-03-10 09:30:00,19.06,19.31,18.89,19.21,740851
2016-03-11 09:30:00,19.35,19.6,19.34,19.44,624465
2016-03-14 09:30:00,19.56,19.72,19.53,19.63,375858
2016-03-15 09:30:00,19.97,20.22,19.56,19.65,1051280
2016-03-16 09:30:00,19.49,19.78,19.46,19.74,392866
2016-03-17 09:30:00,19.97,20.36,19.97,20.09,642093
2016-03-18 09:30:00,20.24,20.52,19.94,20.06,1616439
2016-03-21 09:30:00,20.19,20.24,20.05,20.05,564875
2016-03-22 09:30:00,19.63,20.04,19.63,20.02,604759
2016-03-23 09:30:00,19.91,19.92,19.62,19.63,521853
2016-03-24 09:30:00,19.35,19.38,19.06,19.3,1105344
2016-03-28 09:30:00,19.36,19.41,19.0,19.15,847477
2016-03-29 09:30:00,19.43,19.48,19.11,19.25,556917
2016-03-30 09:30:00,20.27,20.46,20.09,20.1,1255338
2016-03-31 09:30:00,20.06,20.12,19.9,20.12,545069
2016-04-01 09:30:00,19.97,20.3,19.83,20.23,1042274
2016-04-04 09:30:00,20.66,20.85,20.47,20.59,846769
2016-04-05 09:30:00,20.11,20.28,20.07,20.28,517526
2016-04-06 09:30:00,19.8,19.81,19.43,19.78,2202654
2016-04-07 09:30:00,20.28,20.95,20.28,20.92,1917730
2016-04-08 09:30:00,20.78,20.96,20.68,20.91,2253079
2016-04-11 09:30:00,21.32,21.4,21.05,21.07,1336786
2016-04-12 09:30:00,20.82,21.12,20.77,21.04,782038
2016-04-13 09:30:00,21.61,21.75,21.54,21.73,1006070
2016-04-14 09:30:00,21.94,21.97,21.38,21.5,1234632
2016-04-15 09:30:00,21.53,21.6,21.43,21.47,343787
2016-04-18 09:30:00,21.3,21.48,21.23,21.23,891592
2016-04-19 09:30:00,21.79,22.02,21.72,21.93,1006021
2016-04-20 09:30:00,21.75,21.94,21.39,21.68,2017692
2016-04-21 09:30:00,21.12,21.32,20.66,20.92,2035277
2016-04-22 09:30:00,20.97,21.3,20.97,21.23,713503
2016-04-25 09:30:00,20.92,20.93,20.76,20.76,214645
2016-04-26 09:30:00,20.58,20.62,20.41,20.56,194588
2016-04-27 09:30:00,20.47,20.7,20.33,20.63,317088
2016-04-28 09:30:00,20.55,20.68,20.47,20.65,520078
2016-04-29 09:30:00,20.16,20.33,20.05,20.06,528273
2016-05-02 09:30:00,20.35,20.65,20.32,20.41,582216
2016-05-03 09:30:00,20.22,20.23,20.01,20.13,454316
2016-05-04 09:30:00,20.02,20.13,19.93,20.04,418824
2016-05-05 09:30:00,20.38,20.54,20.07,20.54,1776632
2016-05-06 09:30:00,20.56,21.13,20.52,20.77,1428276
2016-05-09 09:30:00,20.59,20.88,20.52,20.68,472255
2016-05-10 09:30:00,20.67,20.96,20.66,20.87,536595
2016-05-11 09:30:00,21.2,21.29,20.95,21.09,379905
