open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,35.26,35.47,35.19,35.3,91524
2016-01-05 09:30:00,35.25,35.61,35.2,35.25,141774
2016-01-06 09:30:00,35.06,35.21,34.97,35.06,131292
2016-01-07 09:30:00,34.98,35.14,34.93,35.04,117794
2016-01-08 09:30:00,35.07,35.23,34.96,35.21,81362
2016-01-11 09:30:00,35.02,35.25,34.97,35.01,91044
2016-01-12 09:30:00,35.39,35.6,35.34,35.49,60910
2016-01-13 09:30:00,35.81,35.81,35.51,35.77,47000
2016-01-14 09:30:00,35.48,35.6,35.25,35.34,98352
2016-01-15 09:30:00,35.08,35.08,34.72,34.79,271528
2016-01-19 09:30:00,34.46,34.59,34.16,34.26,478080
2016-01-20 09:30:00,33.57,33.68,33.43,33.47,158098
2016-01-21 09:30:00,33.54,33.7,33.44,33.47,77460
2016-01-22 09:30:00,33.6,33.7,33.48,33.68,283616
2016-01-25 09:30:00,34.11,34.19,33.88,33.9,68204
2016-01-26 09:30:00,33.86,34.13,33.86,34.09,59126
2016-01-27 09:30:00,34.58,34.64,34.39,34.47,176178
2016-01-28 09:30:00,34.57,35.67,34.44,35.18,489152
2016-01-29 09:30:00,35.97,36.53,35.97,36.47,336102
2016-02-01 09:30:00,36.69,37.0,36.46,37.0,209302
2016-02-02 09:30:00,36.8,36.84,36.47,36.78,107636
2016-02-03 09:30:00,36.71,36.92,36.47,36.6,168552
2016-02-04 09:30:00,36.3,36.31,36.0,36.24,86040
2016-02-05 09:30:00,35.89,36.09,35.59,36.01,71426
2016-02-08 09:30:00,35.73,36.04,35.54,35.91,75742
2016-02-09 09:30:00,36.41,36.6,36.24,36.26,174208
2016-02-10 09:30:00,37.09,37.86,36.98,37.85,159482
2016-02-11 09:30:00,37.36,37.56,37.08,37.48,192154
2016-02-12 09:30:00,38.07,38.14,37.66,37.99,119040
2016-02-16 09:30:00,37.7,37.75,37.43,37.63,146774
2016-02-17 09:30:00,38.01,38.01,37.69,37.74,132934
2016-02-18 09:30:00,37.87,37.87,37.33,37.48,210928
2016-02-19 09:30:00,37.94,38.07,37.65,37.9,145242
2016-02-22 09:30:00,38.53,38.63,38.4,38.47,73860
2016-02-23 09:30:00,38.32,38.45,38.2,38.33,132330
2016-02-24 09:30:00,38.63,38.8,38.01,38.56,135700
2016-02-25 09:30:00,38.82,39.18,38.8,39.11,68252
2016-02-26 09:30:00,39.3,39.41,39.17,39.39,58670
2016-02-29 09:30:00,39.01,39.18,38.98,38.98,65200
2016-03-01 09:30:00,39.26,39.32,38.91,38.95,106042
2016-03-02 09:30:00,38.94,39.1,38.6,38.78,94360
2016-03-03 09:30:00,38.93,39.06,38.7,38.7,40874
2016-03-04 09:30:00,39.18,39.2,38.92,38.99,46534
2016-03-07 09:30:00,39.16,39.21,38.86,39.06,113842
2016-03-08 09:30:00,38.81,38.84,38.61,38.71,152086
2016-03-09 09:30:00,39.24,39.44,39.1,39.34,110108
2016-03-10 09:30:00,39.41,39.44,39.22,39.4,89770
2016-03-11 09:30:00,39.42,39.42,39.2,39.38,75122
2016-03-14 09:30:00,39.26,39.42,38.91,39.0,66836
2016-03-15 09:30:00,39.19,39.23,38.92,39.13,149056
2016-03-16 09:30:00,39.1,39.16,38.91,39.14,93394
2016-03-17 09:30:00,39.62,39.79,39.49,39.57,146402
2016-03-18 09:30:00,39.99,40.18,39.74,39.74,399934
2016-03-21 09:30:00,39.34,39.49,39.22,39.32,77768
2016-03-22 09:30:00,39.29,39.44,38.88,39.0,103442
2016-03-23 09:30:00,39.39,39.64,39.27,39.45,307036
2016-03-24 09:30:00,39.9,40.16,39.74,40.01,128400
2016-03-28 09:30:00,40.3,40.67,40.12,40.43,123996
2016-03-29 09:30:00,41.31,41.73,40.83,41.38,630122
2016-03-30 09:30:00,41.57,41.63,41.29,41.37,341322
2016-03-31 09:30:00,41.65,41.65,41.42,41.53,127780
2016-04-01 09:30:00,41.46,42.04,41.36,42.04,254804
2016-04-04 09:30:00,41.98,42.15,41.76,41.76,125428
2016-04-05 09:30:00,41.88,42.05,41.79,41.79,52834
2016-04-06 09:30:00,41.28,41.28,40.92,41.04,201568
2016-04-07 09:30:00,41.56,41.65,41.37,41.57,109342
2016-04-08 09:30:00,41.83,41.96,41.74,41.8,59048
2016-04-11 09:30:00,42.12,42.23,41.78,41.82,106166
2016-04-12 09:30:00,41.33,41.51,41.23,41.27,73316
2016-04-13 09:30:00,41.36,41.44,40.76,40.76,354122
2016-04-14 09:30:00,40.59,40.68,40.33,40.47,175552
