open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,106.81,107.0,105.57,106.16,334240
2016-01-05 09:30:00,105.92,106.21,105.69,105.88,269947
2016-01-06 09:30:00,105.03,105.15,104.66,104.74,253402
2016-01-07 09:30:00,102.82,103.06,101.69,102.88,481274
2016-01-08 09:30:00,101.98,102.8,101.94,102.71,259170
2016-01-11 09:30:00,101.7,102.03,100.88,101.16,263857
2016-01-12 09:30:00,101.98,102.55,101.59,101.74,251076
2016-01-13 09:30:00,101.64,102.51,101.51,102.49,295195
2016-01-14 09:30:00,100.81,100.98,100.18,100.31,350623
2016-01-15 09:30:00,99.77,100.7,98.99,100.4,888582
2016-01-19 09:30:00,101.07,101.58,100.47,101.08,388936
2016-01-20 09:30:00,98.8,99.33,98.5,99.17,432193
2016-01-21 09:30:00,98.81,99.56,98.22,98.25,268816
2016-01-22 09:30:00,101.1,101.31,100.6,100.98,333782
2016-01-25 09:30:00,100.23,100.4,99.79,100.08,200419
2016-01-26 09:30:00,102.36,104.17,101.24,103.53,1054431
2016-01-27 09:30:00,104.48,104.7,103.92,104.37,359234
2016-01-28 09:30:00,105.44,106.66,105.36,106.15,256799
2016-01-29 09:30:00,106.92,108.21,106.77,108.11,355124
2016-02-01 09:30:00,107.73,108.06,107.15,107.3,362227
2016-02-02 09:30:00,106.47,106.76,105.36,105.48,422521
2016-02-03 09:30:00,107.85,109.26,107.75,109.05,643512
2016-02-04 09:30:00,109.96,110.64,109.5,110.24,290338
2016-02-05 09:30:00,110.52,110.94,109.68,110.04,287268
2016-02-08 09:30:00,109.39,109.92,109.22,109.6,298495
2016-02-09 09:30:00,110.32,110.83,109.98,110.32,293961
2016-02-10 09:30:00,112.22,112.99,111.89,112.05,274830
2016-02-11 09:30:00,109.06,110.45,108.86,110.08,291291
2016-02-12 09:30:00,110.1,110.74,109.66,110.38,200334
2016-02-16 09:30:00,112.63,113.29,112.29,112.58,274532
2016-02-17 09:30:00,113.36,113.93,113.07,113.92,251594
2016-02-18 09:30:00,113.62,113.99,113.34,113.97,197462
2016-02-19 09:30:00,114.15,114.15,113.27,113.49,615795
2016-02-22 09:30:00,114.45,114.68,114.24,114.3,382943
2016-02-23 09:30:00,114.55,114.59,114.08,114.09,187079
2016-02-24 09:30:00,112.39,112.59,111.73,111.87,205300
2016-02-25 09:30:00,114.48,114.81,114.12,114.3,185164
2016-02-26 09:30:00,115.72,115.9,115.24,115.35,294416
2016-02-29 09:30:00,114.82,115.19,114.65,115.0,189267
2016-03-01 09:30:00,115.36,115.54,114.53,114.83,245347
2016-03-02 09:30:00,115.45,115.95,115.21,115.93,194598
2016-03-03 09:30:00,115.84,116.04,115.47,115.68,152285
2016-03-04 09:30:00,115.88,116.11,115.53,115.64,102736
2016-03-07 09:30:00,116.25,116.26,114.94,115.73,289062
2016-03-08 09:30:00,115.83,116.2,115.8,115.9,204687
2016-03-09 09:30:00,116.63,116.83,116.41,116.7,198744
2016-03-10 09:30:00,116.83,116.83,116.23,116.71,183890
2016-03-11 09:30:00,117.1,117.35,116.74,117.13,229364
2016-03-14 09:30:00,117.44,117.76,116.99,117.63,160347
2016-03-15 09:30:00,116.38,117.13,115.8,116.92,330163
2016-03-16 09:30:00,117.69,118.0,117.37,117.86,164873
2016-03-17 09:30:00,118.52,118.81,118.33,118.58,136875
2016-03-18 09:30:00,119.28,119.39,119.17,119.31,1174192
2016-03-21 09:30:00,119.94,119.94,119.51,119.87,184668
2016-03-22 09:30:00,119.54,119.86,119.46,119.83,160598
2016-03-23 09:30:00,119.61,119.81,119.29,119.39,176216
2016-03-24 09:30:00,118.84,119.51,118.48,119.47,181779
2016-03-28 09:30:00,119.76,120.12,119.6,119.99,222731
2016-03-29 09:30:00,119.85,119.89,118.54,118.74,478290
2016-03-30 09:30:00,120.1,120.56,120.02,120.42,195653
2016-03-31 09:30:00,121.17,121.72,121.15,121.47,177111
2016-04-01 09:30:00,120.36,120.56,119.75,120.16,211555
2016-04-04 09:30:00,121.43,121.71,120.94,121.44,211295
2016-04-05 09:30:00,119.97,120.4,119.65,120.37,191680
2016-04-06 09:30:00,120.15,120.7,119.84,120.0,244734
2016-04-07 09:30:00,120.54,120.74,120.08,120.55,163319
2016-04-08 09:30:00,121.87,122.07,121.54,121.98,227064
2016-04-11 09:30:00,121.44,122.01,121.36,121.9,188408
2016-04-12 09:30:00,121.36,122.01,121.3,121.91,170293
2016-04-13 09:30:00,122.42,122.74,122.1,122.46,146017
2016-04-14 09:30:00,122.81,122.81,121.99,122.31,164072
2016-04-15 09:30:00,122.31,122.68,122.23,122.54,294667
2016-04-18 09:30:00,122.42,122.95,122.36,122.92,125290
2016-04-19 09:30:00,123.48,124.09,123.31,123.87,377543
2016-04-20 09:30:00,123.64,123.86,123.0,123.08,161625
2016-04-21 09:30:00,122.79,123.16,122.61,122.95,145626
2016-04-22 09:30:00,122.87,123.36,122.5,122.91,160678
2016-04-25 09:30:00,122.08,122.36,121.65,121.67,172594
2016-04-26 09:30:00,121.98,121.98,121.11,121.86,424131
2016-04-27 09:30:00,121.35,121.76,120.93,121.04,260692
2016-04-28 09:30:00,121.0,121.84,120.77,121.75,216772
2016-04-29 09:30:00,121.34,121.43,120.99,121.27,136113
2016-05-02 09:30:00,121.57,122.07,121.39,121.43,225858
2016-05-03 09:30:00,121.61,121.67,121.11,121.57,227039
2016-05-04 09:30:00,121.41,121.86,120.84,121.35,350141
2016-05-05 09:30:00,121.69,122.05,121.49,121.8,121363
2016-05-06 09:30:00,121.94,122.13,121.35,121.84,157751
2016-05-09 09:30:00,122.51,122.71,122.24,122.59,252013
2016-05-10 09:30:00,122.92,123.49,122.81,123.29,128174
2016-05-11 09:30:00,123.43,123.89,123.22,123.68,188157
2016-05-12 09:30:00,123.53,123.71,123.33,123.45,228035
2016-05-13 09:30:00,123.57,123.81,123.34,123.49,189508
2016-05-16 09:30:00,122.44,122.95,122.44,122.6,176171
2016-05-17 09:30:00,123.22,123.49,122.81,123.02,143386
2016-05-18 09:30:00,121.73,122.06,121.5,122.06,204265
2016-05-19 09:30:00,120.97,121.47,119.7,119.7,270578
2016-05-20 09:30:00,120.88,121.53,120.76,121.45,351132
2016-05-23 09:30:00,120.9,121.02,120.35,120.69,126032
2016-05-24 09:30:00,122.28,122.92,121.94,122.75,182598
2016-05-25 09:30:00,123.63,124.19,123.44,124.08,175498
2016-05-26 09:30:00,124.44,124.92,124.22,124.42,155443
2016-05-27 09:30:00,123.56,123.65,123.26,123.49,114727
2016-05-31 09:30:00,123.86,124.17,123.34,123.46,229160
2016-06-01 09:30:00,122.73,122.89,122.23,122.59,155675
2016-06-02 09:30:00,123.41,123.41,122.54,122.62,131825
2016-06-03 09:30:00,122.93,123.38,122.77,122.81,119714
2016-06-06 09:30:00,123.52,124.36,123.33,124.31,172606
2016-06-07 09:30:00,124.54,125.02,124.52,124.8,105287
2016-06-08 09:30:00,125.05,125.77,124.83,125.4,147443
2016-06-09 09:30:00,124.72,125.43,124.72,125.36,117989
2016-06-10 09:30:00,123.82,123.84,122.91,123.07,318143
2016-06-13 09:30:00,123.22,123.36,122.8,123.15,300788
2016-06-14 09:30:00,122.2,122.52,122.05,122.51,207817
2016-06-15 09:30:00,122.86,123.18,122.51,122.56,164653
2016-06-16 09:30:00,122.41,122.75,122.02,122.07,177216
2016-06-17 09:30:00,124.35,124.36,123.56,124.12,2036882
2016-06-20 09:30:00,125.02,125.87,124.74,125.78,355140
2016-06-21 09:30:00,125.22,125.68,125.13,125.28,169211
2016-06-22 09:30:00,125.7,126.05,125.67,125.81,139258
2016-06-23 09:30:00,126.34,126.55,126.16,126.3,204438
2016-06-24 09:30:00,123.53,124.82,123.37,124.4,440061
