open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,29.97,29.99,29.73,29.84,643033
2016-01-05 09:30:00,29.94,30.2,29.91,30.14,591998
2016-01-06 09:30:00,30.24,30.64,30.21,30.53,607376
2016-01-07 09:30:00,30.17,30.77,30.12,30.76,955618
2016-01-08 09:30:00,30.5,30.55,30.3,30.48,544165
2016-01-11 09:30:00,30.56,30.84,30.56,30.8,1047496
2016-01-12 09:30:00,31.23,31.29,30.89,30.96,911520
2016-01-13 09:30:00,30.91,30.91,30.7,30.74,542366
2016-01-14 09:30:00,30.05,30.43,30.03,30.27,755479
2016-01-15 09:30:00,29.72,30.13,29.6,29.91,1984212
2016-01-19 09:30:00,30.1,30.44,30.06,30.33,1265515
2016-01-20 09:30:00,30.0,30.28,29.92,29.96,968062
2016-01-21 09:30:00,29.94,30.03,29.57,29.61,883918
2016-01-22 09:30:00,30.29,30.32,29.96,30.11,725795
2016-01-25 09:30:00,30.47,30.68,30.36,30.59,672514
2016-01-26 09:30:00,30.58,30.92,30.39,30.86,800861
2016-01-27 09:30:00,30.73,31.16,30.68,31.15,792848
2016-01-28 09:30:00,30.27,30.96,30.22,30.84,709344
2016-01-29 09:30:00,31.37,31.63,31.26,31.63,927826
2016-02-01 09:30:00,31.62,31.97,31.62,31.85,993382
2016-02-02 09:30:00,31.48,31.67,31.38,31.57,663594
2016-02-03 09:30:00,31.51,31.78,31.51,31.62,508597
2016-02-04 09:30:00,30.91,31.23,30.77,30.99,717007
2016-02-05 09:30:00,31.15,31.25,30.65,30.65,895939
2016-02-08 09:30:00,30.77,31.16,30.73,31.03,728279
2016-02-09 09:30:00,31.33,31.59,31.11,31.16,901169
2016-02-10 09:30:00,31.57,31.82,31.56,31.61,457946
2016-02-11 09:30:00,31.03,31.23,30.94,31.02,707741
2016-02-12 09:30:00,31.42,31.55,31.0,31.55,687411
2016-02-16 09:30:00,31.39,31.39,31.11,31.3,837278
2016-02-17 09:30:00,31.5,31.51,31.17,31.28,522441
2016-02-18 09:30:00,31.42,31.56,31.37,31.45,551141
2016-02-19 09:30:00,31.58,31.74,31.27,31.41,1543176
2016-02-22 09:30:00,31.78,31.86,31.62,31.84,589250
2016-02-23 09:30:00,31.89,31.98,31.79,31.85,412858
