open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,58.92,59.98,58.71,59.64,73275
2016-01-05 09:30:00,59.76,61.0,59.47,60.69,42937
2016-01-06 09:30:00,60.15,60.83,59.9,59.9,42082
2016-01-07 09:30:00,58.83,58.96,58.54,58.6024,45770
2016-01-08 09:30:00,57.28,57.75,57.0901,57.235,91092
2016-01-11 09:30:00,56.3,56.95,56.02,56.07,79601
2016-01-12 09:30:00,56.09,57.17,55.93,57.01,133007
2016-01-13 09:30:00,56.55,57.28,56.55,57.23,85495
2016-01-14 09:30:00,55.02,55.48,54.49,54.57,43649
2016-01-15 09:30:00,53.74,54.84,53.54,53.68,91553
2016-01-19 09:30:00,53.78,54.51,53.78,54.44,64410
2016-01-20 09:30:00,53.39,53.91,53.09,53.2,57248
2016-01-21 09:30:00,55.26,55.51,53.83,54.17,410644
2016-01-22 09:30:00,55.73,57.285,55.33,57.22,74680
2016-01-25 09:30:00,56.36,56.85,55.43,55.55,57345
2016-01-26 09:30:00,54.43,54.71,53.57,53.78,35335
2016-01-27 09:30:00,56.21,56.22,55.4,55.8,25454
2016-01-28 09:30:00,54.46,55.22,54.36,54.99,94542
2016-01-29 09:30:00,53.85,55.4,53.85,55.37,78313
2016-02-01 09:30:00,54.94,55.3,54.37,55.01,49584
2016-02-02 09:30:00,54.26,54.43,53.68,53.84,38888
2016-02-03 09:30:00,53.93,54.62,53.01,53.33,42423
2016-02-04 09:30:00,53.93,53.93,53.03,53.66,45695
2016-02-05 09:30:00,55.4,55.4,53.99,54.05,62770
2016-02-08 09:30:00,51.37,51.8,50.89,51.43,64516
2016-02-09 09:30:00,50.36,51.79,48.0,50.96,196654
2016-02-10 09:30:00,51.37,52.88,50.62,51.86,58051
2016-02-11 09:30:00,51.43,53.124,51.07,53.01,179396
2016-02-12 09:30:00,54.98,56.68,54.17,56.08,223626
2016-02-16 09:30:00,55.59,57.295,55.07,56.06,65180
2016-02-17 09:30:00,58.34,59.5,58.34,59.12,41891
2016-02-18 09:30:00,59.43,60.67,59.175,60.37,76952
2016-02-19 09:30:00,60.36,60.787,59.5,59.5,85512
2016-02-22 09:30:00,61.05,62.49,60.65,62.315,151682
2016-02-23 09:30:00,62.32,63.2835,62.32,62.55,136674
2016-02-24 09:30:00,62.16,62.16,60.86,61.3976,89640
2016-02-25 09:30:00,62.4,63.02,61.97,62.96,41507
2016-02-26 09:30:00,63.32,63.6138,62.855,63.265,58475
2016-02-29 09:30:00,62.45,62.7,61.86,62.02,90500
2016-03-01 09:30:00,62.46,63.14,61.83,62.275,91675
2016-03-02 09:30:00,63.21,63.87,62.77,63.51,48475
2016-03-03 09:30:00,63.73,64.025,63.4,64.01,27823
2016-03-04 09:30:00,64.67,64.69,63.99,64.51,28741
2016-03-07 09:30:00,63.54,63.97,63.5,63.58,52883
2016-03-08 09:30:00,64.35,64.86,64.09,64.43,31285
2016-03-09 09:30:00,63.18,63.5878,62.945,63.5878,59338
2016-03-10 09:30:00,64.0,64.58,63.558,64.37,46623
2016-03-11 09:30:00,64.38,64.98,64.22,64.84,26778
2016-03-14 09:30:00,65.92,66.45,65.72,66.04,32593
2016-03-15 09:30:00,65.02,65.18,64.6,64.85,20291
2016-03-16 09:30:00,63.75,64.89,63.75,64.53,50123
2016-03-17 09:30:00,64.77,64.955,63.5,63.64,33229
2016-03-18 09:30:00,63.05,65.3,62.51,65.19,136386
2016-03-21 09:30:00,64.43,64.55,63.86,63.97,40441
2016-03-22 09:30:00,62.92,62.92,62.13,62.37,71870
2016-03-23 09:30:00,63.48,63.96,63.24,63.41,24832
2016-03-24 09:30:00,62.71,63.88,62.08,63.19,44711
2016-03-28 09:30:00,63.51,63.51,62.94,63.05,27330
2016-03-29 09:30:00,63.24,63.99,63.01,63.8,38728
2016-03-30 09:30:00,65.01,65.92,64.57,64.57,34189
2016-03-31 09:30:00,64.26,64.44,63.86,64.03,12061
2016-04-01 09:30:00,64.15,64.38,63.74,64.3,20685
2016-04-04 09:30:00,64.86,65.13,64.17,64.29,37261
2016-04-05 09:30:00,63.93,63.93,63.07,63.67,21587
2016-04-06 09:30:00,63.25,63.98,63.25,63.61,38895
2016-04-07 09:30:00,63.71,64.43,63.71,64.14,85326
2016-04-08 09:30:00,63.14,63.67,62.78,62.89,29960
2016-04-11 09:30:00,62.8,62.8,61.41,61.68,72531
2016-04-12 09:30:00,60.54,60.83,60.2,60.26,25982
2016-04-13 09:30:00,61.36,61.99,61.36,61.73,25920
2016-04-14 09:30:00,61.63,62.19,61.3,61.5,64173
2016-04-15 09:30:00,61.73,62.1,61.38,61.77,97090
2016-04-18 09:30:00,60.91,61.48,60.63,61.28,23828
2016-04-19 09:30:00,62.13,62.73,62.05,62.58,30177
2016-04-20 09:30:00,62.8,63.44,62.56,62.91,53065
2016-04-21 09:30:00,63.52,63.99,63.46,63.64,32839
2016-04-22 09:30:00,63.46,64.67,63.46,64.67,41555
2016-04-25 09:30:00,64.59,65.62,64.58,65.485,103316
2016-04-26 09:30:00,65.52,66.36,65.52,65.83,87605
2016-04-27 09:30:00,67.53,67.53,65.9,66.25,108092
2016-04-28 09:30:00,65.22,65.88,65.22,65.73,30905
2016-04-29 09:30:00,54.99,56.0,52.6,55.02,2681725
2016-05-02 09:30:00,51.81,51.9,49.88,49.92,627423
2016-05-03 09:30:00,49.64,50.45,48.9,49.6,506957
2016-05-04 09:30:00,46.6,47.37,46.4775,47.21,298251
2016-05-05 09:30:00,46.27,46.3,45.23,45.49,114484
2016-05-06 09:30:00,45.47,45.75,45.02,45.29,132014
2016-05-09 09:30:00,45.52,46.53,45.21,46.47,128174
2016-05-10 09:30:00,47.27,47.46,46.6901,46.91,139027
2016-05-11 09:30:00,46.78,47.155,46.51,46.9278,35598
2016-05-12 09:30:00,46.66,46.95,46.54,46.9,175176
2016-05-13 09:30:00,46.49,47.28,46.325,46.94,142294
2016-05-16 09:30:00,46.36,46.94,46.01,46.76,198375
2016-05-17 09:30:00,46.7,47.015,46.4,46.7,51845
2016-05-18 09:30:00,46.03,46.31,45.727,46.12,49199
2016-05-19 09:30:00,45.53,46.37,45.35,45.36,55284
2016-05-20 09:30:00,45.38,45.72,45.26,45.4,80259
2016-05-23 09:30:00,46.2,46.93,45.8742,46.9295,136908
2016-05-24 09:30:00,46.85,47.11,46.665,47.03,56729
2016-05-25 09:30:00,47.2,47.8,47.15,47.78,45040
2016-05-26 09:30:00,48.37,48.53,48.21,48.26,40486
2016-05-27 09:30:00,48.03,48.42,48.03,48.17,35146
2016-05-31 09:30:00,48.69,49.09,48.69,48.83,55044
2016-06-01 09:30:00,48.44,49.4,48.44,49.3201,92875
2016-06-02 09:30:00,49.37,50.04,49.16,49.92,29474
2016-06-03 09:30:00,50.38,50.74,50.2,50.42,109899
2016-06-06 09:30:00,50.16,50.83,50.16,50.58,35671
2016-06-07 09:30:00,51.36,51.54,51.09,51.42,19179
2016-06-08 09:30:00,50.85,51.71,50.85,51.61,24434
2016-06-09 09:30:00,51.9,51.9,51.45,51.69,62345
2016-06-10 09:30:00,51.55,51.97,51.05,51.5,39915
2016-06-13 09:30:00,50.73,51.39,50.73,51.31,24834
2016-06-14 09:30:00,50.21,50.38,49.84,49.915,109180
2016-06-15 09:30:00,50.35,50.9,50.02,50.76,266479
2016-06-16 09:30:00,50.12,50.74,49.96,50.52,42040
2016-06-17 09:30:00,51.45,51.58,50.9501,51.565,173120
2016-06-20 09:30:00,51.45,52.005,51.24,51.51,38676
2016-06-21 09:30:00,52.21,52.75,51.59,51.72,47231
2016-06-22 09:30:00,51.25,51.65,51.2222,51.45,18094
2016-06-23 09:30:00,51.5,51.53,50.08,50.1,102454
2016-06-24 09:30:00,49.37,50.41,49.22,50.045,88708
2016-06-27 09:30:00,50.39,50.51,49.04,49.13,69134
2016-06-28 09:30:00,49.03,49.74,49.03,49.645,49178
2016-06-29 09:30:00,50.13,50.6,49.39,50.48,36222
2016-06-30 09:30:00,50.62,50.66,50.29,50.52,28055
2016-07-01 09:30:00,49.79,50.0,49.36,49.38,91959
2016-07-05 09:30:00,49.9,49.9,49.1,49.22,55347
2016-07-06 09:30:00,48.11,48.34,47.95,48.1901,159667
2016-07-07 09:30:00,48.77,49.69,48.74,49.535,67759
2016-07-08 09:30:00,49.05,49.12,48.82,48.96,39959
2016-07-11 09:30:00,50.26,50.53,50.05,50.28,68840
2016-07-12 09:30:00,51.46,51.46,51.03,51.15,75182
2016-07-13 09:30:00,51.37,51.787,51.1,51.23,70081
2016-07-14 09:30:00,52.3,52.31,51.84,52.23,69713
2016-07-15 09:30:00,52.12,52.36,51.91,52.02,24052
2016-07-18 09:30:00,52.19,52.42,51.925,52.22,155090
2016-07-19 09:30:00,52.11,52.5273,51.83,52.27,48935
2016-07-20 09:30:00,52.39,52.6,52.13,52.19,25546
2016-07-21 09:30:00,52.43,52.6,52.36,52.5,27152
2016-07-22 09:30:00,52.76,53.28,52.76,53.06,24357
2016-07-25 09:30:00,53.08,53.08,52.39,52.39,27732
2016-07-26 09:30:00,52.54,52.54,51.73,52.075,129689
2016-07-27 09:30:00,51.64,51.65,49.86,50.72,242102
2016-07-28 09:30:00,53.37,57.85,52.94,56.77,951587
2016-07-29 09:30:00,56.76,57.24,56.07,56.21,92888
2016-08-01 09:30:00,56.62,56.875,56.22,56.31,55509
2016-08-02 09:30:00,56.71,58.37,56.27,57.35,223742
2016-08-03 09:30:00,56.88,58.005,56.88,57.97,72833
2016-08-04 09:30:00,58.63,58.75,58.32,58.32,33648
2016-08-05 09:30:00,58.11,58.54,57.91,58.02,31256
2016-08-08 09:30:00,58.82,58.82,58.49,58.54,25246
2016-08-09 09:30:00,58.14,58.455,57.88,57.92,36147
2016-08-10 09:30:00,58.23,58.23,57.91,57.91,20952
2016-08-11 09:30:00,57.66,58.36,57.66,58.09,166292
2016-08-12 09:30:00,57.67,57.77,57.525,57.67,22844
2016-08-15 09:30:00,57.73,57.96,57.53,57.62,21496
2016-08-16 09:30:00,57.54,57.54,56.815,56.91,32372
2016-08-17 09:30:00,57.35,57.43,56.64,56.64,17435
2016-08-18 09:30:00,55.64,56.0,55.57,55.983,42376
2016-08-19 09:30:00,56.16,56.72,55.75,55.86,60975
