open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,22.72,23.31,22.64,22.9,850623
2016-01-05 09:30:00,23.83,23.85,23.21,23.34,413976
2016-01-06 09:30:00,23.15,23.16,22.62,22.97,521552
2016-01-07 09:30:00,21.64,21.91,21.32,21.73,491627
2016-01-08 09:30:00,21.21,21.29,20.85,21.04,646211
2016-01-11 09:30:00,20.79,20.85,20.18,20.2,469016
2016-01-12 09:30:00,20.21,20.49,19.99,20.43,588242
2016-01-13 09:30:00,20.59,20.94,20.54,20.61,547203
2016-01-14 09:30:00,20.03,20.11,19.76,19.85,543485
2016-01-15 09:30:00,20.33,20.64,20.29,20.32,836535
2016-01-19 09:30:00,21.43,21.53,20.17,20.93,953403
2016-01-20 09:30:00,20.27,20.29,19.7,19.71,588347
2016-01-21 09:30:00,20.05,20.2,19.79,19.88,537591
2016-01-22 09:30:00,21.0,21.82,20.69,21.09,1068726
2016-01-25 09:30:00,19.31,19.31,18.43,18.65,1408288
2016-01-26 09:30:00,18.66,18.93,18.63,18.86,471885
2016-01-27 09:30:00,18.97,19.01,18.62,18.69,457135
2016-01-28 09:30:00,18.71,18.79,18.34,18.7,531880
2016-01-29 09:30:00,19.5,19.5,19.08,19.17,653219
2016-02-01 09:30:00,19.92,19.95,19.14,19.32,563182
2016-02-02 09:30:00,19.65,19.65,18.73,18.76,799936
2016-02-03 09:30:00,18.66,19.01,18.66,18.9,628427
2016-02-04 09:30:00,19.93,20.78,19.93,20.38,911455
2016-02-05 09:30:00,20.51,20.89,20.14,20.85,429297
2016-02-08 09:30:00,20.38,20.45,19.73,19.85,375778
2016-02-09 09:30:00,19.21,19.37,18.78,19.06,418923
2016-02-10 09:30:00,20.12,20.21,19.61,19.97,371839
2016-02-11 09:30:00,19.27,20.17,18.61,20.16,851136
2016-02-12 09:30:00,20.53,20.72,19.22,19.31,1157155
2016-02-16 09:30:00,18.98,19.24,18.46,18.98,1118002
2016-02-17 09:30:00,19.79,20.44,19.7,20.3,624872
2016-02-18 09:30:00,21.15,21.31,20.59,21.26,538549
2016-02-19 09:30:00,21.28,21.29,20.7,20.72,881509
2016-02-22 09:30:00,20.54,20.97,20.52,20.68,504392
2016-02-23 09:30:00,20.84,20.85,20.3,20.46,587973
2016-02-24 09:30:00,20.03,20.03,19.3,19.39,799881
2016-02-25 09:30:00,20.75,21.15,20.57,20.64,640029
2016-02-26 09:30:00,21.4,22.02,21.31,21.82,812745
2016-02-29 09:30:00,22.12,22.47,21.9,22.08,663474
2016-03-01 09:30:00,22.32,22.83,22.28,22.39,637792
2016-03-02 09:30:00,22.42,23.26,22.37,23.0,574998
2016-03-03 09:30:00,23.69,23.74,23.43,23.53,578123
2016-03-04 09:30:00,24.0,24.4,23.95,24.17,610816
2016-03-07 09:30:00,24.91,25.54,24.86,25.27,807069
2016-03-08 09:30:00,25.24,25.52,24.89,24.99,598897
2016-03-09 09:30:00,24.66,25.02,24.51,24.77,468084
2016-03-10 09:30:00,25.37,25.5,24.9,25.29,687070
2016-03-11 09:30:00,24.79,25.04,24.53,24.59,660801
2016-03-14 09:30:00,24.03,24.41,23.79,24.26,470452
2016-03-15 09:30:00,24.39,24.51,24.03,24.3,511331
2016-03-16 09:30:00,23.59,24.44,23.56,24.16,358486
2016-03-17 09:30:00,24.79,25.19,24.61,25.04,657740
2016-03-18 09:30:00,25.26,25.46,25.21,25.32,1270177
2016-03-21 09:30:00,24.8,25.38,24.79,25.16,405938
2016-03-22 09:30:00,24.84,24.89,24.3,24.7,452811
2016-03-23 09:30:00,24.11,24.22,23.9,23.91,392710
2016-03-24 09:30:00,23.32,23.32,22.57,22.71,661685
2016-03-28 09:30:00,23.11,23.25,22.56,22.62,336091
2016-03-29 09:30:00,23.22,23.27,22.74,22.77,330521
2016-03-30 09:30:00,23.44,23.71,23.26,23.65,288164
2016-03-31 09:30:00,23.66,23.78,23.45,23.48,330416
2016-04-01 09:30:00,22.59,22.64,21.69,21.92,708563
2016-04-04 09:30:00,22.16,22.39,21.94,22.2,587866
2016-04-05 09:30:00,21.51,21.59,21.36,21.45,380473
2016-04-06 09:30:00,21.35,21.42,20.81,20.96,474610
2016-04-07 09:30:00,21.16,21.34,20.99,21.17,330021
2016-04-08 09:30:00,21.1,21.47,21.04,21.45,529530
2016-04-11 09:30:00,20.97,21.13,20.85,20.87,577653
2016-04-12 09:30:00,20.99,21.15,20.78,20.84,587210
2016-04-13 09:30:00,21.72,22.03,21.58,22.02,555881
2016-04-14 09:30:00,21.86,21.94,21.21,21.24,711782
2016-04-15 09:30:00,21.36,21.41,21.1,21.19,470787
