open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.87,38.71,37.74,38.12,618137
2016-01-05 09:30:00,37.66,38.26,37.39,37.61,525880
2016-01-06 09:30:00,36.12,36.48,35.94,35.98,859407
2016-01-07 09:30:00,35.1,35.35,34.93,35.0,615531
2016-01-08 09:30:00,35.42,35.57,35.02,35.2,449090
2016-01-11 09:30:00,34.03,34.42,33.89,34.09,672667
2016-01-12 09:30:00,33.86,34.5,33.84,34.06,500488
2016-01-13 09:30:00,34.23,34.27,33.08,33.09,685032
2016-01-14 09:30:00,31.18,31.3,30.36,30.41,800676
2016-01-15 09:30:00,30.67,31.0,30.2,30.65,1205206
2016-01-19 09:30:00,31.07,31.49,30.48,30.74,712195
2016-01-20 09:30:00,29.43,29.56,28.95,29.0,788873
2016-01-21 09:30:00,29.33,29.43,28.66,28.88,635244
2016-01-22 09:30:00,29.81,30.47,29.68,30.47,1083015
2016-01-25 09:30:00,30.9,31.5,30.75,31.05,822945
2016-01-26 09:30:00,30.12,30.39,29.65,29.8,441886
2016-01-27 09:30:00,30.46,30.67,29.82,30.01,477728
2016-01-28 09:30:00,30.14,30.39,29.73,29.78,576470
2016-01-29 09:30:00,29.72,29.87,29.2,29.59,263968
2016-02-01 09:30:00,30.62,30.77,30.01,30.05,543134
2016-02-02 09:30:00,30.09,30.32,29.25,29.31,513922
2016-02-03 09:30:00,29.16,29.36,27.29,27.46,1650637
2016-02-04 09:30:00,27.1,27.36,26.51,27.0,1427346
2016-02-05 09:30:00,25.31,25.39,24.71,24.74,2082952
2016-02-08 09:30:00,23.34,23.34,22.22,22.28,2461843
2016-02-09 09:30:00,22.19,22.31,21.42,22.18,1831235
2016-02-10 09:30:00,23.17,23.74,22.81,23.14,1278909
2016-02-11 09:30:00,22.69,22.99,22.55,22.93,803295
2016-02-12 09:30:00,22.84,23.54,22.67,22.69,734171
2016-02-16 09:30:00,23.93,24.22,23.51,23.66,766706
2016-02-17 09:30:00,24.32,24.56,24.04,24.23,638293
2016-02-18 09:30:00,24.8,24.84,24.14,24.25,766021
2016-02-19 09:30:00,22.89,23.08,22.75,22.98,894975
2016-02-22 09:30:00,23.53,24.24,23.51,24.22,708468
2016-02-23 09:30:00,24.43,24.78,23.94,24.22,891208
2016-02-24 09:30:00,23.05,23.48,22.91,23.34,775980
2016-02-25 09:30:00,25.08,25.22,24.52,24.98,567283
2016-02-26 09:30:00,25.69,26.24,25.57,25.71,601181
2016-02-29 09:30:00,25.35,25.87,25.35,25.72,372689
2016-03-01 09:30:00,25.33,25.62,25.19,25.41,574553
2016-03-02 09:30:00,25.59,25.96,25.53,25.71,345269
2016-03-03 09:30:00,26.74,26.9,26.21,26.78,1220894
2016-03-04 09:30:00,28.07,28.09,27.24,27.3,613695
2016-03-07 09:30:00,27.44,27.71,27.23,27.49,507125
2016-03-08 09:30:00,27.44,27.56,27.04,27.04,607120
2016-03-09 09:30:00,26.54,26.66,26.33,26.63,600847
2016-03-10 09:30:00,27.16,27.35,26.42,26.9,598709
2016-03-11 09:30:00,27.35,27.51,26.98,27.01,556110
2016-03-14 09:30:00,27.5,27.89,27.43,27.43,401384
2016-03-15 09:30:00,26.98,27.3,26.65,26.72,361313
2016-03-16 09:30:00,27.14,27.87,27.14,27.67,503097
2016-03-17 09:30:00,28.32,28.56,27.67,27.7,605842
2016-03-18 09:30:00,28.04,28.27,27.78,28.25,1502080
2016-03-21 09:30:00,28.2,28.42,28.09,28.27,415486
2016-03-22 09:30:00,28.14,28.54,28.12,28.51,660096
2016-03-23 09:30:00,28.43,28.49,27.98,28.14,491098
2016-03-24 09:30:00,27.34,27.55,27.17,27.55,490503
2016-03-28 09:30:00,27.4,27.48,26.96,27.27,349295
2016-03-29 09:30:00,27.01,27.05,26.56,26.67,573550
2016-03-30 09:30:00,27.47,27.51,27.15,27.32,385455
2016-03-31 09:30:00,27.0,27.08,26.38,26.74,674859
2016-04-01 09:30:00,26.84,27.1,26.64,26.73,403855
2016-04-04 09:30:00,26.68,27.13,26.64,27.13,356570
2016-04-05 09:30:00,26.9,27.26,26.78,27.01,242384
2016-04-06 09:30:00,27.14,27.17,26.6,26.67,545710
2016-04-07 09:30:00,26.83,27.75,26.78,27.57,734165
2016-04-08 09:30:00,28.0,28.65,27.99,28.63,874053
2016-04-11 09:30:00,28.85,28.96,28.47,28.51,459868
2016-04-12 09:30:00,28.27,28.38,27.9,28.19,485874
2016-04-13 09:30:00,29.02,29.22,28.66,28.68,547416
2016-04-14 09:30:00,29.38,29.74,29.07,29.21,514942
2016-04-15 09:30:00,29.12,29.3,28.86,28.86,694988
2016-04-18 09:30:00,27.7,28.34,27.47,28.29,418556
2016-04-19 09:30:00,28.74,28.76,28.39,28.67,365252
2016-04-20 09:30:00,28.32,28.44,28.04,28.06,288972
2016-04-21 09:30:00,29.18,29.4,28.93,28.97,509492
2016-04-22 09:30:00,30.23,31.03,30.14,30.7,605374
2016-04-25 09:30:00,30.57,30.75,30.21,30.21,361313
2016-04-26 09:30:00,30.44,30.86,30.44,30.64,377623
2016-04-27 09:30:00,30.87,31.07,30.71,31.04,469987
2016-04-28 09:30:00,29.97,31.95,29.73,31.82,1945825
2016-04-29 09:30:00,30.13,30.34,28.98,28.98,918606
2016-05-02 09:30:00,28.89,29.03,28.2,28.21,438257
2016-05-03 09:30:00,28.04,28.05,27.61,27.74,456427
2016-05-04 09:30:00,28.0,28.12,27.61,27.84,344704
2016-05-05 09:30:00,27.18,27.43,26.77,27.25,518134
2016-05-06 09:30:00,26.56,27.08,26.5,26.97,452538
2016-05-09 09:30:00,26.41,26.48,25.48,25.56,808270
2016-05-10 09:30:00,26.21,26.4,25.97,26.01,419389
2016-05-11 09:30:00,26.21,26.44,25.95,26.09,392052
2016-05-12 09:30:00,26.53,27.13,26.16,26.17,623398
2016-05-13 09:30:00,25.78,26.1,25.7,25.7,616652
2016-05-16 09:30:00,26.48,26.56,25.73,25.73,466972
2016-05-17 09:30:00,26.61,27.23,26.53,27.17,466698
2016-05-18 09:30:00,26.9,27.52,26.89,27.5,347587
