open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,64.0,64.0,63.13,63.34,44875
2016-01-05 09:30:00,63.65,64.15,63.55,63.9,29468
2016-01-06 09:30:00,63.24,63.71,63.11,63.55,438942
2016-01-07 09:30:00,62.29,63.51,62.22,63.51,45867
2016-01-08 09:30:00,62.63,62.85,62.59,62.8,46968
2016-01-11 09:30:00,61.89,62.07,61.12,61.38,55125
2016-01-12 09:30:00,61.81,62.23,61.7,62.15,25803
2016-01-13 09:30:00,62.54,62.77,62.26,62.6,25044
2016-01-14 09:30:00,61.25,61.46,60.89,61.04,84924
2016-01-15 09:30:00,59.86,60.57,59.84,60.45,35301
2016-01-19 09:30:00,61.42,61.61,60.99,61.43,61049
2016-01-20 09:30:00,58.9,59.05,58.25,58.27,71012
2016-01-21 09:30:00,59.05,59.36,58.52,58.52,75254
2016-01-22 09:30:00,59.75,60.64,59.75,60.53,28133
2016-01-25 09:30:00,60.25,60.54,60.16,60.46,40788
2016-01-26 09:30:00,59.68,60.03,59.48,59.85,39524
2016-01-27 09:30:00,59.17,59.64,59.04,59.5,28069
2016-01-28 09:30:00,60.16,60.91,60.16,60.91,61054
2016-01-29 09:30:00,60.28,60.66,60.21,60.47,72997
2016-02-01 09:30:00,61.37,61.37,60.88,60.95,63847
2016-02-02 09:30:00,60.25,60.25,59.64,59.96,31250
2016-02-03 09:30:00,60.6,60.88,59.82,59.95,39783
2016-02-04 09:30:00,58.55,60.65,58.51,60.02,57188
2016-02-05 09:30:00,60.16,60.62,59.4,60.01,68113
2016-02-08 09:30:00,58.07,58.07,56.88,57.24,75915
2016-02-09 09:30:00,56.3,57.0,56.05,56.81,85046
2016-02-10 09:30:00,58.97,60.15,58.84,60.14,54787
2016-02-11 09:30:00,57.96,58.97,57.87,58.96,52394
2016-02-12 09:30:00,59.63,60.05,58.99,59.11,113304
2016-02-16 09:30:00,61.12,62.6,60.99,61.76,187467
2016-02-17 09:30:00,62.11,62.98,62.11,62.64,133410
2016-02-18 09:30:00,63.54,63.54,62.85,63.26,68473
2016-02-19 09:30:00,63.4,64.13,63.34,64.03,52027
2016-02-22 09:30:00,65.47,66.09,65.08,65.38,76985
2016-02-23 09:30:00,65.76,66.56,65.54,66.33,80278
2016-02-24 09:30:00,65.19,65.19,63.82,63.98,261238
2016-02-25 09:30:00,64.52,65.14,64.43,65.08,90340
2016-02-26 09:30:00,65.97,66.55,65.9,65.95,78909
2016-02-29 09:30:00,65.37,65.83,65.2,65.72,54972
2016-03-01 09:30:00,64.15,64.51,63.95,64.12,93691
2016-03-02 09:30:00,64.65,64.65,63.89,63.9,64482
2016-03-03 09:30:00,63.9,63.9,63.09,63.21,91544
2016-03-04 09:30:00,63.43,63.43,63.12,63.18,52760
2016-03-07 09:30:00,62.71,62.87,62.35,62.76,52644
2016-03-08 09:30:00,62.93,62.93,62.21,62.57,90003
2016-03-09 09:30:00,62.39,62.57,62.05,62.52,36605
2016-03-10 09:30:00,62.96,63.46,62.89,63.44,29220
2016-03-11 09:30:00,62.37,62.85,62.37,62.73,48301
2016-03-14 09:30:00,62.82,63.38,62.57,63.1,44072
2016-03-15 09:30:00,62.81,62.97,62.52,62.61,75545
2016-03-16 09:30:00,62.47,63.04,62.03,62.93,44609
2016-03-17 09:30:00,62.9,63.04,62.82,62.84,32850
2016-03-18 09:30:00,63.35,64.18,63.35,64.17,157822
2016-03-21 09:30:00,64.15,64.72,64.15,64.56,30821
2016-03-22 09:30:00,64.09,64.44,63.95,64.44,39593
2016-03-23 09:30:00,64.7,65.3,64.6,65.25,31037
2016-03-24 09:30:00,64.16,64.47,63.96,64.01,33558
2016-03-28 09:30:00,63.87,63.98,63.78,63.98,12022
2016-03-29 09:30:00,64.47,64.85,64.44,64.79,25773
2016-03-30 09:30:00,65.87,66.44,65.78,66.44,43285
2016-03-31 09:30:00,65.93,66.59,65.93,66.54,200614
2016-04-01 09:30:00,66.59,66.83,66.39,66.54,31087
2016-04-04 09:30:00,67.6,67.6,67.13,67.32,26206
2016-04-05 09:30:00,66.62,66.76,66.41,66.76,20007
2016-04-06 09:30:00,66.67,67.0,66.67,66.81,40709
2016-04-07 09:30:00,67.24,67.31,66.96,67.04,11083
