open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,90.43,90.43,89.29,90.02,87040
2016-01-05 09:30:00,89.42,90.24,88.86,89.53,59155
2016-01-06 09:30:00,88.23,88.45,87.42,88.17,75450
2016-01-07 09:30:00,86.44,86.84,85.7,86.44,56609
2016-01-08 09:30:00,86.1,86.15,85.52,85.82,68705
2016-01-11 09:30:00,83.49,84.37,83.07,83.24,105770
2016-01-12 09:30:00,83.71,83.97,83.14,83.9,99378
2016-01-13 09:30:00,84.16,84.3,83.67,83.9,66070
2016-01-14 09:30:00,81.18,81.66,79.97,80.17,79386
2016-01-15 09:30:00,80.25,80.29,78.19,79.24,184971
2016-01-19 09:30:00,79.97,80.96,79.19,80.77,107062
2016-01-20 09:30:00,78.96,79.72,78.49,78.95,161852
2016-01-21 09:30:00,79.41,79.59,78.2,78.22,110069
2016-01-22 09:30:00,77.5,79.14,77.5,78.75,125081
2016-01-25 09:30:00,79.0,79.22,78.33,78.45,111226
2016-01-26 09:30:00,77.55,78.14,77.34,77.67,110528
2016-01-27 09:30:00,79.36,80.95,79.36,80.93,114570
2016-01-28 09:30:00,81.85,83.12,81.69,82.6,126975
2016-01-29 09:30:00,82.69,83.4,82.35,83.13,118654
2016-02-01 09:30:00,83.25,83.55,82.66,82.81,84435
2016-02-02 09:30:00,80.82,80.82,79.89,80.54,82891
2016-02-03 09:30:00,80.33,80.38,79.31,79.58,70808
2016-02-04 09:30:00,80.31,82.61,80.29,82.43,120073
2016-02-05 09:30:00,82.05,83.28,82.05,82.78,64924
2016-02-08 09:30:00,80.1,80.39,79.55,79.82,105349
2016-02-09 09:30:00,79.2,80.94,79.13,80.76,168420
2016-02-10 09:30:00,81.86,82.56,81.7,82.04,55928
2016-02-11 09:30:00,77.67,78.71,77.31,78.38,99649
2016-02-12 09:30:00,77.8,78.66,77.8,78.11,60465
2016-02-16 09:30:00,81.69,82.24,80.56,81.55,80752
2016-02-17 09:30:00,83.56,84.25,82.91,83.46,78082
2016-02-18 09:30:00,82.65,82.65,81.45,81.68,62576
2016-02-19 09:30:00,80.18,80.51,79.54,79.82,100702
2016-02-22 09:30:00,82.49,82.97,82.21,82.35,40674
2016-02-23 09:30:00,82.65,83.33,81.66,81.86,39509
2016-02-24 09:30:00,79.16,79.24,77.91,77.98,85661
2016-02-25 09:30:00,79.67,80.47,79.3,79.51,97609
2016-02-26 09:30:00,80.53,81.08,79.26,79.94,127739
2016-02-29 09:30:00,81.17,81.25,79.5,79.57,83394
2016-03-01 09:30:00,78.91,79.26,78.75,78.95,119327
2016-03-02 09:30:00,80.44,80.91,79.95,80.51,912157
2016-03-03 09:30:00,82.91,83.2,82.25,82.29,48285
2016-03-04 09:30:00,84.17,85.08,82.95,83.35,94462
2016-03-07 09:30:00,83.37,83.63,83.08,83.26,59024
2016-03-08 09:30:00,82.85,83.14,81.94,81.97,70026
2016-03-09 09:30:00,83.02,83.19,82.08,82.69,69321
2016-03-10 09:30:00,83.26,83.35,82.52,82.88,204139
2016-03-11 09:30:00,83.13,83.32,82.58,82.84,93416
2016-03-14 09:30:00,84.91,85.05,84.26,84.43,19468
2016-03-15 09:30:00,84.19,84.76,84.0,84.54,41383
2016-03-16 09:30:00,84.66,85.6,84.66,85.31,25391
2016-03-17 09:30:00,84.18,84.33,83.14,83.27,52365
2016-03-18 09:30:00,85.2,86.34,85.2,86.2,380941
2016-03-21 09:30:00,85.63,86.52,85.63,86.04,27201
2016-03-22 09:30:00,85.27,85.45,84.77,85.45,32940
2016-03-23 09:30:00,85.88,85.88,85.1,85.63,23398
2016-03-24 09:30:00,84.78,84.78,83.78,84.33,38746
2016-03-28 09:30:00,85.28,86.05,84.67,84.67,25814
2016-03-29 09:30:00,84.37,84.39,83.33,84.36,28606
2016-03-30 09:30:00,85.0,85.88,84.25,85.67,61836
2016-03-31 09:30:00,85.18,85.77,84.61,85.24,23769
2016-04-01 09:30:00,84.78,85.38,83.63,84.66,88310
2016-04-04 09:30:00,85.61,85.82,85.18,85.82,25871
2016-04-05 09:30:00,84.64,84.85,83.81,84.24,37283
2016-04-06 09:30:00,83.85,84.15,83.33,83.72,33685
2016-04-07 09:30:00,83.8,84.06,83.47,83.55,31606
2016-04-08 09:30:00,83.09,83.85,82.75,83.75,25309
2016-04-11 09:30:00,83.57,84.53,83.46,84.53,34328
2016-04-12 09:30:00,83.55,84.34,83.55,83.96,24799
2016-04-13 09:30:00,86.11,86.91,85.95,86.47,65248
2016-04-14 09:30:00,87.92,88.88,87.86,88.05,61737
2016-04-15 09:30:00,88.98,89.06,88.4,88.81,85534
2016-04-18 09:30:00,87.29,88.27,86.11,88.09,88830
2016-04-19 09:30:00,88.14,88.87,87.82,88.71,62357
2016-04-20 09:30:00,90.33,90.91,89.86,90.75,53640
2016-04-21 09:30:00,91.12,91.72,90.62,91.3,147135
2016-04-22 09:30:00,89.98,91.27,88.83,91.13,57320
2016-04-25 09:30:00,90.33,90.43,89.65,90.06,28248
2016-04-26 09:30:00,91.08,91.35,90.53,91.35,28882
2016-04-27 09:30:00,91.29,91.49,90.54,91.25,25954
2016-04-28 09:30:00,90.95,92.07,90.67,91.67,67983
2016-04-29 09:30:00,90.57,90.76,89.7,89.85,42206
2016-05-02 09:30:00,90.78,91.01,89.92,90.4,21372
2016-05-03 09:30:00,89.73,89.73,88.85,89.29,77057
2016-05-04 09:30:00,88.02,88.37,87.41,88.23,54478
2016-05-05 09:30:00,87.27,87.72,86.69,87.54,52151
2016-05-06 09:30:00,86.77,87.47,86.66,87.09,44228
2016-05-09 09:30:00,87.44,87.67,87.12,87.31,47270
2016-05-10 09:30:00,87.62,88.28,87.24,88.12,41345
2016-05-11 09:30:00,87.71,88.66,87.71,88.34,57037
2016-05-12 09:30:00,88.66,89.22,88.11,88.11,37452
2016-05-13 09:30:00,87.65,88.37,87.27,87.43,64959
2016-05-16 09:30:00,86.27,86.82,85.93,86.03,74512
2016-05-17 09:30:00,86.7,86.86,85.8,86.77,37243
2016-05-18 09:30:00,86.4,87.98,86.21,87.89,55822
2016-05-19 09:30:00,88.46,89.38,87.22,87.3,68004
2016-05-20 09:30:00,88.98,89.57,88.88,89.48,71984
2016-05-23 09:30:00,88.87,88.97,87.58,87.59,33733
2016-05-24 09:30:00,88.94,89.83,88.78,89.6,42553
2016-05-25 09:30:00,90.62,91.59,90.53,91.46,46270
2016-05-26 09:30:00,90.84,91.11,90.09,90.24,52813
2016-05-27 09:30:00,90.9,91.16,90.52,90.8,46579
2016-05-31 09:30:00,92.02,92.22,91.69,92.01,44111
2016-06-01 09:30:00,90.99,91.03,90.04,90.24,66211
2016-06-02 09:30:00,91.17,91.4,90.9,91.14,41991
2016-06-03 09:30:00,90.97,90.97,89.2,89.51,113404
2016-06-06 09:30:00,91.15,92.14,90.59,91.56,37747
2016-06-07 09:30:00,92.24,92.33,91.43,91.5,314748
2016-06-08 09:30:00,90.81,91.49,90.59,91.38,26583
2016-06-09 09:30:00,91.17,91.17,90.0,90.05,56684
2016-06-10 09:30:00,89.63,90.0,89.46,89.82,52568
2016-06-13 09:30:00,89.94,90.81,89.73,90.57,84799
2016-06-14 09:30:00,89.89,90.63,89.8,90.23,37635
2016-06-15 09:30:00,89.38,89.62,88.71,89.62,25329
2016-06-16 09:30:00,88.35,88.53,87.79,88.0,56989
2016-06-17 09:30:00,89.21,89.78,89.21,89.63,119044
2016-06-20 09:30:00,91.12,92.14,91.12,91.62,71754
2016-06-21 09:30:00,90.47,90.64,89.58,89.92,43274
2016-06-22 09:30:00,90.43,91.1,90.43,90.86,35045
2016-06-23 09:30:00,91.23,92.1,91.23,91.78,75539
2016-06-24 09:30:00,86.59,88.65,86.56,88.35,97291
2016-06-27 09:30:00,85.06,85.57,84.25,84.25,105451
2016-06-28 09:30:00,84.97,85.11,84.18,84.93,97819
2016-06-29 09:30:00,86.4,87.12,85.23,86.03,55454
2016-06-30 09:30:00,88.46,89.39,87.85,88.71,216951
2016-07-01 09:30:00,90.33,90.5,89.59,89.63,66062
2016-07-05 09:30:00,88.88,88.88,87.35,87.38,79435
2016-07-06 09:30:00,86.07,86.32,85.33,86.2,61431
2016-07-07 09:30:00,88.96,88.96,86.98,88.1,91115
2016-07-08 09:30:00,89.04,89.49,88.84,89.21,78107
2016-07-11 09:30:00,89.66,89.89,89.26,89.62,51036
2016-07-12 09:30:00,89.92,90.86,89.92,90.23,127064
2016-07-13 09:30:00,90.76,90.99,89.96,90.22,45656
2016-07-14 09:30:00,92.26,92.4,91.2,91.79,103191
2016-07-15 09:30:00,91.95,92.45,91.31,91.87,179904
2016-07-18 09:30:00,91.39,91.62,91.16,91.22,31029
2016-07-19 09:30:00,90.56,91.03,90.29,91.02,46519
2016-07-20 09:30:00,90.96,91.16,89.43,90.36,122186
2016-07-21 09:30:00,87.15,87.16,86.2,86.96,164762
2016-07-22 09:30:00,86.83,87.21,86.48,86.98,66268
2016-07-25 09:30:00,87.62,87.88,87.36,87.8,22835
2016-07-26 09:30:00,86.89,87.51,86.79,87.42,57590
2016-07-27 09:30:00,87.78,88.76,87.59,88.67,117230
2016-07-28 09:30:00,87.91,88.0,87.36,87.99,31351
2016-07-29 09:30:00,88.06,88.85,87.7,88.38,61235
2016-08-01 09:30:00,87.86,88.05,87.56,87.98,73757
2016-08-02 09:30:00,86.18,86.61,86.02,86.46,89622
2016-08-03 09:30:00,86.23,86.86,86.13,86.85,68842
2016-08-04 09:30:00,87.32,88.11,87.03,87.42,81164
2016-08-05 09:30:00,88.45,88.95,88.15,88.86,71573
2016-08-08 09:30:00,90.28,90.76,89.93,90.43,55156
2016-08-09 09:30:00,90.27,90.66,90.05,90.54,31524
2016-08-10 09:30:00,90.05,90.07,89.75,89.75,13613
2016-08-11 09:30:00,89.71,90.16,89.47,89.64,47150
2016-08-12 09:30:00,88.96,89.17,88.68,89.03,43587
2016-08-15 09:30:00,89.57,90.17,89.57,90.11,31779
2016-08-16 09:30:00,90.18,90.66,90.02,90.44,21082
2016-08-17 09:30:00,90.13,90.56,90.13,90.3,25729
2016-08-18 09:30:00,90.28,90.34,89.99,90.21,24461
2016-08-19 09:30:00,90.36,90.4,89.82,89.94,53557
2016-08-22 09:30:00,89.99,90.09,89.67,90.0,17237
2016-08-23 09:30:00,90.84,91.08,90.57,90.8,36435
2016-08-24 09:30:00,90.52,91.05,90.49,90.91,20178
2016-08-25 09:30:00,90.04,90.44,89.93,90.23,57947
2016-08-26 09:30:00,90.51,90.64,90.07,90.14,32732
2016-08-29 09:30:00,90.6,90.97,90.6,90.96,45613
2016-08-30 09:30:00,91.02,91.26,90.78,90.94,102698
2016-08-31 09:30:00,91.11,91.6,90.97,91.33,60649
2016-09-01 09:30:00,91.67,91.85,91.06,91.29,47707
2016-09-02 09:30:00,90.92,91.06,90.21,90.74,29720
2016-09-06 09:30:00,90.8,90.91,89.66,90.41,103550
2016-09-07 09:30:00,89.06,89.29,88.84,89.13,44215
2016-09-08 09:30:00,89.7,90.09,89.46,89.74,510353
2016-09-09 09:30:00,89.63,90.51,89.35,90.36,99173
2016-09-12 09:30:00,90.0,90.53,89.35,89.49,93565
2016-09-13 09:30:00,90.01,90.13,89.41,89.41,39758
2016-09-14 09:30:00,89.56,90.07,89.34,89.8,59940
2016-09-15 09:30:00,89.04,89.53,88.84,89.31,40088
2016-09-16 09:30:00,88.96,88.96,88.19,88.41,151808
2016-09-19 09:30:00,89.08,89.53,88.99,89.4,40648
2016-09-20 09:30:00,89.35,89.67,89.23,89.67,34627
2016-09-21 09:30:00,89.53,90.25,89.22,90.25,42917
2016-09-22 09:30:00,89.59,89.73,89.36,89.65,30111
2016-09-23 09:30:00,89.63,90.15,89.6,90.14,39071
2016-09-26 09:30:00,89.83,89.97,89.22,89.44,50968
2016-09-27 09:30:00,87.88,88.21,87.73,88.21,36298
2016-09-28 09:30:00,89.52,89.73,89.21,89.42,26432
2016-09-29 09:30:00,89.08,89.7,89.01,89.6,47477
2016-09-30 09:30:00,89.04,89.35,88.35,88.68,49072
2016-10-03 09:30:00,89.3,89.54,89.13,89.29,47709
2016-10-04 09:30:00,89.35,89.76,89.21,89.34,31921
2016-10-05 09:30:00,90.28,90.73,90.08,90.33,39871
2016-10-06 09:30:00,90.96,91.44,90.54,90.82,29429
2016-10-07 09:30:00,91.22,91.37,90.11,90.58,28509
2016-10-10 09:30:00,91.42,91.72,91.3,91.6,44729
2016-10-11 09:30:00,91.01,91.31,90.96,91.13,36136
2016-10-12 09:30:00,89.84,90.46,89.62,90.38,48172
2016-10-13 09:30:00,89.2,89.2,87.88,88.02,134610
2016-10-14 09:30:00,88.45,89.08,87.87,88.63,49558
2016-10-17 09:30:00,88.53,88.96,88.04,88.04,78717
2016-10-18 09:30:00,88.88,88.88,88.12,88.17,35750
2016-10-19 09:30:00,89.6,90.79,88.48,89.94,275557
2016-10-20 09:30:00,90.7,91.9,90.59,91.73,90680
2016-10-21 09:30:00,90.91,91.81,90.6,91.67,90485
2016-10-24 09:30:00,92.08,92.41,92.02,92.3,52825
2016-10-25 09:30:00,91.89,92.2,91.35,92.05,40050
2016-10-26 09:30:00,91.76,92.35,91.3,92.22,81383
2016-10-27 09:30:00,93.39,93.46,92.76,93.37,96522
2016-10-28 09:30:00,94.52,94.52,93.48,93.58,44440
2016-10-31 09:30:00,94.54,94.86,94.32,94.57,47627
2016-11-01 09:30:00,95.26,95.26,94.7,95.13,51833
2016-11-02 09:30:00,94.32,94.51,93.99,94.41,51230
2016-11-03 09:30:00,94.42,94.7,93.38,94.15,148391
2016-11-04 09:30:00,93.67,93.84,92.95,93.18,67272
2016-11-07 09:30:00,95.1,96.16,94.94,95.72,267686
2016-11-08 09:30:00,96.01,96.08,95.3,95.74,89364
2016-11-09 09:30:00,96.9,99.62,96.61,99.28,280498
2016-11-10 09:30:00,102.41,104.43,101.65,103.41,399216
2016-11-11 09:30:00,103.13,103.59,102.5,103.09,153963
2016-11-14 09:30:00,105.62,108.12,105.62,107.92,187877
2016-11-15 09:30:00,104.87,106.45,104.17,104.29,218165
2016-11-16 09:30:00,105.72,106.41,105.26,105.31,125119
2016-11-17 09:30:00,106.06,107.3,105.84,107.05,235363
2016-11-18 09:30:00,108.26,109.55,107.72,109.38,209763
2016-11-21 09:30:00,109.42,109.42,108.31,108.98,42512
2016-11-22 09:30:00,109.29,110.18,108.98,110.06,91351
2016-11-23 09:30:00,110.38,111.01,109.25,110.44,160052
2016-11-25 09:30:00,110.86,110.89,110.46,110.62,37639
2016-11-28 09:30:00,109.99,110.64,109.76,110.32,123467
2016-11-29 09:30:00,109.03,109.43,108.72,108.85,91927
2016-11-30 09:30:00,110.43,111.29,109.97,110.81,153543
2016-12-01 09:30:00,112.34,112.7,112.03,112.54,145643
2016-12-02 09:30:00,113.52,114.02,112.33,113.11,95277
2016-12-05 09:30:00,114.29,115.12,113.8,115.03,63544
2016-12-06 09:30:00,115.19,115.26,114.23,114.39,56952
2016-12-07 09:30:00,115.87,115.99,115.36,115.79,43645
2016-12-08 09:30:00,117.97,118.96,117.76,118.26,88798
2016-12-09 09:30:00,118.99,119.02,117.79,118.35,98059
2016-12-12 09:30:00,119.0,119.94,117.54,119.94,63313
2016-12-13 09:30:00,119.14,119.63,118.54,118.74,194975
2016-12-14 09:30:00,118.23,119.11,117.91,118.59,84171
2016-12-15 09:30:00,118.79,120.13,117.72,119.98,137831
2016-12-16 09:30:00,119.14,119.47,118.74,119.08,188921
2016-12-19 09:30:00,118.11,118.8,117.97,118.07,52264
2016-12-20 09:30:00,120.3,121.46,120.29,121.4,70525
2016-12-21 09:30:00,121.89,121.89,120.97,121.53,65649
2016-12-22 09:30:00,120.88,121.14,120.5,120.99,39792
2016-12-23 09:30:00,121.15,121.33,120.69,121.21,21567
2016-12-27 09:30:00,122.16,122.61,121.84,121.99,27011
2016-12-28 09:30:00,122.9,122.9,122.11,122.33,25916
2016-12-29 09:30:00,121.64,121.92,121.3,121.57,23831
2016-12-30 09:30:00,121.26,121.35,120.58,121.03,104893
2017-01-03 09:30:00,122.79,124.78,122.02,122.45,140425
2017-01-04 09:30:00,121.78,122.58,121.48,122.29,56397
2017-01-05 09:30:00,122.06,122.17,121.36,121.92,47324
2017-01-06 09:30:00,121.01,121.42,120.69,121.16,65950
2017-01-09 09:30:00,120.69,120.9,120.04,120.88,151096
2017-01-10 09:30:00,121.15,121.5,120.65,121.26,63209
2017-01-11 09:30:00,121.43,121.85,120.54,121.68,81080
2017-01-12 09:30:00,121.05,121.38,120.38,120.57,35012
2017-01-13 09:30:00,121.29,123.21,121.29,122.67,54397
2017-01-17 09:30:00,119.54,119.75,118.37,118.76,85119
2017-01-18 09:30:00,119.17,119.6,118.23,119.35,68715
2017-01-19 09:30:00,120.3,122.16,118.45,119.47,86907
2017-01-20 09:30:00,120.88,121.96,120.68,121.4,109407
2017-01-23 09:30:00,121.01,121.96,120.77,121.54,64976
2017-01-24 09:30:00,121.68,122.55,121.31,122.51,66688
2017-01-25 09:30:00,124.8,125.82,124.24,125.67,77466
2017-01-26 09:30:00,126.03,126.63,125.65,126.36,53473
2017-01-27 09:30:00,126.82,127.15,126.53,126.84,65699
2017-01-30 09:30:00,127.24,127.24,125.56,126.52,98561
2017-01-31 09:30:00,125.86,126.53,125.26,125.87,93403
2017-02-01 09:30:00,127.28,129.1,126.94,127.92,144127
2017-02-02 09:30:00,125.17,125.8,124.59,125.77,91457
2017-02-03 09:30:00,127.2,127.65,126.29,126.84,111125
2017-02-06 09:30:00,126.22,127.12,125.4,126.83,60533
2017-02-07 09:30:00,127.48,127.48,126.84,126.87,59758
2017-02-08 09:30:00,125.48,125.48,124.78,125.15,67072
2017-02-09 09:30:00,126.46,126.9,125.93,125.95,85067
2017-02-10 09:30:00,128.17,128.43,127.6,128.03,53665
2017-02-13 09:30:00,128.92,130.31,128.78,130.26,76587
2017-02-14 09:30:00,129.6,129.87,129.2,129.34,28567
2017-02-15 09:30:00,131.13,132.28,130.89,131.44,80519
2017-02-16 09:30:00,131.03,131.29,130.03,130.12,57101
2017-02-17 09:30:00,129.21,130.41,129.03,129.19,134145
2017-02-21 09:30:00,130.59,131.42,130.48,130.78,78568
2017-02-22 09:30:00,129.37,130.79,129.37,130.64,62271
2017-02-23 09:30:00,130.66,131.11,130.27,130.83,55333
2017-02-24 09:30:00,130.83,131.17,130.12,131.07,74795
2017-02-27 09:30:00,130.97,131.29,130.6,130.91,75676
2017-02-28 09:30:00,129.76,130.42,129.41,130.09,119885
2017-03-01 09:30:00,131.66,133.46,131.52,133.45,97517
2017-03-02 09:30:00,134.1,134.1,132.92,133.37,46871
2017-03-03 09:30:00,130.4,131.19,130.4,130.56,27655
2017-03-06 09:30:00,129.74,130.07,128.65,129.47,87071
2017-03-07 09:30:00,130.03,130.21,129.13,130.21,53547
2017-03-08 09:30:00,131.03,131.36,130.55,130.8,63436
2017-03-09 09:30:00,130.42,130.42,129.37,129.68,63791
2017-03-10 09:30:00,130.69,130.69,129.57,130.48,76511
2017-03-13 09:30:00,129.49,129.73,128.98,129.48,57778
2017-03-14 09:30:00,128.57,128.57,127.48,127.86,56714
2017-03-15 09:30:00,129.83,129.88,129.08,129.7,27358
2017-03-16 09:30:00,127.66,128.66,127.27,128.54,59851
2017-03-17 09:30:00,128.11,128.54,127.73,127.76,177339
2017-03-20 09:30:00,126.04,126.22,125.25,126.21,41201
2017-03-21 09:30:00,126.27,126.52,124.75,124.78,47102
2017-03-22 09:30:00,120.28,120.74,118.25,119.77,89882
2017-03-23 09:30:00,120.57,121.6,119.72,121.6,60247
2017-03-24 09:30:00,121.57,122.29,120.6,120.8,35784
2017-03-27 09:30:00,117.95,118.36,116.56,117.86,110413
2017-03-28 09:30:00,120.3,120.97,119.86,120.39,40831
2017-03-29 09:30:00,121.04,121.5,120.23,120.77,49585
2017-03-30 09:30:00,120.16,121.45,120.16,121.44,143619
2017-03-31 09:30:00,121.68,122.07,120.46,121.29,29780
2017-04-03 09:30:00,121.05,121.53,120.41,120.47,42388
2017-04-04 09:30:00,119.91,120.69,119.9,120.07,34880
2017-04-05 09:30:00,121.62,121.7,120.68,121.64,31382
2017-04-06 09:30:00,118.79,118.95,117.88,118.79,72550
2017-04-07 09:30:00,118.8,119.45,118.44,118.63,34585
2017-04-10 09:30:00,119.09,119.91,118.74,119.77,33599
2017-04-11 09:30:00,117.54,117.89,117.14,117.62,57490
2017-04-12 09:30:00,117.44,118.15,117.23,117.82,56912
2017-04-13 09:30:00,116.32,117.1,115.31,116.75,70634
2017-04-17 09:30:00,116.56,118.6,116.26,117.06,200474
2017-04-18 09:30:00,119.42,120.44,119.03,120.24,122983
2017-04-19 09:30:00,119.36,119.87,119.02,119.57,45366
2017-04-20 09:30:00,119.18,119.97,118.63,118.85,31992
