open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.56,58.19,57.33,57.99,118721
2016-01-05 09:30:00,58.06,58.18,57.69,57.87,99303
2016-01-06 09:30:00,56.77,57.426,56.5,57.01,117647
2016-01-07 09:30:00,55.79,56.7,55.52,56.25,202961
2016-01-08 09:30:00,56.26,56.76,55.74,56.54,110298
2016-01-11 09:30:00,55.32,56.1,55.03,55.07,90655
2016-01-12 09:30:00,56.33,56.8,55.71,56.49,131297
2016-01-13 09:30:00,55.89,55.96,55.29,55.7,99330
2016-01-14 09:30:00,52.14,52.59,50.33,50.4,346145
2016-01-15 09:30:00,49.18,49.3,48.3,48.66,310146
2016-01-19 09:30:00,48.33,48.69,48.22,48.555,279199
2016-01-20 09:30:00,46.4,46.6,44.71,44.94,392521
2016-01-21 09:30:00,47.93,48.42,47.12,47.32,383099
2016-01-22 09:30:00,48.67,49.25,47.85,49.22,212503
2016-01-25 09:30:00,47.85,48.79,47.51,48.31,154957
2016-01-26 09:30:00,47.95,48.11,47.27,47.47,209453
2016-01-27 09:30:00,48.57,49.01,48.37,48.39,77713
2016-01-28 09:30:00,45.51,45.69,43.25,43.36,893770
2016-01-29 09:30:00,42.57,43.36,42.21,43.36,1156028
2016-02-01 09:30:00,44.96,46.19,44.95,46.03,250071
2016-02-02 09:30:00,45.26,45.26,43.12,43.65,786649
2016-02-03 09:30:00,43.51,43.79,42.63,42.68,689983
2016-02-04 09:30:00,42.24,42.24,40.86,41.0,284863
2016-02-05 09:30:00,42.17,42.78,41.46,41.47,137088
2016-02-08 09:30:00,38.51,39.045,37.63,38.44,443788
2016-02-09 09:30:00,37.68,39.88,37.01,39.46,396582
2016-02-10 09:30:00,39.78,39.95,39.31,39.885,130945
2016-02-11 09:30:00,38.01,38.78,37.86,38.54,112059
2016-02-12 09:30:00,39.61,39.61,38.29,38.34,129083
2016-02-16 09:30:00,40.14,40.39,39.99,40.12,202298
2016-02-17 09:30:00,41.07,42.37,40.665,41.98,219758
2016-02-18 09:30:00,42.57,42.83,42.07,42.49,89101
2016-02-19 09:30:00,41.5,41.75,40.95,41.73,358761
2016-02-22 09:30:00,42.98,44.32,42.64,44.32,353942
2016-02-23 09:30:00,45.6,47.6,45.42,47.43,1314901
2016-02-24 09:30:00,46.69,47.08,46.33,46.42,447190
2016-02-25 09:30:00,48.22,49.25,48.02,48.2,249286
2016-02-26 09:30:00,49.29,50.16,48.79,48.93,352100
2016-02-29 09:30:00,49.33,50.12,49.33,49.45,98307
2016-03-01 09:30:00,49.84,50.24,48.75,48.82,160241
2016-03-02 09:30:00,50.37,50.55,50.01,50.29,149923
2016-03-03 09:30:00,50.05,50.48,49.77,49.82,231048
2016-03-04 09:30:00,50.35,50.49,49.65,49.745,115657
2016-03-07 09:30:00,49.13,49.77,48.73,48.99,103640
2016-03-08 09:30:00,49.11,49.58,48.5,48.63,230324
2016-03-09 09:30:00,47.65,48.43,47.12,47.27,145497
2016-03-10 09:30:00,47.89,48.335,47.3,48.06,195077
2016-03-11 09:30:00,47.79,47.94,47.15,47.8,137994
2016-03-14 09:30:00,48.83,49.82,48.83,49.06,117576
2016-03-15 09:30:00,49.13,49.5,48.73,48.84,133309
2016-03-16 09:30:00,48.39,48.99,48.01,48.83,76105
2016-03-17 09:30:00,50.54,50.87,50.04,50.67,234146
2016-03-18 09:30:00,51.54,53.16,51.51,52.82,606578
2016-03-21 09:30:00,52.13,53.05,52.13,52.455,114869
2016-03-22 09:30:00,51.55,52.18,51.01,51.4,253112
2016-03-23 09:30:00,51.67,51.67,50.93,51.14,124614
2016-03-24 09:30:00,49.71,50.29,49.45,50.14,153673
2016-03-28 09:30:00,51.11,51.33,50.55,50.845,77186
2016-03-29 09:30:00,51.13,51.4,50.65,50.795,96566
2016-03-30 09:30:00,52.66,54.24,52.47,53.72,402635
2016-03-31 09:30:00,54.29,55.34,53.908,54.655,233364
2016-04-01 09:30:00,54.71,55.25,53.91,53.99,483285
2016-04-04 09:30:00,54.58,54.795,54.24,54.56,63447
2016-04-05 09:30:00,54.03,54.28,53.43,54.21,151751
2016-04-06 09:30:00,54.09,54.69,53.96,54.25,60596
2016-04-07 09:30:00,54.93,55.03,54.51,54.93,83503
2016-04-08 09:30:00,54.26,54.67,53.72,54.01,71329
2016-04-11 09:30:00,54.64,54.88,54.35,54.64,114495
2016-04-12 09:30:00,53.57,53.66,53.09,53.11,34319
2016-04-13 09:30:00,54.28,54.33,53.8,54.23,50088
2016-04-14 09:30:00,55.0,55.24,54.24,54.3,58003
2016-04-15 09:30:00,54.66,54.66,53.97,54.11,156918
2016-04-18 09:30:00,53.06,53.17,52.48,52.7,220472
2016-04-19 09:30:00,52.46,52.52,51.89,52.14,92831
2016-04-20 09:30:00,51.43,51.69,50.77,50.835,97111
2016-04-21 09:30:00,50.69,50.79,49.9,50.07,94571
2016-04-22 09:30:00,50.02,50.305,49.62,50.01,167732
2016-04-25 09:30:00,48.73,49.28,48.72,48.81,120240
2016-04-26 09:30:00,49.14,49.47,48.53,49.41,79662
2016-04-27 09:30:00,48.69,49.17,48.5,49.13,94733
2016-04-28 09:30:00,49.42,49.66,48.75,48.8425,94804
2016-04-29 09:30:00,49.5,50.2,49.32,49.6,386600
2016-05-02 09:30:00,48.83,49.3,48.65,49.07,149464
2016-05-03 09:30:00,49.38,49.86,49.2,49.61,119195
2016-05-04 09:30:00,49.54,50.25,49.14,49.37,227053
2016-05-05 09:30:00,49.18,49.785,48.99,49.1,205411
2016-05-06 09:30:00,48.55,49.0,48.53,48.7,58952
2016-05-09 09:30:00,48.88,49.16,48.77,49.05,75216
2016-05-10 09:30:00,45.27,46.68,44.09,45.86,2290378
2016-05-11 09:30:00,46.81,47.63,46.78,47.4,226549
2016-05-12 09:30:00,47.02,47.46,46.835,47.37,71375
2016-05-13 09:30:00,47.05,47.45,46.76,47.15,73175
2016-05-16 09:30:00,46.33,46.7,46.205,46.57,72094
2016-05-17 09:30:00,47.11,47.48,46.9,47.41,46671
2016-05-18 09:30:00,47.18,47.4,46.76,47.27,100354
2016-05-19 09:30:00,47.2,47.5697,46.98,47.09,103338
2016-05-20 09:30:00,46.48,47.07,46.48,46.79,125263
2016-05-23 09:30:00,46.77,47.47,46.73,47.34,127303
2016-05-24 09:30:00,46.97,47.06,46.71,46.94,79908
2016-05-25 09:30:00,47.88,47.92,46.85,47.0,176955
2016-05-26 09:30:00,46.34,46.34,45.11,45.24,181074
2016-05-27 09:30:00,45.81,46.81,45.57,46.6,91715
2016-05-31 09:30:00,47.04,47.12,46.73,46.89,54137
2016-06-01 09:30:00,46.18,46.49,46.18,46.36,84108
2016-06-02 09:30:00,46.26,46.49,46.09,46.41,91352
2016-06-03 09:30:00,46.27,46.27,45.21,45.36,101435
2016-06-06 09:30:00,45.5,45.53,44.98,45.33,151221
2016-06-07 09:30:00,45.76,45.91,45.5701,45.81,128841
2016-06-08 09:30:00,46.18,46.19,45.55,45.93,47127
2016-06-09 09:30:00,45.45,45.46,45.11,45.33,89626
2016-06-10 09:30:00,44.91,45.79,43.89,44.0,247704
2016-06-13 09:30:00,44.35,44.8,44.05,44.8,84057
2016-06-14 09:30:00,43.59,43.93,43.59,43.85,65422
2016-06-15 09:30:00,43.33,44.4699,43.27,43.59,206212
2016-06-16 09:30:00,43.04,43.435,42.34,42.37,69376
2016-06-17 09:30:00,43.51,43.6,43.15,43.515,342119
2016-06-20 09:30:00,44.01,44.6,44.01,44.48,135632
2016-06-21 09:30:00,44.23,44.51,43.96,44.29,107979
2016-06-22 09:30:00,44.29,44.57,43.95,44.49,102078
2016-06-23 09:30:00,44.88,44.88,44.24,44.4575,144877
2016-06-24 09:30:00,41.7,42.01,41.31,41.62,452343
2016-06-27 09:30:00,39.54,40.04,39.07,39.215,389658
2016-06-28 09:30:00,39.41,39.74,39.07,39.51,520075
2016-06-29 09:30:00,38.76,38.89,38.49,38.59,193213
2016-06-30 09:30:00,39.5,39.5,38.62,38.76,114529
2016-07-01 09:30:00,40.0,40.675,39.97,40.56,125743
2016-07-05 09:30:00,40.75,41.31,40.67,40.78,300573
2016-07-06 09:30:00,40.3,40.5,39.8,40.36,72574
2016-07-07 09:30:00,40.26,40.91,40.12,40.83,94699
2016-07-08 09:30:00,40.93,41.64,40.34,41.42,174627
2016-07-11 09:30:00,42.37,42.81,42.18,42.76,149226
2016-07-12 09:30:00,43.54,44.51,43.54,44.51,276164
2016-07-13 09:30:00,44.59,44.62,44.28,44.41,160831
2016-07-14 09:30:00,44.37,44.7,44.11,44.26,299575
2016-07-15 09:30:00,42.52,42.5495,40.94,41.58,498247
2016-07-18 09:30:00,41.37,41.64,41.05,41.09,135782
2016-07-19 09:30:00,41.13,41.388,40.4,40.5,141412
2016-07-20 09:30:00,40.1,40.1,39.32,39.92,311845
2016-07-21 09:30:00,41.24,41.48,41.04,41.395,78618
2016-07-22 09:30:00,41.26,41.42,41.11,41.17,64303
2016-07-25 09:30:00,41.23,41.8,41.21,41.72,121498
2016-07-26 09:30:00,41.9,42.1,41.81,42.06,129605
2016-07-27 09:30:00,41.93,41.99,41.32,41.72,90878
2016-07-28 09:30:00,42.25,42.25,41.78,42.05,99744
2016-07-29 09:30:00,43.0,43.21,42.85,42.96,246355
2016-08-01 09:30:00,42.5,42.68,42.44,42.58,206212
2016-08-02 09:30:00,41.99,42.05,40.9301,41.03,379601
2016-08-03 09:30:00,39.75,40.43,39.54,40.4,179776
2016-08-04 09:30:00,40.28,41.21,40.28,41.01,134090
2016-08-05 09:30:00,41.95,42.62,41.69,42.57,224475
2016-08-08 09:30:00,42.98,43.57,42.92,43.33,204613
2016-08-09 09:30:00,39.55,40.59,38.95,39.19,2627016
2016-08-10 09:30:00,38.07,38.28,37.73,38.245,467519
2016-08-11 09:30:00,37.68,38.24,37.42,38.1,198473
2016-08-12 09:30:00,38.53,38.78,38.17,38.69,645581
2016-08-15 09:30:00,38.46,38.81,38.26,38.3,315228
2016-08-16 09:30:00,38.15,38.3,37.82,37.86,220636
2016-08-17 09:30:00,37.8,38.1,37.5,37.96,192631
2016-08-18 09:30:00,38.54,38.74,38.34,38.485,111755
2016-08-19 09:30:00,38.26,38.64,38.0,38.18,402332
2016-08-22 09:30:00,38.19,38.23,37.73,37.75,138573
2016-08-23 09:30:00,37.7,37.89,37.62,37.7,191537
2016-08-24 09:30:00,37.79,38.06,37.78,37.845,94829
2016-08-25 09:30:00,36.68,36.75,36.315,36.37,140746
2016-08-26 09:30:00,36.15,36.3736,35.91,36.09,123594
2016-08-29 09:30:00,36.04,36.62,35.84,35.92,107028
2016-08-30 09:30:00,35.63,36.0,35.39,35.89,181525
2016-08-31 09:30:00,35.93,36.31,35.75,36.2,179056
2016-09-01 09:30:00,37.47,38.31,37.36,37.72,1110287
2016-09-02 09:30:00,36.27,36.91,36.03,36.5,351447
2016-09-06 09:30:00,35.73,35.8,35.23,35.68,235032
2016-09-07 09:30:00,35.27,35.38,35.1,35.27,432117
2016-09-08 09:30:00,34.97,35.03,34.41,34.49,320600
2016-09-09 09:30:00,34.4,34.61,34.26,34.51,266199
2016-09-12 09:30:00,34.42,34.6,34.165,34.31,140240
2016-09-13 09:30:00,35.1,35.35,34.87,34.98,279089
2016-09-14 09:30:00,35.32,35.6,35.02,35.265,143138
2016-09-15 09:30:00,35.77,36.4,35.76,36.31,274657
