open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.29,57.87,56.55,56.63,25590
2016-01-05 09:30:00,57.36,58.26,57.05,57.12,26147
2016-01-06 09:30:00,55.5,55.9,55.34,55.42,23693
2016-01-07 09:30:00,54.59,54.64,53.45,53.89,58569
2016-01-08 09:30:00,53.58,53.61,52.96,53.25,49452
2016-01-11 09:30:00,52.27,52.41,51.86,52.0,33887
2016-01-12 09:30:00,52.6,52.82,52.21,52.57,53164
2016-01-13 09:30:00,52.29,53.52,52.2,52.26,44405
2016-01-14 09:30:00,51.07,51.22,50.29,50.33,23201
2016-01-15 09:30:00,49.72,50.08,49.4,49.76,42883
2016-01-19 09:30:00,50.39,50.63,49.91,50.13,30236
2016-01-20 09:30:00,48.72,49.28,46.82,48.75,21015
2016-01-21 09:30:00,48.71,49.1,48.14,48.14,109134
2016-01-22 09:30:00,51.4,52.21,51.24,52.16,21471
2016-01-25 09:30:00,50.92,51.81,50.55,51.12,24296
2016-01-26 09:30:00,50.64,51.75,50.52,50.84,12715
2016-01-27 09:30:00,52.24,52.57,51.92,52.04,15021
2016-01-28 09:30:00,52.94,53.43,52.73,53.14,17473
2016-01-29 09:30:00,52.66,54.02,52.66,53.9,16193
2016-02-01 09:30:00,54.0,54.37,53.02,53.47,22524
2016-02-02 09:30:00,52.97,53.05,52.41,52.44,17204
2016-02-03 09:30:00,52.34,52.66,51.44,51.71,12855
2016-02-04 09:30:00,52.92,54.29,52.71,54.07,25388
2016-02-05 09:30:00,53.68,54.52,53.0,54.17,15169
2016-02-08 09:30:00,52.4,52.76,52.05,52.15,18786
2016-02-09 09:30:00,51.95,53.22,51.95,53.02,25941
2016-02-10 09:30:00,53.37,53.93,53.37,53.82,15228
2016-02-11 09:30:00,53.02,54.31,52.79,53.83,32029
2016-02-12 09:30:00,54.36,55.28,54.24,54.74,16316
2016-02-16 09:30:00,56.03,56.28,55.35,55.54,6318
2016-02-17 09:30:00,56.92,58.13,56.92,57.96,29704
2016-02-18 09:30:00,58.31,58.31,57.68,58.1,10181
2016-02-19 09:30:00,57.29,57.7,56.69,56.9,18197
2016-02-22 09:30:00,58.55,59.56,58.55,59.34,23143
2016-02-23 09:30:00,62.22,64.44,61.66,63.34,148234
2016-02-24 09:30:00,63.25,63.36,62.03,63.11,45071
2016-02-25 09:30:00,63.86,64.28,63.15,63.36,17964
2016-02-26 09:30:00,64.37,64.53,64.02,64.44,14735
2016-02-29 09:30:00,64.87,65.12,64.09,65.07,14491
2016-03-01 09:30:00,65.39,65.65,64.77,65.05,12107
2016-03-02 09:30:00,65.94,66.22,65.25,66.13,7746
2016-03-03 09:30:00,66.57,66.98,66.22,66.55,9197
2016-03-04 09:30:00,67.08,67.63,66.34,67.0,10234
2016-03-07 09:30:00,67.59,68.03,66.61,67.53,53769
2016-03-08 09:30:00,68.12,68.41,67.33,67.33,34346
2016-03-09 09:30:00,66.82,66.82,65.97,66.44,10885
2016-03-10 09:30:00,66.63,67.08,66.08,66.85,14468
2016-03-11 09:30:00,67.3,67.78,66.49,67.47,4558
2016-03-14 09:30:00,66.68,66.87,66.22,66.66,6692
2016-03-15 09:30:00,66.21,66.69,65.85,66.64,38338
2016-03-16 09:30:00,66.75,67.28,66.49,67.01,9144
2016-03-17 09:30:00,67.97,68.31,67.23,68.14,26602
2016-03-18 09:30:00,69.48,70.63,69.48,70.41,146445
2016-03-21 09:30:00,70.09,70.41,69.03,69.99,9145
2016-03-22 09:30:00,69.63,70.0,69.48,69.86,8212
2016-03-23 09:30:00,69.83,70.49,69.54,69.82,6399
2016-03-24 09:30:00,68.75,68.75,67.98,68.33,10036
2016-03-28 09:30:00,69.43,69.91,68.7,68.83,23025
2016-03-29 09:30:00,68.14,68.53,67.95,68.38,15092
2016-03-30 09:30:00,70.17,70.54,69.94,70.08,10390
2016-03-31 09:30:00,69.01,69.64,68.55,68.7,8395
2016-04-01 09:30:00,68.29,68.29,67.67,67.67,10906
2016-04-04 09:30:00,69.12,69.46,68.03,68.81,9975
2016-04-05 09:30:00,67.83,68.07,67.39,67.62,10326
2016-04-06 09:30:00,67.65,68.19,67.12,67.28,20496
2016-04-07 09:30:00,67.72,67.77,67.3,67.67,5547
2016-04-08 09:30:00,67.95,68.57,67.66,68.48,7126
2016-04-11 09:30:00,68.32,68.89,68.25,68.89,7553
2016-04-12 09:30:00,68.33,68.85,67.71,68.66,17555
2016-04-13 09:30:00,69.99,70.03,69.5,69.77,11884
2016-04-14 09:30:00,70.45,70.55,69.94,70.06,10061
2016-04-15 09:30:00,70.31,70.58,69.92,70.58,4317
2016-04-18 09:30:00,70.33,70.61,70.33,70.46,5959
2016-04-19 09:30:00,70.92,71.39,70.38,71.39,9520
2016-04-20 09:30:00,70.56,70.62,70.16,70.5,16136
2016-04-21 09:30:00,71.13,71.38,70.68,71.38,13428
2016-04-22 09:30:00,71.02,71.38,70.71,71.38,3371
2016-04-25 09:30:00,71.17,71.36,70.73,71.17,10762
2016-04-26 09:30:00,70.98,71.26,70.66,71.14,6547
2016-04-27 09:30:00,72.02,72.91,71.89,72.14,26010
2016-04-28 09:30:00,72.26,72.37,71.61,71.89,22882
2016-04-29 09:30:00,69.97,70.12,69.46,69.62,62582
2016-05-02 09:30:00,69.57,69.66,69.14,69.66,6172
2016-05-03 09:30:00,69.73,70.3,68.99,69.16,5058
2016-05-04 09:30:00,69.27,70.01,68.79,69.74,7990
2016-05-05 09:30:00,68.88,69.35,68.44,68.96,14355
2016-05-06 09:30:00,68.38,69.08,68.18,68.29,46773
2016-05-09 09:30:00,68.63,69.31,68.21,68.91,12113
2016-05-10 09:30:00,69.2,69.79,68.85,69.31,7758
2016-05-11 09:30:00,70.02,70.88,69.93,70.11,14044
2016-05-12 09:30:00,70.46,71.17,70.18,70.62,8255
2016-05-13 09:30:00,70.71,71.06,69.88,70.27,9807
2016-05-16 09:30:00,69.97,70.87,69.97,70.61,9779
2016-05-17 09:30:00,70.03,70.73,69.77,70.39,13663
2016-05-18 09:30:00,69.07,69.31,68.4,69.2,23516
2016-05-19 09:30:00,68.5,68.81,67.65,67.65,17434
2016-05-20 09:30:00,68.04,68.73,68.04,68.64,35115
2016-05-23 09:30:00,68.77,69.03,68.52,68.66,20972
2016-05-24 09:30:00,75.84,77.35,74.05,76.33,563533
2016-05-25 09:30:00,79.38,80.75,79.15,79.58,132221
2016-05-26 09:30:00,79.12,80.14,78.58,79.54,77846
2016-05-27 09:30:00,79.36,80.33,79.17,80.33,37178
2016-05-31 09:30:00,78.83,80.15,77.92,79.5,93150
2016-06-01 09:30:00,78.35,78.6,77.75,78.56,46289
2016-06-02 09:30:00,79.03,79.23,78.77,78.97,14613
2016-06-03 09:30:00,80.11,80.11,79.6,79.63,16727
2016-06-06 09:30:00,80.13,80.42,79.78,80.33,19560
2016-06-07 09:30:00,80.51,80.72,79.77,80.38,18633
2016-06-08 09:30:00,79.88,80.66,79.88,80.18,52904
2016-06-09 09:30:00,79.02,80.43,79.0,79.0,35690
2016-06-10 09:30:00,78.35,78.69,78.03,78.15,26648
2016-06-13 09:30:00,76.97,78.37,76.97,78.18,44232
2016-06-14 09:30:00,76.64,77.21,76.64,77.16,19358
2016-06-15 09:30:00,77.68,79.92,77.28,77.48,18136
2016-06-16 09:30:00,76.59,77.6,75.86,75.89,15704
2016-06-17 09:30:00,77.01,77.09,76.73,77.03,161405
2016-06-20 09:30:00,78.07,79.48,77.23,78.41,11230
2016-06-21 09:30:00,78.06,78.19,77.49,77.74,10665
