open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,14.52,14.74,14.41,14.68,1222169
2016-01-05 09:30:00,14.56,14.62,14.41,14.42,696381
2016-01-06 09:30:00,14.72,15.0,14.67,14.93,1062886
2016-01-07 09:30:00,14.8,14.8,14.34,14.37,2029338
2016-01-08 09:30:00,14.57,14.74,14.48,14.59,699743
2016-01-11 09:30:00,14.23,14.36,14.01,14.06,519355
2016-01-12 09:30:00,13.48,13.52,13.0,13.1,1905210
2016-01-13 09:30:00,13.44,13.83,13.41,13.77,1207430
2016-01-14 09:30:00,13.49,13.85,13.45,13.78,986024
2016-01-15 09:30:00,13.89,14.07,13.77,14.02,1821079
2016-01-19 09:30:00,14.02,14.05,13.34,13.39,1697442
2016-01-20 09:30:00,13.08,13.16,12.88,12.97,1206801
2016-01-21 09:30:00,12.97,12.97,12.67,12.67,960401
2016-01-22 09:30:00,12.93,13.1,12.81,13.08,642059
2016-01-25 09:30:00,13.34,13.74,13.28,13.63,1232263
2016-01-26 09:30:00,14.04,14.48,13.98,14.45,1689227
2016-01-27 09:30:00,14.59,15.04,14.31,14.95,2490949
2016-01-28 09:30:00,15.15,15.15,14.74,14.82,1410489
2016-01-29 09:30:00,15.28,15.42,15.21,15.36,1036061
2016-02-01 09:30:00,15.77,16.18,15.76,16.15,1235711
2016-02-02 09:30:00,15.94,16.07,15.76,15.86,1085384
2016-02-03 09:30:00,15.99,16.28,15.98,16.2,1122815
2016-02-04 09:30:00,18.03,18.88,17.93,18.78,4048888
2016-02-05 09:30:00,17.8,18.15,17.56,17.94,2868596
2016-02-08 09:30:00,19.7,20.42,19.7,19.94,3315702
2016-02-09 09:30:00,20.12,20.44,19.92,20.19,4017938
2016-02-10 09:30:00,18.74,18.88,18.0,18.2,2955290
2016-02-11 09:30:00,20.51,20.55,19.62,19.68,3463487
2016-02-12 09:30:00,19.52,20.0,19.33,19.97,1844561
2016-02-16 09:30:00,19.42,19.92,19.32,19.51,2220675
2016-02-17 09:30:00,19.51,19.51,18.97,19.27,1662360
2016-02-18 09:30:00,19.06,19.11,18.44,18.77,1969158
2016-02-19 09:30:00,19.62,20.15,19.62,19.93,1669407
2016-02-22 09:30:00,18.96,19.74,18.96,19.72,1561837
2016-02-23 09:30:00,20.07,20.35,19.92,20.21,1249806
2016-02-24 09:30:00,20.41,20.7,20.28,20.59,2283595
2016-02-25 09:30:00,19.92,20.22,19.7,20.06,1388760
2016-02-26 09:30:00,19.77,20.47,19.77,20.44,1360637
2016-02-29 09:30:00,20.24,20.49,20.18,20.42,1328730
2016-03-01 09:30:00,20.69,20.83,20.31,20.36,1431416
2016-03-02 09:30:00,20.08,20.44,19.92,20.33,1221826
