open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,9.352,9.522,9.271,9.401,437365
2016-01-05 09:30:00,9.352,9.433,8.988,9.037,571257
2016-01-06 09:30:00,9.473,9.53,9.199,9.279,490865
2016-01-07 09:30:00,8.754,9.069,8.673,9.061,768199
2016-01-08 09:30:00,9.182,9.312,9.045,9.142,464940
2016-01-11 09:30:00,9.158,9.19,8.815,8.815,851559
2016-01-12 09:30:00,8.334,8.617,8.326,8.366,735284
2016-01-13 09:30:00,8.115,8.301,7.994,8.172,892960
2016-01-14 09:30:00,7.978,8.075,7.792,7.897,507093
2016-01-15 09:30:00,8.196,8.277,7.978,7.986,820577
2016-01-19 09:30:00,8.261,8.406,8.059,8.372,594190
2016-01-20 09:30:00,7.849,7.897,7.606,7.703,1131204
2016-01-21 09:30:00,7.76,8.035,7.735,7.921,839861
2016-01-22 09:30:00,8.115,8.277,8.009,8.16,702591
2016-01-25 09:30:00,7.824,7.889,7.59,7.784,733272
2016-01-26 09:30:00,7.388,7.477,7.242,7.323,459274
2016-01-27 09:30:00,7.808,8.071,7.647,7.938,611802
2016-01-28 09:30:00,8.052,8.318,8.002,8.232,495489
2016-01-29 09:30:00,8.445,8.757,8.445,8.648,645313
2016-02-01 09:30:00,8.765,8.765,8.289,8.371,590159
2016-02-02 09:30:00,8.666,8.666,8.363,8.404,392688
2016-02-03 09:30:00,8.888,9.216,8.871,9.068,639483
2016-02-04 09:30:00,9.216,9.757,9.175,9.751,737211
2016-02-05 09:30:00,9.511,9.548,9.15,9.462,953780
2016-02-08 09:30:00,9.363,9.577,9.322,9.544,881740
2016-02-09 09:30:00,8.937,9.027,8.687,8.789,532222
2016-02-10 09:30:00,8.83,8.97,8.502,8.584,506087
2016-02-11 09:30:00,8.56,8.642,8.363,8.617,393740
2016-02-12 09:30:00,7.953,7.978,7.42,7.568,699551
2016-02-16 09:30:00,7.847,7.904,7.789,7.847,392286
2016-02-17 09:30:00,8.06,8.404,8.019,8.298,526360
2016-02-18 09:30:00,8.363,8.412,8.248,8.379,556921
2016-02-19 09:30:00,8.429,8.437,8.002,8.191,1143647
2016-02-22 09:30:00,8.298,8.564,8.298,8.466,525840
2016-02-23 09:30:00,8.568,8.65,8.461,8.601,361099
2016-02-24 09:30:00,8.347,8.389,8.175,8.371,347344
2016-02-25 09:30:00,8.896,9.322,8.839,8.871,838888
2016-02-26 09:30:00,8.99,9.216,8.962,9.117,466410
2016-02-29 09:30:00,8.486,8.97,8.29,8.843,1255979
2016-03-01 09:30:00,8.912,9.027,8.863,9.019,739561
2016-03-02 09:30:00,9.126,9.478,9.06,9.396,600658
2016-03-03 09:30:00,9.896,10.11,9.896,10.04,455614
2016-03-04 09:30:00,10.24,10.44,10.2,10.26,402460
