open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,68.15,68.16,66.7,67.02,268777
2016-01-05 09:30:00,66.62,66.91,66.47,66.82,180830
2016-01-06 09:30:00,66.18,66.57,65.85,66.02,129846
2016-01-07 09:30:00,63.83,64.15,63.19,63.93,161835
2016-01-08 09:30:00,63.8,64.37,63.36,63.5,79303
2016-01-11 09:30:00,63.57,63.83,62.79,62.98,105258
2016-01-12 09:30:00,62.37,63.03,62.02,62.67,98987
2016-01-13 09:30:00,62.33,62.33,61.26,61.44,91062
2016-01-14 09:30:00,58.79,59.12,58.23,58.26,157284
2016-01-15 09:30:00,57.22,58.22,57.18,57.95,340435
2016-01-19 09:30:00,58.88,59.06,57.6,58.2,188638
2016-01-20 09:30:00,57.84,57.84,55.88,56.41,357585
2016-01-21 09:30:00,57.81,58.09,56.77,56.79,140754
2016-01-22 09:30:00,58.07,58.38,57.4,57.77,190013
2016-01-25 09:30:00,55.95,56.06,55.25,55.51,162165
2016-01-26 09:30:00,55.41,55.89,55.39,55.77,145340
2016-01-27 09:30:00,55.49,57.58,55.31,56.87,351357
2016-01-28 09:30:00,56.98,58.18,56.97,57.85,197911
2016-01-29 09:30:00,57.69,58.23,57.59,57.88,112581
2016-02-01 09:30:00,57.2,57.49,56.34,56.78,174343
2016-02-02 09:30:00,56.33,56.64,55.92,56.3,116029
2016-02-03 09:30:00,54.97,55.09,53.81,54.49,312055
2016-02-04 09:30:00,55.5,57.21,55.5,57.21,195197
2016-02-05 09:30:00,56.82,57.47,56.35,57.29,122425
2016-02-08 09:30:00,57.0,57.53,56.84,57.11,149772
2016-02-09 09:30:00,57.29,58.27,56.98,57.97,188456
2016-02-10 09:30:00,59.32,59.97,58.92,59.81,155890
2016-02-11 09:30:00,58.96,59.23,58.41,59.01,186577
2016-02-12 09:30:00,58.91,60.49,58.41,59.41,275356
2016-02-16 09:30:00,59.9,61.08,59.64,59.81,172786
2016-02-17 09:30:00,61.11,61.38,60.52,61.15,398045
2016-02-18 09:30:00,62.2,62.64,61.8,62.14,122842
2016-02-19 09:30:00,61.24,61.82,60.87,61.54,211762
2016-02-22 09:30:00,62.13,62.78,61.84,62.12,253740
2016-02-23 09:30:00,62.73,63.24,61.51,61.99,120336
2016-02-24 09:30:00,59.62,60.04,59.19,59.53,126086
2016-02-25 09:30:00,61.01,61.62,60.7,60.75,66362
2016-02-26 09:30:00,60.78,61.65,60.65,61.33,104974
2016-02-29 09:30:00,61.39,61.96,61.25,61.37,89726
2016-03-01 09:30:00,60.57,60.95,60.26,60.89,258865
2016-03-02 09:30:00,62.53,63.1,62.18,62.95,226905
2016-03-03 09:30:00,62.85,63.61,62.85,63.34,179728
2016-03-04 09:30:00,63.5,64.33,63.49,63.62,71979
2016-03-07 09:30:00,63.32,63.94,63.04,63.65,627922
2016-03-08 09:30:00,65.24,65.53,64.14,64.16,110174
2016-03-09 09:30:00,63.22,63.61,63.0,63.29,151484
2016-03-10 09:30:00,63.18,63.33,62.25,63.04,324673
2016-03-11 09:30:00,63.02,63.7,62.64,63.49,117476
2016-03-14 09:30:00,64.37,65.27,64.31,65.08,137156
2016-03-15 09:30:00,64.33,64.61,63.75,64.04,106595
2016-03-16 09:30:00,64.61,65.51,63.77,65.4,77224
2016-03-17 09:30:00,66.55,67.28,65.99,67.21,124551
2016-03-18 09:30:00,68.31,69.46,68.31,68.84,617642
2016-03-21 09:30:00,68.83,70.06,68.73,69.36,142627
2016-03-22 09:30:00,68.53,69.5,68.44,69.48,151710
2016-03-23 09:30:00,69.32,69.49,68.45,68.64,104806
2016-03-24 09:30:00,67.51,67.96,66.91,67.64,76425
2016-03-28 09:30:00,68.86,68.86,67.4,67.65,124542
2016-03-29 09:30:00,66.69,67.21,66.16,67.09,85061
2016-03-30 09:30:00,68.49,71.23,68.42,70.69,431382
2016-03-31 09:30:00,69.38,69.38,68.49,68.66,193380
2016-04-01 09:30:00,67.75,67.81,67.27,67.79,131873
2016-04-04 09:30:00,68.33,68.81,68.15,68.81,50820
2016-04-05 09:30:00,67.18,67.49,67.0,67.15,49305
2016-04-06 09:30:00,66.53,66.7,65.81,65.98,46781
2016-04-07 09:30:00,66.32,66.52,65.55,66.08,78334
2016-04-08 09:30:00,66.29,67.47,66.29,67.34,257760
2016-04-11 09:30:00,65.03,66.73,64.93,65.7,747033
2016-04-12 09:30:00,65.3,65.5,64.79,65.09,201028
2016-04-13 09:30:00,65.3,66.49,65.19,66.46,556956
2016-04-14 09:30:00,66.98,67.28,66.79,66.79,122845
2016-04-15 09:30:00,67.66,67.89,67.52,67.63,260571
2016-04-18 09:30:00,67.07,67.12,66.33,66.84,177262
2016-04-19 09:30:00,67.75,68.54,67.66,68.33,415733
2016-04-20 09:30:00,68.19,68.22,67.51,67.74,82166
2016-04-21 09:30:00,68.44,69.04,68.03,68.44,202451
2016-04-22 09:30:00,73.41,74.72,72.6,73.49,1890554
2016-04-25 09:30:00,75.0,75.0,74.08,74.25,313053
2016-04-26 09:30:00,74.93,76.23,74.72,76.2,253619
2016-04-27 09:30:00,76.43,77.35,76.36,76.99,240818
2016-04-28 09:30:00,76.27,76.64,75.89,76.21,103983
2016-04-29 09:30:00,75.27,75.6,74.83,74.86,100247
2016-05-02 09:30:00,74.67,74.67,73.9,74.33,153586
2016-05-03 09:30:00,74.4,74.4,72.87,73.02,184837
2016-05-04 09:30:00,72.8,73.85,72.8,73.78,124217
2016-05-05 09:30:00,73.76,74.47,73.56,74.27,105575
2016-05-06 09:30:00,72.78,73.93,72.66,73.9,201804
2016-05-09 09:30:00,73.78,74.3,73.12,73.35,85895
2016-05-10 09:30:00,73.41,74.22,73.05,74.16,107750
2016-05-11 09:30:00,74.53,74.88,73.84,73.93,115190
2016-05-12 09:30:00,73.82,74.16,73.14,73.5,164177
2016-05-13 09:30:00,72.66,73.33,72.29,72.36,118802
2016-05-16 09:30:00,71.16,72.28,71.16,71.94,112970
2016-05-17 09:30:00,71.25,72.41,70.91,72.31,121368
2016-05-18 09:30:00,70.87,71.79,70.33,71.67,192716
2016-05-19 09:30:00,70.76,71.03,69.28,69.45,194765
2016-05-20 09:30:00,70.16,70.93,69.95,70.88,231277
2016-05-23 09:30:00,70.63,70.91,69.87,70.24,237387
2016-05-24 09:30:00,70.33,70.69,69.3,69.76,234812
2016-05-25 09:30:00,68.1,68.78,68.04,68.53,330109
2016-05-26 09:30:00,69.06,69.73,68.65,68.77,156454
2016-05-27 09:30:00,69.45,69.79,69.1,69.2,107935
2016-05-31 09:30:00,69.48,70.4,68.81,70.06,133711
2016-06-01 09:30:00,68.83,69.01,67.67,68.03,125655
2016-06-02 09:30:00,68.34,68.47,67.99,68.03,74680
2016-06-03 09:30:00,68.33,68.49,67.77,68.06,192885
2016-06-06 09:30:00,69.12,69.75,69.0,69.64,81195
2016-06-07 09:30:00,68.93,69.81,68.93,69.81,91607
2016-06-08 09:30:00,69.49,71.2,69.23,71.07,156419
2016-06-09 09:30:00,70.57,70.78,69.35,70.29,293456
