open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,20.29,20.35,20.13,20.19,418462
2016-01-05 09:30:00,20.23,20.3,19.94,20.08,423699
2016-01-06 09:30:00,19.37,19.59,19.29,19.55,515907
2016-01-07 09:30:00,18.86,19.11,18.68,18.72,895869
2016-01-08 09:30:00,18.32,18.41,18.08,18.11,647861
2016-01-11 09:30:00,18.12,18.13,17.89,17.95,252320
2016-01-12 09:30:00,18.12,18.2,18.04,18.05,298942
2016-01-13 09:30:00,17.78,18.19,17.68,18.15,739030
2016-01-14 09:30:00,17.69,18.01,17.68,17.9,714763
2016-01-15 09:30:00,17.44,17.58,17.35,17.41,843245
2016-01-19 09:30:00,17.64,17.64,17.16,17.4,561452
2016-01-20 09:30:00,16.54,16.79,16.36,16.44,430262
2016-01-21 09:30:00,16.77,16.81,16.49,16.57,290507
2016-01-22 09:30:00,17.02,17.29,16.99,17.08,328442
2016-01-25 09:30:00,16.84,16.84,16.63,16.68,467381
2016-01-26 09:30:00,16.61,16.87,16.6,16.66,282041
2016-01-27 09:30:00,17.09,17.37,16.88,17.14,291590
2016-01-28 09:30:00,16.81,16.85,16.6,16.78,328572
2016-01-29 09:30:00,16.92,17.41,16.71,17.37,362289
2016-02-01 09:30:00,16.94,16.95,16.7,16.77,301265
2016-02-02 09:30:00,16.94,17.13,16.83,16.87,297771
2016-02-03 09:30:00,17.22,17.39,16.69,16.81,420755
2016-02-04 09:30:00,17.0,17.7,16.77,17.65,695576
2016-02-05 09:30:00,17.55,17.93,17.53,17.89,439841
2016-02-08 09:30:00,17.44,17.64,17.38,17.51,320955
2016-02-09 09:30:00,17.3,17.64,17.24,17.56,301870
2016-02-10 09:30:00,17.39,17.61,17.26,17.57,358030
2016-02-11 09:30:00,17.15,17.22,16.82,16.97,452775
2016-02-12 09:30:00,16.6,16.62,16.33,16.38,770244
2016-02-16 09:30:00,17.25,17.51,17.09,17.45,353561
2016-02-17 09:30:00,18.13,18.36,18.09,18.32,589543
2016-02-18 09:30:00,17.94,18.99,17.89,18.97,1767374
2016-02-19 09:30:00,18.68,19.04,18.51,18.8,766233
2016-02-22 09:30:00,19.43,19.84,19.43,19.76,605351
2016-02-23 09:30:00,19.34,19.44,19.25,19.32,511538
2016-02-24 09:30:00,18.86,18.88,18.65,18.77,342307
2016-02-25 09:30:00,19.5,19.5,19.29,19.39,412795
2016-02-26 09:30:00,19.43,19.71,19.04,19.68,351200
2016-02-29 09:30:00,19.56,19.64,19.39,19.39,216080
2016-03-01 09:30:00,19.56,19.68,19.44,19.65,367104
2016-03-02 09:30:00,19.81,20.19,19.67,20.04,262911
2016-03-03 09:30:00,20.11,20.19,19.86,20.14,280368
2016-03-04 09:30:00,20.4,20.5,20.18,20.43,336816
2016-03-07 09:30:00,20.17,21.08,19.97,21.04,660290
2016-03-08 09:30:00,20.77,20.88,20.58,20.61,302798
2016-03-09 09:30:00,20.43,20.57,20.38,20.55,252269
2016-03-10 09:30:00,20.13,20.77,20.13,20.72,268787
2016-03-11 09:30:00,20.79,20.94,20.45,20.86,479061
2016-03-14 09:30:00,20.92,21.15,20.89,21.06,325711
2016-03-15 09:30:00,20.69,20.73,20.53,20.54,161463
2016-03-16 09:30:00,20.06,20.34,19.89,20.28,201447
2016-03-17 09:30:00,20.61,20.78,20.52,20.7,223498
2016-03-18 09:30:00,20.91,21.36,20.71,21.34,1298943
2016-03-21 09:30:00,20.74,21.09,20.71,20.86,451298
2016-03-22 09:30:00,20.75,20.91,20.71,20.87,283516
2016-03-23 09:30:00,21.24,21.25,20.91,20.91,256004
2016-03-24 09:30:00,20.51,20.51,20.04,20.18,169578
2016-03-28 09:30:00,20.61,20.89,20.61,20.78,310556
2016-03-29 09:30:00,20.58,20.6,20.39,20.57,199749
2016-03-30 09:30:00,21.37,21.48,21.04,21.06,436565
2016-03-31 09:30:00,20.86,21.13,20.82,21.08,149344
2016-04-01 09:30:00,21.08,21.24,20.77,20.82,369141
2016-04-04 09:30:00,20.88,21.0,20.72,20.95,209562
2016-04-05 09:30:00,20.7,20.76,20.48,20.58,127748
2016-04-06 09:30:00,20.84,20.92,20.45,20.5,255315
2016-04-07 09:30:00,20.72,20.84,20.57,20.75,107860
2016-04-08 09:30:00,20.42,20.63,20.38,20.61,195280
2016-04-11 09:30:00,20.38,20.86,20.16,20.82,207337
2016-04-12 09:30:00,20.55,20.68,20.49,20.5,188201
2016-04-13 09:30:00,20.7,20.8,20.64,20.7,206746
2016-04-14 09:30:00,20.67,20.67,20.01,20.05,590194
2016-04-15 09:30:00,20.16,20.16,19.78,19.93,501971
2016-04-18 09:30:00,19.31,19.46,19.13,19.33,619088
2016-04-19 09:30:00,19.6,19.71,19.49,19.7,249762
2016-04-20 09:30:00,19.11,19.11,18.43,19.04,1426079
2016-04-21 09:30:00,19.01,19.08,18.96,18.99,253449
2016-04-22 09:30:00,18.98,19.37,18.94,19.36,245535
2016-04-25 09:30:00,18.96,19.19,18.95,19.11,227738
2016-04-26 09:30:00,19.3,19.47,19.29,19.31,390649
2016-04-27 09:30:00,19.24,19.35,19.16,19.32,201066
2016-04-28 09:30:00,19.38,19.42,19.28,19.35,166443
2016-04-29 09:30:00,19.01,19.01,18.59,18.59,375811
2016-05-02 09:30:00,18.63,18.71,18.32,18.39,250075
2016-05-03 09:30:00,18.21,18.21,17.9,17.99,371340
2016-05-04 09:30:00,17.98,18.1,17.94,18.08,333238
2016-05-05 09:30:00,18.07,18.17,17.93,18.1,260963
2016-05-06 09:30:00,17.85,18.05,17.69,17.93,195781
2016-05-09 09:30:00,18.24,18.24,18.09,18.18,173443
2016-05-10 09:30:00,18.21,18.34,18.1,18.22,168503
2016-05-11 09:30:00,18.45,18.56,18.28,18.29,189079
2016-05-12 09:30:00,18.46,18.51,18.09,18.24,272268
2016-05-13 09:30:00,17.99,18.19,17.89,18.1,195709
2016-05-16 09:30:00,18.09,18.29,17.98,18.11,246059
2016-05-17 09:30:00,18.35,18.63,18.29,18.63,185396
2016-05-18 09:30:00,18.57,18.82,18.49,18.71,222730
2016-05-19 09:30:00,18.57,18.7,18.39,18.4,214758
2016-05-20 09:30:00,18.43,18.95,18.43,18.91,596245
2016-05-23 09:30:00,19.04,19.32,19.02,19.31,335270
2016-05-24 09:30:00,19.49,19.69,19.49,19.61,470812
2016-05-25 09:30:00,19.9,20.69,19.9,20.34,715625
2016-05-26 09:30:00,18.57,19.61,18.48,19.29,2204831
2016-05-27 09:30:00,19.72,20.12,19.61,20.03,617547
2016-05-31 09:30:00,19.88,20.11,19.78,20.11,401239
2016-06-01 09:30:00,19.01,19.84,18.91,19.7,1324893
2016-06-02 09:30:00,19.53,19.95,19.2,19.72,475232
2016-06-03 09:30:00,19.66,19.69,19.42,19.46,259329
2016-06-06 09:30:00,19.68,19.78,19.65,19.67,402194
2016-06-07 09:30:00,19.66,19.82,19.6,19.62,324110
2016-06-08 09:30:00,19.77,19.89,19.69,19.79,333584
2016-06-09 09:30:00,19.71,19.76,19.58,19.71,292262
2016-06-10 09:30:00,19.4,19.53,19.25,19.27,253734
2016-06-13 09:30:00,19.26,19.51,19.17,19.27,449938
2016-06-14 09:30:00,19.08,19.32,19.04,19.13,207091
2016-06-15 09:30:00,19.07,19.26,18.98,19.12,198203
2016-06-16 09:30:00,19.04,19.33,19.04,19.09,268036
2016-06-17 09:30:00,19.27,19.58,19.07,19.57,914369
2016-06-20 09:30:00,19.79,20.02,19.7,19.86,416740
2016-06-21 09:30:00,19.92,19.97,19.81,19.86,288368
2016-06-22 09:30:00,19.87,20.11,19.83,19.97,330422
2016-06-23 09:30:00,20.03,20.28,19.86,20.26,222059
