open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,53.82,54.29,53.54,54.03,202984
2016-01-05 09:30:00,54.25,54.46,53.98,54.02,94429
2016-01-06 09:30:00,52.98,53.21,52.92,53.11,94592
2016-01-07 09:30:00,51.58,52.16,51.5,51.98,87587
2016-01-08 09:30:00,52.07,52.07,51.37,51.88,93988
2016-01-11 09:30:00,51.1,51.75,50.29,50.35,103888
2016-01-12 09:30:00,51.12,51.17,50.65,50.92,157228
2016-01-13 09:30:00,50.98,51.19,50.03,50.48,84169
2016-01-14 09:30:00,50.1,50.37,49.2,49.46,99864
2016-01-15 09:30:00,48.96,50.36,48.63,49.16,325253
2016-01-19 09:30:00,49.71,50.06,49.12,49.45,124979
2016-01-20 09:30:00,48.5,48.5,46.5,46.77,625456
2016-01-21 09:30:00,47.5,47.68,45.86,46.73,431341
2016-01-22 09:30:00,46.39,46.61,45.7,46.43,559146
2016-01-25 09:30:00,45.89,46.15,45.64,45.83,213713
2016-01-26 09:30:00,45.27,45.92,45.07,45.24,191060
2016-01-27 09:30:00,45.83,46.61,45.43,46.57,220717
2016-01-28 09:30:00,46.17,46.56,45.69,46.11,154829
2016-01-29 09:30:00,46.03,46.55,45.43,46.55,150269
2016-02-01 09:30:00,47.14,47.49,46.97,47.1,179477
2016-02-02 09:30:00,46.44,47.38,45.45,45.59,233518
2016-02-03 09:30:00,45.85,45.89,45.01,45.01,172792
2016-02-04 09:30:00,45.33,46.15,45.33,45.99,103285
2016-02-05 09:30:00,46.09,46.6,45.82,46.37,150279
2016-02-08 09:30:00,45.21,46.28,44.63,44.79,163335
2016-02-09 09:30:00,43.73,44.29,43.12,44.03,195021
2016-02-10 09:30:00,44.83,45.06,44.3,44.71,194189
2016-02-11 09:30:00,42.29,42.74,41.69,42.65,187432
2016-02-12 09:30:00,42.73,43.12,42.04,42.1,206623
2016-02-16 09:30:00,44.31,44.68,43.89,44.36,265264
2016-02-17 09:30:00,45.14,46.03,45.14,45.96,226229
2016-02-18 09:30:00,45.79,45.79,45.3,45.7,191973
2016-02-19 09:30:00,44.88,45.04,44.46,44.91,240827
2016-02-22 09:30:00,46.01,46.82,46.01,46.63,192188
2016-02-23 09:30:00,46.35,46.38,45.84,45.89,193385
2016-02-24 09:30:00,44.86,44.96,43.5,43.55,260716
2016-02-25 09:30:00,45.0,45.54,44.84,44.94,94174
2016-02-26 09:30:00,45.94,46.2,45.58,45.63,144000
2016-02-29 09:30:00,45.99,46.34,45.68,46.15,77287
2016-03-01 09:30:00,45.97,46.61,45.97,46.58,186384
2016-03-02 09:30:00,47.68,48.2,47.45,47.48,216649
2016-03-03 09:30:00,48.54,49.13,47.78,49.04,131787
2016-03-04 09:30:00,50.1,50.84,49.94,50.07,304289
2016-03-07 09:30:00,49.9,50.56,49.79,50.47,115622
2016-03-08 09:30:00,50.06,50.39,49.74,49.74,90148
2016-03-09 09:30:00,49.42,49.86,48.77,49.5,106968
2016-03-10 09:30:00,49.57,49.71,49.16,49.43,140365
2016-03-11 09:30:00,49.64,49.98,48.86,49.87,106133
2016-03-14 09:30:00,50.37,50.64,49.89,50.05,61962
2016-03-15 09:30:00,49.94,49.99,49.18,49.77,83407
2016-03-16 09:30:00,49.83,50.44,49.41,50.26,92902
2016-03-17 09:30:00,49.77,49.77,49.17,49.44,68214
2016-03-18 09:30:00,50.41,51.19,49.4,50.99,397782
2016-03-21 09:30:00,50.69,51.35,50.69,50.98,43780
2016-03-22 09:30:00,50.56,51.1,50.31,50.67,51228
2016-03-23 09:30:00,50.74,50.9,50.47,50.78,41637
2016-03-24 09:30:00,50.06,50.06,49.49,49.92,44872
2016-03-28 09:30:00,50.44,50.77,50.03,50.04,39043
2016-03-29 09:30:00,49.78,49.78,48.9,49.44,115632
2016-03-30 09:30:00,50.62,50.83,50.37,50.75,74827
2016-03-31 09:30:00,50.38,50.74,50.35,50.45,49399
2016-04-01 09:30:00,49.68,50.66,49.35,49.72,71756
2016-04-04 09:30:00,50.72,51.04,50.2,51.04,63423
2016-04-05 09:30:00,49.98,50.16,49.38,50.08,96388
2016-04-06 09:30:00,49.42,49.97,49.34,49.49,138082
2016-04-07 09:30:00,49.66,49.66,49.3,49.61,64243
2016-04-08 09:30:00,49.04,49.28,48.79,49.2,55955
2016-04-11 09:30:00,49.03,49.55,48.89,49.53,77867
2016-04-12 09:30:00,49.34,49.87,49.27,49.85,64992
2016-04-13 09:30:00,50.53,51.34,50.24,51.11,79455
2016-04-14 09:30:00,50.66,52.65,50.66,51.95,181442
2016-04-15 09:30:00,52.31,52.51,52.05,52.22,188285
2016-04-18 09:30:00,51.97,52.5,51.61,52.45,86157
2016-04-19 09:30:00,53.17,55.23,52.9,55.16,465178
2016-04-20 09:30:00,54.8,55.72,54.41,55.7,362567
2016-04-21 09:30:00,55.57,56.21,55.25,55.37,265991
2016-04-22 09:30:00,55.18,56.03,55.09,55.7,198705
2016-04-25 09:30:00,55.57,55.63,55.05,55.44,58494
2016-04-26 09:30:00,55.43,55.87,55.29,55.86,164613
2016-04-27 09:30:00,55.58,56.1,55.35,55.83,103832
2016-04-28 09:30:00,55.2,55.57,54.91,55.57,62118
2016-04-29 09:30:00,54.84,55.23,54.3,54.32,106999
2016-05-02 09:30:00,55.25,55.4,54.49,54.77,92096
2016-05-03 09:30:00,54.4,54.4,53.51,53.79,108868
2016-05-04 09:30:00,53.54,53.84,52.96,53.77,140548
2016-05-05 09:30:00,53.62,53.85,52.98,53.56,83066
2016-05-06 09:30:00,52.58,53.35,52.39,52.98,154482
2016-05-09 09:30:00,53.12,53.42,52.98,53.1,74283
2016-05-10 09:30:00,53.25,53.84,53.25,53.75,82707
2016-05-11 09:30:00,53.68,54.29,53.62,53.92,112135
2016-05-12 09:30:00,53.87,54.36,53.73,53.73,87462
2016-05-13 09:30:00,53.37,54.05,53.11,53.46,72343
2016-05-16 09:30:00,52.87,53.27,52.79,52.85,60622
2016-05-17 09:30:00,52.9,53.29,52.52,53.2,109791
2016-05-18 09:30:00,53.1,54.39,52.81,54.27,130985
2016-05-19 09:30:00,55.25,55.29,54.01,54.01,173970
2016-05-20 09:30:00,54.94,55.6,54.94,55.56,229915
2016-05-23 09:30:00,55.23,55.79,54.61,54.62,100829
2016-05-24 09:30:00,55.41,55.87,55.19,55.73,98660
2016-05-25 09:30:00,56.21,56.95,55.97,56.93,224241
2016-05-26 09:30:00,56.9,57.1,56.58,56.63,96238
2016-05-27 09:30:00,56.98,57.2,56.73,56.77,91021
2016-05-31 09:30:00,57.47,57.64,57.23,57.4,68135
2016-06-01 09:30:00,56.31,56.7,56.17,56.21,106222
2016-06-02 09:30:00,56.93,57.14,56.83,57.0,85929
2016-06-03 09:30:00,56.36,56.48,55.18,55.49,277359
2016-06-06 09:30:00,56.11,56.96,55.98,56.78,170612
2016-06-07 09:30:00,56.86,56.86,56.32,56.41,72136
2016-06-08 09:30:00,56.09,56.54,55.97,56.47,80821
2016-06-09 09:30:00,55.9,56.1,55.17,55.34,118931
2016-06-10 09:30:00,54.72,55.1,54.65,54.98,159205
2016-06-13 09:30:00,54.6,55.31,54.54,54.99,70499
2016-06-14 09:30:00,54.52,55.0,54.22,54.74,62074
2016-06-15 09:30:00,53.83,54.4,53.73,54.34,102766
2016-06-16 09:30:00,53.31,53.64,52.73,52.73,97431
2016-06-17 09:30:00,53.64,54.09,53.37,54.02,276822
2016-06-20 09:30:00,54.73,54.98,54.52,54.63,211435
2016-06-21 09:30:00,53.84,53.91,53.54,53.75,118229
2016-06-22 09:30:00,53.99,54.23,53.64,54.16,90453
2016-06-23 09:30:00,54.47,54.93,54.3,54.76,108362
2016-06-24 09:30:00,52.79,52.95,51.7,52.17,329034
2016-06-27 09:30:00,50.09,50.29,48.66,48.67,187168
2016-06-28 09:30:00,48.55,48.96,48.24,48.53,141189
2016-06-29 09:30:00,49.8,50.05,49.26,49.51,102324
2016-06-30 09:30:00,50.09,50.67,49.76,50.19,344210
2016-07-01 09:30:00,50.88,51.18,50.81,50.95,98025
2016-07-05 09:30:00,50.02,50.05,49.03,49.25,78560
2016-07-06 09:30:00,48.57,48.65,47.86,48.55,135052
2016-07-07 09:30:00,48.72,49.85,48.58,49.85,191598
2016-07-08 09:30:00,49.9,50.57,49.65,50.47,186556
2016-07-11 09:30:00,50.64,51.07,50.27,50.41,136081
2016-07-12 09:30:00,50.91,51.32,50.91,51.08,151653
2016-07-13 09:30:00,51.16,51.51,50.85,50.99,87602
2016-07-14 09:30:00,51.99,52.25,51.59,51.81,108641
2016-07-15 09:30:00,52.09,52.13,51.51,51.88,282385
2016-07-18 09:30:00,51.96,52.13,51.91,51.97,113359
2016-07-19 09:30:00,52.13,52.13,51.65,51.83,279687
2016-07-20 09:30:00,52.42,52.42,50.51,50.79,361025
2016-07-21 09:30:00,51.87,52.07,51.44,52.06,290016
2016-07-22 09:30:00,51.86,51.99,51.56,51.57,92466
2016-07-25 09:30:00,51.72,52.02,51.64,51.98,86711
2016-07-26 09:30:00,51.8,52.13,51.8,51.95,68203
2016-07-27 09:30:00,52.93,53.46,52.85,53.43,219087
2016-07-28 09:30:00,52.69,52.82,52.28,52.71,120427
2016-07-29 09:30:00,52.14,52.45,52.0,52.09,65638
2016-08-01 09:30:00,52.28,52.54,51.92,52.15,47947
2016-08-02 09:30:00,51.7,52.04,51.6,51.93,73539
2016-08-03 09:30:00,51.34,51.73,51.34,51.5,68283
2016-08-04 09:30:00,51.73,51.97,51.66,51.73,59819
2016-08-05 09:30:00,52.24,53.16,51.97,53.16,92626
2016-08-08 09:30:00,53.62,53.95,53.62,53.68,61615
2016-08-09 09:30:00,53.47,54.02,53.47,53.7,62895
2016-08-10 09:30:00,53.4,53.76,53.24,53.43,85809
2016-08-11 09:30:00,52.96,53.1,52.73,52.93,49854
2016-08-12 09:30:00,52.55,52.55,52.24,52.46,159454
2016-08-15 09:30:00,52.65,52.81,52.62,52.78,93511
2016-08-16 09:30:00,52.54,53.09,52.45,52.67,85597
2016-08-17 09:30:00,52.62,52.89,52.61,52.74,86394
2016-08-18 09:30:00,52.91,52.93,52.67,52.81,56870
2016-08-19 09:30:00,52.89,53.25,52.64,52.77,208525
2016-08-22 09:30:00,52.79,53.18,52.69,52.93,91284
2016-08-23 09:30:00,53.38,53.58,53.24,53.27,80080
2016-08-24 09:30:00,53.17,53.41,52.96,53.11,56741
2016-08-25 09:30:00,52.93,53.19,52.24,52.99,36983
2016-08-26 09:30:00,53.3,53.55,53.24,53.36,57043
2016-08-29 09:30:00,53.71,54.15,53.71,54.05,67194
2016-08-30 09:30:00,54.01,54.43,54.0,54.4,55450
2016-08-31 09:30:00,54.77,55.35,54.47,55.21,117220
2016-09-01 09:30:00,55.21,55.75,55.21,55.38,209035
2016-09-02 09:30:00,54.87,55.16,54.66,55.01,80133
2016-09-06 09:30:00,55.06,55.07,54.59,54.83,83704
2016-09-07 09:30:00,54.15,54.51,54.01,54.41,54144
2016-09-08 09:30:00,54.31,54.41,54.1,54.17,83492
2016-09-09 09:30:00,54.29,54.63,54.21,54.45,136107
2016-09-12 09:30:00,53.57,53.78,53.16,53.26,156218
2016-09-13 09:30:00,53.61,54.14,53.51,53.53,104348
