open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,73.67,74.68,73.27,74.37,346414
2016-01-05 09:30:00,76.63,77.05,75.65,76.14,442390
2016-01-06 09:30:00,72.37,72.37,70.9,71.88,1085804
2016-01-07 09:30:00,70.02,70.91,68.34,70.85,724078
2016-01-08 09:30:00,68.24,69.93,68.13,69.02,1023394
2016-01-11 09:30:00,68.0,69.7,67.93,68.92,501953
2016-01-12 09:30:00,70.07,70.77,69.84,70.24,497758
2016-01-13 09:30:00,69.99,70.95,69.7,70.39,358381
2016-01-14 09:30:00,66.5,67.13,63.84,64.01,632435
2016-01-15 09:30:00,63.5,63.86,61.33,62.16,1559545
2016-01-19 09:30:00,62.79,63.96,62.51,63.15,928736
2016-01-20 09:30:00,60.65,62.16,60.3,61.44,744846
2016-01-21 09:30:00,64.18,64.93,63.49,64.09,712786
2016-01-22 09:30:00,66.13,66.97,65.91,66.67,509715
2016-01-25 09:30:00,66.59,66.94,65.35,65.39,392349
2016-01-26 09:30:00,65.36,65.92,64.83,65.22,228707
2016-01-27 09:30:00,64.37,64.87,63.4,64.2,413494
2016-01-28 09:30:00,63.93,64.55,63.69,64.13,246045
2016-01-29 09:30:00,64.29,65.49,63.57,65.45,352692
2016-02-01 09:30:00,66.43,67.47,66.23,67.14,357948
2016-02-02 09:30:00,67.54,67.86,66.46,66.53,502589
2016-02-03 09:30:00,66.06,66.27,65.27,65.32,393849
2016-02-04 09:30:00,66.68,66.8,64.5,65.32,1796262
2016-02-05 09:30:00,67.8,68.72,67.01,67.03,630671
2016-02-08 09:30:00,62.06,62.34,59.41,59.67,1280986
2016-02-09 09:30:00,55.4,59.69,55.35,58.95,913225
2016-02-10 09:30:00,59.43,60.6,59.04,60.6,443777
2016-02-11 09:30:00,58.06,59.21,57.95,58.64,476498
2016-02-12 09:30:00,59.43,60.09,58.35,58.35,359294
2016-02-16 09:30:00,61.69,62.87,61.45,61.86,538297
2016-02-17 09:30:00,62.83,64.12,62.05,63.23,451657
2016-02-18 09:30:00,63.29,63.46,61.91,61.98,466483
2016-02-19 09:30:00,60.49,60.5,59.75,59.76,468515
2016-02-22 09:30:00,60.31,61.76,60.2,61.72,401851
2016-02-23 09:30:00,62.89,62.94,61.61,62.21,294917
2016-02-24 09:30:00,60.63,60.88,60.2,60.38,331113
2016-02-25 09:30:00,63.38,63.43,61.88,61.92,377519
2016-02-26 09:30:00,64.23,64.81,63.98,64.24,283843
2016-02-29 09:30:00,65.19,65.86,65.13,65.37,324022
2016-03-01 09:30:00,64.69,64.92,63.88,64.64,293631
2016-03-02 09:30:00,66.71,68.05,66.69,67.65,578257
2016-03-03 09:30:00,67.97,68.04,67.43,67.67,211956
2016-03-04 09:30:00,67.65,69.09,67.65,68.62,536591
2016-03-07 09:30:00,68.8,69.33,68.19,68.94,589049
2016-03-08 09:30:00,68.47,68.99,67.74,67.74,282138
2016-03-09 09:30:00,67.89,68.35,66.85,67.63,390777
2016-03-10 09:30:00,69.56,70.31,69.45,70.2,467514
2016-03-11 09:30:00,70.09,70.43,69.58,69.94,680373
2016-03-14 09:30:00,70.08,70.27,69.59,69.8,232253
2016-03-15 09:30:00,70.53,71.18,70.52,70.66,821538
2016-03-16 09:30:00,70.48,71.63,70.46,71.23,579722
2016-03-17 09:30:00,71.12,72.14,71.12,71.79,462982
2016-03-18 09:30:00,73.08,74.31,72.99,73.79,993195
2016-03-21 09:30:00,74.29,75.11,74.29,74.46,366779
2016-03-22 09:30:00,73.4,74.3,73.13,74.2,265945
2016-03-23 09:30:00,74.8,74.88,73.71,74.02,199625
2016-03-24 09:30:00,72.33,72.49,71.62,72.32,272071
2016-03-28 09:30:00,73.23,73.46,71.81,72.03,214478
2016-03-29 09:30:00,72.27,72.73,71.43,72.15,317181
2016-03-30 09:30:00,72.7,73.71,72.7,73.67,1565904
2016-03-31 09:30:00,73.35,73.61,72.82,73.18,324859
2016-04-01 09:30:00,72.03,73.07,71.92,73.03,288071
2016-04-04 09:30:00,72.96,73.72,72.96,73.31,307425
2016-04-05 09:30:00,72.41,73.28,72.24,73.06,341290
2016-04-06 09:30:00,72.34,73.07,72.34,72.61,147972
2016-04-07 09:30:00,74.12,74.3,73.18,73.56,273743
2016-04-08 09:30:00,75.03,76.0,74.73,74.98,646085
2016-04-11 09:30:00,75.06,75.7,75.06,75.39,338697
2016-04-12 09:30:00,75.02,75.02,73.95,73.97,242162
