open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,53.38,53.42,52.82,52.93,180275
2016-01-05 09:30:00,53.13,53.28,52.62,52.65,251738
2016-01-06 09:30:00,52.52,52.7,52.36,52.52,178845
2016-01-07 09:30:00,50.54,51.32,50.21,51.21,125941
2016-01-08 09:30:00,51.07,51.25,50.77,51.19,110175
2016-01-11 09:30:00,50.4,50.64,50.01,50.05,151657
2016-01-12 09:30:00,50.44,50.59,50.33,50.51,76073
2016-01-13 09:30:00,50.91,51.1,50.77,50.97,44145
2016-01-14 09:30:00,49.92,50.12,49.59,49.63,56031
2016-01-15 09:30:00,49.47,50.12,49.47,49.95,258626
2016-01-19 09:30:00,50.44,50.75,49.69,49.93,98713
2016-01-20 09:30:00,48.81,49.3,48.53,48.53,176136
2016-01-21 09:30:00,48.99,49.27,48.15,48.48,159432
2016-01-22 09:30:00,50.02,50.41,49.7,50.38,194300
2016-01-25 09:30:00,50.41,50.66,50.09,50.41,63453
2016-01-26 09:30:00,50.44,50.94,50.4,50.78,105777
2016-01-27 09:30:00,51.57,51.68,50.96,51.4,73404
2016-01-28 09:30:00,51.61,51.67,50.98,51.3,149263
2016-01-29 09:30:00,51.85,52.37,51.8,52.33,84232
2016-02-01 09:30:00,52.32,52.59,52.14,52.5,115079
2016-02-02 09:30:00,52.44,52.54,52.06,52.09,89941
2016-02-03 09:30:00,52.29,52.47,51.93,52.09,54362
2016-02-04 09:30:00,52.04,52.95,51.9,51.93,100943
2016-02-05 09:30:00,52.09,52.21,51.72,51.73,211180
2016-02-08 09:30:00,50.41,50.53,50.23,50.31,249905
2016-02-09 09:30:00,50.03,52.11,50.03,51.6,693913
2016-02-10 09:30:00,51.95,52.72,51.78,52.7,584073
2016-02-11 09:30:00,51.96,52.66,51.96,52.47,216561
2016-02-12 09:30:00,52.19,52.53,51.14,51.32,186344
2016-02-16 09:30:00,53.14,53.5,52.49,52.53,281674
2016-02-17 09:30:00,54.68,54.92,54.63,54.65,141731
2016-02-18 09:30:00,54.1,54.34,54.0,54.31,141930
2016-02-19 09:30:00,54.45,54.55,54.11,54.34,294756
2016-02-22 09:30:00,55.24,55.69,54.76,55.52,155653
2016-02-23 09:30:00,55.29,55.54,55.18,55.53,123548
2016-02-24 09:30:00,54.48,54.59,54.11,54.37,166616
2016-02-25 09:30:00,55.31,55.67,55.06,55.06,156463
