open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,31.03,31.1,30.74,30.86,1909118
2016-01-05 09:30:00,30.97,31.19,30.91,31.04,2189873
2016-01-06 09:30:00,30.66,30.96,30.53,30.86,3136625
2016-01-07 09:30:00,30.44,30.77,30.27,30.66,2662869
2016-01-08 09:30:00,30.34,30.47,30.22,30.3,2225130
2016-01-11 09:30:00,30.01,30.2,29.88,30.02,1969348
2016-01-12 09:30:00,30.5,30.7,30.4,30.56,1872973
2016-01-13 09:30:00,30.4,30.57,30.33,30.36,2980556
2016-01-14 09:30:00,29.52,29.76,29.37,29.55,3083608
2016-01-15 09:30:00,29.19,29.65,29.11,29.49,4238816
2016-01-19 09:30:00,29.83,29.97,29.57,29.67,1647720
2016-01-20 09:30:00,29.26,29.56,29.26,29.38,3054431
2016-01-21 09:30:00,29.32,29.45,29.01,29.16,2214586
2016-01-22 09:30:00,29.83,30.04,29.83,29.87,2786062
2016-01-25 09:30:00,29.86,30.05,29.79,29.93,1526186
2016-01-26 09:30:00,29.64,29.96,29.46,29.93,1234522
2016-01-27 09:30:00,30.25,30.62,30.25,30.38,2048868
2016-01-28 09:30:00,30.39,30.69,30.34,30.52,1790686
2016-01-29 09:30:00,30.76,31.02,30.66,30.93,1742221
2016-02-01 09:30:00,31.0,31.29,30.96,31.25,2626692
2016-02-02 09:30:00,30.96,31.04,30.56,30.66,2296750
2016-02-03 09:30:00,30.72,30.89,30.71,30.75,1189148
2016-02-04 09:30:00,30.83,31.1,30.79,31.04,1201343
2016-02-05 09:30:00,31.2,31.29,30.85,30.87,2371893
2016-02-08 09:30:00,30.34,30.45,30.17,30.19,2690593
2016-02-09 09:30:00,30.34,30.75,30.22,30.6,2127224
2016-02-10 09:30:00,30.59,30.93,30.58,30.92,1292422
2016-02-11 09:30:00,29.87,30.31,29.85,30.24,1207828
2016-02-12 09:30:00,30.43,30.47,30.18,30.21,1674760
2016-02-16 09:30:00,30.88,31.01,30.8,30.83,1782019
2016-02-17 09:30:00,31.06,31.24,31.06,31.23,1621098
2016-02-18 09:30:00,31.7,31.71,31.43,31.49,1936653
2016-02-19 09:30:00,31.54,31.69,31.45,31.56,3600630
2016-02-22 09:30:00,32.05,32.24,31.87,32.24,1305450
2016-02-23 09:30:00,32.05,32.05,31.85,31.93,964624
2016-02-24 09:30:00,31.15,31.27,31.01,31.03,1115856
2016-02-25 09:30:00,31.77,31.91,31.68,31.7,1286162
2016-02-26 09:30:00,32.32,32.51,32.11,32.12,1916309
2016-02-29 09:30:00,31.95,32.08,31.84,31.95,1012390
2016-03-01 09:30:00,32.08,32.13,31.98,32.09,744188
2016-03-02 09:30:00,32.61,32.72,32.45,32.53,1342132
2016-03-03 09:30:00,32.48,32.62,32.44,32.46,841371
2016-03-04 09:30:00,32.81,32.95,32.63,32.68,1464848
2016-03-07 09:30:00,32.57,32.77,32.4,32.75,1100276
2016-03-08 09:30:00,32.91,33.03,32.76,33.0,1576265
2016-03-09 09:30:00,33.19,33.21,33.0,33.19,1495731
2016-03-10 09:30:00,33.48,33.48,33.09,33.09,2242003
2016-03-11 09:30:00,33.2,33.41,33.06,33.36,1328144
2016-03-14 09:30:00,33.6,33.62,33.34,33.37,1375724
2016-03-15 09:30:00,33.12,33.24,32.93,33.06,1564058
2016-03-16 09:30:00,34.15,35.36,34.14,34.73,12385467
2016-03-17 09:30:00,34.67,34.95,34.6,34.71,2468475
2016-03-18 09:30:00,35.29,35.69,35.1,35.65,8047241
2016-03-21 09:30:00,35.79,35.82,35.72,35.81,1527290
2016-03-22 09:30:00,35.68,35.76,35.57,35.71,1573026
2016-03-23 09:30:00,35.66,35.71,35.49,35.57,1021843
2016-03-24 09:30:00,35.06,35.31,34.83,35.3,910825
2016-03-28 09:30:00,35.5,35.5,35.02,35.1,1527693
2016-03-29 09:30:00,34.9,35.07,34.86,35.03,1146547
2016-03-30 09:30:00,35.38,35.5,35.28,35.39,941288
2016-03-31 09:30:00,35.52,35.57,35.38,35.52,973101
2016-04-01 09:30:00,35.13,35.29,35.08,35.2,838598
2016-04-04 09:30:00,35.47,35.56,35.42,35.5,653659
2016-04-05 09:30:00,35.3,35.46,35.18,35.28,1144920
2016-04-06 09:30:00,34.9,35.04,34.86,34.88,1481014
2016-04-07 09:30:00,35.05,35.05,34.78,34.85,1171529
2016-04-08 09:30:00,34.65,34.92,34.65,34.91,981772
2016-04-11 09:30:00,35.05,35.25,34.9,35.25,1118171
2016-04-12 09:30:00,34.94,35.02,34.74,34.86,1084757
2016-04-13 09:30:00,35.38,35.64,35.22,35.58,1241641
2016-04-14 09:30:00,35.8,35.93,35.72,35.79,1206843
2016-04-15 09:30:00,35.64,35.8,35.64,35.77,2884650
2016-04-18 09:30:00,35.37,35.56,35.36,35.51,1023113
2016-04-19 09:30:00,35.89,35.96,35.64,35.75,1735743
2016-04-20 09:30:00,35.7,35.86,35.61,35.85,1138388
2016-04-21 09:30:00,35.56,35.8,35.55,35.68,1356631
2016-04-22 09:30:00,35.43,35.87,35.35,35.86,1734518
2016-04-25 09:30:00,35.18,35.39,35.18,35.32,1084883
2016-04-26 09:30:00,35.38,35.41,35.27,35.33,785359
2016-04-27 09:30:00,35.11,35.41,35.11,35.28,857221
2016-04-28 09:30:00,34.98,35.28,34.94,35.21,842031
2016-04-29 09:30:00,34.82,34.82,34.35,34.38,1315966
2016-05-02 09:30:00,34.58,34.72,34.52,34.57,713253
2016-05-03 09:30:00,34.7,34.76,34.39,34.41,1254954
2016-05-04 09:30:00,34.14,34.3,34.01,34.17,1432529
2016-05-05 09:30:00,34.18,34.2,34.05,34.11,797815
2016-05-06 09:30:00,33.78,34.08,33.78,33.94,1043284
2016-05-09 09:30:00,34.1,34.43,34.1,34.38,844741
2016-05-10 09:30:00,34.31,34.46,34.31,34.45,1515708
2016-05-11 09:30:00,34.55,34.72,34.51,34.65,672573
2016-05-12 09:30:00,34.57,34.65,34.46,34.51,1075852
2016-05-13 09:30:00,34.48,34.73,34.47,34.53,1611973
2016-05-16 09:30:00,34.47,34.47,34.2,34.42,1005378
2016-05-17 09:30:00,34.5,34.63,34.42,34.5,1017885
2016-05-18 09:30:00,34.31,34.31,34.1,34.23,979147
2016-05-19 09:30:00,33.94,34.01,33.69,33.69,1382688
2016-05-20 09:30:00,33.87,34.26,33.76,34.26,2859284
2016-05-23 09:30:00,34.11,34.18,33.98,34.0,791358
2016-05-24 09:30:00,34.17,34.51,34.02,34.44,1310289
2016-05-25 09:30:00,34.71,34.91,34.71,34.88,1005712
2016-05-26 09:30:00,34.76,34.84,34.63,34.63,792811
2016-05-27 09:30:00,34.52,34.65,34.5,34.64,941700
2016-05-31 09:30:00,34.74,34.74,34.63,34.68,1151266
2016-06-01 09:30:00,34.72,34.74,34.51,34.68,1614913
2016-06-02 09:30:00,33.54,33.85,33.21,33.36,7429816
2016-06-03 09:30:00,33.59,33.98,33.53,33.88,4089631
2016-06-06 09:30:00,33.97,34.24,33.91,34.15,1240029
2016-06-07 09:30:00,34.28,34.44,34.2,34.23,1324153
2016-06-08 09:30:00,33.91,34.1,33.83,33.95,1472021
2016-06-09 09:30:00,33.97,33.98,33.78,33.79,1358704
2016-06-10 09:30:00,33.64,33.79,33.58,33.59,1635611
2016-06-13 09:30:00,33.37,33.68,33.27,33.56,2021811
2016-06-14 09:30:00,33.48,33.79,33.43,33.72,1583498
2016-06-15 09:30:00,33.63,33.73,33.46,33.53,2058086
2016-06-16 09:30:00,33.25,33.31,33.07,33.12,1031516
2016-06-17 09:30:00,34.23,34.32,33.73,34.22,8473387
2016-06-20 09:30:00,34.58,34.97,34.58,34.83,2747744
2016-06-21 09:30:00,34.54,34.61,34.45,34.52,1597772
2016-06-22 09:30:00,34.8,34.84,34.56,34.83,1175002
2016-06-23 09:30:00,35.02,35.03,34.89,35.02,1598183
2016-06-24 09:30:00,34.13,34.54,33.96,34.49,3737259
2016-06-27 09:30:00,33.69,33.7,33.24,33.45,3577731
2016-06-28 09:30:00,33.6,33.8,33.44,33.74,2319734
2016-06-29 09:30:00,34.47,34.5,34.23,34.48,2195021
2016-06-30 09:30:00,35.09,35.33,35.08,35.24,1561794
2016-07-01 09:30:00,35.41,35.62,35.4,35.62,1647828
2016-07-05 09:30:00,35.08,35.3,35.06,35.19,1908664
2016-07-06 09:30:00,34.97,35.07,34.9,34.96,1113264
2016-07-07 09:30:00,35.23,35.44,35.16,35.44,1217597
2016-07-08 09:30:00,35.56,35.82,35.51,35.78,1562518
2016-07-11 09:30:00,35.58,35.79,35.53,35.77,1898442
2016-07-12 09:30:00,35.87,35.99,35.71,35.91,2043174
2016-07-13 09:30:00,36.15,36.23,35.98,36.08,1258397
2016-07-14 09:30:00,36.16,36.39,36.11,36.34,1549369
2016-07-15 09:30:00,36.46,36.46,36.12,36.14,2569930
2016-07-18 09:30:00,36.28,36.35,36.24,36.35,804150
2016-07-19 09:30:00,35.93,36.06,35.88,35.99,1741815
2016-07-20 09:30:00,36.08,36.1,35.91,35.98,1496506
2016-07-21 09:30:00,35.96,36.11,35.91,36.01,1944208
2016-07-22 09:30:00,35.77,35.82,35.63,35.63,1318218
2016-07-25 09:30:00,35.59,35.74,35.59,35.63,1138929
2016-07-26 09:30:00,35.72,35.88,35.67,35.81,1295134
2016-07-27 09:30:00,35.69,35.74,35.48,35.48,1713748
2016-07-28 09:30:00,35.97,36.01,35.51,35.68,2704217
2016-07-29 09:30:00,35.94,36.0,35.73,35.74,1162502
2016-08-01 09:30:00,35.59,35.79,35.59,35.71,816297
2016-08-02 09:30:00,35.77,35.77,35.47,35.47,1122932
2016-08-03 09:30:00,35.34,35.54,35.33,35.34,777207
2016-08-04 09:30:00,35.33,35.61,35.33,35.44,927194
2016-08-05 09:30:00,35.73,35.86,35.63,35.85,1129632
2016-08-08 09:30:00,35.82,36.01,35.82,35.93,1307595
2016-08-09 09:30:00,35.74,35.85,35.71,35.8,866650
2016-08-10 09:30:00,35.78,35.88,35.73,35.73,914803
2016-08-11 09:30:00,35.79,35.94,35.78,35.88,912950
2016-08-12 09:30:00,35.78,35.84,35.77,35.79,770156
2016-08-15 09:30:00,35.67,35.94,35.67,35.91,870707
2016-08-16 09:30:00,35.93,36.05,35.88,36.01,954296
2016-08-17 09:30:00,36.0,36.0,35.81,35.83,940953
2016-08-18 09:30:00,35.62,35.88,35.62,35.78,895891
2016-08-19 09:30:00,35.7,35.76,35.67,35.7,2013185
2016-08-22 09:30:00,35.76,35.89,35.76,35.84,1418817
2016-08-23 09:30:00,35.99,36.14,35.98,36.04,1059238
2016-08-24 09:30:00,35.97,36.08,35.96,35.97,661938
2016-08-25 09:30:00,35.77,35.84,35.71,35.73,774056
2016-08-26 09:30:00,35.76,36.01,35.73,35.95,1126824
2016-08-29 09:30:00,36.08,36.13,36.0,36.04,1027208
2016-08-30 09:30:00,36.01,36.01,35.88,35.98,850491
2016-08-31 09:30:00,35.9,35.93,35.81,35.89,787347
2016-09-01 09:30:00,35.65,35.89,35.62,35.71,1232681
2016-09-02 09:30:00,35.87,36.03,35.87,36.01,856979
2016-09-06 09:30:00,35.99,35.99,35.81,35.85,850859
2016-09-07 09:30:00,35.79,35.9,35.71,35.89,1484266
2016-09-08 09:30:00,35.54,35.67,35.32,35.39,2788607
2016-09-09 09:30:00,35.08,35.28,35.04,35.27,1466562
2016-09-12 09:30:00,34.71,34.87,34.52,34.82,1663575
2016-09-13 09:30:00,35.13,35.26,35.01,35.01,1132504
2016-09-14 09:30:00,34.87,35.07,34.81,34.91,998494
2016-09-15 09:30:00,34.95,35.23,34.87,35.13,1816863
2016-09-16 09:30:00,34.46,34.75,34.43,34.53,10460334
2016-09-19 09:30:00,34.04,34.22,33.98,34.2,2540403
2016-09-20 09:30:00,34.41,34.45,34.24,34.25,1470974
2016-09-21 09:30:00,34.09,34.27,34.09,34.23,1308358
2016-09-22 09:30:00,34.52,34.62,34.45,34.48,1298921
2016-09-23 09:30:00,34.27,34.29,33.98,34.0,1797445
2016-09-26 09:30:00,33.93,34.0,33.72,33.75,1207321
2016-09-27 09:30:00,33.84,34.2,33.8,34.2,1187899
2016-09-28 09:30:00,34.13,34.28,34.07,34.24,878149
2016-09-29 09:30:00,34.14,34.37,34.14,34.34,676958
2016-09-30 09:30:00,34.14,34.31,34.1,34.12,1096865
2016-10-03 09:30:00,34.1,34.15,33.93,33.97,970737
2016-10-04 09:30:00,33.96,34.04,33.88,34.04,700684
2016-10-05 09:30:00,34.02,34.02,33.83,33.92,922059
2016-10-06 09:30:00,34.02,34.14,33.62,33.65,1517173
2016-10-07 09:30:00,33.92,34.04,33.85,33.93,1387178
2016-10-10 09:30:00,33.93,34.06,33.93,34.05,663337
2016-10-11 09:30:00,33.67,33.75,33.5,33.51,1088709
2016-10-12 09:30:00,33.12,33.2,32.87,33.0,1440788
2016-10-13 09:30:00,33.06,33.07,32.85,33.02,2011891
2016-10-14 09:30:00,33.41,33.58,33.35,33.52,1576308
2016-10-17 09:30:00,33.66,33.66,33.43,33.45,932071
2016-10-18 09:30:00,33.71,33.79,33.64,33.69,1167788
