open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,16.56,16.73,16.47,16.65,1505460
2016-01-05 09:30:00,16.46,16.63,16.46,16.54,1245885
2016-01-06 09:30:00,16.24,16.3,16.16,16.17,939225
2016-01-07 09:30:00,15.81,16.15,15.73,16.07,1732680
2016-01-08 09:30:00,15.98,16.1,15.9,16.08,1540275
2016-01-11 09:30:00,15.72,15.78,15.64,15.73,956295
2016-01-12 09:30:00,15.86,16.12,15.74,16.04,1481085
2016-01-13 09:30:00,16.31,16.32,16.17,16.21,1272855
2016-01-14 09:30:00,15.7,15.76,15.64,15.68,982275
2016-01-15 09:30:00,15.3,15.6,15.01,15.49,3553620
2016-01-19 09:30:00,15.73,15.76,15.54,15.57,1080525
2016-01-20 09:30:00,15.49,15.63,15.42,15.48,1148820
2016-01-21 09:30:00,15.76,15.96,15.63,15.75,597630
2016-01-22 09:30:00,15.97,15.99,15.79,15.98,1028220
2016-01-25 09:30:00,16.25,16.25,16.03,16.12,2889150
2016-01-26 09:30:00,16.32,16.5,16.31,16.44,2503785
2016-01-27 09:30:00,16.69,16.77,16.57,16.64,981165
2016-01-28 09:30:00,16.54,16.84,16.43,16.84,2632005
2016-01-29 09:30:00,17.17,17.23,17.07,17.14,1627200
2016-02-01 09:30:00,17.35,17.51,17.23,17.44,1783500
2016-02-02 09:30:00,17.57,17.75,17.36,17.4,1467690
2016-02-03 09:30:00,17.42,17.43,17.13,17.23,953685
2016-02-04 09:30:00,16.88,16.91,16.49,16.65,1737885
2016-02-05 09:30:00,16.73,16.76,16.56,16.56,1159380
2016-02-08 09:30:00,15.93,15.96,15.5,15.5,3849615
2016-02-09 09:30:00,15.46,15.83,15.34,15.78,2670540
2016-02-10 09:30:00,16.0,16.04,15.82,16.02,2020260
2016-02-11 09:30:00,16.13,16.58,15.9,16.33,5739825
2016-02-12 09:30:00,16.96,17.06,16.55,16.61,2531715
2016-02-16 09:30:00,17.01,17.12,16.9,17.01,2146305
2016-02-17 09:30:00,17.19,17.33,17.14,17.24,1646955
2016-02-18 09:30:00,16.97,16.97,16.77,16.91,1208280
2016-02-19 09:30:00,16.85,16.95,16.6,16.77,2212665
2016-02-22 09:30:00,17.28,17.45,17.23,17.25,1228395
2016-02-23 09:30:00,17.25,17.38,17.21,17.21,1315425
2016-02-24 09:30:00,17.09,17.25,17.0,17.15,1015245
2016-02-25 09:30:00,17.65,17.85,17.55,17.63,1328520
2016-02-26 09:30:00,17.92,17.93,17.55,17.62,1067820
2016-02-29 09:30:00,17.47,17.59,17.4,17.43,893445
2016-03-01 09:30:00,17.55,17.75,17.44,17.66,1951830
2016-03-02 09:30:00,18.1,18.15,17.81,17.93,3363675
2016-03-03 09:30:00,17.77,18.05,17.67,17.87,4692060
2016-03-04 09:30:00,17.89,17.93,17.68,17.71,873135
2016-03-07 09:30:00,17.6,17.66,17.51,17.62,1775460
2016-03-08 09:30:00,17.33,17.62,17.24,17.61,5053155
2016-03-09 09:30:00,17.68,17.8,17.56,17.68,949050
2016-03-10 09:30:00,17.65,17.73,17.59,17.71,1150680
2016-03-11 09:30:00,18.01,18.04,17.89,17.98,1489530
2016-03-14 09:30:00,18.12,18.22,18.03,18.09,1081905
2016-03-15 09:30:00,18.04,18.23,18.01,18.19,581205
2016-03-16 09:30:00,17.97,18.06,17.94,17.99,542325
2016-03-17 09:30:00,17.94,17.99,17.77,17.78,696600
2016-03-18 09:30:00,17.91,17.91,17.68,17.8,5611110
2016-03-21 09:30:00,17.8,17.93,17.76,17.89,637425
2016-03-22 09:30:00,18.02,18.16,17.98,18.11,1363860
2016-03-23 09:30:00,18.18,18.22,18.11,18.21,803160
2016-03-24 09:30:00,18.42,18.48,18.34,18.41,1196700
2016-03-28 09:30:00,18.33,18.36,18.12,18.23,939735
2016-03-29 09:30:00,18.23,18.39,18.23,18.34,1781085
2016-03-30 09:30:00,18.43,18.47,18.3,18.34,549990
2016-03-31 09:30:00,18.5,18.51,18.32,18.36,975390
2016-04-01 09:30:00,18.21,18.28,18.09,18.17,1298130
2016-04-04 09:30:00,18.51,18.51,18.29,18.34,704790
2016-04-05 09:30:00,18.08,18.13,18.01,18.06,906915
2016-04-06 09:30:00,18.08,18.08,17.92,17.99,647055
2016-04-07 09:30:00,18.01,18.23,17.91,17.95,592005
2016-04-08 09:30:00,18.04,18.04,17.86,17.99,602085
2016-04-11 09:30:00,17.97,18.03,17.93,17.97,1248105
2016-04-12 09:30:00,17.87,17.91,17.71,17.81,1029825
2016-04-13 09:30:00,18.04,18.08,17.86,17.92,1242150
2016-04-14 09:30:00,18.27,18.27,17.97,18.07,2532375
2016-04-15 09:30:00,17.98,17.98,17.87,17.94,1982340
2016-04-18 09:30:00,17.9,18.07,17.9,18.02,1129635
2016-04-19 09:30:00,18.25,18.36,18.19,18.32,1211235
2016-04-20 09:30:00,18.37,18.37,18.18,18.36,739395
2016-04-21 09:30:00,18.23,18.23,18.04,18.09,846855
2016-04-22 09:30:00,17.95,18.03,17.89,17.97,672345
2016-04-25 09:30:00,17.91,17.92,17.74,17.79,1158825
2016-04-26 09:30:00,18.11,18.22,18.03,18.22,926010
2016-04-27 09:30:00,18.18,18.19,18.1,18.14,999675
2016-04-28 09:30:00,17.44,17.9,17.4,17.78,5002770
2016-04-29 09:30:00,17.57,17.71,17.52,17.61,1794900
2016-05-02 09:30:00,17.52,17.71,17.51,17.61,1089570
2016-05-03 09:30:00,17.47,17.63,17.47,17.59,1167150
2016-05-04 09:30:00,17.7,17.87,17.65,17.87,724440
2016-05-05 09:30:00,17.85,17.85,17.67,17.67,793710
2016-05-06 09:30:00,17.48,17.6,17.43,17.54,729975
2016-05-09 09:30:00,17.66,17.9,17.65,17.87,892725
2016-05-10 09:30:00,17.84,17.98,17.82,17.85,603015
2016-05-11 09:30:00,17.88,17.9,17.7,17.77,689940
2016-05-12 09:30:00,17.53,17.6,17.46,17.57,831765
2016-05-13 09:30:00,17.57,17.68,17.56,17.63,1119960
2016-05-16 09:30:00,17.17,17.35,17.17,17.3,936960
2016-05-17 09:30:00,17.34,17.44,17.23,17.33,2143050
2016-05-18 09:30:00,16.93,17.03,16.78,16.82,2285505
2016-05-19 09:30:00,16.6,16.97,16.54,16.8,3877650
2016-05-20 09:30:00,17.07,17.18,17.03,17.16,2141310
2016-05-23 09:30:00,17.11,17.18,17.05,17.15,809700
2016-05-24 09:30:00,16.85,17.15,16.73,17.14,1349400
2016-05-25 09:30:00,17.19,17.3,17.15,17.25,1711470
2016-05-26 09:30:00,17.61,17.81,17.58,17.75,1346070
2016-05-27 09:30:00,17.63,17.76,17.63,17.75,849585
2016-05-31 09:30:00,17.81,17.81,17.61,17.67,874005
2016-06-01 09:30:00,17.62,17.74,17.57,17.72,810150
2016-06-02 09:30:00,17.55,17.55,17.34,17.43,1892385
2016-06-03 09:30:00,17.49,17.5,17.28,17.3,1072785
2016-06-06 09:30:00,17.26,17.27,17.18,17.23,1205670
2016-06-07 09:30:00,17.23,17.31,17.23,17.3,580635
2016-06-08 09:30:00,17.33,17.41,17.31,17.41,576375
2016-06-09 09:30:00,17.42,17.61,17.36,17.6,993315
2016-06-10 09:30:00,17.34,17.56,17.3,17.52,1349760
2016-06-13 09:30:00,17.37,17.52,17.35,17.49,984855
2016-06-14 09:30:00,17.29,17.35,17.17,17.21,778320
2016-06-15 09:30:00,17.31,17.45,17.22,17.45,496305
2016-06-16 09:30:00,17.27,17.31,17.23,17.24,635190
2016-06-17 09:30:00,17.29,17.33,17.23,17.28,3912660
2016-06-20 09:30:00,17.45,17.59,17.31,17.55,1087395
2016-06-21 09:30:00,17.41,17.52,17.38,17.5,665490
2016-06-22 09:30:00,17.45,17.47,17.4,17.47,786675
2016-06-23 09:30:00,17.62,17.69,17.54,17.67,883425
2016-06-24 09:30:00,17.05,17.39,17.0,17.36,1520220
2016-06-27 09:30:00,17.7,17.88,17.7,17.83,2435010
2016-06-28 09:30:00,17.95,17.98,17.83,17.92,1276470
2016-06-29 09:30:00,18.16,18.31,18.16,18.25,1088505
2016-06-30 09:30:00,18.27,18.27,18.05,18.07,1240815
2016-07-01 09:30:00,18.13,18.21,18.09,18.19,870135
2016-07-05 09:30:00,18.17,18.32,18.17,18.32,949050
2016-07-06 09:30:00,18.33,18.44,18.33,18.39,837780
2016-07-07 09:30:00,18.45,18.51,18.37,18.4,485895
2016-07-08 09:30:00,18.52,18.52,18.42,18.45,1144425
2016-07-11 09:30:00,18.75,18.78,18.61,18.62,946530
2016-07-12 09:30:00,18.55,18.59,18.34,18.34,1036200
2016-07-13 09:30:00,18.48,18.48,18.3,18.31,763380
2016-07-14 09:30:00,18.48,18.53,18.44,18.47,570720
2016-07-15 09:30:00,18.62,18.63,18.47,18.49,1667175
2016-07-18 09:30:00,18.33,18.38,18.28,18.29,826335
2016-07-19 09:30:00,18.01,18.07,17.79,18.04,2778000
2016-07-20 09:30:00,18.24,18.36,18.21,18.33,846795
2016-07-21 09:30:00,18.23,18.26,18.15,18.16,915120
2016-07-22 09:30:00,18.17,18.17,18.06,18.11,689460
2016-07-25 09:30:00,18.22,18.56,18.12,18.54,1990170
2016-07-26 09:30:00,18.6,18.98,18.6,18.89,2778435
2016-07-27 09:30:00,18.8,18.89,18.73,18.81,927585
2016-07-28 09:30:00,18.57,19.52,18.33,18.76,7654455
2016-07-29 09:30:00,19.24,19.35,19.16,19.19,815265
2016-08-01 09:30:00,19.38,19.42,19.33,19.35,930855
2016-08-02 09:30:00,19.13,19.24,19.09,19.21,1089780
2016-08-03 09:30:00,19.17,19.18,19.06,19.15,1120455
2016-08-04 09:30:00,19.15,19.25,19.13,19.22,701280
2016-08-05 09:30:00,19.27,19.39,19.23,19.33,1212975
2016-08-08 09:30:00,19.38,19.38,19.23,19.25,625050
2016-08-09 09:30:00,19.23,19.23,19.1,19.17,432000
2016-08-10 09:30:00,19.15,19.21,19.11,19.11,368790
2016-08-11 09:30:00,19.26,19.44,19.19,19.29,1114305
2016-08-12 09:30:00,19.11,19.17,19.08,19.14,992190
2016-08-15 09:30:00,19.11,19.13,19.06,19.09,507690
2016-08-16 09:30:00,19.06,19.09,19.0,19.05,466245
2016-08-17 09:30:00,19.06,19.07,18.95,19.0,783630
2016-08-18 09:30:00,19.08,19.08,18.97,18.97,502170
2016-08-19 09:30:00,19.03,19.15,19.01,19.11,1308570
2016-08-22 09:30:00,19.07,19.18,19.07,19.18,646050
2016-08-23 09:30:00,19.15,19.19,19.1,19.12,415995
2016-08-24 09:30:00,18.97,19.11,18.97,19.03,429960
2016-08-25 09:30:00,18.91,18.98,18.91,18.96,342360
2016-08-26 09:30:00,18.9,18.93,18.74,18.74,1158330
2016-08-29 09:30:00,18.53,18.71,18.53,18.69,833790
2016-08-30 09:30:00,18.69,18.7,18.53,18.57,576825
2016-08-31 09:30:00,18.54,18.57,18.52,18.53,699705
2016-09-01 09:30:00,18.71,18.86,18.67,18.86,779670
2016-09-02 09:30:00,18.82,18.87,18.79,18.84,711480
2016-09-06 09:30:00,18.84,18.86,18.76,18.84,880830
2016-09-07 09:30:00,18.89,18.89,18.74,18.74,713760
