open_date,open,high,low,close,volume_base
2020-04-03 09:30:00,40.36,40.59,38.56,39.61,1927679
2020-04-06 09:30:00,43.36,44.14,43.02,43.82,967806
2020-04-07 09:30:00,41.65,43.35,40.71,42.64,992231
2020-04-08 09:30:00,38.94,40.5,38.84,39.93,2843011
2020-04-09 09:30:00,40.67,42.22,40.59,41.67,1968025
2020-04-13 09:30:00,44.83,44.9,43.82,44.0,868794
2020-04-14 09:30:00,42.35,42.56,41.65,42.51,1196117
2020-04-15 09:30:00,40.77,41.37,40.18,41.02,870814
2020-04-16 09:30:00,40.66,42.81,40.6,41.78,806416
2020-04-17 09:30:00,43.36,44.59,42.99,44.42,1292086
2020-04-20 09:30:00,41.51,43.26,41.42,42.6,564445
2020-04-21 09:30:00,41.05,43.03,41.05,42.69,652361
2020-04-22 09:30:00,43.64,45.71,43.36,44.22,1388119
2020-04-23 09:30:00,43.76,44.23,43.51,43.96,651285
2020-04-24 09:30:00,44.3,44.74,43.6,43.7,594553
2020-04-27 09:30:00,44.35,44.83,44.07,44.54,543500
2020-04-28 09:30:00,45.18,47.0,45.18,45.75,801129
2020-04-29 09:30:00,46.84,47.72,46.25,47.4,511248
2020-04-30 09:30:00,47.02,47.6,46.59,47.07,344125
2020-05-01 09:30:00,46.36,46.61,44.57,44.65,428176
2020-05-04 09:30:00,45.06,45.65,43.83,44.43,378378
2020-05-05 09:30:00,45.69,46.72,45.59,46.1,363868
2020-05-06 09:30:00,44.84,45.2,44.41,44.87,187795
2020-05-07 09:30:00,45.22,48.19,45.19,47.65,812392
2020-05-08 09:30:00,48.08,49.67,48.07,49.67,340769
2020-05-11 09:30:00,47.97,48.19,47.75,47.85,454315
2020-05-12 09:30:00,48.15,48.24,47.51,47.54,239853
2020-05-13 09:30:00,45.35,46.24,45.2,46.18,391626
2020-05-14 09:30:00,43.83,44.25,43.82,43.82,386766
2020-05-15 09:30:00,43.57,44.88,43.54,44.28,301553
2020-05-18 09:30:00,46.24,47.2,46.24,46.72,460021
2020-05-19 09:30:00,47.65,47.98,47.1,47.36,148804
2020-05-20 09:30:00,48.48,50.46,48.48,49.67,666345
2020-05-21 09:30:00,48.52,49.53,48.41,49.46,362353
2020-05-22 09:30:00,48.58,48.82,48.07,48.46,358808
2020-05-26 09:30:00,49.11,50.0,49.08,49.22,591539
2020-05-27 09:30:00,47.77,47.96,47.02,47.49,789350
2020-05-28 09:30:00,49.02,49.03,47.97,48.32,465721
2020-05-29 09:30:00,46.77,47.42,46.53,46.58,567358
2020-06-01 09:30:00,48.57,48.97,48.26,48.9,229652
2020-06-02 09:30:00,50.15,50.7,49.92,50.7,142431
2020-06-03 09:30:00,50.83,50.93,50.52,50.66,223326
2020-06-04 09:30:00,51.21,52.47,51.21,52.06,444441
