open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.46,37.07,36.35,37.07,69423
2016-01-05 09:30:00,35.37,35.4,34.76,34.76,48658
2016-01-06 09:30:00,34.38,34.81,33.66,33.85,195637
2016-01-07 09:30:00,34.48,34.91,33.72,34.79,77685
2016-01-08 09:30:00,35.07,35.1,34.31,34.41,85418
2016-01-11 09:30:00,33.1,33.35,31.32,31.58,121709
2016-01-12 09:30:00,32.88,33.58,32.53,33.41,55688
2016-01-13 09:30:00,33.0,33.2,32.85,32.94,28242
2016-01-14 09:30:00,30.43,30.85,29.8,29.8,83452
2016-01-15 09:30:00,30.47,30.95,30.08,30.34,56086
2016-01-19 09:30:00,31.47,32.12,31.14,31.72,42030
2016-01-20 09:30:00,29.89,30.07,28.94,28.94,54767
2016-01-21 09:30:00,30.05,30.45,29.88,30.0,52020
2016-01-22 09:30:00,31.42,31.9,31.15,31.89,29055
2016-01-25 09:30:00,31.63,32.38,31.42,31.45,78108
2016-01-26 09:30:00,30.65,31.01,29.78,29.99,27351
2016-01-27 09:30:00,30.09,30.19,29.5,29.5,42785
2016-01-28 09:30:00,28.38,28.52,27.98,28.43,34507
2016-01-29 09:30:00,28.95,29.78,28.84,29.61,46607
2016-02-01 09:30:00,29.39,29.8,29.28,29.67,29138
2016-02-02 09:30:00,30.37,30.86,30.21,30.5,46251
2016-02-03 09:30:00,30.73,30.81,30.0,30.11,49681
2016-02-04 09:30:00,29.58,29.66,28.82,28.98,33259
2016-02-05 09:30:00,30.06,30.41,28.84,28.93,69441
2016-02-08 09:30:00,25.34,25.35,24.42,24.75,83651
2016-02-09 09:30:00,23.25,24.35,22.03,23.6,248849
2016-02-10 09:30:00,26.85,26.85,22.12,25.15,844537
2016-02-11 09:30:00,22.66,23.75,22.44,23.58,125468
2016-02-12 09:30:00,24.35,24.55,23.42,23.42,55307
2016-02-16 09:30:00,24.13,24.55,23.9,24.13,68845
2016-02-17 09:30:00,25.72,26.35,25.65,26.35,56265
2016-02-18 09:30:00,27.28,27.65,27.23,27.45,83832
2016-02-19 09:30:00,27.24,27.87,26.97,27.5,85702
2016-02-22 09:30:00,27.66,28.27,27.66,28.25,71021
2016-02-23 09:30:00,28.65,29.04,28.4,28.8,26497
2016-02-24 09:30:00,28.57,29.12,28.1,28.53,63662
