open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,49.63,49.81,49.39,49.56,207362
2016-01-05 09:30:00,49.72,49.72,48.79,48.9,272845
2016-01-06 09:30:00,49.35,49.66,49.29,49.54,141862
2016-01-07 09:30:00,49.03,49.49,48.96,49.37,219308
2016-01-08 09:30:00,49.38,49.46,49.09,49.35,275338
2016-01-11 09:30:00,49.02,49.25,48.93,49.13,292927
2016-01-12 09:30:00,49.31,49.35,48.38,48.45,287942
2016-01-13 09:30:00,49.46,49.69,49.39,49.58,502735
2016-01-14 09:30:00,49.29,49.94,49.09,49.92,310685
2016-01-15 09:30:00,49.17,49.96,49.17,49.61,545620
2016-01-19 09:30:00,49.5,50.12,49.31,49.93,206603
2016-01-20 09:30:00,49.49,49.78,49.09,49.15,498342
2016-01-21 09:30:00,48.41,48.51,47.7,47.84,204663
2016-01-22 09:30:00,48.81,48.88,48.44,48.55,388193
2016-01-25 09:30:00,49.25,49.25,48.74,48.83,219802
2016-01-26 09:30:00,48.94,49.59,48.91,49.46,1024986
2016-01-27 09:30:00,49.09,49.37,48.94,49.31,266442
2016-01-28 09:30:00,49.52,49.93,49.16,49.89,147964
2016-01-29 09:30:00,50.84,51.13,50.78,50.82,226715
2016-02-01 09:30:00,51.56,51.89,51.28,51.75,278359
2016-02-02 09:30:00,51.72,52.26,51.71,52.08,455599
2016-02-03 09:30:00,53.44,53.76,53.3,53.45,442082
2016-02-04 09:30:00,53.78,53.93,53.38,53.63,311653
2016-02-05 09:30:00,52.45,52.5,51.76,52.3,273069
2016-02-08 09:30:00,52.81,53.63,52.42,52.79,392142
2016-02-09 09:30:00,52.65,53.16,52.4,52.77,385953
2016-02-10 09:30:00,52.4,52.69,51.98,52.04,227461
2016-02-11 09:30:00,52.58,53.04,52.21,52.21,264854
2016-02-12 09:30:00,51.89,52.08,51.37,51.98,308882
2016-02-16 09:30:00,52.4,52.4,51.87,52.17,309308
2016-02-17 09:30:00,52.64,53.08,52.01,52.29,200791
2016-02-18 09:30:00,52.21,52.55,51.6,52.35,250368
2016-02-19 09:30:00,52.66,52.71,51.94,52.38,388592
2016-02-22 09:30:00,52.59,52.63,52.24,52.55,312059
2016-02-23 09:30:00,52.87,53.09,52.77,52.96,259576
2016-02-24 09:30:00,53.4,54.03,53.4,53.68,373273
2016-02-25 09:30:00,54.14,54.46,53.8,54.43,117463
2016-02-26 09:30:00,54.53,54.83,54.21,54.21,160778
2016-02-29 09:30:00,52.91,53.4,52.9,53.28,160561
2016-03-01 09:30:00,53.62,53.75,53.44,53.63,157873
2016-03-02 09:30:00,52.6,52.91,51.38,51.92,407994
2016-03-03 09:30:00,52.91,52.95,52.4,52.4,144427
2016-03-04 09:30:00,52.67,52.89,52.32,52.47,149085
2016-03-07 09:30:00,52.94,53.19,52.78,53.1,248570
2016-03-08 09:30:00,52.94,53.25,52.93,53.22,175638
2016-03-09 09:30:00,53.46,53.94,53.46,53.81,305033
2016-03-10 09:30:00,53.8,54.07,53.8,53.97,74576
2016-03-11 09:30:00,54.0,54.12,53.75,53.79,102340
2016-03-14 09:30:00,53.57,53.91,53.53,53.72,129036
2016-03-15 09:30:00,53.87,54.15,53.73,54.09,159917
2016-03-16 09:30:00,53.74,53.99,53.25,53.38,150565
2016-03-17 09:30:00,54.55,54.59,54.14,54.55,226004
2016-03-18 09:30:00,55.58,55.59,54.88,55.42,1798875
2016-03-21 09:30:00,55.28,55.35,54.43,54.86,99392
2016-03-22 09:30:00,54.91,55.22,54.76,55.22,146650
2016-03-23 09:30:00,54.84,54.99,54.72,54.9,70725
2016-03-24 09:30:00,55.13,55.51,55.05,55.34,159216
2016-03-28 09:30:00,55.41,55.69,55.26,55.26,77474
2016-03-29 09:30:00,55.04,55.53,55.04,55.34,144998
2016-03-30 09:30:00,56.12,56.18,55.63,55.89,103578
2016-03-31 09:30:00,56.23,56.34,55.99,56.12,93471
2016-04-01 09:30:00,56.13,56.86,56.09,56.54,229686
2016-04-04 09:30:00,56.77,56.81,56.33,56.51,180175
2016-04-05 09:30:00,56.19,56.33,55.23,55.37,385106
2016-04-06 09:30:00,54.93,55.04,54.69,54.93,340550
2016-04-07 09:30:00,55.28,55.85,55.19,55.73,98091
2016-04-08 09:30:00,55.88,56.04,55.64,55.93,152304
2016-04-11 09:30:00,56.19,56.4,55.9,55.91,252745
2016-04-12 09:30:00,55.59,55.89,55.44,55.85,201077
2016-04-13 09:30:00,56.14,56.15,55.6,55.73,107711
2016-04-14 09:30:00,55.58,55.82,55.48,55.62,158023
2016-04-15 09:30:00,55.84,56.1,55.62,55.96,352042
2016-04-18 09:30:00,56.11,56.17,55.65,55.72,132244
2016-04-19 09:30:00,56.4,56.62,56.18,56.27,101302
2016-04-20 09:30:00,56.4,56.52,56.18,56.2,92154
2016-04-21 09:30:00,55.06,55.06,54.28,54.58,231274
2016-04-22 09:30:00,53.65,54.18,53.65,53.89,167757
2016-04-25 09:30:00,53.76,53.9,53.56,53.66,123411
2016-04-26 09:30:00,54.18,54.36,53.96,54.32,116945
2016-04-27 09:30:00,54.09,54.58,54.09,54.37,94815
2016-04-28 09:30:00,54.18,54.94,54.01,54.6,150944
2016-04-29 09:30:00,54.32,54.65,53.89,54.62,141066
2016-05-02 09:30:00,55.44,55.44,54.98,55.07,126603
2016-05-03 09:30:00,55.41,55.71,55.23,55.46,148131
2016-05-04 09:30:00,55.55,56.38,55.51,55.95,244095
2016-05-05 09:30:00,55.98,56.4,55.94,56.03,210102
2016-05-06 09:30:00,55.96,56.29,55.45,55.98,417522
2016-05-09 09:30:00,55.97,56.25,55.77,56.13,130196
2016-05-10 09:30:00,56.31,56.45,55.94,55.95,257533
2016-05-11 09:30:00,56.0,56.22,55.83,55.85,134072
2016-05-12 09:30:00,56.0,56.33,55.76,56.21,167792
2016-05-13 09:30:00,56.1,56.16,55.61,56.04,180521
2016-05-16 09:30:00,55.94,55.94,55.54,55.72,176666
2016-05-17 09:30:00,55.77,55.9,55.46,55.58,118161
2016-05-18 09:30:00,54.28,54.32,53.86,54.24,193441
2016-05-19 09:30:00,53.66,54.11,53.36,53.82,124362
2016-05-20 09:30:00,54.66,54.82,54.17,54.48,355181
2016-05-23 09:30:00,54.47,55.2,54.47,55.12,348238
2016-05-24 09:30:00,54.73,55.28,54.48,55.23,310828
2016-05-25 09:30:00,55.13,55.35,54.95,55.09,147655
2016-05-26 09:30:00,55.14,55.58,55.13,55.43,91578
2016-05-27 09:30:00,56.22,56.35,56.06,56.22,203402
2016-05-31 09:30:00,56.32,56.58,56.08,56.54,182476
2016-06-01 09:30:00,56.78,57.08,56.55,56.99,158240
2016-06-02 09:30:00,56.86,57.06,56.82,56.86,104485
2016-06-03 09:30:00,57.77,58.28,57.72,58.24,274854
2016-06-06 09:30:00,58.21,58.36,57.87,58.25,144518
2016-06-07 09:30:00,58.1,58.48,57.78,58.43,513795
2016-06-08 09:30:00,58.2,58.43,58.19,58.38,95963
2016-06-09 09:30:00,58.63,59.12,58.63,58.87,109421
2016-06-10 09:30:00,59.53,59.86,59.28,59.57,163994
2016-06-13 09:30:00,59.65,60.02,59.21,59.39,206345
2016-06-14 09:30:00,59.34,59.45,59.0,59.21,99222
2016-06-15 09:30:00,59.62,59.64,59.28,59.32,164904
2016-06-16 09:30:00,59.03,59.53,59.03,59.17,142668
2016-06-17 09:30:00,59.64,59.64,59.42,59.6,743447
2016-06-20 09:30:00,59.63,59.63,59.24,59.26,241572
2016-06-21 09:30:00,59.22,59.28,58.62,58.96,250304
2016-06-22 09:30:00,59.42,59.44,58.9,59.03,116728
2016-06-23 09:30:00,58.92,58.95,58.66,58.7,178422
2016-06-24 09:30:00,58.12,59.22,57.98,59.21,258222
2016-06-27 09:30:00,59.04,59.45,58.82,59.08,517725
