open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,30.42,30.6,30.25,30.52,137305
2016-01-05 09:30:00,30.41,30.76,30.4,30.48,201757
2016-01-06 09:30:00,30.01,30.09,29.49,29.65,213827
2016-01-07 09:30:00,28.68,28.92,28.62,28.76,219228
2016-01-08 09:30:00,28.37,28.54,28.28,28.53,287665
2016-01-11 09:30:00,28.01,28.7,27.41,27.42,192160
2016-01-12 09:30:00,27.91,27.91,27.6,27.75,99053
2016-01-13 09:30:00,27.91,28.1,27.53,27.73,310633
2016-01-14 09:30:00,26.92,27.25,26.17,26.24,186789
2016-01-15 09:30:00,26.21,26.55,26.14,26.33,333668
2016-01-19 09:30:00,26.87,26.98,26.28,26.4,169688
2016-01-20 09:30:00,25.39,25.44,25.04,25.16,233300
2016-01-21 09:30:00,25.41,25.65,25.26,25.56,177788
2016-01-22 09:30:00,26.23,26.58,26.06,26.58,197122
2016-01-25 09:30:00,26.3,26.39,26.17,26.3,237406
2016-01-26 09:30:00,25.95,26.25,25.92,26.0,105402
2016-01-27 09:30:00,26.22,26.47,26.1,26.46,74593
2016-01-28 09:30:00,26.42,26.87,26.27,26.31,150880
2016-01-29 09:30:00,26.35,26.36,26.03,26.23,253133
2016-02-01 09:30:00,26.28,26.34,25.89,25.98,157703
2016-02-02 09:30:00,23.82,24.9,22.98,24.75,654704
2016-02-03 09:30:00,24.48,24.67,24.38,24.51,334161
2016-02-04 09:30:00,24.66,25.01,24.45,25.0,233765
2016-02-05 09:30:00,25.24,25.5,25.17,25.45,152152
2016-02-08 09:30:00,25.02,25.12,24.73,24.93,241721
2016-02-09 09:30:00,24.27,24.74,24.27,24.57,237474
2016-02-10 09:30:00,25.26,25.6,24.62,25.5,201495
2016-02-11 09:30:00,24.15,24.3,23.94,24.17,239133
2016-02-12 09:30:00,24.42,24.49,24.08,24.14,209276
2016-02-16 09:30:00,25.08,25.11,24.69,24.79,326690
2016-02-17 09:30:00,25.74,26.1,25.74,25.95,329225
2016-02-18 09:30:00,26.15,26.17,25.98,26.01,96458
2016-02-19 09:30:00,25.58,25.72,25.36,25.49,186902
2016-02-22 09:30:00,26.21,26.21,25.85,25.87,156771
2016-02-23 09:30:00,25.9,26.01,25.71,25.88,97656
2016-02-24 09:30:00,25.37,26.05,24.81,24.93,217336
2016-02-25 09:30:00,25.84,26.05,25.77,25.88,111017
2016-02-26 09:30:00,26.17,26.56,26.06,26.34,149092
2016-02-29 09:30:00,26.67,26.74,26.37,26.58,141940
2016-03-01 09:30:00,26.53,26.7,26.5,26.63,109028
2016-03-02 09:30:00,27.47,27.67,27.26,27.46,137250
2016-03-03 09:30:00,27.41,27.49,27.01,27.11,197318
2016-03-04 09:30:00,27.54,27.61,27.27,27.33,163700
2016-03-07 09:30:00,27.33,27.41,27.16,27.22,207055
2016-03-08 09:30:00,27.22,27.58,26.99,27.0,148175
2016-03-09 09:30:00,27.05,27.19,26.71,26.8,98007
2016-03-10 09:30:00,27.3,27.32,27.0,27.26,88451
2016-03-11 09:30:00,27.63,27.63,27.26,27.61,172488
2016-03-14 09:30:00,28.09,28.15,27.76,27.98,107270
2016-03-15 09:30:00,27.57,27.69,27.35,27.37,59223
2016-03-16 09:30:00,27.54,27.84,27.5,27.68,77275
2016-03-17 09:30:00,27.98,28.1,27.77,27.92,73166
2016-03-18 09:30:00,28.66,29.23,28.64,29.16,394096
2016-03-21 09:30:00,28.97,29.18,28.86,28.9,103726
2016-03-22 09:30:00,28.43,28.69,28.34,28.45,199414
2016-03-23 09:30:00,28.21,28.49,28.21,28.43,68411
2016-03-24 09:30:00,27.54,27.54,27.0,27.07,142817
2016-03-28 09:30:00,27.38,27.51,27.23,27.33,67589
2016-03-29 09:30:00,27.31,27.5,27.0,27.3,96994
2016-03-30 09:30:00,28.04,28.15,27.84,28.0,96083
