open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,24.67,24.67,24.36,24.49,238329
2016-01-05 09:30:00,24.4,24.69,24.34,24.5,443847
2016-01-06 09:30:00,24.37,24.5,24.35,24.49,321518
2016-01-07 09:30:00,24.04,24.3,23.93,24.28,591129
2016-01-08 09:30:00,24.05,24.12,23.96,24.02,187282
2016-01-11 09:30:00,23.79,24.01,23.76,23.87,378977
2016-01-12 09:30:00,24.27,24.28,24.12,24.15,172964
2016-01-13 09:30:00,24.25,24.28,24.06,24.09,149524
2016-01-14 09:30:00,23.72,23.79,23.66,23.68,202770
2016-01-15 09:30:00,23.15,23.42,23.15,23.4,694212
2016-01-19 09:30:00,23.19,23.5,23.14,23.43,694097
2016-01-20 09:30:00,23.14,23.43,23.1,23.32,507642
2016-01-21 09:30:00,23.38,23.49,23.13,23.16,242400
2016-01-22 09:30:00,23.5,23.52,23.34,23.49,393546
2016-01-25 09:30:00,23.55,23.56,23.38,23.41,187022
2016-01-26 09:30:00,23.26,23.32,23.17,23.29,366292
2016-01-27 09:30:00,24.08,24.13,23.65,23.71,734373
2016-01-28 09:30:00,24.05,24.09,23.73,23.74,274816
2016-01-29 09:30:00,24.3,24.49,24.2,24.46,451058
2016-02-01 09:30:00,24.22,24.45,24.22,24.33,889292
2016-02-02 09:30:00,24.62,24.67,24.41,24.6,658546
2016-02-03 09:30:00,24.76,24.78,24.51,24.52,239188
2016-02-04 09:30:00,24.56,24.75,24.52,24.67,341524
2016-02-05 09:30:00,24.77,24.93,24.72,24.75,343690
2016-02-08 09:30:00,24.56,24.75,24.53,24.61,404904
2016-02-09 09:30:00,24.61,25.3,24.61,25.22,916908
2016-02-10 09:30:00,25.11,25.44,25.05,25.29,724088
2016-02-11 09:30:00,24.58,24.8,24.44,24.63,668902
2016-02-12 09:30:00,24.74,25.17,24.7,25.11,1451939
2016-02-16 09:30:00,25.6,25.62,25.27,25.35,416780
2016-02-17 09:30:00,25.86,26.04,25.71,25.89,639159
2016-02-18 09:30:00,25.91,25.96,25.8,25.89,379118
2016-02-19 09:30:00,25.67,25.9,25.66,25.86,512669
2016-02-22 09:30:00,25.88,26.09,25.88,25.95,165625
2016-02-23 09:30:00,25.89,25.96,25.83,25.86,350534
2016-02-24 09:30:00,25.63,25.77,25.58,25.59,246370
2016-02-25 09:30:00,25.85,25.89,25.77,25.84,223257
2016-02-26 09:30:00,26.12,26.14,26.03,26.05,149268
2016-02-29 09:30:00,25.89,25.96,25.77,25.86,210044
2016-03-01 09:30:00,25.99,26.04,25.9,26.0,333009
2016-03-02 09:30:00,26.3,26.48,26.21,26.47,432814
2016-03-03 09:30:00,26.7,26.81,26.65,26.76,760214
2016-03-04 09:30:00,27.03,27.1,26.84,26.85,307435
2016-03-07 09:30:00,26.74,26.78,26.68,26.75,299929
2016-03-08 09:30:00,26.84,26.84,26.75,26.77,440164
2016-03-09 09:30:00,26.83,26.92,26.74,26.89,133493
2016-03-10 09:30:00,26.79,26.89,26.78,26.86,169693
2016-03-11 09:30:00,26.77,26.79,26.53,26.62,354336
2016-03-14 09:30:00,26.83,26.83,26.71,26.73,209918
2016-03-15 09:30:00,26.55,26.78,26.52,26.78,260141
2016-03-16 09:30:00,26.87,27.19,26.76,27.16,373391
2016-03-17 09:30:00,27.54,27.6,27.43,27.43,407809
2016-03-18 09:30:00,27.94,27.95,27.79,27.92,1314880
2016-03-21 09:30:00,27.88,28.04,27.85,28.01,218024
2016-03-22 09:30:00,28.16,28.24,28.11,28.23,295717
2016-03-23 09:30:00,28.28,28.38,28.22,28.25,173964
2016-03-24 09:30:00,28.26,28.34,28.22,28.25,247923
2016-03-28 09:30:00,28.12,28.33,28.09,28.29,240554
2016-03-29 09:30:00,28.32,28.42,28.29,28.36,206503
2016-03-30 09:30:00,28.42,28.5,28.32,28.34,192049
2016-03-31 09:30:00,28.37,28.37,28.22,28.25,107600
2016-04-01 09:30:00,28.38,28.47,28.25,28.46,263069
2016-04-04 09:30:00,28.67,28.72,28.5,28.6,212491
2016-04-05 09:30:00,28.34,28.42,28.04,28.32,632509
2016-04-06 09:30:00,28.01,28.06,27.99,28.04,306865
2016-04-07 09:30:00,28.0,28.01,27.89,28.0,123654
2016-04-08 09:30:00,27.9,27.98,27.9,27.96,176147
2016-04-11 09:30:00,27.88,28.02,27.88,27.91,141120
2016-04-12 09:30:00,27.78,27.81,27.7,27.78,120722
2016-04-13 09:30:00,28.16,28.25,27.91,27.94,525417
2016-04-14 09:30:00,27.58,27.59,27.17,27.28,1054214
2016-04-15 09:30:00,27.09,27.1,26.86,27.01,522662
2016-04-18 09:30:00,26.99,27.11,26.91,27.09,238270
2016-04-19 09:30:00,27.31,27.37,27.2,27.25,275107
2016-04-20 09:30:00,27.29,27.37,27.1,27.11,135343
2016-04-21 09:30:00,26.92,27.0,26.6,26.67,516041
2016-04-22 09:30:00,26.45,26.67,26.45,26.66,177299
2016-04-25 09:30:00,26.52,26.57,26.44,26.5,80012
2016-04-26 09:30:00,26.6,26.6,26.4,26.56,312892
2016-04-27 09:30:00,26.51,26.56,26.43,26.45,98968
2016-04-28 09:30:00,26.3,26.4,26.19,26.36,201557
2016-04-29 09:30:00,26.19,26.32,26.07,26.17,97803
2016-05-02 09:30:00,26.37,26.73,26.37,26.71,355075
2016-05-03 09:30:00,26.49,26.64,26.4,26.64,176562
2016-05-04 09:30:00,26.67,26.75,26.44,26.56,333514
2016-05-05 09:30:00,26.63,26.82,26.56,26.74,192026
2016-05-06 09:30:00,26.46,26.56,26.34,26.35,365350
2016-05-09 09:30:00,26.61,26.7,26.49,26.7,257784
2016-05-10 09:30:00,26.9,27.09,26.8,27.04,213471
2016-05-11 09:30:00,27.09,27.17,27.06,27.13,155375
2016-05-12 09:30:00,26.82,26.99,26.82,26.94,93539
2016-05-13 09:30:00,27.01,27.08,26.9,26.91,303007
2016-05-16 09:30:00,26.84,26.9,26.74,26.78,304733
2016-05-17 09:30:00,26.69,26.81,26.63,26.78,863591
2016-05-18 09:30:00,26.23,26.41,25.85,25.9,1552680
2016-05-19 09:30:00,26.06,26.08,25.91,25.91,351107
2016-05-20 09:30:00,26.45,26.64,26.39,26.63,556308
2016-05-23 09:30:00,26.62,26.72,26.56,26.62,155914
2016-05-24 09:30:00,26.83,27.32,26.73,27.15,671393
2016-05-25 09:30:00,27.09,27.14,27.01,27.03,174405
2016-05-26 09:30:00,26.81,26.94,26.81,26.9,206073
2016-05-27 09:30:00,26.88,26.92,26.85,26.87,153401
2016-05-31 09:30:00,26.94,27.01,26.87,26.96,196928
2016-06-01 09:30:00,26.85,26.89,26.8,26.84,168311
2016-06-02 09:30:00,26.53,26.86,26.45,26.8,447628
2016-06-03 09:30:00,26.52,26.61,26.35,26.48,484298
2016-06-06 09:30:00,26.56,26.7,26.56,26.65,136044
2016-06-07 09:30:00,26.56,26.63,26.48,26.52,207311
2016-06-08 09:30:00,26.23,26.43,26.19,26.38,192273
2016-06-09 09:30:00,26.44,26.53,26.37,26.51,144487
2016-06-10 09:30:00,26.39,26.47,26.34,26.37,255323
2016-06-13 09:30:00,26.41,26.54,26.4,26.41,497740
2016-06-14 09:30:00,26.11,26.17,26.01,26.09,296263
2016-06-15 09:30:00,25.89,26.0,25.8,25.81,404245
2016-06-16 09:30:00,25.52,25.57,25.36,25.51,201435
2016-06-17 09:30:00,25.71,25.81,25.67,25.73,776734
2016-06-20 09:30:00,25.91,26.08,25.87,25.93,295225
2016-06-21 09:30:00,25.85,25.88,25.73,25.84,137322
2016-06-22 09:30:00,25.83,26.01,25.83,26.0,137629
2016-06-23 09:30:00,26.12,26.17,26.03,26.1,153583
2016-06-24 09:30:00,25.42,25.7,25.28,25.67,481046
2016-06-27 09:30:00,25.33,25.46,25.31,25.37,380662
2016-06-28 09:30:00,25.46,25.6,25.32,25.59,399639
2016-06-29 09:30:00,26.03,26.14,25.99,26.09,319586
2016-06-30 09:30:00,26.41,26.58,26.35,26.58,285280
2016-07-01 09:30:00,27.06,27.07,26.99,27.07,197234
2016-07-05 09:30:00,26.65,26.82,26.57,26.75,209136
2016-07-06 09:30:00,26.56,26.71,26.56,26.63,175890
2016-07-07 09:30:00,26.76,26.86,26.73,26.86,160092
2016-07-08 09:30:00,27.03,27.03,26.75,26.77,273995
2016-07-11 09:30:00,27.26,27.37,27.11,27.13,224589
2016-07-12 09:30:00,27.14,27.27,27.07,27.08,168469
2016-07-13 09:30:00,26.9,27.12,26.88,26.91,252973
2016-07-14 09:30:00,27.19,27.37,26.94,27.01,506650
2016-07-15 09:30:00,27.12,27.12,26.79,26.8,357249
2016-07-18 09:30:00,26.59,26.74,26.59,26.7,242479
2016-07-19 09:30:00,26.47,26.54,26.4,26.48,83015
2016-07-20 09:30:00,26.58,26.62,26.52,26.58,85984
2016-07-21 09:30:00,26.4,26.56,26.34,26.44,180834
2016-07-22 09:30:00,26.46,26.57,26.45,26.56,88183
2016-07-25 09:30:00,26.73,26.74,26.65,26.66,112797
2016-07-26 09:30:00,26.62,26.72,26.53,26.61,180803
2016-07-27 09:30:00,26.35,26.44,26.32,26.4,154664
2016-07-28 09:30:00,26.33,26.39,26.3,26.39,96344
2016-07-29 09:30:00,26.35,26.46,26.26,26.29,264860
2016-08-01 09:30:00,26.27,26.35,26.26,26.35,194897
2016-08-02 09:30:00,26.23,26.35,26.14,26.33,158164
2016-08-03 09:30:00,26.39,26.4,26.31,26.36,121408
2016-08-04 09:30:00,26.71,27.04,26.64,27.03,586010
2016-08-05 09:30:00,27.28,27.38,27.2,27.31,247778
2016-08-08 09:30:00,27.58,27.66,27.5,27.53,233119
2016-08-09 09:30:00,27.52,27.63,27.38,27.63,407736
2016-08-10 09:30:00,27.44,27.62,27.44,27.59,235711
2016-08-11 09:30:00,27.44,27.59,27.43,27.47,135599
2016-08-12 09:30:00,27.53,27.6,27.48,27.52,133055
2016-08-15 09:30:00,27.45,27.53,27.45,27.46,124418
2016-08-16 09:30:00,27.37,27.44,27.28,27.33,165193
2016-08-17 09:30:00,26.72,27.07,26.67,26.8,528593
2016-08-18 09:30:00,26.75,26.87,26.69,26.8,187832
2016-08-19 09:30:00,26.75,26.77,26.59,26.62,300925
2016-08-22 09:30:00,26.5,26.58,26.27,26.45,297846
2016-08-23 09:30:00,26.39,26.43,26.28,26.41,245898
2016-08-24 09:30:00,26.06,26.17,25.97,26.08,162646
2016-08-25 09:30:00,26.02,26.1,25.91,26.09,157741
2016-08-26 09:30:00,26.18,26.25,26.1,26.21,104755
2016-08-29 09:30:00,26.09,26.27,26.09,26.23,102783
2016-08-30 09:30:00,26.33,26.38,26.27,26.27,94315
2016-08-31 09:30:00,26.36,26.49,26.33,26.48,127626
2016-09-01 09:30:00,26.33,26.44,26.19,26.27,197244
2016-09-02 09:30:00,26.36,26.46,26.3,26.38,105128
2016-09-06 09:30:00,26.31,26.31,26.04,26.04,237368
2016-09-07 09:30:00,26.15,26.17,26.0,26.06,342134
2016-09-08 09:30:00,26.02,26.08,25.93,25.97,183329
2016-09-09 09:30:00,25.64,25.64,25.45,25.52,420109
2016-09-12 09:30:00,25.09,25.36,25.07,25.29,572840
2016-09-13 09:30:00,25.19,25.29,25.04,25.25,368207
2016-09-14 09:30:00,25.13,25.17,24.97,25.05,424540
2016-09-15 09:30:00,24.81,25.04,24.68,25.0,578542
2016-09-16 09:30:00,25.1,25.21,24.99,25.2,1082218
2016-09-19 09:30:00,25.17,25.25,25.1,25.22,179949
2016-09-20 09:30:00,25.3,25.34,25.18,25.22,162458
2016-09-21 09:30:00,25.14,25.2,25.13,25.13,158621
2016-09-22 09:30:00,25.26,25.34,25.24,25.25,258290
2016-09-23 09:30:00,25.14,25.25,25.13,25.2,273684
2016-09-26 09:30:00,25.05,25.15,25.03,25.1,197413
2016-09-27 09:30:00,25.24,25.26,25.16,25.17,163531
2016-09-28 09:30:00,25.43,25.47,25.35,25.38,133053
2016-09-29 09:30:00,25.44,25.45,25.34,25.44,199576
2016-09-30 09:30:00,25.38,25.49,25.31,25.31,184727
2016-10-03 09:30:00,25.34,25.39,25.26,25.27,166945
2016-10-04 09:30:00,25.18,25.18,24.98,25.02,303782
2016-10-05 09:30:00,25.08,25.31,25.08,25.3,358803
2016-10-06 09:30:00,25.26,25.26,24.93,24.93,256381
2016-10-07 09:30:00,25.08,25.39,25.06,25.38,468052
2016-10-10 09:30:00,25.55,25.56,25.44,25.45,126648
2016-10-11 09:30:00,25.31,25.44,25.27,25.44,139772
2016-10-12 09:30:00,25.15,25.3,25.13,25.29,116606
2016-10-13 09:30:00,26.04,26.35,26.01,26.24,990317
2016-10-14 09:30:00,26.61,26.61,26.42,26.57,279461
2016-10-17 09:30:00,26.44,26.47,26.36,26.44,133994
2016-10-18 09:30:00,26.46,26.48,26.16,26.19,276824
2016-10-19 09:30:00,25.95,26.0,25.91,25.95,212636
2016-10-20 09:30:00,25.98,26.07,25.85,26.06,303449
2016-10-21 09:30:00,25.66,25.72,25.62,25.72,582533
2016-10-24 09:30:00,25.9,25.98,25.86,25.88,170545
2016-10-25 09:30:00,25.8,25.83,25.68,25.76,270576
2016-10-26 09:30:00,25.72,25.83,25.67,25.8,63333
2016-10-27 09:30:00,25.89,25.94,25.77,25.79,99167
2016-10-28 09:30:00,25.61,25.72,25.57,25.68,157636
2016-10-31 09:30:00,25.51,25.53,25.39,25.44,147439
2016-11-01 09:30:00,25.64,25.64,25.39,25.48,186683
2016-11-02 09:30:00,25.22,25.26,25.17,25.26,95357
2016-11-03 09:30:00,25.25,25.44,25.2,25.39,364042
2016-11-04 09:30:00,25.34,25.34,25.13,25.15,166268
2016-11-07 09:30:00,25.43,25.46,25.23,25.28,218729
2016-11-08 09:30:00,25.42,25.47,25.31,25.43,117440
2016-11-09 09:30:00,25.78,25.89,25.55,25.77,507682
2016-11-10 09:30:00,26.03,26.15,25.99,26.04,375713
2016-11-11 09:30:00,26.6,26.76,26.55,26.74,147820
2016-11-14 09:30:00,26.89,27.07,26.89,27.01,177126
2016-11-15 09:30:00,26.97,27.07,26.92,27.05,180801
