open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,15.62,15.67,15.47,15.52,480888
2016-01-05 09:30:00,15.31,15.56,15.31,15.46,738699
2016-01-06 09:30:00,15.17,15.44,15.13,15.44,528399
2016-01-07 09:30:00,14.47,14.77,14.47,14.73,515395
2016-01-08 09:30:00,14.77,14.9,14.4,14.54,944707
2016-01-11 09:30:00,14.29,14.36,14.16,14.2,700814
2016-01-12 09:30:00,14.54,14.68,14.51,14.55,383542
2016-01-13 09:30:00,14.83,15.21,14.77,15.05,1992545
2016-01-14 09:30:00,14.51,14.63,14.04,14.04,602669
2016-01-15 09:30:00,13.91,14.01,13.8,13.89,662739
2016-01-19 09:30:00,14.37,14.45,14.16,14.29,442154
2016-01-20 09:30:00,13.75,13.76,13.34,13.44,527238
2016-01-21 09:30:00,13.87,14.05,13.8,13.96,821301
2016-01-22 09:30:00,14.48,15.05,14.48,15.05,1040375
2016-01-25 09:30:00,14.73,14.94,14.28,14.51,683011
2016-01-26 09:30:00,14.24,14.4,13.87,13.93,931174
2016-01-27 09:30:00,14.54,14.61,14.4,14.48,319384
2016-01-28 09:30:00,14.72,14.96,14.65,14.67,1747165
2016-01-29 09:30:00,14.69,14.96,14.41,14.53,1350183
2016-02-01 09:30:00,14.75,14.89,14.71,14.87,286211
2016-02-02 09:30:00,14.53,14.62,14.41,14.5,585851
2016-02-03 09:30:00,14.61,14.61,14.47,14.56,579729
2016-02-04 09:30:00,14.57,14.85,14.57,14.83,785796
2016-02-05 09:30:00,14.72,14.81,14.59,14.75,221917
2016-02-08 09:30:00,14.23,14.41,14.15,14.28,996639
2016-02-09 09:30:00,13.84,14.24,13.8,14.24,472569
2016-02-10 09:30:00,14.43,14.51,14.14,14.23,480035
2016-02-11 09:30:00,14.29,14.35,14.08,14.12,554899
2016-02-12 09:30:00,13.84,14.07,13.84,13.94,487542
2016-02-16 09:30:00,14.46,14.53,14.28,14.28,370342
2016-02-17 09:30:00,14.97,15.05,14.8,14.81,396080
2016-02-18 09:30:00,14.82,14.89,14.58,14.68,360261
2016-02-19 09:30:00,14.67,14.88,14.52,14.73,391859
2016-02-22 09:30:00,14.9,15.09,14.89,15.0,375076
2016-02-23 09:30:00,15.27,15.29,15.1,15.17,420601
2016-02-24 09:30:00,15.08,15.2,14.94,15.19,630358
2016-02-25 09:30:00,15.24,15.36,15.17,15.29,280138
2016-02-26 09:30:00,15.53,15.62,15.41,15.41,334057
