open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,46.38,46.54,45.96,46.29,120650
2016-01-05 09:30:00,46.86,46.87,46.36,46.59,44458
2016-01-06 09:30:00,45.88,46.11,45.71,46.09,44906
2016-01-07 09:30:00,44.7,45.28,44.45,44.97,59116
2016-01-08 09:30:00,45.11,45.6,44.83,44.83,135857
2016-01-11 09:30:00,43.79,44.34,43.7,44.33,117168
2016-01-12 09:30:00,45.05,45.53,44.94,45.0,57681
2016-01-13 09:30:00,44.97,44.97,44.4,44.46,83954
2016-01-14 09:30:00,43.36,43.48,42.58,42.59,52709
2016-01-15 09:30:00,42.25,43.44,42.19,43.29,119004
2016-01-19 09:30:00,44.22,44.31,43.64,43.76,78645
2016-01-20 09:30:00,42.35,42.37,41.58,41.59,72230
2016-01-21 09:30:00,42.56,42.59,41.76,41.79,121887
2016-01-22 09:30:00,42.69,43.26,42.3,43.19,185084
2016-01-25 09:30:00,39.92,40.25,37.95,39.12,818800
2016-01-26 09:30:00,37.3,39.08,37.03,37.63,398564
2016-01-27 09:30:00,37.0,37.35,36.85,37.02,334688
2016-01-28 09:30:00,37.69,37.8,37.31,37.64,77655
2016-01-29 09:30:00,36.66,36.9,36.12,36.82,154539
2016-02-01 09:30:00,37.49,37.55,36.69,36.87,102361
2016-02-02 09:30:00,37.61,37.63,37.16,37.26,60642
2016-02-03 09:30:00,37.74,38.06,37.51,37.8,76235
2016-02-04 09:30:00,36.87,37.01,36.6,37.01,119591
2016-02-05 09:30:00,37.73,38.11,37.4,37.99,63791
2016-02-08 09:30:00,37.4,37.44,36.61,36.72,41373
2016-02-09 09:30:00,36.73,37.1,36.36,36.91,97407
2016-02-10 09:30:00,37.02,37.02,36.17,36.57,209076
2016-02-11 09:30:00,35.87,36.21,35.47,35.92,115240
2016-02-12 09:30:00,35.05,35.14,34.68,34.76,93768
2016-02-16 09:30:00,35.26,35.73,35.15,35.18,243937
2016-02-17 09:30:00,35.77,36.29,35.77,35.89,76063
2016-02-18 09:30:00,36.08,36.21,35.54,35.98,71015
2016-02-19 09:30:00,35.18,35.18,33.15,33.28,439641
2016-02-22 09:30:00,34.34,34.43,33.95,33.95,205639
2016-02-23 09:30:00,34.05,34.11,33.75,33.88,125318
2016-02-24 09:30:00,33.94,34.08,33.78,33.81,158664
2016-02-25 09:30:00,35.39,35.75,35.24,35.44,156798
2016-02-26 09:30:00,35.82,35.99,35.68,35.8,114019
2016-02-29 09:30:00,36.21,36.27,35.76,35.98,107878
2016-03-01 09:30:00,36.66,36.86,36.45,36.73,73369
