open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,53.67,53.75,53.4,53.46,451618
2016-01-05 09:30:00,53.77,54.22,53.67,54.1,355557
2016-01-06 09:30:00,53.78,54.15,53.78,53.95,492423
2016-01-07 09:30:00,53.6,54.43,53.57,54.41,577954
2016-01-08 09:30:00,54.09,54.17,53.78,53.9,954246
2016-01-11 09:30:00,54.04,54.67,54.01,54.61,587505
2016-01-12 09:30:00,55.39,55.55,54.84,55.01,653969
2016-01-13 09:30:00,55.02,55.13,54.87,55.04,508318
2016-01-14 09:30:00,54.63,55.04,54.46,54.56,889671
2016-01-15 09:30:00,53.22,53.65,53.1,53.33,1660359
2016-01-19 09:30:00,53.42,54.28,53.42,53.85,656430
2016-01-20 09:30:00,53.66,53.7,53.21,53.22,476543
2016-01-21 09:30:00,52.79,53.27,52.34,52.46,601314
2016-01-22 09:30:00,53.61,53.61,53.02,53.27,532257
2016-01-25 09:30:00,53.8,53.86,53.53,53.72,329817
2016-01-26 09:30:00,53.62,54.31,53.62,54.22,286935
2016-01-27 09:30:00,54.17,54.58,54.04,54.53,412092
2016-01-28 09:30:00,54.92,54.92,54.14,54.8,312651
2016-01-29 09:30:00,54.93,55.14,54.85,55.05,672250
2016-02-01 09:30:00,55.47,55.81,55.37,55.62,559253
2016-02-02 09:30:00,54.7,55.14,54.62,54.81,397983
2016-02-03 09:30:00,55.52,55.79,55.51,55.59,618509
2016-02-04 09:30:00,54.19,55.84,54.19,55.44,763769
2016-02-05 09:30:00,55.07,55.26,54.03,54.13,441396
2016-02-08 09:30:00,55.18,55.59,54.96,54.97,708202
2016-02-09 09:30:00,55.18,55.61,54.97,55.0,557768
2016-02-10 09:30:00,55.73,55.86,55.51,55.59,410640
2016-02-11 09:30:00,54.48,54.8,54.29,54.63,552937
2016-02-12 09:30:00,55.02,55.25,54.54,55.25,483307
2016-02-16 09:30:00,55.32,55.49,54.75,55.34,603393
2016-02-17 09:30:00,55.66,56.11,55.47,55.87,693779
2016-02-18 09:30:00,56.32,56.73,56.31,56.47,676569
2016-02-19 09:30:00,56.6,56.83,56.1,56.37,773514
2016-02-22 09:30:00,57.07,57.23,56.87,57.16,495195
2016-02-23 09:30:00,57.15,57.34,56.86,57.08,509707
2016-02-24 09:30:00,56.76,56.8,56.24,56.39,537544
2016-02-25 09:30:00,56.64,56.68,56.47,56.64,282875
2016-02-26 09:30:00,57.19,57.39,57.09,57.33,322600
2016-02-29 09:30:00,56.24,56.36,55.92,56.21,469766
2016-03-01 09:30:00,56.61,56.69,56.33,56.59,391626
2016-03-02 09:30:00,56.42,56.69,56.11,56.65,427574
2016-03-03 09:30:00,56.64,56.86,56.43,56.68,379259
2016-03-04 09:30:00,57.65,58.07,57.63,58.07,446345
2016-03-07 09:30:00,58.1,58.21,57.65,57.75,703510
2016-03-08 09:30:00,58.21,58.25,57.94,58.23,441339
2016-03-09 09:30:00,58.63,58.83,58.5,58.78,558505
2016-03-10 09:30:00,59.32,59.53,59.17,59.51,830869
2016-03-11 09:30:00,59.94,60.04,59.51,59.64,577197
2016-03-14 09:30:00,59.69,60.02,59.47,59.56,593002
2016-03-15 09:30:00,59.27,59.46,59.2,59.3,539853
2016-03-16 09:30:00,59.58,59.62,59.11,59.24,237697
2016-03-17 09:30:00,60.13,60.53,60.13,60.53,642679
2016-03-18 09:30:00,61.26,61.33,60.51,60.98,4327602
2016-03-21 09:30:00,60.61,60.67,60.42,60.6,404789
2016-03-22 09:30:00,60.79,61.01,60.23,60.42,758409
2016-03-23 09:30:00,60.42,60.59,60.13,60.58,262113
2016-03-24 09:30:00,60.6,60.9,60.39,60.7,328321
2016-03-28 09:30:00,61.12,61.33,60.93,60.94,270844
2016-03-29 09:30:00,61.22,61.25,60.85,61.07,501121
2016-03-30 09:30:00,61.85,62.16,61.76,61.94,643894
2016-03-31 09:30:00,61.53,61.69,61.49,61.68,338916
2016-04-01 09:30:00,61.06,61.32,60.92,61.25,355685
2016-04-04 09:30:00,62.43,62.75,62.43,62.51,664087
2016-04-05 09:30:00,62.45,62.66,62.38,62.45,409742
2016-04-06 09:30:00,62.66,62.89,62.58,62.66,302259
2016-04-07 09:30:00,63.08,63.17,62.73,63.01,571361
2016-04-08 09:30:00,62.96,63.03,62.8,63.03,351184
2016-04-11 09:30:00,63.25,63.58,63.01,63.05,758408
2016-04-12 09:30:00,62.75,63.16,62.71,62.96,517964
2016-04-13 09:30:00,63.63,63.7,63.14,63.23,525832
2016-04-14 09:30:00,62.7,63.27,62.68,63.17,573052
2016-04-15 09:30:00,62.37,62.48,61.94,62.4,1024791
2016-04-18 09:30:00,62.35,62.85,62.31,62.75,264771
2016-04-19 09:30:00,61.2,62.06,60.63,61.78,1759399
2016-04-20 09:30:00,61.76,61.97,61.3,61.3,548009
2016-04-21 09:30:00,61.09,61.28,59.9,60.08,1163647
2016-04-22 09:30:00,60.33,60.48,60.03,60.16,431169
2016-04-25 09:30:00,60.32,60.58,60.08,60.23,449973
2016-04-26 09:30:00,61.09,61.2,60.71,61.17,283288
2016-04-27 09:30:00,60.81,61.35,60.76,61.2,442029
2016-04-28 09:30:00,60.33,61.17,60.27,61.09,413134
2016-04-29 09:30:00,60.84,61.56,60.83,61.33,621529
2016-05-02 09:30:00,61.28,61.75,61.28,61.42,190391
2016-05-03 09:30:00,61.5,61.7,61.27,61.48,266175
2016-05-04 09:30:00,61.23,61.34,60.89,61.17,335064
2016-05-05 09:30:00,61.98,62.33,61.93,62.15,919937
2016-05-06 09:30:00,61.97,62.45,61.95,62.29,454735
2016-05-09 09:30:00,62.67,62.86,62.49,62.85,505119
2016-05-10 09:30:00,62.8,63.31,62.7,63.31,314097
2016-05-11 09:30:00,63.63,63.94,63.51,63.64,365083
2016-05-12 09:30:00,63.62,63.9,63.46,63.79,232611
2016-05-13 09:30:00,63.53,63.94,63.35,63.74,336686
2016-05-16 09:30:00,62.98,63.2,62.64,63.2,268379
2016-05-17 09:30:00,63.19,63.38,62.41,62.45,386449
2016-05-18 09:30:00,62.33,62.38,61.68,61.85,281444
2016-05-19 09:30:00,61.51,61.57,60.78,60.8,514434
2016-05-20 09:30:00,61.62,61.63,61.24,61.3,1074840
2016-05-23 09:30:00,61.25,61.35,61.05,61.08,245997
2016-05-24 09:30:00,61.65,62.06,61.57,61.87,256927
2016-05-25 09:30:00,61.7,61.95,61.61,61.88,297370
2016-05-26 09:30:00,61.86,61.91,61.68,61.86,350632
2016-05-27 09:30:00,61.91,61.98,61.76,61.88,136926
2016-05-31 09:30:00,62.03,62.2,61.58,61.58,200840
2016-06-01 09:30:00,61.5,62.01,61.46,61.88,496811
2016-06-02 09:30:00,61.91,62.06,61.78,61.86,130116
2016-06-03 09:30:00,62.18,62.71,62.15,62.58,708060
2016-06-06 09:30:00,63.21,63.46,63.08,63.44,286828
2016-06-07 09:30:00,62.74,63.02,62.6,62.97,721553
2016-06-08 09:30:00,62.63,63.03,62.58,62.95,257811
