open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,43.86,43.99,43.46,43.67,95849
2016-01-05 09:30:00,43.63,43.64,43.03,43.05,58296
2016-01-06 09:30:00,43.6,43.73,43.49,43.64,50604
2016-01-07 09:30:00,43.57,43.88,43.45,43.88,30252
2016-01-08 09:30:00,44.0,44.35,43.97,44.3,38522
2016-01-11 09:30:00,43.78,44.17,43.78,44.11,82926
2016-01-12 09:30:00,43.04,44.03,42.94,42.95,213392
2016-01-13 09:30:00,43.52,43.86,43.44,43.73,88086
2016-01-14 09:30:00,43.54,44.29,43.46,44.28,76618
2016-01-15 09:30:00,44.2,44.21,43.66,43.85,117057
2016-01-19 09:30:00,44.04,44.43,43.61,44.18,60694
2016-01-20 09:30:00,44.18,44.32,43.84,43.84,37166
2016-01-21 09:30:00,43.58,43.77,42.91,42.95,46205
2016-01-22 09:30:00,43.28,43.39,42.96,43.01,171230
2016-01-25 09:30:00,43.74,43.86,43.5,43.71,82778
2016-01-26 09:30:00,42.64,44.14,42.64,44.07,85040
2016-01-27 09:30:00,43.65,43.89,43.48,43.84,52811
2016-01-28 09:30:00,44.38,44.38,43.26,44.06,56692
2016-01-29 09:30:00,44.83,45.26,44.8,45.14,58285
2016-02-01 09:30:00,45.62,45.89,45.51,45.57,92192
2016-02-02 09:30:00,46.12,46.22,45.91,46.22,57691
2016-02-03 09:30:00,47.3,48.03,47.3,47.94,157769
2016-02-04 09:30:00,47.96,48.09,47.56,47.81,171729
2016-02-05 09:30:00,47.21,47.25,46.7,47.04,81487
2016-02-08 09:30:00,47.5,48.01,47.15,47.15,136987
2016-02-09 09:30:00,47.12,47.52,46.77,47.06,114839
2016-02-10 09:30:00,47.07,47.25,46.66,46.68,52388
2016-02-11 09:30:00,47.13,47.51,46.88,46.91,47439
2016-02-12 09:30:00,46.44,46.73,46.15,46.64,56262
2016-02-16 09:30:00,46.38,46.39,45.91,46.15,62167
2016-02-17 09:30:00,46.26,46.26,45.6,45.91,90866
2016-02-18 09:30:00,46.1,46.38,45.84,46.33,56179
2016-02-19 09:30:00,46.51,46.7,45.88,46.44,142716
2016-02-22 09:30:00,47.6,47.68,47.05,47.68,80002
2016-02-23 09:30:00,47.63,47.97,47.19,47.71,50705
2016-02-24 09:30:00,48.14,48.58,47.89,48.32,81261
2016-02-25 09:30:00,48.59,48.83,48.29,48.81,56636
2016-02-26 09:30:00,48.7,48.75,48.39,48.41,79644
2016-02-29 09:30:00,47.11,47.37,46.76,47.28,83504
2016-03-01 09:30:00,47.66,47.82,47.45,47.72,72960
2016-03-02 09:30:00,46.64,46.77,45.69,46.04,120239
2016-03-03 09:30:00,47.24,47.24,46.69,46.69,79397
2016-03-04 09:30:00,46.88,46.94,46.69,46.85,46868
2016-03-07 09:30:00,47.44,47.74,47.36,47.68,80788
2016-03-08 09:30:00,47.77,47.88,47.49,47.83,38434
2016-03-09 09:30:00,48.17,48.63,48.07,48.52,83265
2016-03-10 09:30:00,48.72,48.88,48.36,48.73,71903
2016-03-11 09:30:00,49.32,49.53,49.08,49.15,88158
2016-03-14 09:30:00,48.9,49.38,48.52,49.29,103991
2016-03-15 09:30:00,49.12,49.45,49.12,49.36,46525
2016-03-16 09:30:00,49.27,49.35,48.85,49.02,31327
2016-03-17 09:30:00,49.96,50.01,49.76,50.01,68070
2016-03-18 09:30:00,50.64,50.64,50.03,50.35,231700
2016-03-21 09:30:00,49.89,50.03,49.41,49.65,34647
2016-03-22 09:30:00,50.25,50.26,49.91,50.26,79525
2016-03-23 09:30:00,49.96,50.02,49.75,49.95,42232
2016-03-24 09:30:00,50.3,50.64,50.08,50.44,35276
2016-03-28 09:30:00,50.66,51.02,50.62,50.69,21166
2016-03-29 09:30:00,50.69,50.99,50.57,50.85,61248
2016-03-30 09:30:00,51.35,51.43,51.04,51.22,34091
2016-03-31 09:30:00,51.43,51.65,51.3,51.52,41318
2016-04-01 09:30:00,51.66,51.99,51.59,51.66,57272
2016-04-04 09:30:00,52.06,52.21,51.81,51.87,48761
2016-04-05 09:30:00,51.79,51.97,51.33,51.37,87660
2016-04-06 09:30:00,50.91,51.09,50.73,50.88,41426
2016-04-07 09:30:00,50.95,51.37,50.66,51.22,45564
2016-04-08 09:30:00,51.23,51.47,51.23,51.34,36923
2016-04-11 09:30:00,51.27,51.51,51.24,51.26,39284
2016-04-12 09:30:00,51.14,51.24,50.94,51.21,31857
2016-04-13 09:30:00,51.53,51.53,51.01,51.07,35305
2016-04-14 09:30:00,50.97,51.22,50.92,51.11,32214
2016-04-15 09:30:00,50.82,51.17,50.77,51.17,59388
2016-04-18 09:30:00,51.19,51.2,50.97,50.97,64484
2016-04-19 09:30:00,51.64,51.64,51.33,51.42,32605
2016-04-20 09:30:00,51.58,51.64,51.19,51.19,28275
2016-04-21 09:30:00,50.05,50.24,49.3,49.55,125157
2016-04-22 09:30:00,49.12,49.39,49.12,49.29,46219
2016-04-25 09:30:00,49.12,49.26,48.95,49.04,29020
2016-04-26 09:30:00,49.24,49.54,49.24,49.49,42370
2016-04-27 09:30:00,49.28,49.61,49.27,49.47,37450
2016-04-28 09:30:00,49.25,49.84,49.15,49.59,55974
2016-04-29 09:30:00,49.05,50.01,48.79,49.95,106010
2016-05-02 09:30:00,50.56,50.91,50.32,50.68,79286
2016-05-03 09:30:00,50.65,51.16,50.65,50.89,80837
2016-05-04 09:30:00,50.56,50.89,50.24,50.69,74081
2016-05-05 09:30:00,51.07,51.64,50.96,51.18,50774
2016-05-06 09:30:00,50.82,50.82,50.16,50.65,60006
2016-05-09 09:30:00,50.77,51.07,50.62,50.97,37769
2016-05-10 09:30:00,51.19,51.47,50.79,51.05,46726
2016-05-11 09:30:00,51.2,51.3,50.97,51.08,31563
2016-05-12 09:30:00,51.21,51.65,50.98,51.59,39322
2016-05-13 09:30:00,51.58,51.67,51.14,51.54,29686
2016-05-16 09:30:00,51.57,51.66,51.21,51.65,43484
2016-05-17 09:30:00,51.59,51.69,51.34,51.5,63389
2016-05-18 09:30:00,50.43,50.43,49.82,49.95,168182
2016-05-19 09:30:00,48.97,49.32,48.7,49.12,37043
2016-05-20 09:30:00,49.79,49.79,49.19,49.36,133498
2016-05-23 09:30:00,49.76,49.85,49.5,49.81,32685
2016-05-24 09:30:00,49.6,49.88,49.35,49.84,43532
2016-05-25 09:30:00,49.96,49.96,49.54,49.75,42770
2016-05-26 09:30:00,50.09,50.29,49.83,50.2,43452
2016-05-27 09:30:00,50.73,50.9,50.37,50.71,28907
2016-05-31 09:30:00,50.82,50.82,50.43,50.66,71604
2016-06-01 09:30:00,50.98,51.52,50.76,51.5,72980
2016-06-02 09:30:00,51.52,51.61,51.36,51.48,58954
2016-06-03 09:30:00,52.09,52.53,52.09,52.35,74927
2016-06-06 09:30:00,52.64,52.78,52.35,52.59,56358
2016-06-07 09:30:00,52.29,52.53,52.07,52.4,55895
2016-06-08 09:30:00,52.45,52.61,52.45,52.61,19857
2016-06-09 09:30:00,52.8,53.07,52.8,53.02,29147
2016-06-10 09:30:00,53.45,53.87,53.41,53.49,38438
2016-06-13 09:30:00,53.37,53.52,53.05,53.27,51451
2016-06-14 09:30:00,53.25,53.38,52.94,53.26,34623
2016-06-15 09:30:00,53.79,53.79,53.5,53.66,51049
