open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.2,37.525,36.43,36.58,61232
2016-01-05 09:30:00,37.07,37.115,36.6,37.07,42523
2016-01-06 09:30:00,36.81,37.16,36.67,37.04,26555
2016-01-07 09:30:00,37.02,37.115,36.43,36.71,43440
2016-01-08 09:30:00,36.75,36.98,36.37,36.795,36672
2016-01-11 09:30:00,35.05,35.21,33.9,33.98,13724
2016-01-12 09:30:00,34.6,35.2,34.23,35.04,22051
2016-01-13 09:30:00,34.61,35.105,34.41,34.69,28330
2016-01-14 09:30:00,33.68,34.18,33.53,33.79,36102
2016-01-15 09:30:00,33.36,33.91,33.32,33.615,103791
2016-01-19 09:30:00,34.19,35.18,33.75,34.17,15855
2016-01-20 09:30:00,33.55,33.85,33.3,33.45,12868
2016-01-21 09:30:00,34.5,34.58,33.46,33.69,33732
2016-01-22 09:30:00,33.96,34.36,33.345,34.35,31850
2016-01-25 09:30:00,33.01,33.33,32.9,32.99,73329
2016-01-26 09:30:00,33.43,33.81,33.13,33.15,44738
2016-01-27 09:30:00,32.78,33.0,32.68,32.8,25526
2016-01-28 09:30:00,33.34,33.34,32.27,32.27,15012
2016-01-29 09:30:00,32.13,32.94,32.035,32.69,11646
2016-02-01 09:30:00,32.98,33.24,32.86,33.14,9130
2016-02-02 09:30:00,32.87,32.88,32.37,32.8,60352
2016-02-03 09:30:00,33.13,33.49,32.18,32.66,64391
2016-02-04 09:30:00,31.06,31.46,30.92,31.25,16359
2016-02-05 09:30:00,30.92,30.92,30.29,30.41,17580
2016-02-08 09:30:00,27.6,27.6,26.42,26.53,84000
2016-02-09 09:30:00,25.87,26.69,25.08,26.145,68852
2016-02-10 09:30:00,26.21,26.43,25.62,26.11,41588
2016-02-11 09:30:00,25.35,25.6,25.0,25.0,34112
2016-02-12 09:30:00,25.06,25.06,24.085,24.3,26280
2016-02-16 09:30:00,25.11,25.5192,24.46,24.8,38915
2016-02-17 09:30:00,26.5,27.62,26.5,27.55,60887
2016-02-18 09:30:00,27.53,28.295,26.83,27.05,28530
2016-02-19 09:30:00,26.9,27.475,26.51,26.81,35545
2016-02-22 09:30:00,27.12,27.685,26.75,27.56,56313
2016-02-23 09:30:00,27.65,28.25,27.59,28.13,31359
2016-02-24 09:30:00,28.05,28.47,27.76,28.05,44565
2016-02-25 09:30:00,27.49,29.35,27.425,28.755,134076
2016-02-26 09:30:00,32.77,33.0,31.0,31.8,419696
