open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,71.17,71.54,70.4,71.38,24940
2016-01-05 09:30:00,71.21,71.58,70.9,71.09,13334
2016-01-06 09:30:00,70.36,70.74,69.82,70.71,6990
2016-01-07 09:30:00,69.24,70.13,68.55,69.88,9637
2016-01-08 09:30:00,69.56,69.69,69.16,69.36,27756
2016-01-11 09:30:00,68.17,68.44,67.59,68.25,22540
2016-01-12 09:30:00,68.32,69.26,68.13,68.13,7943
2016-01-13 09:30:00,69.4,69.4,68.51,69.1,12575
2016-01-14 09:30:00,67.6,67.6,66.64,66.85,13072
2016-01-15 09:30:00,66.03,66.67,64.87,66.12,76059
2016-01-19 09:30:00,67.46,67.68,66.54,66.88,14098
2016-01-20 09:30:00,66.46,66.64,65.99,65.99,14961
2016-01-21 09:30:00,66.9,67.25,65.78,66.37,19322
2016-01-22 09:30:00,67.39,67.53,66.72,67.53,24946
2016-01-25 09:30:00,68.49,70.63,67.58,70.34,97027
2016-01-26 09:30:00,70.11,70.53,67.98,69.98,27804
2016-01-27 09:30:00,68.95,69.65,68.19,69.48,82671
2016-01-28 09:30:00,69.86,70.07,68.97,69.69,46473
2016-01-29 09:30:00,71.8,72.38,71.8,72.29,86221
2016-02-01 09:30:00,75.24,75.5,74.46,74.52,88688
2016-02-02 09:30:00,73.61,73.69,72.57,73.17,64782
2016-02-03 09:30:00,72.83,73.71,71.68,71.98,28726
2016-02-04 09:30:00,71.29,71.6,70.47,71.46,18401
2016-02-05 09:30:00,71.2,72.23,70.78,70.78,26984
2016-02-08 09:30:00,68.27,68.93,67.19,68.17,40614
2016-02-09 09:30:00,68.38,69.53,67.7,69.29,26224
2016-02-10 09:30:00,69.52,70.58,69.52,69.73,19886
2016-02-11 09:30:00,68.36,69.1,68.36,69.0,10110
2016-02-12 09:30:00,70.25,70.25,69.26,69.26,24020
2016-02-16 09:30:00,70.76,71.44,69.77,70.55,19937
2016-02-17 09:30:00,71.67,72.04,71.23,71.62,61140
2016-02-18 09:30:00,72.79,74.22,72.1,73.11,82045
2016-02-19 09:30:00,71.75,72.1,71.56,71.92,128906
2016-02-22 09:30:00,73.05,74.01,72.63,72.74,80690
2016-02-23 09:30:00,72.44,72.58,72.04,72.52,29592
2016-02-24 09:30:00,71.96,72.3,71.56,71.8,26801
2016-02-25 09:30:00,72.04,72.32,71.41,71.83,30813
2016-02-26 09:30:00,72.84,73.23,72.49,72.61,50044
2016-02-29 09:30:00,73.5,73.54,72.2,72.97,17747
2016-03-01 09:30:00,72.45,72.81,72.34,72.36,20646
2016-03-02 09:30:00,72.83,73.26,72.3,72.3,12751
2016-03-03 09:30:00,72.37,73.0,72.07,72.07,21960
2016-03-04 09:30:00,72.96,73.11,72.4,72.66,10391
2016-03-07 09:30:00,72.46,72.86,72.12,72.6,18345
2016-03-08 09:30:00,72.98,73.91,72.8,73.09,14143
2016-03-09 09:30:00,72.93,73.41,72.28,73.32,35675
2016-03-10 09:30:00,74.3,74.9,73.91,74.38,24635
2016-03-11 09:30:00,73.35,73.44,72.71,73.19,38140
2016-03-14 09:30:00,74.05,74.75,73.71,73.86,19225
2016-03-15 09:30:00,73.53,73.91,73.53,73.65,8289
2016-03-16 09:30:00,74.03,74.03,73.31,73.67,16162
2016-03-17 09:30:00,74.43,74.62,74.11,74.11,7178
2016-03-18 09:30:00,75.76,75.93,75.36,75.85,235623
2016-03-21 09:30:00,76.97,77.7,76.17,76.17,22496
2016-03-22 09:30:00,76.38,77.17,75.49,76.15,15816
2016-03-23 09:30:00,76.38,77.06,76.21,77.0,15083
2016-03-24 09:30:00,76.52,76.94,76.39,76.71,21604
2016-03-28 09:30:00,77.01,77.34,76.96,76.97,12295
2016-03-29 09:30:00,77.43,78.6,77.43,78.47,31286
2016-03-30 09:30:00,79.28,79.64,78.4,78.54,51550
2016-03-31 09:30:00,78.47,78.86,78.36,78.63,18088
2016-04-01 09:30:00,78.47,79.04,78.16,79.04,15772
2016-04-04 09:30:00,79.8,79.8,79.06,79.49,30314
2016-04-05 09:30:00,78.22,78.47,77.86,78.35,22916
2016-04-06 09:30:00,77.81,78.57,77.59,78.37,22837
2016-04-07 09:30:00,79.61,79.63,78.64,79.63,13699
2016-04-08 09:30:00,79.62,80.09,79.22,79.98,7281
2016-04-11 09:30:00,80.67,80.86,80.56,80.82,11209
2016-04-12 09:30:00,80.07,80.17,79.78,79.98,8494
2016-04-13 09:30:00,80.47,80.63,80.34,80.44,11889
2016-04-14 09:30:00,81.51,81.53,81.0,81.0,11048
2016-04-15 09:30:00,81.17,81.44,81.05,81.26,20397
2016-04-18 09:30:00,81.33,81.36,80.17,81.22,9446
2016-04-19 09:30:00,82.6,82.62,81.96,82.47,14935
2016-04-20 09:30:00,81.87,82.12,81.19,81.97,4607
2016-04-21 09:30:00,83.65,85.01,81.16,81.76,70193
2016-04-22 09:30:00,80.96,81.21,80.32,80.48,31174
2016-04-25 09:30:00,80.01,80.17,79.73,80.14,7517
2016-04-26 09:30:00,80.38,81.28,80.01,80.48,39110
2016-04-27 09:30:00,79.89,80.5,79.89,80.32,14604
2016-04-28 09:30:00,80.52,80.52,79.49,80.13,9620
2016-04-29 09:30:00,79.93,80.49,79.01,79.26,19754
2016-05-02 09:30:00,78.53,79.31,78.01,79.01,17083
2016-05-03 09:30:00,79.12,79.72,78.8,78.97,9330
2016-05-04 09:30:00,78.36,78.83,78.01,78.55,14888
2016-05-05 09:30:00,79.08,79.26,78.39,78.45,26773
2016-05-06 09:30:00,78.26,78.58,77.46,77.78,47329
2016-05-09 09:30:00,79.66,80.43,79.6,80.4,11768
2016-05-10 09:30:00,81.53,82.0,80.57,81.14,23131
2016-05-11 09:30:00,81.65,82.52,80.43,81.27,44059
2016-05-12 09:30:00,81.22,82.14,80.92,81.19,7872
2016-05-13 09:30:00,81.42,82.32,81.0,81.48,9475
2016-05-16 09:30:00,81.54,81.82,81.17,81.17,15166
2016-05-17 09:30:00,80.98,81.85,80.15,80.4,30742
2016-05-18 09:30:00,78.63,79.96,77.46,78.31,18662
2016-05-19 09:30:00,79.11,80.06,79.05,79.26,23706
2016-05-20 09:30:00,79.24,79.91,78.94,79.49,23728
2016-05-23 09:30:00,79.89,80.2,79.03,79.87,9414
2016-05-24 09:30:00,80.1,80.84,79.8,80.22,8986
2016-05-25 09:30:00,81.54,81.73,80.74,81.67,13550
2016-05-26 09:30:00,82.06,82.96,80.86,82.43,16274
2016-05-27 09:30:00,82.44,82.95,82.39,82.87,13344
2016-05-31 09:30:00,83.21,83.24,82.53,82.99,16906
2016-06-01 09:30:00,82.23,82.59,82.09,82.46,4996
2016-06-02 09:30:00,82.47,83.31,82.47,83.08,9544
2016-06-03 09:30:00,83.9,83.9,83.3,83.56,25526
2016-06-06 09:30:00,83.33,83.33,81.64,82.48,40737
2016-06-07 09:30:00,82.24,82.6,81.67,82.0,9711
2016-06-08 09:30:00,82.58,82.72,81.89,82.45,9090
2016-06-09 09:30:00,82.7,83.07,82.6,82.81,20584
2016-06-10 09:30:00,82.1,82.37,81.84,82.01,10662
2016-06-13 09:30:00,81.11,81.15,80.52,81.09,23641
2016-06-14 09:30:00,80.13,80.46,79.92,80.29,13468
2016-06-15 09:30:00,80.88,81.37,80.48,81.3,15938
2016-06-16 09:30:00,80.76,80.99,80.47,80.5,8034
2016-06-17 09:30:00,81.31,81.31,80.62,81.15,291181
2016-06-20 09:30:00,81.49,82.44,80.75,82.33,14575
2016-06-21 09:30:00,81.78,81.78,81.16,81.43,7988
2016-06-22 09:30:00,81.62,82.18,80.8,81.37,12423
2016-06-23 09:30:00,81.85,82.29,81.11,81.62,12312
2016-06-24 09:30:00,79.38,80.93,79.15,80.76,31002
2016-06-27 09:30:00,79.79,80.05,79.01,79.57,33074
2016-06-28 09:30:00,80.38,81.89,80.06,80.76,23824
2016-06-29 09:30:00,81.9,82.1,81.85,81.89,12011
2016-06-30 09:30:00,82.41,82.96,78.48,82.43,20742
2016-07-01 09:30:00,84.54,85.63,84.53,85.46,17588
2016-07-05 09:30:00,85.77,87.47,85.01,85.02,12100
2016-07-06 09:30:00,85.34,85.66,85.07,85.66,9181
2016-07-07 09:30:00,85.99,86.69,85.99,86.69,21514
2016-07-08 09:30:00,86.5,87.08,86.17,86.42,11132
2016-07-11 09:30:00,87.07,87.84,86.82,87.33,33479
2016-07-12 09:30:00,87.49,87.75,87.34,87.46,10028
