open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,56.22,56.69,55.98,56.04,302313
2016-01-05 09:30:00,55.52,56.2,55.48,55.92,265392
2016-01-06 09:30:00,54.77,55.38,54.77,55.17,271163
2016-01-07 09:30:00,53.07,53.39,52.58,52.99,797877
2016-01-08 09:30:00,53.25,53.43,52.83,52.96,502863
2016-01-11 09:30:00,52.51,53.66,52.44,52.83,815708
2016-01-12 09:30:00,52.83,54.07,52.83,53.52,512951
2016-01-13 09:30:00,54.63,54.64,53.61,53.64,744191
2016-01-14 09:30:00,52.56,52.92,51.45,51.84,661219
2016-01-15 09:30:00,53.25,54.4,53.03,53.59,980908
2016-01-19 09:30:00,55.64,55.82,54.76,54.94,555228
2016-01-20 09:30:00,53.23,53.64,52.69,53.03,461435
2016-01-21 09:30:00,53.1,53.25,52.12,52.51,449084
2016-01-22 09:30:00,54.31,54.64,53.72,54.5,519136
2016-01-25 09:30:00,54.74,55.0,54.49,54.67,349377
2016-01-26 09:30:00,53.24,53.54,52.74,52.96,369429
2016-01-27 09:30:00,53.4,53.6,53.1,53.41,311066
2016-01-28 09:30:00,54.85,55.38,54.49,54.53,532969
2016-01-29 09:30:00,54.06,54.69,52.47,53.45,990947
2016-02-01 09:30:00,55.16,55.84,54.06,54.24,596743
2016-02-02 09:30:00,54.4,54.53,53.88,54.34,401183
2016-02-03 09:30:00,55.03,55.34,54.13,54.54,490269
2016-02-04 09:30:00,54.75,55.32,54.41,55.11,509856
2016-02-05 09:30:00,55.1,55.49,54.69,55.37,363047
2016-02-08 09:30:00,54.22,54.22,52.11,52.14,942037
2016-02-09 09:30:00,52.33,52.61,51.95,52.28,493890
2016-02-10 09:30:00,52.71,52.79,51.69,52.37,402397
2016-02-11 09:30:00,51.45,52.35,51.11,52.23,444285
2016-02-12 09:30:00,51.62,51.97,51.51,51.58,488497
2016-02-16 09:30:00,53.61,53.75,52.91,53.09,591441
2016-02-17 09:30:00,55.3,55.9,55.02,55.3,592567
2016-02-18 09:30:00,56.74,57.03,55.89,55.91,576229
2016-02-19 09:30:00,54.93,55.43,54.74,55.15,394440
2016-02-22 09:30:00,56.59,56.65,55.88,56.58,415748
2016-02-23 09:30:00,56.08,56.23,55.55,55.79,440589
2016-02-24 09:30:00,54.08,54.42,54.06,54.22,329032
2016-02-25 09:30:00,55.29,55.34,54.15,54.32,375419
2016-02-26 09:30:00,55.47,55.76,55.37,55.48,228074
2016-02-29 09:30:00,55.37,55.78,55.06,55.64,229129
2016-03-01 09:30:00,55.81,56.15,55.6,56.14,367234
2016-03-02 09:30:00,58.04,58.67,57.9,58.3,449677
2016-03-03 09:30:00,59.25,59.77,58.98,59.71,466019
2016-03-04 09:30:00,60.34,60.41,59.33,59.47,310541
2016-03-07 09:30:00,59.56,60.13,59.34,59.83,373377
2016-03-08 09:30:00,60.69,61.21,60.29,60.3,263948
2016-03-09 09:30:00,59.66,60.01,59.43,60.0,292307
2016-03-10 09:30:00,60.03,60.04,59.17,59.6,254034
2016-03-11 09:30:00,60.17,60.5,59.77,59.8,171771
2016-03-14 09:30:00,59.76,60.24,59.68,59.73,152695
2016-03-15 09:30:00,59.29,59.75,59.22,59.43,146578
2016-03-16 09:30:00,60.43,61.11,60.43,60.97,167561
2016-03-17 09:30:00,61.39,61.39,60.3,60.36,241710
2016-03-18 09:30:00,61.94,62.29,61.54,62.29,962254
2016-03-21 09:30:00,62.25,62.65,62.16,62.53,175170
2016-03-22 09:30:00,62.52,62.77,62.1,62.75,193059
2016-03-23 09:30:00,62.73,62.74,62.14,62.34,167055
2016-03-24 09:30:00,60.67,61.25,60.39,61.25,286585
2016-03-28 09:30:00,61.3,61.43,60.93,61.05,145803
2016-03-29 09:30:00,60.55,60.81,60.17,60.3,177833
2016-03-30 09:30:00,61.52,61.73,61.16,61.56,192582
2016-03-31 09:30:00,60.88,61.11,60.14,60.34,228827
2016-04-01 09:30:00,59.71,59.75,59.22,59.3,260710
2016-04-04 09:30:00,59.77,60.08,59.49,60.03,131716
2016-04-05 09:30:00,59.35,59.77,59.07,59.07,296900
2016-04-06 09:30:00,59.54,59.73,58.86,58.91,301848
2016-04-07 09:30:00,59.24,59.31,58.95,59.17,175994
2016-04-08 09:30:00,59.85,59.95,59.48,59.89,255194
2016-04-11 09:30:00,60.34,60.44,60.07,60.14,160420
2016-04-12 09:30:00,59.09,59.43,58.8,59.02,174018
2016-04-13 09:30:00,60.29,60.33,59.93,59.99,128199
2016-04-14 09:30:00,60.76,60.89,60.45,60.6,157067
2016-04-15 09:30:00,60.45,60.45,60.1,60.19,294036
