open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.2,34.2,33.14,33.85,38774
2016-01-05 09:30:00,33.74,33.93,33.65,33.74,23097
2016-01-06 09:30:00,33.25,33.84,33.25,33.8,60788
2016-01-07 09:30:00,32.56,32.88,32.56,32.72,40020
2016-01-08 09:30:00,31.94,32.18,31.73,31.73,84231
2016-01-11 09:30:00,31.43,31.6,31.39,31.46,44738
2016-01-12 09:30:00,31.26,31.55,31.25,31.455,52926
2016-01-13 09:30:00,31.02,31.76,31.02,31.31,67208
2016-01-14 09:30:00,30.42,30.42,29.96,30.23,119927
2016-01-15 09:30:00,30.4,30.55,30.145,30.34,50138
2016-01-19 09:30:00,30.83,31.06,30.51,30.74,93598
2016-01-20 09:30:00,29.59,29.85,29.52,29.595,66932
2016-01-21 09:30:00,31.26,32.9,29.84,31.6,385085
2016-01-22 09:30:00,31.69,32.035,31.25,31.54,52221
2016-01-25 09:30:00,31.26,31.37,31.08,31.26,34647
2016-01-26 09:30:00,30.03,30.305,29.7,29.8,56779
2016-01-27 09:30:00,30.06,30.18,29.86,29.91,63963
2016-01-28 09:30:00,29.83,30.0,29.39,29.59,55942
2016-01-29 09:30:00,28.98,29.43,28.89,29.43,44415
2016-02-01 09:30:00,30.05,30.29,29.59,30.27,154029
2016-02-02 09:30:00,30.04,30.25,30.03,30.25,90838
2016-02-03 09:30:00,29.54,29.82,29.32,29.36,45515
2016-02-04 09:30:00,29.45,29.81,29.28,29.51,43419
2016-02-05 09:30:00,29.24,29.51,28.5,28.65,183129
2016-02-08 09:30:00,27.5,28.31,27.08,27.15,93550
2016-02-09 09:30:00,27.36,28.38,27.31,28.2,49753
2016-02-10 09:30:00,28.0,29.48,28.0,28.46,31672
2016-02-11 09:30:00,27.49,27.92,27.44,27.87,60956
2016-02-12 09:30:00,28.27,28.44,28.175,28.25,60798
2016-02-16 09:30:00,28.94,29.13,28.91,28.97,60929
2016-02-17 09:30:00,28.8,29.2099,28.71,28.86,43360
2016-02-18 09:30:00,29.81,29.98,29.55,29.64,25733
2016-02-19 09:30:00,29.26,29.38,29.18,29.3,36712
2016-02-22 09:30:00,30.31,30.54,30.31,30.36,45452
2016-02-23 09:30:00,30.51,30.51,30.05,30.18,44474
2016-02-24 09:30:00,29.72,29.78,29.55,29.63,36451
2016-02-25 09:30:00,30.79,31.28,30.54,30.82,87456
2016-02-26 09:30:00,30.89,30.995,30.76,30.82,36447
2016-02-29 09:30:00,31.19,31.355,30.535,31.22,29932
2016-03-01 09:30:00,31.17,31.48,31.0,31.09,24357
2016-03-02 09:30:00,31.87,32.16,31.615,31.98,21759
2016-03-03 09:30:00,32.01,32.19,31.97,32.0,18221
2016-03-04 09:30:00,32.25,32.3,31.89,31.89,26766
2016-03-07 09:30:00,32.02,32.14,30.15,31.74,70549
2016-03-08 09:30:00,31.71,31.79,31.43,31.61,19789
2016-03-09 09:30:00,31.62,31.63,31.07,31.6201,24392
2016-03-10 09:30:00,31.78,31.99,31.57,31.69,47413
2016-03-11 09:30:00,31.42,31.54,31.35,31.38,28711
2016-03-14 09:30:00,31.44,31.67,31.36,31.36,15609
2016-03-15 09:30:00,31.56,31.77,31.49,31.73,40814
2016-03-16 09:30:00,31.53,31.81,31.43,31.7,18692
2016-03-17 09:30:00,31.85,31.9,31.58,31.61,20244
2016-03-18 09:30:00,32.08,32.8,30.76,32.47,335897
2016-03-21 09:30:00,32.63,32.69,32.35,32.435,34988
2016-03-22 09:30:00,32.18,32.545,32.15,32.26,25201
2016-03-23 09:30:00,32.41,32.53,32.0,32.13,28983
2016-03-24 09:30:00,31.37,31.71,31.17,31.66,32250
2016-03-28 09:30:00,32.24,32.69,31.92,31.945,11951
2016-03-29 09:30:00,31.88,32.17,31.87,32.08,25561
2016-03-30 09:30:00,33.1,33.26,32.4,32.96,31658
2016-03-31 09:30:00,32.83,32.99,32.75,32.965,23085
2016-04-01 09:30:00,32.85,32.85,32.58,32.75,44513
2016-04-04 09:30:00,33.0,33.0,32.72,32.935,12779
2016-04-05 09:30:00,32.42,32.51,32.25,32.33,8739
2016-04-06 09:30:00,31.64,32.15,31.61,32.08,27192
2016-04-07 09:30:00,32.45,32.61,32.26,32.26,16797
2016-04-08 09:30:00,32.49,32.715,32.26,32.42,8651
2016-04-11 09:30:00,31.96,32.49,31.96,32.43,66172
2016-04-12 09:30:00,32.36,32.44,32.18,32.223,17145
2016-04-13 09:30:00,32.43,32.78,32.43,32.68,17039
2016-04-14 09:30:00,32.9,32.99,32.71,32.92,21334
2016-04-15 09:30:00,32.7,32.96,32.65,32.83,67969
2016-04-18 09:30:00,33.13,33.27,33.02,33.19,15729
2016-04-19 09:30:00,33.4,33.52,33.24,33.4,25099
2016-04-20 09:30:00,33.76,33.81,33.4,33.53,28815
2016-04-21 09:30:00,36.72,38.5,36.0,36.8,734288
2016-04-22 09:30:00,37.41,37.6556,37.07,37.33,84324
2016-04-25 09:30:00,37.08,37.36,36.4,37.06,54694
2016-04-26 09:30:00,36.79,36.91,36.62,36.91,25864
2016-04-27 09:30:00,36.92,37.28,36.37,36.97,46538
2016-04-28 09:30:00,36.68,36.99,36.55,36.9,29892
2016-04-29 09:30:00,36.56,36.78,36.47,36.54,28911
2016-05-02 09:30:00,36.25,36.67,36.18,36.4,52477
2016-05-03 09:30:00,36.44,36.95,36.3,36.34,50156
