open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,19.59,19.86,19.59,19.73,252407
2016-01-05 09:30:00,19.88,20.14,19.53,19.53,519714
2016-01-06 09:30:00,19.07,19.2,18.72,19.03,351252
2016-01-07 09:30:00,18.68,18.89,18.52,18.86,204231
2016-01-08 09:30:00,18.68,18.72,18.34,18.52,184395
2016-01-11 09:30:00,18.36,18.53,17.97,17.98,254774
2016-01-12 09:30:00,18.37,18.43,18.2,18.28,168895
2016-01-13 09:30:00,18.32,18.32,18.13,18.17,204959
2016-01-14 09:30:00,17.83,17.86,17.54,17.59,210594
2016-01-15 09:30:00,17.16,17.38,17.08,17.34,382588
2016-01-19 09:30:00,17.98,18.04,17.34,17.54,246995
2016-01-20 09:30:00,16.98,17.07,16.75,16.86,312296
2016-01-21 09:30:00,17.33,17.52,17.3,17.44,204707
2016-01-22 09:30:00,17.7,17.89,17.67,17.86,264795
2016-01-25 09:30:00,17.46,17.64,17.31,17.61,287128
2016-01-26 09:30:00,17.5,17.72,17.39,17.39,189137
2016-01-27 09:30:00,17.53,17.73,17.52,17.56,402356
2016-01-28 09:30:00,17.69,17.84,17.63,17.67,264239
2016-01-29 09:30:00,17.72,17.98,17.72,17.89,288290
2016-02-01 09:30:00,18.3,18.42,18.1,18.25,278846
2016-02-02 09:30:00,18.16,18.26,18.08,18.18,222800
2016-02-03 09:30:00,18.15,18.29,17.84,17.98,299498
2016-02-04 09:30:00,18.26,18.72,18.21,18.69,214240
2016-02-05 09:30:00,18.38,18.73,18.38,18.68,220708
2016-02-08 09:30:00,17.94,18.0,17.29,17.64,574425
2016-02-09 09:30:00,17.1,17.43,17.0,17.39,240016
2016-02-10 09:30:00,17.22,17.31,16.81,17.16,278672
2016-02-11 09:30:00,16.78,17.2,16.45,17.14,410914
2016-02-12 09:30:00,17.18,17.36,16.98,17.01,382877
2016-02-16 09:30:00,17.5,17.61,17.37,17.46,215449
2016-02-17 09:30:00,17.86,18.09,17.7,18.02,289544
2016-02-18 09:30:00,18.84,18.84,18.11,18.51,284830
2016-02-19 09:30:00,18.08,18.24,17.88,18.09,357928
2016-02-22 09:30:00,18.51,18.71,18.51,18.61,233397
2016-02-23 09:30:00,18.64,18.65,18.39,18.56,215008
2016-02-24 09:30:00,18.15,18.3,17.49,18.18,464065
2016-02-25 09:30:00,19.1,19.73,18.94,19.26,738971
2016-02-26 09:30:00,19.62,19.77,19.46,19.48,295116
2016-02-29 09:30:00,19.81,19.97,19.54,19.8,371332
2016-03-01 09:30:00,19.95,20.25,19.91,20.04,301164
2016-03-02 09:30:00,20.52,20.84,20.43,20.67,297424
2016-03-03 09:30:00,20.77,20.99,20.75,20.89,196111
2016-03-04 09:30:00,21.35,21.48,21.11,21.24,283487
2016-03-07 09:30:00,21.34,21.7,21.17,21.56,339661
2016-03-08 09:30:00,21.57,21.64,21.4,21.4,467440
2016-03-09 09:30:00,21.65,21.73,21.53,21.73,416835
2016-03-10 09:30:00,21.58,21.7,21.48,21.66,257488
2016-03-11 09:30:00,21.95,22.08,21.85,21.94,169094
2016-03-14 09:30:00,22.12,22.15,21.94,21.99,191824
2016-03-15 09:30:00,21.67,21.67,21.33,21.34,529647
2016-03-16 09:30:00,21.47,21.77,21.32,21.7,207603
2016-03-17 09:30:00,21.8,21.93,21.76,21.9,150983
2016-03-18 09:30:00,22.18,22.36,22.08,22.34,340030
2016-03-21 09:30:00,22.15,22.32,22.11,22.17,167343
2016-03-22 09:30:00,22.19,22.42,22.17,22.38,316373
2016-03-23 09:30:00,22.19,22.26,22.07,22.1,178841
2016-03-24 09:30:00,21.83,21.99,21.74,21.89,447820
2016-03-28 09:30:00,21.98,22.07,21.86,21.91,128670
2016-03-29 09:30:00,21.83,21.93,21.67,21.7,157484
2016-03-30 09:30:00,22.25,22.44,22.17,22.26,135419
2016-03-31 09:30:00,22.15,22.35,22.15,22.26,125059
2016-04-01 09:30:00,21.9,22.0,21.69,21.82,175184
2016-04-04 09:30:00,22.02,22.15,21.91,22.1,113589
2016-04-05 09:30:00,21.62,21.75,21.57,21.74,148580
2016-04-06 09:30:00,21.65,21.86,21.65,21.78,258025
2016-04-07 09:30:00,21.87,21.97,21.74,21.89,161075
2016-04-08 09:30:00,21.75,21.88,21.64,21.87,161959
2016-04-11 09:30:00,21.81,21.95,21.74,21.9,251422
2016-04-12 09:30:00,21.51,21.82,21.45,21.79,301866
2016-04-13 09:30:00,22.04,22.21,21.9,22.14,187023
2016-04-14 09:30:00,22.36,22.36,22.22,22.25,49877
2016-04-15 09:30:00,22.15,22.18,21.93,21.96,163929
2016-04-18 09:30:00,22.04,22.08,21.88,22.01,133533
2016-04-19 09:30:00,22.36,22.6,22.3,22.6,191810
2016-04-20 09:30:00,22.58,22.6,22.42,22.46,140817
2016-04-21 09:30:00,22.46,22.53,22.36,22.48,193723
2016-04-22 09:30:00,22.51,22.93,22.4,22.92,231083
2016-04-25 09:30:00,22.85,23.04,22.69,22.75,197047
2016-04-26 09:30:00,22.57,22.85,22.54,22.84,252526
2016-04-27 09:30:00,23.19,23.55,23.06,23.54,232842
2016-04-28 09:30:00,23.67,23.82,23.47,23.73,220480
2016-04-29 09:30:00,23.1,23.41,23.09,23.29,151961
2016-05-02 09:30:00,23.29,23.36,22.99,23.09,147108
2016-05-03 09:30:00,23.31,23.31,22.92,22.94,84016
2016-05-04 09:30:00,22.8,22.98,22.67,22.93,290787
2016-05-05 09:30:00,22.57,23.18,21.96,22.98,574653
