open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.21,37.22,36.93,36.98,1468492
2016-01-05 09:30:00,38.0,38.09,37.64,37.72,1454875
2016-01-06 09:30:00,36.4,36.56,35.95,36.42,1949920
2016-01-07 09:30:00,35.96,36.13,35.43,35.5,1451856
2016-01-08 09:30:00,35.23,35.25,34.98,35.03,1588062
2016-01-11 09:30:00,34.89,35.02,34.85,34.97,1663820
2016-01-12 09:30:00,34.92,35.08,34.74,34.97,1033767
2016-01-13 09:30:00,35.54,36.11,35.54,35.83,2077921
2016-01-14 09:30:00,34.78,34.84,34.52,34.54,1410698
2016-01-15 09:30:00,34.67,35.01,34.58,34.71,2897768
2016-01-19 09:30:00,34.97,35.06,34.5,34.69,1148690
2016-01-20 09:30:00,34.25,34.56,33.92,34.09,999879
2016-01-21 09:30:00,34.89,34.99,34.41,34.57,1222038
2016-01-22 09:30:00,35.99,36.34,35.75,36.02,1885431
2016-01-25 09:30:00,36.13,36.3,35.86,36.15,1047371
2016-01-26 09:30:00,35.83,36.11,35.77,35.87,1021379
2016-01-27 09:30:00,36.13,36.28,35.75,35.84,1245866
2016-01-28 09:30:00,34.45,34.49,33.39,33.86,4614657
2016-01-29 09:30:00,33.05,33.63,32.87,33.61,2270388
2016-02-01 09:30:00,33.65,33.73,33.41,33.72,1869678
2016-02-02 09:30:00,34.01,34.17,32.9,32.9,3467268
2016-02-03 09:30:00,32.84,33.56,32.6,33.2,2678625
2016-02-04 09:30:00,33.59,33.86,33.4,33.85,1209458
2016-02-05 09:30:00,34.21,34.32,33.94,33.99,977797
2016-02-08 09:30:00,32.75,32.78,32.24,32.36,1696201
2016-02-09 09:30:00,32.86,33.01,32.57,32.78,1057800
2016-02-10 09:30:00,33.12,33.51,33.08,33.37,1102013
2016-02-11 09:30:00,32.0,32.32,31.79,32.21,1277075
2016-02-12 09:30:00,32.63,32.7,32.43,32.6,1536729
2016-02-16 09:30:00,34.37,34.68,34.17,34.36,1797098
2016-02-17 09:30:00,35.41,36.01,35.38,35.91,1700483
2016-02-18 09:30:00,36.45,36.57,36.14,36.33,1540273
2016-02-19 09:30:00,36.91,37.66,36.88,37.28,3142877
2016-02-22 09:30:00,37.69,38.24,37.69,38.1,2862407
2016-02-23 09:30:00,38.39,38.39,38.07,38.27,1316666
2016-02-24 09:30:00,37.63,37.72,37.43,37.58,1247111
2016-02-25 09:30:00,38.76,38.98,38.38,38.42,1216248
2016-02-26 09:30:00,39.14,39.14,38.85,38.91,1254003
2016-02-29 09:30:00,38.88,39.05,38.53,38.8,2028595
2016-03-01 09:30:00,38.81,39.34,38.8,38.99,1443480
2016-03-02 09:30:00,39.75,40.03,39.69,39.97,1923974
2016-03-03 09:30:00,39.85,40.13,39.72,39.89,2197855
2016-03-04 09:30:00,39.76,39.81,39.44,39.52,1318484
2016-03-07 09:30:00,39.84,40.48,39.79,40.29,1383921
2016-03-08 09:30:00,40.19,40.34,39.87,40.06,1274514
2016-03-09 09:30:00,39.82,39.91,39.43,39.53,1485634
2016-03-10 09:30:00,39.44,39.79,39.38,39.6,1118232
2016-03-11 09:30:00,39.97,39.98,39.64,39.87,957332
2016-03-14 09:30:00,39.69,39.7,39.31,39.62,898558
2016-03-15 09:30:00,39.32,39.38,38.96,39.11,1152860
2016-03-16 09:30:00,39.18,39.23,38.86,38.88,1141630
2016-03-17 09:30:00,38.86,39.11,38.84,39.09,868342
2016-03-18 09:30:00,39.26,39.41,39.07,39.27,5440801
2016-03-21 09:30:00,39.21,39.52,39.14,39.47,947117
2016-03-22 09:30:00,39.36,39.65,39.35,39.49,574200
2016-03-23 09:30:00,39.6,39.6,39.14,39.15,1070374
2016-03-24 09:30:00,38.47,38.63,38.09,38.24,1018858
2016-03-28 09:30:00,38.32,38.45,37.95,38.05,1543466
2016-03-29 09:30:00,37.99,38.04,37.74,37.96,534217
2016-03-30 09:30:00,38.88,39.08,38.58,38.91,1293700
2016-03-31 09:30:00,38.65,39.05,38.62,39.05,683232
2016-04-01 09:30:00,38.81,38.83,38.29,38.29,1174408
2016-04-04 09:30:00,38.61,38.82,38.42,38.82,761466
2016-04-05 09:30:00,38.32,38.37,38.01,38.22,596104
